,steps,words,feedback,ncands
0,4,"['arles', 'carry', 'chair', 'cigar']","['YYXXX', 'GYYYX', 'GXYYG', 'GGGGG']","[65, 2, 1, 1]"
1,4,"['arles', 'eerie', 'recur', 'rebut']","['XYXYX', 'YGYXY', 'GGXGY', 'GGGGG']","[64, 13, 1, 1]"
2,2,"['arles', 'sissy']","['XXXXY', 'GGGGG']","[114, 114]"
3,4,"['arles', 'ponty', 'chump', 'humph']","['XXXXX', 'YXXXX', 'XYYYY', 'GGGGG']","[205, 2, 1, 1]"
4,3,"['arles', 'abate', 'awake']","['GXXYX', 'GXGXG', 'GGGGG']","[19, 4, 4]"
5,5,"['arles', 'slush', 'flush', 'plush', 'blush']","['XXYXY', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[31, 3, 2, 1, 1]"
6,5,"['arles', 'canal', 'local', 'vocal', 'focal']","['YXYXX', 'YYXGG', 'YGGGG', 'XGGGG', 'GGGGG']","[68, 4, 2, 1, 1]"
7,4,"['arles', 'heave', 'ovate', 'evade']","['YXXYX', 'XYGYG', 'XGGXG', 'GGGGG']","[56, 2, 1, 1]"
8,3,"['arles', 'canal', 'naval']","['YXYXX', 'XGYGG', 'GGGGG']","[68, 2, 2]"
9,3,"['arles', 'sense', 'serve']","['XYXYY', 'GGXYG', 'GGGGG']","[26, 1, 1]"
10,3,"['arles', 'heave', 'heath']","['YXXYX', 'GGGXY', 'GGGGG']","[56, 2, 2]"
11,4,"['arles', 'carry', 'board', 'dwarf']","['YYXXX', 'XYYGX', 'XXGGY', 'GGGGG']","[65, 9, 1, 1]"
12,4,"['arles', 'level', 'towel', 'model']","['XXYGX', 'YYXGG', 'XGXGG', 'GGGGG']","[30, 12, 1, 1]"
13,4,"['arles', 'carry', 'baron', 'karma']","['YYXXX', 'XGGYX', 'XGGXX', 'GGGGG']","[65, 4, 2, 2]"
14,5,"['arles', 'sissy', 'stint', 'sting', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGX', 'GGGGG']","[114, 17, 2, 1, 1]"
15,3,"['arles', 'grace', 'grade']","['YGXYX', 'GGGXG', 'GGGGG']","[30, 5, 5]"
16,3,"['arles', 'tenet', 'quiet']","['XXXGX', 'YYXGG', 'GGGGG']","[44, 5, 5]"
17,4,"['arles', 'eerie', 'teeth', 'bench']","['XXXYX', 'YGXXY', 'XGYXG', 'GGGGG']","[130, 26, 2, 2]"
18,2,"['arles', 'abate']","['GXXYX', 'GGGGG']","[19, 19]"
19,4,"['arles', 'eerie', 'being', 'feign']","['XXXYX', 'YGXYY', 'XGGYY', 'GGGGG']","[130, 6, 3, 3]"
20,4,"['arles', 'carry', 'radar', 'major']","['YYXXX', 'XGYYX', 'YGXYG', 'GGGGG']","[65, 15, 5, 5]"
21,3,"['arles', 'heave', 'death']","['YXXYX', 'YGGXY', 'GGGGG']","[56, 4, 4]"
22,2,"['arles', 'fresh']","['XGXYY', 'GGGGG']","[4, 4]"
23,2,"['arles', 'crust']","['XGXXY', 'GGGGG']","[11, 11]"
24,4,"['arles', 'slush', 'spill', 'stool']","['XXYXY', 'GYXYX', 'GXXYG', 'GGGGG']","[31, 11, 2, 2]"
25,3,"['arles', 'filly', 'colon']","['XXGXX', 'XXGYX', 'GGGGG']","[30, 3, 3]"
26,3,"['arles', 'abuse', 'abase']","['GXXYY', 'GGXGG', 'GGGGG']","[4, 1, 1]"
27,4,"['arles', 'carry', 'harry', 'marry']","['YYXXX', 'XGGGG', 'XGGGG', 'GGGGG']","[65, 3, 2, 2]"
28,4,"['arles', 'rearm', 'reach', 'react']","['YYXYX', 'GGGYX', 'GGGGX', 'GGGGG']","[25, 3, 1, 1]"
29,6,"['arles', 'mania', 'catty', 'fatty', 'patty', 'batty']","['YXXXX', 'XGXXY', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[119, 31, 4, 3, 2, 2]"
30,3,"['arles', 'erode', 'pride']","['XGXYX', 'YGXGG', 'GGGGG']","[45, 4, 4]"
31,4,"['arles', 'bliss', 'gloss', 'floss']","['XXYXG', 'XGXGG', 'XGGGG', 'GGGGG']","[5, 2, 1, 1]"
32,4,"['arles', 'belle', 'welch', 'helix']","['XXGYX', 'XGGYY', 'XGGXY', 'GGGGG']","[17, 4, 1, 1]"
33,4,"['arles', 'train', 'broad', 'croak']","['YGXXX', 'XGYXX', 'XGGGX', 'GGGGG']","[40, 2, 1, 1]"
34,4,"['arles', 'sassy', 'stank', 'staff']","['YXXXY', 'GYYYX', 'GGGXX', 'GGGGG']","[62, 24, 3, 3]"
35,5,"['arles', 'rarer', 'eater', 'gayer', 'paper']","['YYXGX', 'YGYGG', 'YGXGG', 'XGXGG', 'GGGGG']","[25, 19, 11, 6, 6]"
36,6,"['arles', 'tenet', 'woven', 'index', 'kneed', 'unfed']","['XXXGX', 'XYYGX', 'XXXGY', 'XGYGX', 'XGYGG', 'GGGGG']","[44, 14, 3, 2, 1, 1]"
37,6,"['arles', 'belle', 'field', 'quell', 'knelt', 'whelp']","['XXYYX', 'XYYGY', 'XXGGX', 'XXGGY', 'XXGGX', 'GGGGG']","[55, 9, 3, 2, 1, 1]"
38,3,"['arles', 'trail', 'trawl']","['YGYXX', 'GGGXG', 'GGGGG']","[8, 1, 1]"
39,4,"['arles', 'ponty', 'ought', 'outdo']","['XXXXX', 'XYXYX', 'GGXXY', 'GGGGG']","[205, 5, 1, 1]"
40,3,"['arles', 'abate', 'adobe']","['GXXYX', 'GYYXG', 'GGGGG']","[19, 1, 1]"
41,5,"['arles', 'train', 'drama', 'graph', 'crazy']","['YGXXX', 'XGGXX', 'XGGXY', 'XGGXX', 'GGGGG']","[40, 9, 6, 4, 4]"
42,6,"['arles', 'surer', 'skier', 'sheer', 'sewer', 'sower']","['XYXGY', 'GXYGG', 'GXXGG', 'GXYGG', 'GYGGG', 'GGGGG']","[23, 8, 7, 4, 1, 1]"
