,steps,words,feedback,ncands
0,4,"['arose', 'carry', 'chair', 'cigar']","['YYXXX', 'GYYYX', 'GXYYG', 'GGGGG']","[55, 2, 1, 1]"
1,6,"['arose', 'refer', 'reign', 'reply', 'recut', 'rebut']","['XYXXY', 'GGXYY', 'GGXXX', 'GGXXX', 'GGXGG', 'GGGGG']","[103, 10, 6, 3, 1, 1]"
2,2,"['arose', 'sissy']","['XXXGX', 'GGGGG']","[17, 17]"
3,4,"['arose', 'hilly', 'hutch', 'humph']","['XXXXX', 'GXXXX', 'GGXXG', 'GGGGG']","[183, 3, 1, 1]"
4,3,"['arose', 'agate', 'awake']","['GXXXG', 'GXGXG', 'GGGGG']","[18, 2, 2]"
5,5,"['arose', 'sissy', 'flush', 'plush', 'blush']","['XXXGX', 'YXYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[17, 3, 2, 1, 1]"
6,5,"['arose', 'cocoa', 'local', 'vocal', 'focal']","['YXYXX', 'YGGYY', 'YGGGG', 'XGGGG', 'GGGGG']","[44, 3, 2, 1, 1]"
7,3,"['arose', 'leave', 'evade']","['YXXXG', 'XYGYG', 'GGGGG']","[50, 1, 1]"
8,3,"['arose', 'canal', 'naval']","['YXXXX', 'XGYGG', 'GGGGG']","[148, 2, 2]"
9,2,"['arose', 'serve']","['XYXYG', 'GGGGG']","[6, 6]"
10,3,"['arose', 'legal', 'heath']","['YXXXY', 'XGXYX', 'GGGGG']","[78, 12, 12]"
11,4,"['arose', 'carry', 'guard', 'dwarf']","['YYXXX', 'XYYGX', 'XXGGY', 'GGGGG']","[55, 8, 1, 1]"
12,3,"['arose', 'doven', 'model']","['XXYXY', 'YGXGX', 'GGGGG']","[47, 2, 2]"
13,4,"['arose', 'carry', 'larva', 'karma']","['YYXXX', 'XGGYX', 'XGGXG', 'GGGGG']","[55, 3, 2, 2]"
14,5,"['arose', 'sissy', 'stint', 'sting', 'stink']","['XXXYX', 'GYYYX', 'GGGGY', 'GGGGX', 'GGGGG']","[79, 24, 2, 1, 1]"
15,3,"['arose', 'grace', 'grade']","['YGXXG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
16,4,"['arose', 'tenet', 'fleet', 'quiet']","['XXXXY', 'YYXGG', 'XXYGG', 'GGGGG']","[120, 4, 2, 2]"
17,3,"['arose', 'tenet', 'bench']","['XXXXY', 'XGGYX', 'GGGGG']","[120, 4, 4]"
18,3,"['arose', 'agate', 'abate']","['GXXXG', 'GXGGG', 'GGGGG']","[18, 1, 1]"
19,4,"['arose', 'tenet', 'being', 'feign']","['XXXXY', 'XGYYX', 'XGGYY', 'GGGGG']","[120, 8, 3, 3]"
20,3,"['arose', 'razor', 'major']","['YYYXX', 'YGXGG', 'GGGGG']","[28, 7, 7]"
21,4,"['arose', 'legal', 'heath', 'death']","['YXXXY', 'XGXYX', 'YGGGG', 'GGGGG']","[78, 12, 1, 1]"
22,3,"['arose', 'press', 'fresh']","['XGXGY', 'XGGGY', 'GGGGG']","[6, 3, 3]"
23,3,"['arose', 'truss', 'crust']","['XGXGX', 'YGGGY', 'GGGGG']","[11, 1, 1]"
24,4,"['arose', 'stoop', 'stood', 'stool']","['XXGYX', 'GGGGX', 'GGGGX', 'GGGGG']","[36, 2, 1, 1]"
25,4,"['arose', 'condo', 'count', 'colon']","['XXYXX', 'GGYXY', 'GGXYX', 'GGGGG']","[104, 2, 1, 1]"
26,3,"['arose', 'abuse', 'abase']","['GXXGG', 'GGXGG', 'GGGGG']","[3, 1, 1]"
