,steps,words,feedback,ncands
0,4,"['dares', 'array', 'rival', 'cigar']","['XYYXX', 'YYYGX', 'YGXGX', 'GGGGG']","[71, 6, 1, 1]"
1,5,"['dares', 'crepe', 'retro', 'remit', 'rebut']","['XXYYX', 'XYYXY', 'GGYYX', 'GGXXG', 'GGGGG']","[71, 11, 3, 1, 1]"
2,2,"['dares', 'sissy']","['XXXXY', 'GGGGG']","[141, 141]"
3,4,"['dares', 'noily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[257, 7, 1, 1]"
4,4,"['dares', 'elate', 'weave', 'awake']","['XYXYX', 'YXGXG', 'YYGXG', 'GGGGG']","[89, 11, 1, 1]"
5,6,"['dares', 'sissy', 'ghost', 'flush', 'plush', 'blush']","['XXXXY', 'YXYGX', 'XYXGX', 'XGGGG', 'XGGGG', 'GGGGG']","[141, 6, 3, 2, 1, 1]"
6,5,"['dares', 'allay', 'local', 'vocal', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'XGGGG', 'GGGGG']","[118, 12, 2, 1, 1]"
7,4,"['dares', 'adage', 'blade', 'evade']","['YYXYX', 'YYGXG', 'XXGGG', 'GGGGG']","[19, 2, 1, 1]"
8,4,"['dares', 'tatty', 'mania', 'naval']","['XGXXX', 'XGXXX', 'XGYXY', 'GGGGG']","[94, 32, 4, 4]"
9,3,"['dares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[12, 1, 1]"
10,3,"['dares', 'elate', 'heath']","['XYXYX', 'YXGGY', 'GGGGG']","[89, 2, 2]"
11,3,"['dares', 'drama', 'dwarf']","['GYYXX', 'GYGXY', 'GGGGG']","[8, 2, 2]"
12,3,"['dares', 'bleed', 'model']","['YXXGX', 'XYYGY', 'GGGGG']","[14, 1, 1]"
13,5,"['dares', 'carry', 'baron', 'larva', 'karma']","['XGGXX', 'XGGYX', 'XGGXX', 'XGGXG', 'GGGGG']","[16, 5, 3, 2, 2]"
14,5,"['dares', 'sissy', 'stint', 'sting', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGX', 'GGGGG']","[141, 28, 2, 1, 1]"
15,3,"['dares', 'trade', 'grade']","['YYYYX', 'XGGGG', 'GGGGG']","[9, 1, 1]"
16,4,"['dares', 'level', 'toney', 'quiet']","['XXXGX', 'XYXGX', 'YXXGX', 'GGGGG']","[59, 22, 1, 1]"
17,4,"['dares', 'eerie', 'leech', 'bench']","['XXXYX', 'YGXXY', 'XGYGG', 'GGGGG']","[151, 30, 3, 3]"
18,5,"['dares', 'elate', 'ovate', 'agate', 'abate']","['XYXYX', 'YXGGG', 'XXGGG', 'GXGGG', 'GGGGG']","[89, 3, 2, 1, 1]"
19,4,"['dares', 'eerie', 'being', 'feign']","['XXXYX', 'YGXYY', 'XGGYY', 'GGGGG']","[151, 4, 2, 2]"
20,3,"['dares', 'razor', 'major']","['XGYXX', 'YGXGG', 'GGGGG']","[22, 7, 7]"
21,2,"['dares', 'death']","['GYXYX', 'GGGGG']","[6, 6]"
22,3,"['dares', 'spore', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[18, 4, 4]"
23,4,"['dares', 'short', 'trust', 'crust']","['XXYXY', 'YXXYG', 'YGGGG', 'GGGGG']","[34, 4, 1, 1]"
24,4,"['dares', 'sissy', 'stoop', 'stool']","['XXXXY', 'GXYYX', 'GGGGX', 'GGGGG']","[141, 46, 1, 1]"
25,3,"['dares', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[257, 1, 1]"
26,4,"['dares', 'tease', 'phase', 'abase']","['XYXYY', 'XYGGG', 'XXGGG', 'GGGGG']","[40, 3, 1, 1]"
27,4,"['dares', 'carry', 'harry', 'marry']","['XGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 2]"
28,4,"['dares', 'rearm', 'reach', 'react']","['XYYYX', 'GGGYX', 'GGGGX', 'GGGGG']","[54, 2, 1, 1]"
29,5,"['dares', 'tatty', 'fatty', 'patty', 'batty']","['XGXXX', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[94, 4, 3, 2, 2]"
30,3,"['dares', 'ridge', 'pride']","['YXYYX', 'YYYXG', 'GGGGG']","[10, 2, 2]"
31,5,"['dares', 'mucus', 'bliss', 'gloss', 'floss']","['XXXXG', 'XXXXG', 'XGXGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 1, 1]"
32,4,"['dares', 'eerie', 'begin', 'helix']","['XXXYX', 'YGXGY', 'XGXGX', 'GGGGG']","[151, 3, 1, 1]"
33,5,"['dares', 'array', 'urban', 'trial', 'croak']","['XYYXX', 'YGYGX', 'XGXGX', 'XGXGX', 'GGGGG']","[71, 7, 3, 1, 1]"
34,4,"['dares', 'slash', 'stank', 'staff']","['XYXXY', 'GXGYX', 'GGGXX', 'GGGGG']","[63, 15, 2, 2]"
35,6,"['dares', 'rarer', 'rarer', 'eater', 'gayer', 'paper']","['XGYGX', 'YGYGG', 'YGYGG', 'YGXGG', 'XGXGG', 'GGGGG']","[27, 24, 24, 15, 8, 8]"
36,4,"['dares', 'bleed', 'unwed', 'unfed']","['YXXGX', 'XXYGG', 'GGXGG', 'GGGGG']","[14, 2, 1, 1]"
37,5,"['dares', 'eerie', 'check', 'theft', 'whelp']","['XXXYX', 'YYXXY', 'XGGXX', 'XGGXX', 'GGGGG']","[151, 7, 2, 1, 1]"
38,6,"['dares', 'array', 'trait', 'track', 'tramp', 'trawl']","['XYYXX', 'YGYYX', 'GGGXY', 'GGGXX', 'GGGXX', 'GGGGG']","[71, 27, 3, 2, 1, 1]"
39,3,"['dares', 'toddy', 'outdo']","['YXXXX', 'YYYGX', 'GGGGG']","[46, 1, 1]"
40,3,"['dares', 'adage', 'adobe']","['YYXYX', 'GGYXG', 'GGGGG']","[19, 1, 1]"
41,3,"['dares', 'array', 'crazy']","['XYYXX', 'YGYYG', 'GGGGG']","[71, 2, 2]"
42,6,"['dares', 'riser', 'super', 'sheer', 'sewer', 'sower']","['XXYGY', 'YXYGG', 'GXXGG', 'GXYGG', 'GYGGG', 'GGGGG']","[18, 10, 7, 4, 1, 1]"
43,4,"['dares', 'rearm', 'relay', 'repay']","['XYYYX', 'GGYYX', 'GGXGG', 'GGGGG']","[54, 8, 1, 1]"
44,3,"['dares', 'dodgy', 'digit']","['GXXXX', 'GXYYX', 'GGGGG']","[23, 1, 1]"
45,6,"['dares', 'rearm', 'grace', 'crane', 'craze', 'crate']","['XYYYX', 'YYGYX', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGGG']","[54, 14, 4, 3, 2, 2]"
46,5,"['dares', 'noily', 'bluff', 'clump', 'cluck']","['XXXXX', 'XXXYX', 'XGGXX', 'GGGXX', 'GGGGG']","[257, 9, 4, 1, 1]"
47,5,"['dares', 'sense', 'stole', 'siege', 'spike']","['XXXYY', 'GYXYG', 'GXXXG', 'GYYXG', 'GGGGG']","[84, 21, 4, 2, 2]"
48,5,"['dares', 'noily', 'tight', 'civic', 'mimic']","['XXXXX', 'XXYXX', 'XGXXX', 'YGXGG', 'GGGGG']","[257, 12, 2, 1, 1]"
49,6,"['dares', 'toddy', 'found', 'bound', 'mound', 'pound']","['YXXXX', 'XGYYX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[46, 8, 5, 4, 3, 3]"
50,5,"['dares', 'tatty', 'mania', 'magic', 'maxim']","['XGXXX', 'XGXXX', 'GGXGY', 'GGXGX', 'GGGGG']","[94, 32, 2, 1, 1]"
51,3,"['dares', 'level', 'linen']","['XXXGX', 'GYXGY', 'GGGGG']","[59, 3, 3]"
52,4,"['dares', 'level', 'toney', 'unmet']","['XXXGX', 'XYXGX', 'YXYGX', 'GGGGG']","[59, 22, 1, 1]"
53,4,"['dares', 'sense', 'guest', 'flesh']","['XXXYY', 'YYXGY', 'XXGGX', 'GGGGG']","[84, 6, 2, 2]"
54,3,"['dares', 'noily', 'booby']","['XXXXX', 'XGXXG', 'GGGGG']","[257, 11, 11]"
55,5,"['dares', 'hurry', 'worth', 'north', 'forth']","['XXGXX', 'YXGYX', 'XGGGG', 'XGGGG', 'GGGGG']","[37, 12, 2, 1, 1]"
56,3,"['dares', 'strut', 'first']","['XXGXY', 'YYGXG', 'GGGGG']","[14, 2, 2]"
57,3,"['dares', 'squad', 'stand']","['YYXXY', 'GXXYG', 'GGGGG']","[5, 3, 3]"
58,5,"['dares', 'eerie', 'leech', 'below', 'belly']","['XXXYX', 'YGXXY', 'YGYXX', 'GGGXX', 'GGGGG']","[151, 30, 6, 1, 1]"
59,4,"['dares', 'prior', 'robin', 'ivory']","['XXYXX', 'XYYYY', 'YYXYX', 'GGGGG']","[101, 4, 2, 2]"
60,3,"['dares', 'spend', 'seedy']","['YXXYY', 'GXGXY', 'GGGGG']","[4, 1, 1]"
61,3,"['dares', 'prior', 'print']","['XXYXX', 'GGGXY', 'GGGGG']","[101, 3, 3]"
62,6,"['dares', 'rearm', 'heart', 'pearl', 'weary', 'yearn']","['XYYYX', 'YGGGX', 'XGGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[54, 6, 4, 2, 1, 1]"
63,5,"['dares', 'drama', 'draft', 'drawn', 'drain']","['GYYXX', 'GGGXY', 'GGGXX', 'GGGXG', 'GGGGG']","[8, 5, 4, 1, 1]"
64,6,"['dares', 'crepe', 'trite', 'urine', 'grime', 'bribe']","['XXYYX', 'XGYXG', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[71, 13, 4, 2, 1, 1]"
65,5,"['dares', 'sissy', 'stoop', 'stock', 'stout']","['XXXXY', 'GXYYX', 'GGGYX', 'GGGXX', 'GGGGG']","[141, 46, 2, 1, 1]"
66,3,"['dares', 'eaten', 'panel']","['XGXGX', 'YGXGY', 'GGGGG']","[19, 2, 2]"
67,4,"['dares', 'grass', 'brass', 'crass']","['XYYXG', 'XGGGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
68,5,"['dares', 'eerie', 'elope', 'flute', 'flume']","['XXXYX', 'YYXXG', 'YGXXG', 'GGGXG', 'GGGGG']","[151, 34, 3, 2, 2]"
69,4,"['dares', 'allay', 'local', 'offal']","['XYXXX', 'YYYGX', 'YYXGG', 'GGGGG']","[118, 12, 1, 1]"
70,2,"['dares', 'agree']","['XYGGX', 'GGGGG']","[1, 1]"
71,3,"['dares', 'eerie', 'error']","['XXGYX', 'GYGXY', 'GGGGG']","[25, 1, 1]"
72,3,"['dares', 'short', 'swirl']","['XXYXY', 'GXXGX', 'GGGGG']","[34, 4, 4]"
73,4,"['dares', 'rearm', 'great', 'argue']","['XYYYX', 'YYYYX', 'YGYYX', 'GGGGG']","[54, 9, 1, 1]"
74,2,"['dares', 'bleed']","['YXXGX', 'GGGGG']","[14, 14]"
75,3,"['dares', 'death', 'delta']","['GYXYX', 'GGYGX', 'GGGGG']","[6, 1, 1]"
76,4,"['dares', 'noily', 'cliff', 'flick']","['XXXXX', 'XXGYX', 'YGGYY', 'GGGGG']","[257, 6, 1, 1]"
77,4,"['dares', 'level', 'toney', 'totem']","['XXXGX', 'XYXGX', 'GGXGX', 'GGGGG']","[59, 22, 1, 1]"
78,5,"['dares', 'freer', 'rover', 'power', 'wooer']","['XXYGX', 'XYYGG', 'YGXGG', 'XGYGG', 'GGGGG']","[87, 54, 11, 1, 1]"
79,4,"['dares', 'prior', 'frown', 'front']","['XXYXX', 'XGXYY', 'GGGXY', 'GGGGG']","[101, 15, 1, 1]"
80,3,"['dares', 'strut', 'shrub']","['XXGXY', 'GXGGX', 'GGGGG']","[14, 5, 5]"
81,5,"['dares', 'carry', 'harry', 'marry', 'parry']","['XGGXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 1, 1]"
82,5,"['dares', 'eerie', 'niece', 'title', 'biome']","['XXXYX', 'YYXYG', 'XGYXG', 'XGXXG', 'GGGGG']","[151, 32, 7, 2, 2]"
83,4,"['dares', 'eaten', 'label', 'lapel']","['XGXGX', 'YGXGX', 'GGXGG', 'GGGGG']","[19, 9, 1, 1]"
84,2,"['dares', 'start']","['XYYXY', 'GGGGG']","[21, 21]"
85,4,"['dares', 'freer', 'green', 'greet']","['XXYGX', 'XGGGY', 'GGGGX', 'GGGGG']","[87, 5, 1, 1]"
86,8,"['dares', 'freer', 'rover', 'power', 'boxer', 'homer', 'joker', 'goner']","['XXYGX', 'XYYGG', 'YGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[87, 54, 11, 4, 3, 2, 1, 1]"
87,4,"['dares', 'level', 'fleet', 'golem']","['XXXGX', 'YYXGY', 'XYYGX', 'GGGGG']","[59, 5, 1, 1]"
88,5,"['dares', 'sissy', 'husky', 'gusty', 'lusty']","['XXXXY', 'YXGYG', 'XGGXG', 'XGGGG', 'GGGGG']","[141, 8, 3, 2, 2]"
89,5,"['dares', 'noily', 'lobby', 'lofty', 'loopy']","['XXXXX', 'XGXYG', 'GGXXG', 'GGXXG', 'GGGGG']","[257, 3, 2, 1, 1]"
90,3,"['dares', 'brood', 'round']","['YXYXX', 'XYYYG', 'GGGGG']","[14, 2, 2]"
91,3,"['dares', 'adapt', 'audit']","['YYXXX', 'GYYXG', 'GGGGG']","[19, 1, 1]"
92,3,"['dares', 'noily', 'lying']","['XXXXX', 'YXGYY', 'GGGGG']","[257, 1, 1]"
93,4,"['dares', 'tatty', 'mania', 'gamma']","['XGXXX', 'XGXXX', 'YGXXG', 'GGGGG']","[94, 32, 1, 1]"
94,4,"['dares', 'razor', 'major', 'labor']","['XGYXX', 'YGXGG', 'XGXGG', 'GGGGG']","[22, 7, 4, 4]"
95,3,"['dares', 'sleet', 'islet']","['XXXGY', 'YYYGG', 'GGGGG']","[20, 1, 1]"
96,4,"['dares', 'noily', 'tight', 'civic']","['XXXXX', 'XXYXX', 'XGXXX', 'GGGGG']","[257, 12, 2, 2]"
97,4,"['dares', 'eerie', 'force', 'forge']","['XXGYX', 'YYGXG', 'GGGXG', 'GGGGG']","[25, 7, 2, 2]"
98,4,"['dares', 'hurry', 'forty', 'corny']","['XXGXX', 'XXGYG', 'XGGXG', 'GGGGG']","[37, 3, 1, 1]"
99,3,"['dares', 'noily', 'moult']","['XXXXX', 'XGXGX', 'GGGGG']","[257, 1, 1]"
100,4,"['dares', 'sassy', 'basin', 'basic']","['XGXXY', 'YGGYX', 'GGGGX', 'GGGGG']","[30, 7, 2, 2]"
101,3,"['dares', 'sandy', 'salad']","['YGXXY', 'GGXYX', 'GGGGG']","[3, 1, 1]"
102,4,"['dares', 'elate', 'ovate', 'agate']","['XYXYX', 'YXGGG', 'XXGGG', 'GGGGG']","[89, 3, 2, 2]"
103,4,"['dares', 'sissy', 'spiny', 'spicy']","['XXXXY', 'GYYYG', 'GGGXG', 'GGGGG']","[141, 5, 2, 2]"
104,3,"['dares', 'scrap', 'spray']","['XYGXY', 'GXGGY', 'GGGGG']","[6, 1, 1]"
105,4,"['dares', 'tease', 'speak', 'essay']","['XYXYY', 'XYYYY', 'YXYGX', 'GGGGG']","[40, 3, 1, 1]"
106,3,"['dares', 'brood', 'fjord']","['YXYXX', 'XYGYG', 'GGGGG']","[14, 2, 2]"
107,2,"['dares', 'spend']","['YXXYY', 'GGGGG']","[4, 4]"
108,4,"['dares', 'elate', 'began', 'kebab']","['XYXYX', 'YXYXY', 'YGXGX', 'GGGGG']","[89, 9, 1, 1]"
109,5,"['dares', 'toddy', 'child', 'build', 'guild']","['YXXXX', 'XXYYX', 'XXGGG', 'XGGGG', 'GGGGG']","[46, 10, 2, 1, 1]"
110,4,"['dares', 'allay', 'again', 'aback']","['XYXXX', 'GXXYX', 'GXGXX', 'GGGGG']","[118, 14, 1, 1]"
111,5,"['dares', 'prior', 'honor', 'color', 'motor']","['XXYXX', 'XYXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[101, 9, 3, 2, 2]"
112,3,"['dares', 'elate', 'alone']","['XYXYX', 'YGYXG', 'GGGGG']","[89, 4, 4]"
113,3,"['dares', 'tatty', 'hatch']","['XGXXX', 'YGGYX', 'GGGGG']","[94, 11, 11]"
114,7,"['dares', 'freer', 'rover', 'enter', 'upper', 'piper', 'hyper']","['XXYGX', 'XYYGG', 'YXXGG', 'YXXGG', 'XYGGG', 'YXGGG', 'GGGGG']","[87, 54, 23, 9, 3, 2, 2]"
115,4,"['dares', 'noily', 'chuck', 'thumb']","['XXXXX', 'XXXXX', 'XGGXX', 'GGGGG']","[257, 7, 2, 2]"
116,3,"['dares', 'drool', 'dowry']","['GXYXX', 'GYYYX', 'GGGGG']","[13, 1, 1]"
117,4,"['dares', 'noily', 'photo', 'ought']","['XXXXX', 'XYXXX', 'XYYYY', 'GGGGG']","[257, 9, 1, 1]"
