,steps,words,feedback,ncands
0,5,"['lores', 'trait', 'rabbi', 'vicar', 'cigar']","['XXYXX', 'XYYYX', 'YYXXY', 'XGYGG', 'GGGGG']","[109, 8, 2, 1, 1]"
1,5,"['lores', 'crepe', 'rearm', 'reign', 'rebut']","['XXYYX', 'XYYXY', 'GGXYX', 'GGXXX', 'GGGGG']","[111, 22, 3, 1, 1]"
2,3,"['lores', 'sassy', 'sissy']","['XXXXY', 'GXGGG', 'GGGGG']","[122, 1, 1]"
3,4,"['lores', 'canny', 'tight', 'humph']","['XXXXX', 'XXXXX', 'XXXYX', 'GGGGG']","[215, 16, 1, 1]"
4,4,"['lores', 'eerie', 'gauge', 'awake']","['XXXYX', 'YYXXG', 'XYXXG', 'GGGGG']","[163, 34, 5, 5]"
5,5,"['lores', 'shall', 'flush', 'plush', 'blush']","['YXXXY', 'YYXYY', 'XGGGG', 'XGGGG', 'GGGGG']","[58, 3, 2, 1, 1]"
6,3,"['lores', 'folly', 'focal']","['YGXXX', 'GGYYX', 'GGGGG']","[27, 1, 1]"
7,3,"['lores', 'eerie', 'evade']","['XXXYX', 'GYXXG', 'GGGGG']","[163, 2, 2]"
8,4,"['lores', 'allay', 'natal', 'naval']","['YXXXX', 'YYYGX', 'GGXGG', 'GGGGG']","[130, 12, 1, 1]"
9,2,"['lores', 'serve']","['XXGYY', 'GGGGG']","[10, 10]"
10,5,"['lores', 'eerie', 'teeth', 'death', 'heath']","['XXXYX', 'YGXXY', 'YGYGG', 'XGGGG', 'GGGGG']","[163, 36, 3, 1, 1]"
11,4,"['lores', 'trait', 'award', 'dwarf']","['XXYXX', 'XYGXX', 'YGGGY', 'GGGGG']","[109, 7, 1, 1]"
12,3,"['lores', 'novel', 'model']","['YGXGX', 'XGXGG', 'GGGGG']","[10, 6, 6]"
13,3,"['lores', 'harry', 'karma']","['XXGXX', 'XGGYX', 'GGGGG']","[29, 3, 3]"
14,5,"['lores', 'sassy', 'stunt', 'sting', 'stink']","['XXXXY', 'GXYYX', 'GGXGY', 'GGGGX', 'GGGGG']","[122, 29, 2, 1, 1]"
15,4,"['lores', 'crepe', 'grate', 'grade']","['XXYYX', 'XGYXG', 'GGGXG', 'GGGGG']","[111, 21, 3, 3]"
16,3,"['lores', 'eaten', 'quiet']","['XXXGX', 'YXYGX', 'GGGGG']","[37, 7, 7]"
17,5,"['lores', 'eerie', 'teeth', 'beach', 'bench']","['XXXYX', 'YGXXY', 'XGYXG', 'GGXGG', 'GGGGG']","[163, 36, 4, 1, 1]"
18,5,"['lores', 'eerie', 'gauge', 'awake', 'abate']","['XXXYX', 'YYXXG', 'XYXXG', 'GXGXG', 'GGGGG']","[163, 34, 5, 2, 2]"
19,4,"['lores', 'eerie', 'being', 'feign']","['XXXYX', 'YGXYY', 'XGGYY', 'GGGGG']","[163, 6, 3, 3]"
20,4,"['lores', 'brood', 'razor', 'major']","['XYYXX', 'XYYGX', 'YGXGG', 'GGGGG']","[78, 15, 5, 5]"
21,4,"['lores', 'eerie', 'teeth', 'death']","['XXXYX', 'YGXXY', 'YGYGG', 'GGGGG']","[163, 36, 3, 3]"
22,3,"['lores', 'spare', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[22, 4, 4]"
23,4,"['lores', 'start', 'trust', 'crust']","['XXYXY', 'YYXYG', 'YGGGG', 'GGGGG']","[38, 4, 1, 1]"
24,3,"['lores', 'spool', 'stool']","['YYXXY', 'GXGGG', 'GGGGG']","[11, 1, 1]"
25,3,"['lores', 'folly', 'colon']","['YGXXX', 'XGGYX', 'GGGGG']","[27, 2, 2]"
26,5,"['lores', 'sense', 'these', 'cause', 'abase']","['XXXYY', 'YYXGG', 'XXYGG', 'XYXGG', 'GGGGG']","[88, 10, 7, 1, 1]"
27,4,"['lores', 'harry', 'carry', 'marry']","['XXGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[29, 3, 2, 2]"
28,4,"['lores', 'crepe', 'reach', 'react']","['XXYYX', 'YYYXY', 'GGGGX', 'GGGGG']","[111, 6, 1, 1]"
29,6,"['lores', 'canny', 'tatty', 'fatty', 'patty', 'batty']","['XXXXX', 'XGXXG', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[215, 15, 3, 2, 1, 1]"
30,5,"['lores', 'crepe', 'prize', 'prime', 'pride']","['XXYYX', 'XGYYG', 'GGGXG', 'GGGXG', 'GGGGG']","[111, 5, 2, 1, 1]"
31,3,"['lores', 'gloss', 'floss']","['YYXXG', 'XGGGG', 'GGGGG']","[2, 1, 1]"
32,5,"['lores', 'belle', 'delta', 'welch', 'helix']","['YXXYX', 'XGGYY', 'XGGXX', 'XGGXY', 'GGGGG']","[101, 4, 2, 1, 1]"
33,7,"['lores', 'brood', 'grown', 'trout', 'proxy', 'aroma', 'croak']","['XYYXX', 'XGGYX', 'XGGXX', 'XGGXX', 'XGGXX', 'YGGXY', 'GGGGG']","[78, 20, 8, 5, 4, 1, 1]"
34,4,"['lores', 'sassy', 'stank', 'staff']","['XXXXY', 'GYYYX', 'GGGXX', 'GGGGG']","[122, 24, 3, 3]"
