,steps,words,feedback,ncands
0,5,"['nares', 'drama', 'royal', 'vicar', 'cigar']","['XYYXX', 'XYYXY', 'YXXGX', 'XGYGG', 'GGGGG']","[71, 10, 2, 1, 1]"
1,5,"['nares', 'crepe', 'metro', 'refit', 'rebut']","['XXYYX', 'XYYXY', 'XGYYX', 'GGXXG', 'GGGGG']","[75, 10, 2, 1, 1]"
2,2,"['nares', 'sissy']","['XXXXY', 'GGGGG']","[115, 115]"
3,4,"['nares', 'doily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[219, 7, 1, 1]"
4,5,"['nares', 'elate', 'peace', 'image', 'awake']","['XYXYX', 'YXGXG', 'XYGXG', 'XXGXG', 'GGGGG']","[90, 10, 5, 2, 2]"
5,6,"['nares', 'sissy', 'ghost', 'flush', 'plush', 'blush']","['XXXXY', 'YXYGX', 'XYXGX', 'XGGGG', 'XGGGG', 'GGGGG']","[115, 6, 3, 2, 1, 1]"
6,5,"['nares', 'allay', 'local', 'vocal', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'XGGGG', 'GGGGG']","[94, 11, 2, 1, 1]"
7,3,"['nares', 'elate', 'evade']","['XYXYX', 'GXGXG', 'GGGGG']","[90, 1, 1]"
8,2,"['nares', 'naval']","['GGXXX', 'GGGGG']","[3, 3]"
9,3,"['nares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[11, 1, 1]"
10,4,"['nares', 'elate', 'death', 'heath']","['XYXYX', 'YXGGY', 'XGGGG', 'GGGGG']","[90, 3, 1, 1]"
11,3,"['nares', 'drama', 'dwarf']","['XYYXX', 'GYGXY', 'GGGGG']","[71, 2, 2]"
12,3,"['nares', 'betel', 'model']","['XXXGX', 'XYXGG', 'GGGGG']","[49, 9, 9]"
13,4,"['nares', 'carry', 'larva', 'karma']","['XGGXX', 'XGGYX', 'XGGXG', 'GGGGG']","[17, 4, 2, 2]"
14,4,"['nares', 'stung', 'stint', 'stink']","['YXXXY', 'GGXGX', 'GGGGY', 'GGGGG']","[35, 3, 1, 1]"
15,4,"['nares', 'rearm', 'grace', 'grade']","['XYYYX', 'YYGYX', 'GGGXG', 'GGGGG']","[63, 17, 5, 5]"
16,3,"['nares', 'betel', 'quiet']","['XXXGX', 'XYYGX', 'GGGGG']","[49, 7, 7]"
17,4,"['nares', 'penne', 'tenth', 'bench']","['YXXYX', 'XGGYY', 'XGGXG', 'GGGGG']","[55, 5, 2, 2]"
18,5,"['nares', 'elate', 'ovate', 'agate', 'abate']","['XYXYX', 'YXGGG', 'XXGGG', 'GXGGG', 'GGGGG']","[90, 3, 2, 1, 1]"
19,4,"['nares', 'penne', 'begin', 'feign']","['YXXYX', 'XGYYY', 'XGYYG', 'GGGGG']","[55, 8, 2, 2]"
20,3,"['nares', 'radar', 'major']","['XGYXX', 'YGXYG', 'GGGGG']","[23, 7, 7]"
21,3,"['nares', 'elate', 'death']","['XYXYX', 'YXGGY', 'GGGGG']","[90, 3, 3]"
22,3,"['nares', 'spore', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[14, 3, 3]"
23,4,"['nares', 'shirt', 'trust', 'crust']","['XXYXY', 'YXXYG', 'YGGGG', 'GGGGG']","[30, 5, 1, 1]"
24,5,"['nares', 'sissy', 'stoop', 'stood', 'stool']","['XXXXY', 'GXYYX', 'GGGGX', 'GGGGX', 'GGGGG']","[115, 32, 2, 1, 1]"
25,4,"['nares', 'ninny', 'known', 'colon']","['YXXXX', 'YXYYX', 'XYYXG', 'GGGGG']","[99, 8, 1, 1]"
26,5,"['nares', 'state', 'phase', 'lease', 'abase']","['XYXYY', 'YXGXG', 'XXGGG', 'XYGGG', 'GGGGG']","[42, 6, 3, 1, 1]"
27,4,"['nares', 'carry', 'harry', 'marry']","['XGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[17, 3, 2, 2]"
28,4,"['nares', 'rearm', 'reach', 'react']","['XYYYX', 'GGGYX', 'GGGGX', 'GGGGG']","[63, 3, 1, 1]"
