,steps,words,feedback,ncands
0,4,"['raile', 'train', 'circa', 'cigar']","['YYYXX', 'XYYYX', 'GGYYY', 'GGGGG']","[14, 3, 1, 1]"
1,5,"['raile', 'refer', 'retro', 'recut', 'rebut']","['GXXXY', 'GGXYY', 'GGYYX', 'GGXGG', 'GGGGG']","[17, 8, 2, 1, 1]"
2,5,"['raile', 'digit', 'pinky', 'missy', 'sissy']","['XXYXX', 'XGXYX', 'XGXXG', 'XGGGG', 'GGGGG']","[98, 21, 5, 1, 1]"
3,4,"['raile', 'sooty', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[173, 8, 1, 1]"
4,3,"['raile', 'abase', 'awake']","['XYXXG', 'GXGXG', 'GGGGG']","[43, 5, 5]"
5,4,"['raile', 'sloop', 'flush', 'blush']","['XXXYX', 'YGXXX', 'XGGGG', 'GGGGG']","[66, 2, 1, 1]"
6,5,"['raile', 'allay', 'local', 'vocal', 'focal']","['XYXYX', 'YYYGX', 'YGGGG', 'XGGGG', 'GGGGG']","[64, 13, 2, 1, 1]"
7,6,"['raile', 'abase', 'peace', 'quake', 'ovate', 'evade']","['XYXXG', 'YXGXG', 'XYGXG', 'XXGXG', 'XGGXG', 'GGGGG']","[43, 8, 4, 2, 1, 1]"
8,3,"['raile', 'nasal', 'naval']","['XGXYX', 'GGXGG', 'GGGGG']","[22, 2, 2]"
9,3,"['raile', 'erode', 'serve']","['YXXXG', 'YYXXG', 'GGGGG']","[58, 20, 20]"
10,4,"['raile', 'ahead', 'beach', 'heath']","['XYXXY', 'YYYYX', 'XGGXG', 'GGGGG']","[50, 5, 1, 1]"
11,4,"['raile', 'array', 'shard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[91, 21, 1, 1]"
12,4,"['raile', 'level', 'towel', 'model']","['XXXYY', 'YYXGG', 'XGXGG', 'GGGGG']","[49, 11, 1, 1]"
13,3,"['raile', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[26, 1, 1]"
14,4,"['raile', 'stint', 'sting', 'stink']","['XXGXX', 'GGGGY', 'GGGGX', 'GGGGG']","[54, 2, 1, 1]"
15,4,"['raile', 'erase', 'grace', 'grade']","['YYXXG', 'YGGXG', 'GGGXG', 'GGGGG']","[30, 18, 5, 5]"
16,4,"['raile', 'deign', 'chief', 'quiet']","['XXGXY', 'XYGXX', 'XXGGX', 'GGGGG']","[18, 5, 1, 1]"
17,3,"['raile', 'tenet', 'bench']","['XXXXY', 'XGGYX', 'GGGGG']","[104, 4, 4]"
18,3,"['raile', 'abase', 'abate']","['XYXXG', 'GGGXG', 'GGGGG']","[43, 1, 1]"
19,3,"['raile', 'deign', 'feign']","['XXGXY', 'XGGGG', 'GGGGG']","[18, 1, 1]"
20,3,"['raile', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[26, 2, 2]"
21,3,"['raile', 'ahead', 'death']","['XYXXY', 'YYYYY', 'GGGGG']","[50, 2, 2]"
22,3,"['raile', 'freer', 'fresh']","['YXXXY', 'GGGYY', 'GGGGG']","[112, 1, 1]"
23,4,"['raile', 'error', 'trust', 'crust']","['YXXXX', 'XGYXY', 'YGGGG', 'GGGGG']","[119, 18, 1, 1]"
24,3,"['raile', 'sloop', 'stool']","['XXXYX', 'GYGGX', 'GGGGG']","[66, 1, 1]"
25,3,"['raile', 'sloop', 'colon']","['XXXYX', 'XYYGX', 'GGGGG']","[66, 2, 2]"
26,2,"['raile', 'abase']","['XYXXG', 'GGGGG']","[43, 43]"
27,2,"['raile', 'marry']","['YGXXX', 'GGGGG']","[26, 26]"
28,3,"['raile', 'reach', 'react']","['GYXXY', 'GGGGX', 'GGGGG']","[8, 1, 1]"
29,5,"['raile', 'tatty', 'fatty', 'patty', 'batty']","['XGXXX', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[85, 4, 3, 2, 2]"
30,6,"['raile', 'tripe', 'prize', 'prime', 'price', 'pride']","['YXGXG', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[19, 4, 3, 2, 1, 1]"
31,4,"['raile', 'sloop', 'gloss', 'floss']","['XXXYX', 'YGGYX', 'XGGGG', 'GGGGG']","[66, 2, 1, 1]"
32,3,"['raile', 'libel', 'helix']","['XXYYY', 'YYXYY', 'GGGGG']","[11, 2, 2]"
33,4,"['raile', 'array', 'urban', 'croak']","['YYXXX', 'YGYGX', 'XGXGX', 'GGGGG']","[91, 5, 1, 1]"
34,4,"['raile', 'amass', 'shank', 'staff']","['XYXXX', 'YXGYY', 'GXGXX', 'GGGGG']","[76, 16, 2, 2]"
35,6,"['raile', 'rarer', 'rarer', 'eater', 'gayer', 'paper']","['YGXXY', 'YGYGG', 'YGYGG', 'YGXGG', 'XGXGG', 'GGGGG']","[24, 21, 21, 13, 8, 8]"
36,5,"['raile', 'tenet', 'woven', 'kneed', 'unfed']","['XXXXY', 'XYYGX', 'XXXGY', 'XGYGG', 'GGGGG']","[104, 12, 2, 1, 1]"
37,3,"['raile', 'swell', 'whelp']","['XXXGY', 'XYGGY', 'GGGGG']","[18, 1, 1]"
38,5,"['raile', 'moral', 'crawl', 'brawl', 'trawl']","['YYXYX', 'XXYYG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 5, 3, 2, 2]"
39,4,"['raile', 'sooty', 'ought', 'outdo']","['XXXXX', 'XYYYX', 'GGXXY', 'GGGGG']","[173, 3, 1, 1]"
40,3,"['raile', 'abase', 'adobe']","['XYXXG', 'GYYXG', 'GGGGG']","[43, 1, 1]"
41,3,"['raile', 'array', 'crazy']","['YYXXX', 'YGYYG', 'GGGGG']","[91, 2, 2]"
42,7,"['raile', 'freer', 'rower', 'power', 'tower', 'mower', 'sower']","['YXXXY', 'XYYGG', 'YGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[112, 45, 5, 4, 3, 2, 2]"
43,3,"['raile', 'reach', 'repay']","['GYXXY', 'GGYXX', 'GGGGG']","[8, 2, 2]"
44,2,"['raile', 'digit']","['XXYXX', 'GGGGG']","[98, 98]"
45,6,"['raile', 'erase', 'grace', 'crane', 'craze', 'crate']","['YYXXG', 'YGGXG', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGGG']","[30, 18, 4, 3, 2, 2]"
46,5,"['raile', 'sloop', 'bluff', 'clung', 'cluck']","['XXXYX', 'XGXXX', 'XGGXX', 'GGGXX', 'GGGGG']","[66, 7, 2, 1, 1]"
47,3,"['raile', 'spine', 'spike']","['XXGXG', 'GGGXG', 'GGGGG']","[29, 3, 3]"
48,4,"['raile', 'digit', 'civic', 'mimic']","['XXYXX', 'XGXGX', 'YGXGG', 'GGGGG']","[98, 3, 1, 1]"
49,7,"['raile', 'sooty', 'hound', 'found', 'bound', 'mound', 'pound']","['XXXXX', 'XGYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[173, 15, 5, 4, 3, 2, 2]"
50,4,"['raile', 'mania', 'magic', 'maxim']","['XGYXX', 'GGXGY', 'GGXGX', 'GGGGG']","[16, 2, 1, 1]"
51,3,"['raile', 'libel', 'linen']","['XXYYY', 'GGXGY', 'GGGGG']","[11, 2, 2]"
52,4,"['raile', 'tenet', 'onset', 'unmet']","['XXXXY', 'YYYGG', 'XGXGG', 'GGGGG']","[104, 3, 1, 1]"
53,5,"['raile', 'level', 'elect', 'blend', 'flesh']","['XXXYY', 'YYXYY', 'YGGXX', 'XGGXX', 'GGGGG']","[49, 9, 3, 1, 1]"
54,5,"['raile', 'sooty', 'woody', 'goofy', 'booby']","['XXXXX', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[173, 7, 3, 2, 2]"
55,5,"['raile', 'error', 'worry', 'north', 'forth']","['YXXXX', 'XYGYY', 'XGGYX', 'XGGGG', 'GGGGG']","[119, 18, 9, 1, 1]"
56,3,"['raile', 'error', 'first']","['YXYXX', 'XYGXY', 'GGGGG']","[24, 9, 9]"
57,4,"['raile', 'amass', 'shank', 'stand']","['XYXXX', 'YXGYY', 'GXGGX', 'GGGGG']","[76, 16, 2, 2]"
58,4,"['raile', 'swell', 'cello', 'belly']","['XXXGY', 'XXYGY', 'XGGGX', 'GGGGG']","[18, 5, 2, 2]"
59,3,"['raile', 'error', 'ivory']","['YXYXX', 'XYYYY', 'GGGGG']","[24, 3, 3]"
60,5,"['raile', 'tenet', 'gecko', 'weedy', 'seedy']","['XXXXY', 'XGXYX', 'XGXXX', 'XGGGG', 'GGGGG']","[104, 9, 3, 1, 1]"
61,3,"['raile', 'prink', 'print']","['YXGXX', 'GGGGX', 'GGGGG']","[30, 1, 1]"
62,5,"['raile', 'tread', 'amber', 'weary', 'yearn']","['YYXXY', 'XYYYX', 'YXXYY', 'XGGGY', 'GGGGG']","[32, 5, 2, 1, 1]"
63,5,"['raile', 'train', 'brain', 'grain', 'drain']","['YYYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[14, 3, 2, 1, 1]"
64,6,"['raile', 'tripe', 'crime', 'drive', 'urine', 'bribe']","['YXGXG', 'XGGXG', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[19, 7, 5, 3, 1, 1]"
65,5,"['raile', 'sooty', 'stock', 'stood', 'stout']","['XXXXX', 'GYGYX', 'GGGXX', 'GGGYX', 'GGGGG']","[173, 10, 4, 2, 2]"
66,3,"['raile', 'lapel', 'panel']","['XGXYY', 'YGYGG', 'GGGGG']","[11, 1, 1]"
67,5,"['raile', 'array', 'crank', 'crash', 'crass']","['YYXXX', 'YGYYX', 'GGGXX', 'GGGGX', 'GGGGG']","[91, 31, 4, 1, 1]"
68,4,"['raile', 'elope', 'flute', 'flume']","['XXXYG', 'YGXXG', 'GGGXG', 'GGGGG']","[23, 3, 2, 2]"
69,5,"['raile', 'allay', 'local', 'shoal', 'offal']","['XYXYX', 'YYYGX', 'YYXGG', 'XXYGG', 'GGGGG']","[64, 13, 2, 1, 1]"
70,3,"['raile', 'erase', 'agree']","['YYXXG', 'YYYXG', 'GGGGG']","[30, 3, 3]"
71,3,"['raile', 'freer', 'error']","['YXXXY', 'XGYYG', 'GGGGG']","[112, 1, 1]"
72,3,"['raile', 'flirt', 'swirl']","['YXGYX', 'XYGGX', 'GGGGG']","[4, 2, 2]"
73,3,"['raile', 'erase', 'argue']","['YYXXG', 'YGYXG', 'GGGGG']","[30, 1, 1]"
74,5,"['raile', 'level', 'fleet', 'sleep', 'bleed']","['XXXYY', 'YYXGY', 'XGGGX', 'XGGGX', 'GGGGG']","[49, 9, 4, 1, 1]"
75,3,"['raile', 'legal', 'delta']","['XYXYY', 'YGXYY', 'GGGGG']","[32, 1, 1]"
76,4,"['raile', 'clink', 'slick', 'flick']","['XXGYX', 'YGGXG', 'XGGGG', 'GGGGG']","[19, 2, 1, 1]"
77,4,"['raile', 'tenet', 'tweed', 'totem']","['XXXXY', 'GYXGY', 'GXYGX', 'GGGGG']","[104, 2, 1, 1]"
78,4,"['raile', 'freer', 'rower', 'wooer']","['YXXXY', 'XYYGG', 'YGYGG', 'GGGGG']","[112, 45, 1, 1]"
79,4,"['raile', 'error', 'crown', 'front']","['YXXXX', 'XGYYY', 'XGGXY', 'GGGGG']","[119, 25, 3, 3]"
80,4,"['raile', 'error', 'curry', 'shrub']","['YXXXX', 'XYGXY', 'XYGYX', 'GGGGG']","[119, 15, 4, 4]"
81,5,"['raile', 'marry', 'harry', 'carry', 'parry']","['YGXXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[26, 3, 2, 1, 1]"
82,4,"['raile', 'niece', 'midge', 'biome']","['XXYXG', 'XGYXG', 'YGXXG', 'GGGGG']","[23, 6, 1, 1]"
83,2,"['raile', 'lapel']","['XGXYY', 'GGGGG']","[11, 11]"
84,4,"['raile', 'array', 'shard', 'start']","['YYXXX', 'YYYYX', 'GXGGX', 'GGGGG']","[91, 21, 6, 6]"
85,5,"['raile', 'freer', 'green', 'greed', 'greet']","['YXXXY', 'XGGGY', 'GGGGX', 'GGGGX', 'GGGGG']","[112, 8, 2, 1, 1]"
86,9,"['raile', 'freer', 'rower', 'corer', 'boxer', 'poker', 'homer', 'voter', 'goner']","['YXXXY', 'XYYGG', 'YGXGG', 'XGYGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[112, 45, 12, 10, 8, 5, 2, 1, 1]"
87,4,"['raile', 'level', 'fleet', 'golem']","['XXXYY', 'YYXGY', 'XYYGX', 'GGGGG']","[49, 9, 1, 1]"
88,3,"['raile', 'sloop', 'lusty']","['XXXYX', 'YYXXX', 'GGGGG']","[66, 1, 1]"
89,3,"['raile', 'sloop', 'loopy']","['XXXYX', 'XYGYY', 'GGGGG']","[66, 1, 1]"
90,3,"['raile', 'rotor', 'round']","['GXXXX', 'GGXYY', 'GGGGG']","[12, 5, 5]"
91,3,"['raile', 'await', 'audit']","['XYYXX', 'GXYGG', 'GGGGG']","[25, 2, 2]"
92,3,"['raile', 'clink', 'lying']","['XXGYX', 'XYGGX', 'GGGGG']","[19, 1, 1]"
93,4,"['raile', 'tatty', 'mamma', 'gamma']","['XGXXX', 'XGXXX', 'YGGGG', 'GGGGG']","[85, 20, 1, 1]"
94,2,"['raile', 'labor']","['YGXYX', 'GGGGG']","[4, 4]"
95,4,"['raile', 'libel', 'inlet', 'islet']","['XXYYY', 'YYXGY', 'GXGGG', 'GGGGG']","[11, 2, 1, 1]"
96,3,"['raile', 'digit', 'civic']","['XXYXX', 'XGXGX', 'GGGGG']","[98, 3, 3]"
97,4,"['raile', 'erode', 'force', 'forge']","['YXXXG', 'YYYXG', 'GGGXG', 'GGGGG']","[58, 8, 2, 2]"
98,6,"['raile', 'error', 'worry', 'forty', 'horny', 'corny']","['YXXXX', 'XYGYY', 'XGGYG', 'XGGXG', 'XGGGG', 'GGGGG']","[119, 18, 3, 2, 1, 1]"
99,3,"['raile', 'dolly', 'moult']","['XXXGX', 'XGYGX', 'GGGGG']","[26, 1, 1]"
100,4,"['raile', 'mania', 'basis', 'basic']","['XGYXX', 'XGXGY', 'GGGGY', 'GGGGG']","[16, 6, 1, 1]"
101,3,"['raile', 'nasal', 'salad']","['XGXYX', 'XGYGY', 'GGGGG']","[22, 1, 1]"
102,4,"['raile', 'abase', 'awake', 'agate']","['XYXXG', 'GXGXG', 'GXGXG', 'GGGGG']","[43, 5, 4, 4]"
103,3,"['raile', 'stint', 'spicy']","['XXGXX', 'GXGXX', 'GGGGG']","[54, 5, 5]"
104,3,"['raile', 'array', 'spray']","['YYXXX', 'YYGGG', 'GGGGG']","[91, 3, 3]"
