,steps,words,feedback,ncands
0,4,"['raise', 'trail', 'circa', 'cigar']","['YYYXX', 'XYYYX', 'GGYYY', 'GGGGG']","[18, 3, 1, 1]"
1,6,"['raise', 'refer', 'reply', 'retro', 'recut', 'rebut']","['GXXXY', 'GGXYY', 'GGXXX', 'GGYYX', 'GGXGG', 'GGGGG']","[20, 8, 5, 2, 1, 1]"
2,5,"['raise', 'midst', 'kiosk', 'gipsy', 'sissy']","['XXYGX', 'XGXGX', 'XGXGX', 'XGXGG', 'GGGGG']","[6, 3, 2, 1, 1]"
3,4,"['raise', 'booty', 'cluck', 'humph']","['XXXXX', 'XXXXX', 'XXYXX', 'GGGGG']","[168, 19, 1, 1]"
4,3,"['raise', 'abate', 'awake']","['XYXXG', 'GXGXG', 'GGGGG']","[41, 4, 4]"
5,5,"['raise', 'slush', 'flush', 'plush', 'blush']","['XXXGX', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[17, 3, 2, 1, 1]"
6,5,"['raise', 'allay', 'local', 'vocal', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'XGGGG', 'GGGGG']","[92, 11, 2, 1, 1]"
7,4,"['raise', 'abate', 'leave', 'evade']","['XYXXG', 'YXGXG', 'XYGYG', 'GGGGG']","[41, 15, 1, 1]"
8,4,"['raise', 'tatty', 'canal', 'naval']","['XGXXX', 'XGXXX', 'XGYGG', 'GGGGG']","[91, 25, 1, 1]"
9,3,"['raise', 'score', 'serve']","['YXXYG', 'GXXYG', 'GGGGG']","[10, 3, 3]"
10,3,"['raise', 'legal', 'heath']","['XYXXY', 'XGXYX', 'GGGGG']","[69, 11, 11]"
11,4,"['raise', 'array', 'chard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[78, 14, 1, 1]"
12,3,"['raise', 'melee', 'model']","['XXXXY', 'GYYGY', 'GGGGG']","[121, 2, 2]"
13,3,"['raise', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[26, 1, 1]"
14,4,"['raise', 'stint', 'sting', 'stink']","['XXGYX', 'GGGGY', 'GGGGX', 'GGGGG']","[29, 2, 1, 1]"
15,3,"['raise', 'grace', 'grade']","['YYXXG', 'GGGXG', 'GGGGG']","[26, 5, 5]"
16,4,"['raise', 'deign', 'chief', 'quiet']","['XXGXY', 'XYGXX', 'XXGGX', 'GGGGG']","[15, 4, 1, 1]"
17,4,"['raise', 'melee', 'teeth', 'bench']","['XXXXY', 'XGXYY', 'XGYXG', 'GGGGG']","[121, 23, 2, 2]"
18,2,"['raise', 'abate']","['XYXXG', 'GGGGG']","[41, 41]"
19,3,"['raise', 'deign', 'feign']","['XXGXY', 'XGGGG', 'GGGGG']","[15, 1, 1]"
20,3,"['raise', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[26, 2, 2]"
21,4,"['raise', 'legal', 'heath', 'death']","['XYXXY', 'XGXYX', 'YGGGG', 'GGGGG']","[69, 11, 1, 1]"
22,3,"['raise', 'press', 'fresh']","['YXXGY', 'XGGGY', 'GGGGG']","[7, 3, 3]"
23,3,"['raise', 'truss', 'crust']","['YXXGX', 'YGGGY', 'GGGGG']","[13, 1, 1]"
24,6,"['raise', 'sooty', 'stout', 'stock', 'stood', 'stool']","['XXXYX', 'GYGYX', 'GGGXY', 'GGGXX', 'GGGGX', 'GGGGG']","[80, 11, 5, 4, 2, 2]"
