,steps,words,feedback,ncands
0,4,"['rales', 'array', 'vicar', 'cigar']","['YYXXX', 'YYYGX', 'XGYGG', 'GGGGG']","[80, 2, 1, 1]"
1,5,"['rales', 'revue', 'rerun', 'recur', 'rebut']","['GXXYX', 'GGXGY', 'GGYGX', 'GGXGY', 'GGGGG']","[17, 4, 3, 1, 1]"
2,2,"['rales', 'sissy']","['XXXXY', 'GGGGG']","[114, 114]"
3,4,"['rales', 'ponty', 'chump', 'humph']","['XXXXX', 'YXXXX', 'XYYYY', 'GGGGG']","[205, 2, 1, 1]"
4,3,"['rales', 'abate', 'awake']","['XYXYX', 'GXGXG', 'GGGGG']","[59, 4, 4]"
5,5,"['rales', 'slush', 'flush', 'plush', 'blush']","['XXYXY', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[31, 3, 2, 1, 1]"
6,6,"['rales', 'allay', 'total', 'local', 'vocal', 'focal']","['XYYXX', 'YYYGX', 'XGXGG', 'YGGGG', 'XGGGG', 'GGGGG']","[67, 14, 5, 2, 1, 1]"
7,6,"['rales', 'abate', 'peace', 'image', 'quake', 'evade']","['XYXYX', 'YXGXG', 'XYGXG', 'XXGXG', 'XXGXG', 'GGGGG']","[59, 9, 5, 3, 1, 1]"
8,3,"['rales', 'canal', 'naval']","['XGYXX', 'XGYGG', 'GGGGG']","[20, 2, 2]"
9,2,"['rales', 'serve']","['YXXYY', 'GGGGG']","[26, 26]"
10,4,"['rales', 'abate', 'death', 'heath']","['XYXYX', 'YXGGY', 'XGGGG', 'GGGGG']","[59, 3, 1, 1]"
11,4,"['rales', 'array', 'chard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[80, 14, 1, 1]"
12,4,"['rales', 'level', 'towel', 'model']","['XXYGX', 'YYXGG', 'XGXGG', 'GGGGG']","[30, 12, 1, 1]"
13,3,"['rales', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[28, 1, 1]"
14,5,"['rales', 'sissy', 'stint', 'sting', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGX', 'GGGGG']","[114, 17, 2, 1, 1]"
15,4,"['rales', 'erase', 'grace', 'grade']","['YYXYX', 'YGGXG', 'GGGXG', 'GGGGG']","[49, 19, 5, 5]"
16,3,"['rales', 'tenet', 'quiet']","['XXXGX', 'YYXGG', 'GGGGG']","[44, 5, 5]"
17,4,"['rales', 'eerie', 'teeth', 'bench']","['XXXYX', 'YGXXY', 'XGYXG', 'GGGGG']","[130, 26, 2, 2]"
18,2,"['rales', 'abate']","['XYXYX', 'GGGGG']","[59, 59]"
19,4,"['rales', 'eerie', 'being', 'feign']","['XXXYX', 'YGXYY', 'XGGYY', 'GGGGG']","[130, 6, 3, 3]"
20,3,"['rales', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[28, 2, 2]"
21,3,"['rales', 'abate', 'death']","['XYXYX', 'YXGGY', 'GGGGG']","[59, 3, 3]"
22,3,"['rales', 'serve', 'fresh']","['YXXYY', 'YYYXY', 'GGGGG']","[26, 3, 3]"
23,5,"['rales', 'short', 'first', 'trust', 'crust']","['YXXXY', 'YXXYG', 'XXYGG', 'YGGGG', 'GGGGG']","[43, 6, 3, 1, 1]"
24,4,"['rales', 'slush', 'spill', 'stool']","['XXYXY', 'GYXYX', 'GXXYG', 'GGGGG']","[31, 11, 2, 2]"
25,3,"['rales', 'filly', 'colon']","['XXGXX', 'XXGYX', 'GGGGG']","[30, 3, 3]"
26,5,"['rales', 'state', 'phase', 'cease', 'abase']","['XYXYY', 'YXGXG', 'XXGGG', 'XYGGG', 'GGGGG']","[35, 5, 2, 1, 1]"
27,2,"['rales', 'marry']","['YGXXX', 'GGGGG']","[28, 28]"
28,3,"['rales', 'reach', 'react']","['GYXYX', 'GGGGX', 'GGGGG']","[8, 1, 1]"
29,6,"['rales', 'canny', 'tatty', 'fatty', 'patty', 'batty']","['XGXXX', 'XGXXG', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[85, 15, 3, 2, 1, 1]"
30,7,"['rales', 'eerie', 'tripe', 'prize', 'prime', 'price', 'pride']","['YXXYX', 'YYYYG', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[92, 18, 4, 3, 2, 1, 1]"
31,4,"['rales', 'bliss', 'gloss', 'floss']","['XXYXG', 'XGXGG', 'XGGGG', 'GGGGG']","[5, 2, 1, 1]"
32,4,"['rales', 'belle', 'welch', 'helix']","['XXGYX', 'XGGYY', 'XGGXY', 'GGGGG']","[17, 4, 1, 1]"
33,5,"['rales', 'array', 'urban', 'friar', 'croak']","['YYXXX', 'YGYGX', 'XGXGX', 'XGXGY', 'GGGGG']","[80, 8, 3, 1, 1]"
34,3,"['rales', 'stash', 'staff']","['XYXXY', 'GGGYX', 'GGGGG']","[44, 7, 7]"
35,5,"['rales', 'rarer', 'eater', 'gayer', 'paper']","['YGXGX', 'YGYGG', 'YGXGG', 'XGXGG', 'GGGGG']","[21, 19, 11, 6, 6]"
