,steps,words,feedback,ncands
0,5,"['rates', 'array', 'lunar', 'vicar', 'cigar']","['YYXXX', 'YYYGX', 'XXXGG', 'XGYGG', 'GGGGG']","[77, 5, 2, 1, 1]"
1,4,"['rates', 'route', 'recut', 'rebut']","['GXYYX', 'GXYYY', 'GGXGG', 'GGGGG']","[5, 2, 1, 1]"
2,2,"['rates', 'sissy']","['XXXXY', 'GGGGG']","[94, 94]"
3,4,"['rates', 'doily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[227, 8, 1, 1]"
4,4,"['rates', 'leave', 'image', 'awake']","['XYXYX', 'XYGXG', 'XXGXG', 'GGGGG']","[81, 8, 3, 3]"
5,5,"['rates', 'sissy', 'flush', 'plush', 'blush']","['XXXXY', 'YXYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[94, 3, 2, 1, 1]"
6,4,"['rates', 'allay', 'final', 'focal']","['XYXXX', 'YYYGX', 'GXXGG', 'GGGGG']","[98, 8, 1, 1]"
7,3,"['rates', 'leave', 'evade']","['XYXYX', 'XYGYG', 'GGGGG']","[81, 1, 1]"
8,3,"['rates', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,2,"['rates', 'serve']","['YXXYY', 'GGGGG']","[21, 21]"
10,4,"['rates', 'elate', 'death', 'heath']","['XYYYX', 'YXGGY', 'XGGGG', 'GGGGG']","[30, 3, 1, 1]"
11,4,"['rates', 'array', 'chard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[77, 13, 1, 1]"
12,3,"['rates', 'level', 'model']","['XXXGX', 'YYXGG', 'GGGGG']","[56, 9, 9]"
13,3,"['rates', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[26, 1, 1]"
14,5,"['rates', 'stout', 'still', 'stick', 'stink']","['XXYXY', 'GGXXY', 'GGGXX', 'GGGXG', 'GGGGG']","[57, 5, 4, 1, 1]"
15,4,"['rates', 'erase', 'grave', 'grade']","['YYXYX', 'YGGXG', 'GGGXG', 'GGGGG']","[43, 14, 4, 4]"
16,4,"['rates', 'tweet', 'inlet', 'quiet']","['XXYGX', 'YXYGG', 'YXXGG', 'GGGGG']","[16, 8, 1, 1]"
17,5,"['rates', 'eerie', 'belly', 'begun', 'bench']","['XXXYX', 'YGXXY', 'GGXXX', 'GGXXY', 'GGGGG']","[147, 27, 3, 1, 1]"
18,5,"['rates', 'elate', 'ovate', 'agate', 'abate']","['XYYYX', 'YXGGG', 'XXGGG', 'GXGGG', 'GGGGG']","[30, 3, 2, 1, 1]"
19,4,"['rates', 'eerie', 'being', 'feign']","['XXXYX', 'YGXYY', 'XGGYY', 'GGGGG']","[147, 5, 3, 3]"
20,3,"['rates', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[26, 2, 2]"
21,3,"['rates', 'elate', 'death']","['XYYYX', 'YXGGY', 'GGGGG']","[30, 3, 3]"
22,3,"['rates', 'serve', 'fresh']","['YXXYY', 'YYYXY', 'GGGGG']","[21, 1, 1]"
23,4,"['rates', 'strut', 'trust', 'crust']","['YXYXY', 'YYYYG', 'YGGGG', 'GGGGG']","[20, 2, 1, 1]"
24,5,"['rates', 'stout', 'stock', 'stood', 'stool']","['XXYXY', 'GGGXY', 'GGGXX', 'GGGGX', 'GGGGG']","[57, 7, 5, 2, 2]"
25,3,"['rates', 'doily', 'colon']","['XXXXX', 'XGXYX', 'GGGGG']","[227, 2, 2]"
26,5,"['rates', 'shale', 'usage', 'cease', 'abase']","['XYXYY', 'YXGXG', 'XYGXG', 'XYGGG', 'GGGGG']","[28, 3, 2, 1, 1]"
27,2,"['rates', 'marry']","['YGXXX', 'GGGGG']","[26, 26]"
28,2,"['rates', 'react']","['GYYYX', 'GGGGG']","[1, 1]"
29,5,"['rates', 'tatty', 'fatty', 'patty', 'batty']","['XGGXX', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[17, 4, 3, 2, 2]"
30,6,"['rates', 'eerie', 'prime', 'prize', 'price', 'pride']","['YXXYX', 'YYYYG', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[71, 13, 3, 2, 1, 1]"
31,5,"['rates', 'mucus', 'bliss', 'gloss', 'floss']","['XXXXG', 'XXXXG', 'XGXGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 1, 1]"
32,5,"['rates', 'eerie', 'begin', 'devil', 'helix']","['XXXYX', 'YGXGY', 'XGXGX', 'XGXGY', 'GGGGG']","[147, 5, 3, 1, 1]"
33,5,"['rates', 'array', 'urban', 'friar', 'croak']","['YYXXX', 'YGYGX', 'XGXGX', 'XGXGY', 'GGGGG']","[77, 7, 2, 1, 1]"
34,3,"['rates', 'start', 'staff']","['XYYXY', 'GGGXY', 'GGGGG']","[24, 10, 10]"
35,3,"['rates', 'parer', 'paper']","['YGXGX', 'GGYGG', 'GGGGG']","[18, 3, 3]"
36,6,"['rates', 'level', 'money', 'queen', 'unwed', 'unfed']","['XXXGX', 'XYXGX', 'XXYGX', 'XYYGY', 'GGXGG', 'GGGGG']","[56, 23, 6, 2, 1, 1]"
37,4,"['rates', 'eerie', 'check', 'whelp']","['XXXYX', 'YYXXY', 'XGGXX', 'GGGGG']","[147, 6, 1, 1]"
38,5,"['rates', 'trait', 'track', 'tramp', 'trawl']","['YYYXX', 'GGGXY', 'GGGXX', 'GGGXX', 'GGGGG']","[20, 3, 2, 1, 1]"
39,3,"['rates', 'ditty', 'outdo']","['XXGXX', 'YXGYX', 'GGGGG']","[24, 1, 1]"
40,4,"['rates', 'leave', 'anime', 'adobe']","['XYXYX', 'XYYXG', 'GXXXG', 'GGGGG']","[81, 6, 3, 3]"
41,3,"['rates', 'array', 'crazy']","['YYXXX', 'YGYYG', 'GGGGG']","[77, 2, 2]"
42,6,"['rates', 'surer', 'skier', 'sheer', 'sewer', 'sower']","['YXXGY', 'GXYGG', 'GXXGG', 'GXYGG', 'GYGGG', 'GGGGG']","[19, 7, 6, 4, 1, 1]"
43,4,"['rates', 'rebar', 'relay', 'repay']","['GYXYX', 'GGXGY', 'GGXGG', 'GGGGG']","[12, 6, 1, 1]"
44,3,"['rates', 'tight', 'digit']","['XXYXX', 'YGGXG', 'GGGGG']","[75, 2, 2]"
45,3,"['rates', 'treat', 'crate']","['YYYYX', 'YGYYY', 'GGGGG']","[13, 3, 3]"
46,3,"['rates', 'doily', 'cluck']","['XXXXX', 'XXXYX', 'GGGGG']","[227, 14, 14]"
47,4,"['rates', 'sense', 'slice', 'spike']","['XXXYY', 'GYXYG', 'GXGXG', 'GGGGG']","[61, 14, 1, 1]"
48,4,"['rates', 'doily', 'cinch', 'mimic']","['XXXXX', 'XXYXX', 'YGXYX', 'GGGGG']","[227, 12, 1, 1]"
49,6,"['rates', 'doily', 'found', 'bound', 'mound', 'pound']","['XXXXX', 'YGXXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[227, 7, 5, 4, 3, 3]"
50,5,"['rates', 'manly', 'magic', 'mafia', 'maxim']","['XGXXX', 'GGXXX', 'GGXGX', 'GGXGY', 'GGGGG']","[66, 9, 2, 1, 1]"
51,3,"['rates', 'level', 'linen']","['XXXGX', 'GYXGY', 'GGGGG']","[56, 3, 3]"
52,4,"['rates', 'tweet', 'inlet', 'unmet']","['XXYGX', 'YXYGG', 'XGXGG', 'GGGGG']","[16, 8, 1, 1]"
53,3,"['rates', 'sense', 'flesh']","['XXXYY', 'YYXGY', 'GGGGG']","[61, 2, 2]"
54,4,"['rates', 'doily', 'bobby', 'booby']","['XXXXX', 'XGXXG', 'GGYGG', 'GGGGG']","[227, 9, 1, 1]"
55,5,"['rates', 'truth', 'north', 'worth', 'forth']","['YXYXX', 'YYXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[43, 6, 2, 1, 1]"
56,3,"['rates', 'strut', 'first']","['YXYXY', 'YYGXG', 'GGGGG']","[20, 2, 2]"
57,4,"['rates', 'start', 'staff', 'stand']","['XYYXY', 'GGGXY', 'GGGXX', 'GGGGG']","[24, 10, 9, 9]"
58,3,"['rates', 'eerie', 'belly']","['XXXYX', 'YGXXY', 'GGGGG']","[147, 27, 27]"
59,3,"['rates', 'error', 'ivory']","['YXXXX', 'XYYYY', 'GGGGG']","[108, 9, 9]"
60,3,"['rates', 'sense', 'seedy']","['XXXYY', 'GGXYY', 'GGGGG']","[61, 1, 1]"
61,4,"['rates', 'truth', 'front', 'print']","['YXYXX', 'YGXYX', 'XGXGG', 'GGGGG']","[43, 6, 1, 1]"
62,6,"['rates', 'erase', 'heard', 'pearl', 'weary', 'yearn']","['YYXYX', 'YYGXY', 'XGGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[43, 6, 4, 2, 1, 1]"
63,4,"['rates', 'array', 'drawn', 'drain']","['YYXXX', 'YGYYX', 'GGGXG', 'GGGGG']","[77, 25, 1, 1]"
64,6,"['rates', 'eerie', 'prime', 'drive', 'urine', 'bribe']","['YXXYX', 'YYYYG', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[71, 13, 5, 3, 1, 1]"
65,2,"['rates', 'stout']","['XXYXY', 'GGGGG']","[57, 57]"
66,3,"['rates', 'lapel', 'panel']","['XGXGX', 'YGYGG', 'GGGGG']","[15, 1, 1]"
67,4,"['rates', 'grass', 'brass', 'crass']","['YYXXG', 'XGGGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
68,5,"['rates', 'eerie', 'gouge', 'plume', 'flume']","['XXXYX', 'YYXXG', 'XXGXG', 'XGGGG', 'GGGGG']","[147, 35, 3, 1, 1]"
69,4,"['rates', 'allay', 'final', 'offal']","['XYXXX', 'YYYGX', 'YXXGG', 'GGGGG']","[98, 8, 1, 1]"
70,3,"['rates', 'amber', 'agree']","['YYXGX', 'GXXGY', 'GGGGG']","[4, 1, 1]"
71,3,"['rates', 'eerie', 'error']","['YXXYX', 'GYGXY', 'GGGGG']","[71, 1, 1]"
72,3,"['rates', 'sorry', 'swirl']","['YXXXY', 'GXYGX', 'GGGGG']","[26, 5, 5]"
73,3,"['rates', 'erase', 'argue']","['YYXYX', 'YGYXG', 'GGGGG']","[43, 1, 1]"
74,3,"['rates', 'level', 'bleed']","['XXXGX', 'YYXGY', 'GGGGG']","[56, 6, 6]"
75,3,"['rates', 'elate', 'delta']","['XYYYX', 'YYYGY', 'GGGGG']","[30, 1, 1]"
76,4,"['rates', 'doily', 'cliff', 'flick']","['XXXXX', 'XXGYX', 'YGGYY', 'GGGGG']","[227, 9, 1, 1]"
77,4,"['rates', 'often', 'hotel', 'totem']","['XXGGX', 'YXGGX', 'XGGGX', 'GGGGG']","[6, 3, 1, 1]"
78,4,"['rates', 'freer', 'rover', 'wooer']","['YXXGX', 'XYYGG', 'YGXGG', 'GGGGG']","[83, 47, 11, 11]"
79,3,"['rates', 'truth', 'front']","['YXYXX', 'YGXYX', 'GGGGG']","[43, 6, 6]"
