,steps,words,feedback,ncands
0,5,"['soare', 'radar', 'lunar', 'vicar', 'cigar']","['XXYYX', 'YYXGG', 'XXXGG', 'XGYGG', 'GGGGG']","[42, 6, 4, 1, 1]"
1,6,"['soare', 'refer', 'reign', 'reply', 'recut', 'rebut']","['XXXYY', 'GGXYY', 'GGXXX', 'GGXXX', 'GGXGG', 'GGGGG']","[117, 9, 5, 3, 1, 1]"
2,4,"['soare', 'stink', 'silly', 'sissy']","['GXXXX', 'GXYXX', 'GGXXG', 'GGGGG']","[63, 4, 1, 1]"
3,4,"['soare', 'hilly', 'hutch', 'humph']","['XXXXX', 'GXXXX', 'GGXXG', 'GGGGG']","[183, 3, 1, 1]"
4,3,"['soare', 'elate', 'awake']","['XXGXG', 'YXGXG', 'GGGGG']","[28, 12, 12]"
5,5,"['soare', 'hussy', 'flush', 'plush', 'blush']","['YXXXX', 'YYYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[33, 3, 2, 1, 1]"
6,4,"['soare', 'local', 'vocal', 'focal']","['XGYXX', 'YGGGG', 'XGGGG', 'GGGGG']","[21, 2, 1, 1]"
7,3,"['soare', 'elate', 'evade']","['XXGXG', 'GXGXG', 'GGGGG']","[28, 1, 1]"
8,3,"['soare', 'canal', 'naval']","['XXYXX', 'XGYGG', 'GGGGG']","[138, 2, 2]"
9,2,"['soare', 'serve']","['GXXYG', 'GGGGG']","[4, 4]"
10,4,"['soare', 'leach', 'death', 'heath']","['XXGXY', 'XGGXG', 'XGGGG', 'GGGGG']","[21, 2, 1, 1]"
11,3,"['soare', 'award', 'dwarf']","['XXGGX', 'YGGGY', 'GGGGG']","[13, 1, 1]"
12,3,"['soare', 'novel', 'model']","['XGXXY', 'XGXGG', 'GGGGG']","[26, 6, 6]"
13,4,"['soare', 'radar', 'march', 'karma']","['XXYYX', 'YGXYY', 'YGGXX', 'GGGGG']","[42, 7, 1, 1]"
14,2,"['soare', 'stink']","['GXXXX', 'GGGGG']","[63, 63]"
15,3,"['soare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
16,4,"['soare', 'tenet', 'fleet', 'quiet']","['XXXXY', 'YYXGG', 'XXYGG', 'GGGGG']","[120, 4, 2, 2]"
17,3,"['soare', 'tenet', 'bench']","['XXXXY', 'XGGYX', 'GGGGG']","[120, 4, 4]"
18,4,"['soare', 'elate', 'agate', 'abate']","['XXGXG', 'YXGGG', 'GXGGG', 'GGGGG']","[28, 2, 1, 1]"
19,4,"['soare', 'tenet', 'being', 'feign']","['XXXXY', 'XGYYX', 'XGGYY', 'GGGGG']","[120, 8, 3, 3]"
20,3,"['soare', 'arbor', 'major']","['XYYYX', 'YYXGG', 'GGGGG']","[27, 7, 7]"
21,3,"['soare', 'leach', 'death']","['XXGXY', 'XGGXG', 'GGGGG']","[21, 2, 2]"
22,4,"['soare', 'riser', 'press', 'fresh']","['YXXYY', 'YXYYY', 'XGGGY', 'GGGGG']","[15, 6, 3, 3]"
23,3,"['soare', 'truss', 'crust']","['YXXYX', 'YGGGY', 'GGGGG']","[16, 1, 1]"
24,4,"['soare', 'stoop', 'stood', 'stool']","['GYXXX', 'GGGGX', 'GGGGX', 'GGGGG']","[37, 2, 1, 1]"
25,5,"['soare', 'booty', 'couch', 'comic', 'colon']","['XGXXX', 'XGYXX', 'GGXYX', 'GGXXY', 'GGGGG']","[87, 24, 4, 2, 2]"
26,4,"['soare', 'phase', 'lease', 'abase']","['YXGXG', 'XXGGG', 'XYGGG', 'GGGGG']","[7, 4, 1, 1]"
27,4,"['soare', 'harry', 'carry', 'marry']","['XXYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 2]"
28,3,"['soare', 'reach', 'react']","['XXGYY', 'GGGGX', 'GGGGG']","[4, 1, 1]"
29,6,"['soare', 'canal', 'tatty', 'fatty', 'patty', 'batty']","['XXYXX', 'XGXYX', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[138, 26, 3, 2, 1, 1]"
30,5,"['soare', 'prime', 'prize', 'price', 'pride']","['XXXYG', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[39, 3, 2, 1, 1]"
31,4,"['soare', 'ghost', 'kiosk', 'floss']","['YYXXX', 'XXGGX', 'XXGGX', 'GGGGG']","[7, 2, 1, 1]"
