,steps,words,feedback,ncands
0,5,"['tares', 'drama', 'royal', 'vicar', 'cigar']","['XYYXX', 'XYYXY', 'YXXGX', 'XGYGG', 'GGGGG']","[70, 10, 2, 1, 1]"
1,5,"['tares', 'retro', 'remit', 'recut', 'rebut']","['YXYYX', 'GGYYX', 'GGXXG', 'GGXGG', 'GGGGG']","[19, 4, 2, 1, 1]"
2,2,"['tares', 'sissy']","['XXXXY', 'GGGGG']","[94, 94]"
3,4,"['tares', 'doily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[227, 8, 1, 1]"
4,4,"['tares', 'leave', 'image', 'awake']","['XYXYX', 'XYGXG', 'XXGXG', 'GGGGG']","[81, 8, 3, 3]"
5,5,"['tares', 'sissy', 'flush', 'plush', 'blush']","['XXXXY', 'YXYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[94, 3, 2, 1, 1]"
6,4,"['tares', 'allay', 'final', 'focal']","['XYXXX', 'YYYGX', 'GXXGG', 'GGGGG']","[98, 8, 1, 1]"
7,3,"['tares', 'leave', 'evade']","['XYXYX', 'XYGYG', 'GGGGG']","[81, 1, 1]"
8,3,"['tares', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,3,"['tares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[11, 1, 1]"
10,4,"['tares', 'elate', 'death', 'heath']","['YYXYX', 'YXGGY', 'XGGGG', 'GGGGG']","[30, 3, 1, 1]"
11,3,"['tares', 'drama', 'dwarf']","['XYYXX', 'GYGXY', 'GGGGG']","[70, 2, 2]"
12,3,"['tares', 'level', 'model']","['XXXGX', 'YYXGG', 'GGGGG']","[56, 9, 9]"
13,5,"['tares', 'harry', 'baron', 'larva', 'karma']","['XGGXX', 'XGGYX', 'XGGXX', 'XGGXG', 'GGGGG']","[13, 6, 3, 2, 2]"
14,5,"['tares', 'stout', 'still', 'stick', 'stink']","['YXXXY', 'GGXXY', 'GGGXX', 'GGGXG', 'GGGGG']","[55, 5, 4, 1, 1]"
15,4,"['tares', 'rearm', 'grave', 'grade']","['XYYYX', 'YYGYX', 'GGGXG', 'GGGGG']","[54, 13, 4, 4]"
16,4,"['tares', 'octet', 'fleet', 'quiet']","['YXXGX', 'XXYGG', 'XXYGG', 'GGGGG']","[14, 7, 4, 4]"
17,5,"['tares', 'eerie', 'belly', 'begun', 'bench']","['XXXYX', 'YGXXY', 'GGXXX', 'GGXXY', 'GGGGG']","[147, 27, 3, 1, 1]"
18,5,"['tares', 'elate', 'ovate', 'agate', 'abate']","['YYXYX', 'YXGGG', 'XXGGG', 'GXGGG', 'GGGGG']","[30, 3, 2, 1, 1]"
