,steps,words,feedback,ncands
0,4,"['tores', 'briar', 'vicar', 'cigar']","['XXYXX', 'XYYGG', 'XGYGG', 'GGGGG']","[97, 2, 1, 1]"
1,5,"['tores', 'erect', 'heart', 'remit', 'rebut']","['YXYYX', 'YYYXG', 'XGXYG', 'GGXXG', 'GGGGG']","[23, 4, 3, 1, 1]"
2,3,"['tores', 'sassy', 'sissy']","['XXXXY', 'GXGGG', 'GGGGG']","[120, 1, 1]"
3,4,"['tores', 'canny', 'fluid', 'humph']","['XXXXX', 'XXXXX', 'XXYXX', 'GGGGG']","[246, 17, 1, 1]"
4,5,"['tores', 'melee', 'niece', 'gauge', 'awake']","['XXXYX', 'XYXYG', 'XXYXG', 'XYXXG', 'GGGGG']","[196, 39, 14, 2, 2]"
5,5,"['tores', 'sassy', 'flush', 'plush', 'blush']","['XXXXY', 'YXYGX', 'XGGGG', 'XGGGG', 'GGGGG']","[120, 4, 2, 1, 1]"
6,5,"['tores', 'wooly', 'local', 'vocal', 'focal']","['XGXXX', 'XGYYX', 'YGGGG', 'XGGGG', 'GGGGG']","[79, 11, 2, 1, 1]"
7,6,"['tores', 'melee', 'niece', 'gauge', 'awake', 'evade']","['XXXYX', 'XYXYG', 'XXYXG', 'XYXXG', 'YXGXG', 'GGGGG']","[196, 39, 14, 2, 1, 1]"
8,3,"['tores', 'canny', 'naval']","['XXXXX', 'XGYYX', 'GGGGG']","[246, 2, 2]"
9,2,"['tores', 'serve']","['XXGYY', 'GGGGG']","[9, 9]"
10,4,"['tores', 'elate', 'death', 'heath']","['YXXYX', 'YXGGY', 'XGGGG', 'GGGGG']","[69, 3, 1, 1]"
11,4,"['tores', 'briar', 'award', 'dwarf']","['XXYXX', 'XYXYY', 'YGGGY', 'GGGGG']","[97, 13, 1, 1]"
12,3,"['tores', 'woven', 'model']","['XGXGX', 'XGXGX', 'GGGGG']","[19, 5, 5]"
13,4,"['tores', 'carry', 'larva', 'karma']","['XXGXX', 'XGGYX', 'XGGXG', 'GGGGG']","[29, 3, 2, 2]"
14,4,"['tores', 'stint', 'sting', 'stink']","['YXXXY', 'GGGGY', 'GGGGX', 'GGGGG']","[58, 2, 1, 1]"
15,4,"['tores', 'rearm', 'grave', 'grade']","['XXYYX', 'YYGYX', 'GGGXG', 'GGGGG']","[93, 13, 4, 4]"
16,3,"['tores', 'fleet', 'quiet']","['YXXGX', 'XXYGG', 'GGGGG']","[13, 5, 5]"
17,5,"['tores', 'melee', 'beech', 'beach', 'bench']","['XXXYX', 'XGXYY', 'GGYGG', 'GGXGG', 'GGGGG']","[196, 26, 2, 1, 1]"
18,4,"['tores', 'elate', 'agate', 'abate']","['YXXYX', 'YXGGG', 'GXGGG', 'GGGGG']","[69, 2, 1, 1]"
19,6,"['tores', 'melee', 'beech', 'penny', 'vegan', 'feign']","['XXXYX', 'XGXYY', 'XGYXX', 'XGYYX', 'XGYXG', 'GGGGG']","[196, 26, 4, 3, 2, 2]"
20,4,"['tores', 'brood', 'razor', 'major']","['XYYXX', 'XYYGX', 'YGXGG', 'GGGGG']","[74, 13, 6, 6]"
21,3,"['tores', 'elate', 'death']","['YXXYX', 'YXGGY', 'GGGGG']","[69, 3, 3]"
22,3,"['tores', 'spare', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[18, 2, 2]"
23,3,"['tores', 'start', 'crust']","['YXYXY', 'YYXYG', 'GGGGG']","[12, 2, 2]"
24,5,"['tores', 'stout', 'stock', 'stood', 'stool']","['YYXXY', 'GGGXY', 'GGGXX', 'GGGGX', 'GGGGG']","[17, 7, 5, 2, 2]"
25,4,"['tores', 'wooly', 'local', 'colon']","['XGXXX', 'XGYYX', 'YGYXY', 'GGGGG']","[79, 11, 1, 1]"
26,5,"['tores', 'sense', 'pause', 'chase', 'abase']","['XXXYY', 'YYXGG', 'XYXGG', 'XXGGG', 'GGGGG']","[72, 12, 2, 1, 1]"
27,4,"['tores', 'carry', 'harry', 'marry']","['XXGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[29, 3, 2, 2]"
28,3,"['tores', 'erect', 'react']","['YXYYX', 'YYYGG', 'GGGGG']","[23, 1, 1]"
29,5,"['tores', 'tatty', 'fatty', 'patty', 'batty']","['YXXXX', 'YGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[87, 4, 3, 2, 2]"
30,3,"['tores', 'rearm', 'pride']","['XXYYX', 'YYXYX', 'GGGGG']","[93, 14, 14]"
31,4,"['tores', 'chaos', 'gloss', 'floss']","['XYXXG', 'XXXYG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
32,5,"['tores', 'melee', 'delay', 'welch', 'helix']","['XXXYX', 'XGGYY', 'XGGXX', 'XGGXY', 'GGGGG']","[196, 7, 3, 1, 1]"
33,6,"['tores', 'brood', 'grown', 'proxy', 'aroma', 'croak']","['XYYXX', 'XGGYX', 'XGGXX', 'XGGXX', 'YGGXY', 'GGGGG']","[74, 18, 6, 4, 1, 1]"
34,4,"['tores', 'stint', 'study', 'staff']","['YXXXY', 'GGXXY', 'GGXXX', 'GGGGG']","[58, 10, 6, 6]"
35,5,"['tores', 'freer', 'rarer', 'eager', 'paper']","['XXYGX', 'XYYGG', 'YGYGG', 'YGXGG', 'GGGGG']","[94, 52, 15, 9, 9]"
