,steps,words,feedback,ncands
0,3,"['arles', 'carry', 'cigar']","['YYXXX', 'GYYYX', 'GGGGG']","[65, 2, 2]"
1,4,"['arles', 'eerie', 'recur', 'rebut']","['XYXYX', 'YGYXY', 'GGXGY', 'GGGGG']","[64, 13, 1, 1]"
2,2,"['arles', 'sissy']","['XXXXY', 'GGGGG']","[114, 114]"
3,3,"['arles', 'ponty', 'humph']","['XXXXX', 'YXXXX', 'GGGGG']","[205, 2, 2]"
4,4,"['arles', 'abate', 'agape', 'awake']","['GXXYX', 'GXGXG', 'GXGXG', 'GGGGG']","[19, 4, 2, 2]"
5,3,"['arles', 'slush', 'blush']","['XXYXY', 'YGGGG', 'GGGGG']","[31, 3, 3]"
6,4,"['arles', 'canal', 'local', 'focal']","['YXYXX', 'YYXGG', 'YGGGG', 'GGGGG']","[68, 4, 2, 2]"
7,3,"['arles', 'heave', 'evade']","['YXXYX', 'XYGYG', 'GGGGG']","[56, 2, 2]"
8,3,"['arles', 'canal', 'naval']","['YXYXX', 'XGYGG', 'GGGGG']","[68, 2, 2]"
9,3,"['arles', 'sense', 'serve']","['XYXYY', 'GGXYG', 'GGGGG']","[26, 1, 1]"
10,3,"['arles', 'heave', 'heath']","['YXXYX', 'GGGXY', 'GGGGG']","[56, 2, 2]"
11,4,"['arles', 'carry', 'guard', 'dwarf']","['YYXXX', 'XYYGX', 'XXGGY', 'GGGGG']","[65, 9, 1, 1]"
12,4,"['arles', 'level', 'towel', 'model']","['XXYGX', 'YYXGG', 'XGXGG', 'GGGGG']","[30, 12, 1, 1]"
13,3,"['arles', 'carry', 'karma']","['YYXXX', 'XGGYX', 'GGGGG']","[65, 4, 4]"
14,4,"['arles', 'sissy', 'stint', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGG']","[114, 17, 2, 2]"
15,3,"['arles', 'grace', 'grade']","['YGXYX', 'GGGXG', 'GGGGG']","[30, 5, 5]"
16,4,"['arles', 'tenet', 'covet', 'quiet']","['XXXGX', 'YYXGG', 'XXXGG', 'GGGGG']","[44, 5, 1, 1]"
