,steps,words,feedback,ncands
0,3,"['arose', 'carry', 'cigar']","['YYXXX', 'GYYYX', 'GGGGG']","[55, 2, 2]"
1,4,"['arose', 'refer', 'retry', 'rebut']","['XYXXY', 'GGXYY', 'GGYYX', 'GGGGG']","[103, 10, 3, 3]"
2,2,"['arose', 'sissy']","['XXXGX', 'GGGGG']","[17, 17]"
3,4,"['arose', 'hilly', 'hutch', 'humph']","['XXXXX', 'GXXXX', 'GGXXG', 'GGGGG']","[183, 3, 1, 1]"
4,3,"['arose', 'agate', 'awake']","['GXXXG', 'GXGXG', 'GGGGG']","[18, 2, 2]"
5,3,"['arose', 'sissy', 'blush']","['XXXGX', 'YXYGX', 'GGGGG']","[17, 3, 3]"
6,4,"['arose', 'cocoa', 'local', 'focal']","['YXYXX', 'YGGYY', 'YGGGG', 'GGGGG']","[44, 3, 2, 2]"
7,3,"['arose', 'leave', 'evade']","['YXXXG', 'XYGYG', 'GGGGG']","[50, 1, 1]"
8,3,"['arose', 'canal', 'naval']","['YXXXX', 'XGYGG', 'GGGGG']","[148, 2, 2]"
9,3,"['arose', 'spree', 'serve']","['XYXYG', 'GXGYG', 'GGGGG']","[6, 2, 2]"
10,3,"['arose', 'legal', 'heath']","['YXXXY', 'XGXYX', 'GGGGG']","[78, 12, 12]"
11,4,"['arose', 'carry', 'tiara', 'dwarf']","['YYXXX', 'XYYGX', 'XXGGY', 'GGGGG']","[55, 8, 4, 4]"
12,4,"['arose', 'doven', 'modem', 'model']","['XXYXY', 'YGXGX', 'GGGGY', 'GGGGG']","[47, 2, 1, 1]"
13,3,"['arose', 'carry', 'karma']","['YYXXX', 'XGGYX', 'GGGGG']","[55, 3, 3]"
14,4,"['arose', 'sissy', 'stint', 'stink']","['XXXYX', 'GYYYX', 'GGGGY', 'GGGGG']","[79, 24, 2, 2]"
15,3,"['arose', 'grace', 'grade']","['YGXXG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
16,4,"['arose', 'tenet', 'fleet', 'quiet']","['XXXXY', 'YYXGG', 'XXYGG', 'GGGGG']","[120, 4, 2, 2]"
17,3,"['arose', 'tenet', 'bench']","['XXXXY', 'XGGYX', 'GGGGG']","[120, 4, 4]"
18,3,"['arose', 'agate', 'abate']","['GXXXG', 'GXGGG', 'GGGGG']","[18, 1, 1]"
19,4,"['arose', 'tenet', 'deign', 'feign']","['XXXXY', 'XGYYX', 'XGGGG', 'GGGGG']","[120, 8, 1, 1]"
20,3,"['arose', 'razor', 'major']","['YYYXX', 'YGXGG', 'GGGGG']","[28, 7, 7]"
21,4,"['arose', 'legal', 'heath', 'death']","['YXXXY', 'XGXYX', 'YGGGG', 'GGGGG']","[78, 12, 1, 1]"
22,3,"['arose', 'cress', 'fresh']","['XGXGY', 'XGGGY', 'GGGGG']","[6, 2, 2]"
23,3,"['arose', 'truss', 'crust']","['XGXGX', 'YGGGY', 'GGGGG']","[11, 1, 1]"
24,3,"['arose', 'stoop', 'stool']","['XXGYX', 'GGGGX', 'GGGGG']","[36, 2, 2]"
25,3,"['arose', 'condo', 'colon']","['XXYXX', 'GGYXY', 'GGGGG']","[104, 2, 2]"
26,3,"['arose', 'abuse', 'abase']","['GXXGG', 'GGXGG', 'GGGGG']","[3, 1, 1]"
27,3,"['arose', 'carry', 'marry']","['YYXXX', 'XGGGG', 'GGGGG']","[55, 3, 3]"
28,4,"['arose', 'rarer', 'relay', 'react']","['YYXXY', 'GYYYY', 'GGXYX', 'GGGGG']","[60, 12, 3, 3]"
29,4,"['arose', 'canal', 'tatty', 'batty']","['YXXXX', 'XGXYX', 'YGGGG', 'GGGGG']","[148, 26, 3, 3]"
30,2,"['arose', 'pride']","['XGXXG', 'GGGGG']","[24, 24]"
31,3,"['arose', 'gloss', 'floss']","['XXGGX', 'XGGGG', 'GGGGG']","[6, 1, 1]"
32,4,"['arose', 'tenet', 'beech', 'helix']","['XXXXY', 'XGXYX', 'XGYXY', 'GGGGG']","[120, 15, 1, 1]"
33,2,"['arose', 'croak']","['YGGXX', 'GGGGG']","[3, 3]"
34,5,"['arose', 'sassy', 'stalk', 'staid', 'staff']","['YXXYX', 'GYYYX', 'GGGXX', 'GGGXX', 'GGGGG']","[67, 38, 5, 2, 2]"
35,6,"['arose', 'rarer', 'rarer', 'eater', 'gayer', 'paper']","['YYXXY', 'YGYGG', 'YGYGG', 'YGXGG', 'XGXGG', 'GGGGG']","[60, 24, 24, 15, 8, 8]"
36,4,"['arose', 'tenet', 'kneed', 'unfed']","['XXXXY', 'XYYGX', 'XGYGG', 'GGGGG']","[120, 12, 2, 2]"
37,5,"['arose', 'tenet', 'field', 'quell', 'whelp']","['XXXXY', 'XYXYX', 'XXGGX', 'XXGGY', 'GGGGG']","[120, 11, 2, 1, 1]"
38,4,"['arose', 'train', 'tract', 'trawl']","['YGXXX', 'GGGXX', 'GGGXY', 'GGGGG']","[43, 4, 2, 2]"
39,3,"['arose', 'condo', 'outdo']","['XXYXX', 'XYXGG', 'GGGGG']","[104, 1, 1]"
40,3,"['arose', 'abode', 'adobe']","['GXGXG', 'GYGYG', 'GGGGG']","[7, 1, 1]"
41,5,"['arose', 'train', 'crawl', 'crack', 'crazy']","['YGXXX', 'XGGXX', 'GGGXX', 'GGGYX', 'GGGGG']","[43, 11, 3, 2, 2]"
42,2,"['arose', 'sower']","['XYYYY', 'GGGGG']","[4, 4]"
43,4,"['arose', 'rarer', 'relay', 'repay']","['YYXXY', 'GYYYY', 'GGXGG', 'GGGGG']","[60, 12, 1, 1]"
44,4,"['arose', 'hilly', 'mimic', 'digit']","['XXXXX', 'XGXXX', 'XGXGX', 'GGGGG']","[183, 6, 2, 2]"
45,3,"['arose', 'grace', 'crate']","['YGXXG', 'XGGYG', 'GGGGG']","[19, 4, 4]"
46,4,"['arose', 'hilly', 'plunk', 'cluck']","['XXXXX', 'XXYYX', 'XGGXG', 'GGGGG']","[183, 12, 1, 1]"
47,4,"['arose', 'seize', 'spine', 'spike']","['XXXYG', 'GYGXG', 'GGGXG', 'GGGGG']","[24, 14, 3, 3]"
48,3,"['arose', 'hilly', 'mimic']","['XXXXX', 'XGXXX', 'GGGGG']","[183, 6, 6]"
49,4,"['arose', 'condo', 'wound', 'pound']","['XXYXX', 'XGYYY', 'XGGGG', 'GGGGG']","[104, 8, 5, 5]"
50,5,"['arose', 'canal', 'tatty', 'mamma', 'maxim']","['YXXXX', 'XGXYX', 'XGXXX', 'GGYYY', 'GGGGG']","[148, 26, 7, 1, 1]"
51,3,"['arose', 'tenet', 'linen']","['XXXXY', 'XYGGX', 'GGGGG']","[120, 2, 2]"
52,3,"['arose', 'tenet', 'unmet']","['XXXXY', 'YYYGG', 'GGGGG']","[120, 2, 2]"
53,3,"['arose', 'guess', 'flesh']","['XXXGY', 'XXGGY', 'GGGGG']","[10, 2, 2]"
54,3,"['arose', 'booty', 'booby']","['XXGXX', 'GGGXG', 'GGGGG']","[39, 2, 2]"
55,3,"['arose', 'rotor', 'forth']","['XYYXX', 'YGYYY', 'GGGGG']","[49, 6, 6]"
56,2,"['arose', 'first']","['XYXGX', 'GGGGG']","[2, 2]"
57,5,"['arose', 'sassy', 'stalk', 'staid', 'stand']","['YXXYX', 'GYYYX', 'GGGXX', 'GGGXG', 'GGGGG']","[67, 38, 5, 1, 1]"
58,4,"['arose', 'tenet', 'beech', 'belly']","['XXXXY', 'XGXYX', 'GGYXX', 'GGGGG']","[120, 15, 1, 1]"
59,3,"['arose', 'floor', 'ivory']","['XYGXX', 'XXGYY', 'GGGGG']","[9, 4, 4]"
60,4,"['arose', 'sleet', 'speck', 'seedy']","['XXXYY', 'GXGYX', 'GXGXX', 'GGGGG']","[44, 4, 1, 1]"
61,4,"['arose', 'drink', 'bring', 'print']","['XGXXX', 'XGGGX', 'XGGGX', 'GGGGG']","[37, 4, 1, 1]"
62,4,"['arose', 'rarer', 'teary', 'yearn']","['YYXXY', 'YYYYY', 'XGGGY', 'GGGGG']","[60, 10, 1, 1]"
63,3,"['arose', 'train', 'drain']","['YGXXX', 'XGGGG', 'GGGGG']","[43, 3, 3]"
64,5,"['arose', 'pride', 'trite', 'brine', 'bribe']","['XGXXG', 'XGGXG', 'XGGXG', 'GGGXG', 'GGGGG']","[24, 9, 5, 1, 1]"
65,3,"['arose', 'stoop', 'stout']","['XXGYX', 'GGGYX', 'GGGGG']","[36, 4, 4]"
66,3,"['arose', 'legal', 'panel']","['YXXXY', 'YYXYG', 'GGGGG']","[78, 5, 5]"
67,2,"['arose', 'crass']","['YGXGX', 'GGGGG']","[7, 7]"
68,3,"['arose', 'melee', 'flume']","['XXXXG', 'YYYYG', 'GGGGG']","[79, 2, 2]"
69,4,"['arose', 'cocoa', 'mango', 'offal']","['YXYXX', 'XYXYY', 'XYXXY', 'GGGGG']","[44, 7, 1, 1]"
70,3,"['arose', 'aware', 'agree']","['GYXXG', 'GXYYG', 'GGGGG']","[4, 1, 1]"
71,2,"['arose', 'error']","['XGYXY', 'GGGGG']","[3, 3]"
72,4,"['arose', 'sirup', 'shirk', 'swirl']","['XYXYX', 'GYYXX', 'GXGGX', 'GGGGG']","[21, 5, 1, 1]"
73,2,"['arose', 'argue']","['GGXXG', 'GGGGG']","[1, 1]"
74,3,"['arose', 'tenet', 'bleed']","['XXXXY', 'XYXGX', 'GGGGG']","[120, 15, 15]"
75,4,"['arose', 'legal', 'fella', 'delta']","['YXXXY', 'YGXYY', 'XGGYG', 'GGGGG']","[78, 4, 1, 1]"
76,4,"['arose', 'hilly', 'clink', 'flick']","['XXXXX', 'XYYYX', 'YGGXG', 'GGGGG']","[183, 17, 1, 1]"
77,4,"['arose', 'doven', 'motel', 'totem']","['XXYXY', 'XGXGX', 'YGGGX', 'GGGGG']","[47, 7, 1, 1]"
78,2,"['arose', 'wooer']","['XYGXY', 'GGGGG']","[1, 1]"
79,5,"['arose', 'drool', 'grown', 'irony', 'front']","['XGGXX', 'XGGYX', 'XGGXY', 'XGGGX', 'GGGGG']","[38, 19, 3, 1, 1]"
80,3,"['arose', 'sirup', 'shrub']","['XYXYX', 'GXGGX', 'GGGGG']","[21, 5, 5]"
81,4,"['arose', 'carry', 'marry', 'parry']","['YYXXX', 'XGGGG', 'XGGGG', 'GGGGG']","[55, 3, 2, 2]"
82,4,"['arose', 'elope', 'booze', 'biome']","['XXGXG', 'YXGXG', 'GYGXG', 'GGGGG']","[16, 7, 1, 1]"
83,3,"['arose', 'legal', 'lapel']","['YXXXY', 'GYXYG', 'GGGGG']","[78, 2, 2]"
84,2,"['arose', 'start']","['YYXYX', 'GGGGG']","[21, 21]"
85,4,"['arose', 'creed', 'green', 'greet']","['XGXXY', 'XGGGX', 'GGGGX', 'GGGGG']","[28, 4, 1, 1]"
86,6,"['arose', 'rower', 'corer', 'hover', 'poker', 'goner']","['XYYXY', 'YGXGG', 'XGYGG', 'XGXGG', 'XGXGG', 'GGGGG']","[34, 12, 10, 5, 3, 3]"
87,4,"['arose', 'doven', 'motel', 'golem']","['XXYXY', 'XGXGX', 'YGXGY', 'GGGGG']","[47, 7, 1, 1]"
88,4,"['arose', 'sissy', 'musty', 'lusty']","['XXXYX', 'YXGYG', 'XGGGG', 'GGGGG']","[79, 10, 3, 3]"
89,4,"['arose', 'booty', 'woody', 'loopy']","['XXGXX', 'XGGXG', 'XGGXG', 'GGGGG']","[39, 7, 2, 2]"
90,3,"['arose', 'rotor', 'round']","['XYYXX', 'GGXYY', 'GGGGG']","[49, 5, 5]"
91,4,"['arose', 'avail', 'admit', 'audit']","['GXXXX', 'GXYGX', 'GYXGG', 'GGGGG']","[30, 7, 1, 1]"
92,3,"['arose', 'hilly', 'lying']","['XXXXX', 'XYYYY', 'GGGGG']","[183, 1, 1]"
93,5,"['arose', 'canal', 'tatty', 'mamma', 'gamma']","['YXXXX', 'XGXYX', 'XGXXX', 'YGGGG', 'GGGGG']","[148, 26, 7, 1, 1]"
