,steps,words,feedback,ncands
0,4,"['dares', 'array', 'molar', 'cigar']","['XYYXX', 'YYYGX', 'XXXGG', 'GGGGG']","[71, 6, 2, 2]"
1,5,"['dares', 'crepe', 'retro', 'remit', 'rebut']","['XXYYX', 'XYYXY', 'GGYYX', 'GGXXG', 'GGGGG']","[71, 11, 3, 1, 1]"
2,2,"['dares', 'sissy']","['XXXXY', 'GGGGG']","[141, 141]"
3,4,"['dares', 'noily', 'hutch', 'humph']","['XXXXX', 'XXXXX', 'GGXXG', 'GGGGG']","[257, 7, 1, 1]"
4,4,"['dares', 'elate', 'weave', 'awake']","['XYXYX', 'YXGXG', 'YYGXG', 'GGGGG']","[89, 11, 1, 1]"
5,3,"['dares', 'sissy', 'blush']","['XXXXY', 'YXYGX', 'GGGGG']","[141, 6, 6]"
6,4,"['dares', 'allay', 'local', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'GGGGG']","[118, 12, 2, 2]"
7,3,"['dares', 'adage', 'evade']","['YYXYX', 'YYGXG', 'GGGGG']","[19, 2, 2]"
8,5,"['dares', 'tatty', 'mania', 'pagan', 'naval']","['XGXXX', 'XGXXX', 'XGYXY', 'XGXGY', 'GGGGG']","[94, 32, 4, 1, 1]"
9,3,"['dares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[12, 1, 1]"
10,3,"['dares', 'elate', 'heath']","['XYXYX', 'YXGGY', 'GGGGG']","[89, 2, 2]"
11,3,"['dares', 'drawn', 'dwarf']","['GYYXX', 'GYGYX', 'GGGGG']","[8, 1, 1]"
12,3,"['dares', 'bleed', 'model']","['YXXGX', 'XYYGY', 'GGGGG']","[14, 1, 1]"
13,3,"['dares', 'carry', 'karma']","['XGGXX', 'XGGYX', 'GGGGG']","[16, 5, 5]"
14,4,"['dares', 'sissy', 'stint', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGG']","[141, 28, 2, 2]"
15,3,"['dares', 'beard', 'grade']","['YYYYX', 'XYGYY', 'GGGGG']","[9, 2, 2]"
16,4,"['dares', 'level', 'toney', 'quiet']","['XXXGX', 'XYXGX', 'YXXGX', 'GGGGG']","[59, 22, 1, 1]"
17,4,"['dares', 'eerie', 'leech', 'bench']","['XXXYX', 'YGXXY', 'XGYGG', 'GGGGG']","[151, 30, 3, 3]"
18,3,"['dares', 'elate', 'abate']","['XYXYX', 'YXGGG', 'GGGGG']","[89, 3, 3]"
19,4,"['dares', 'eerie', 'neigh', 'feign']","['XXXYX', 'YGXYY', 'YGGGX', 'GGGGG']","[151, 4, 1, 1]"
20,3,"['dares', 'razor', 'major']","['XGYXX', 'YGXGG', 'GGGGG']","[22, 7, 7]"
21,3,"['dares', 'delay', 'death']","['GYXYX', 'GGXYX', 'GGGGG']","[6, 1, 1]"
22,4,"['dares', 'spore', 'wrest', 'fresh']","['XXYYY', 'YXXYY', 'XGGGX', 'GGGGG']","[18, 4, 1, 1]"
23,4,"['dares', 'short', 'trust', 'crust']","['XXYXY', 'YXXYG', 'YGGGG', 'GGGGG']","[34, 4, 1, 1]"
24,4,"['dares', 'sissy', 'stoop', 'stool']","['XXXXY', 'GXYYX', 'GGGGX', 'GGGGG']","[141, 46, 1, 1]"
25,3,"['dares', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[257, 1, 1]"
26,4,"['dares', 'tease', 'phase', 'abase']","['XYXYY', 'XYGGG', 'XXGGG', 'GGGGG']","[40, 3, 1, 1]"
27,3,"['dares', 'carry', 'marry']","['XGGXX', 'XGGGG', 'GGGGG']","[16, 3, 3]"
28,3,"['dares', 'rearm', 'react']","['XYYYX', 'GGGYX', 'GGGGG']","[54, 2, 2]"
29,3,"['dares', 'tatty', 'batty']","['XGXXX', 'YGGGG', 'GGGGG']","[94, 4, 4]"
30,2,"['dares', 'pride']","['YXYYX', 'GGGGG']","[10, 10]"
31,3,"['dares', 'mucus', 'floss']","['XXXXG', 'XXXXG', 'GGGGG']","[11, 3, 3]"
32,4,"['dares', 'eerie', 'begin', 'helix']","['XXXYX', 'YGXGY', 'XGXGX', 'GGGGG']","[151, 3, 1, 1]"
33,5,"['dares', 'array', 'briar', 'groan', 'croak']","['XYYXX', 'YGYGX', 'XGXGY', 'XGGGX', 'GGGGG']","[71, 7, 3, 1, 1]"
34,4,"['dares', 'slash', 'stank', 'staff']","['XYXXY', 'GXGYX', 'GGGXX', 'GGGGG']","[63, 15, 2, 2]"
35,6,"['dares', 'rarer', 'rarer', 'eater', 'gayer', 'paper']","['XGYGX', 'YGYGG', 'YGYGG', 'YGXGG', 'XGXGG', 'GGGGG']","[27, 24, 24, 15, 8, 8]"
36,3,"['dares', 'bleed', 'unfed']","['YXXGX', 'XXYGG', 'GGGGG']","[14, 2, 2]"
37,5,"['dares', 'eerie', 'cleft', 'quell', 'whelp']","['XXXYX', 'YYXXY', 'XYGXX', 'XXGGY', 'GGGGG']","[151, 7, 2, 1, 1]"
38,4,"['dares', 'array', 'trait', 'trawl']","['XYYXX', 'YGYYX', 'GGGXY', 'GGGGG']","[71, 27, 3, 3]"
39,3,"['dares', 'toddy', 'outdo']","['YXXXX', 'YYYGX', 'GGGGG']","[46, 1, 1]"
40,3,"['dares', 'adage', 'adobe']","['YYXYX', 'GGYXG', 'GGGGG']","[19, 1, 1]"
41,3,"['dares', 'array', 'crazy']","['XYYXX', 'YGYYG', 'GGGGG']","[71, 2, 2]"
42,4,"['dares', 'riser', 'sewer', 'sower']","['XXYGY', 'YXYGG', 'GYGGG', 'GGGGG']","[18, 10, 1, 1]"
43,5,"['dares', 'rearm', 'rebar', 'relay', 'repay']","['XYYYX', 'GGYYX', 'GGXGY', 'GGXGG', 'GGGGG']","[54, 8, 6, 1, 1]"
44,3,"['dares', 'dodgy', 'digit']","['GXXXX', 'GXYYX', 'GGGGG']","[23, 1, 1]"
45,4,"['dares', 'rearm', 'grace', 'crate']","['XYYYX', 'YYGYX', 'XGGYG', 'GGGGG']","[54, 14, 4, 4]"
46,4,"['dares', 'noily', 'pluck', 'cluck']","['XXXXX', 'XXXYX', 'XGGGG', 'GGGGG']","[257, 9, 1, 1]"
47,5,"['dares', 'sense', 'stole', 'siege', 'spike']","['XXXYY', 'GYXYG', 'GXXXG', 'GYYXG', 'GGGGG']","[84, 21, 4, 2, 2]"
48,5,"['dares', 'noily', 'tight', 'civic', 'mimic']","['XXXXX', 'XXYXX', 'XGXXX', 'YGXGG', 'GGGGG']","[257, 12, 2, 1, 1]"
49,4,"['dares', 'toddy', 'wound', 'pound']","['YXXXX', 'XGYYX', 'XGGGG', 'GGGGG']","[46, 8, 5, 5]"
50,4,"['dares', 'tatty', 'mania', 'maxim']","['XGXXX', 'XGXXX', 'GGXGY', 'GGGGG']","[94, 32, 2, 2]"
51,3,"['dares', 'level', 'linen']","['XXXGX', 'GYXGY', 'GGGGG']","[59, 3, 3]"
52,4,"['dares', 'level', 'toney', 'unmet']","['XXXGX', 'XYXGX', 'YXYGX', 'GGGGG']","[59, 22, 1, 1]"
53,4,"['dares', 'sense', 'guest', 'flesh']","['XXXYY', 'YYXGY', 'XXGGX', 'GGGGG']","[84, 6, 2, 2]"
54,3,"['dares', 'noily', 'booby']","['XXXXX', 'XGXXG', 'GGGGG']","[257, 11, 11]"
55,4,"['dares', 'hurry', 'worth', 'forth']","['XXGXX', 'YXGYX', 'XGGGG', 'GGGGG']","[37, 12, 2, 2]"
56,3,"['dares', 'strut', 'first']","['XXGXY', 'YYGXG', 'GGGGG']","[14, 2, 2]"
57,2,"['dares', 'stand']","['YYXXY', 'GGGGG']","[5, 5]"
58,4,"['dares', 'eerie', 'leech', 'belly']","['XXXYX', 'YGXXY', 'YGYXX', 'GGGGG']","[151, 30, 6, 6]"
59,4,"['dares', 'prior', 'intro', 'ivory']","['XXYXX', 'XYYYY', 'GXXGY', 'GGGGG']","[101, 4, 1, 1]"
60,3,"['dares', 'snide', 'seedy']","['YXXYY', 'GXXGY', 'GGGGG']","[4, 1, 1]"
61,3,"['dares', 'prior', 'print']","['XXYXX', 'GGGXY', 'GGGGG']","[101, 3, 3]"
62,3,"['dares', 'rearm', 'yearn']","['XYYYX', 'YGGGX', 'GGGGG']","[54, 6, 6]"
63,3,"['dares', 'drawn', 'drain']","['GYYXX', 'GGGXG', 'GGGGG']","[8, 1, 1]"
64,5,"['dares', 'crepe', 'trite', 'brine', 'bribe']","['XXYYX', 'XGYXG', 'XGGXG', 'GGGXG', 'GGGGG']","[71, 13, 4, 1, 1]"
65,4,"['dares', 'sissy', 'stoop', 'stout']","['XXXXY', 'GXYYX', 'GGGYX', 'GGGGG']","[141, 46, 2, 2]"
66,3,"['dares', 'eaten', 'panel']","['XGXGX', 'YGXGY', 'GGGGG']","[19, 2, 2]"
67,2,"['dares', 'crass']","['XYYXG', 'GGGGG']","[3, 3]"
68,4,"['dares', 'eerie', 'elope', 'flume']","['XXXYX', 'YYXXG', 'YGXXG', 'GGGGG']","[151, 34, 3, 3]"
69,4,"['dares', 'allay', 'local', 'offal']","['XYXXX', 'YYYGX', 'YYXGG', 'GGGGG']","[118, 12, 1, 1]"
70,2,"['dares', 'agree']","['XYGGX', 'GGGGG']","[1, 1]"
71,3,"['dares', 'eerie', 'error']","['XXGYX', 'GYGXY', 'GGGGG']","[25, 1, 1]"
72,4,"['dares', 'short', 'slurp', 'swirl']","['XXYXY', 'GXXGX', 'GYXGX', 'GGGGG']","[34, 4, 1, 1]"
73,4,"['dares', 'rearm', 'creak', 'argue']","['XYYYX', 'YYYYX', 'XGYYX', 'GGGGG']","[54, 9, 1, 1]"
74,2,"['dares', 'bleed']","['YXXGX', 'GGGGG']","[14, 14]"
75,3,"['dares', 'delay', 'delta']","['GYXYX', 'GGGYX', 'GGGGG']","[6, 1, 1]"
76,4,"['dares', 'noily', 'click', 'flick']","['XXXXX', 'XXGYX', 'YGGGG', 'GGGGG']","[257, 6, 1, 1]"
77,4,"['dares', 'level', 'toney', 'totem']","['XXXGX', 'XYXGX', 'GGXGX', 'GGGGG']","[59, 22, 1, 1]"
78,5,"['dares', 'freer', 'rover', 'power', 'wooer']","['XXYGX', 'XYYGG', 'YGXGG', 'XGYGG', 'GGGGG']","[87, 54, 11, 1, 1]"
79,4,"['dares', 'prior', 'frown', 'front']","['XXYXX', 'XGXYY', 'GGGXY', 'GGGGG']","[101, 15, 1, 1]"
80,3,"['dares', 'strut', 'shrub']","['XXGXY', 'GXGGX', 'GGGGG']","[14, 5, 5]"
81,4,"['dares', 'carry', 'marry', 'parry']","['XGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 2]"
82,5,"['dares', 'eerie', 'niece', 'title', 'biome']","['XXXYX', 'YYXYG', 'XGYXG', 'XGXXG', 'GGGGG']","[151, 32, 7, 2, 2]"
83,5,"['dares', 'eaten', 'camel', 'label', 'lapel']","['XGXGX', 'YGXGX', 'XGXGG', 'GGXGG', 'GGGGG']","[19, 9, 5, 1, 1]"
84,2,"['dares', 'start']","['XYYXY', 'GGGGG']","[21, 21]"
