,steps,words,feedback,ncands
0,4,"['lares', 'drama', 'actor', 'cigar']","['XYYXX', 'XYYXY', 'YYXXG', 'GGGGG']","[74, 8, 2, 2]"
1,5,"['lares', 'crepe', 'retro', 'remit', 'rebut']","['XXYYX', 'XYYXY', 'GGYYX', 'GGXXG', 'GGGGG']","[81, 12, 3, 1, 1]"
2,2,"['lares', 'sissy']","['XXXXY', 'GGGGG']","[114, 114]"
3,3,"['lares', 'ponty', 'humph']","['XXXXX', 'YXXXX', 'GGGGG']","[205, 2, 2]"
4,4,"['lares', 'abate', 'agape', 'awake']","['XYXYX', 'GXGXG', 'GXGXG', 'GGGGG']","[59, 4, 2, 2]"
5,3,"['lares', 'spill', 'blush']","['YXXXY', 'YXXYY', 'GGGGG']","[35, 2, 2]"
6,4,"['lares', 'allay', 'total', 'focal']","['YYXXX', 'YYYGX', 'XGXGG', 'GGGGG']","[71, 13, 4, 4]"
7,4,"['lares', 'abate', 'heave', 'evade']","['XYXYX', 'YXGXG', 'XYGYG', 'GGGGG']","[59, 9, 1, 1]"
8,4,"['lares', 'tally', 'canal', 'naval']","['YGXXX', 'XGYYX', 'XGYGG', 'GGGGG']","[23, 6, 1, 1]"
9,3,"['lares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[12, 1, 1]"
10,3,"['lares', 'abate', 'heath']","['XYXYX', 'YXGGY', 'GGGGG']","[59, 3, 3]"
11,3,"['lares', 'drama', 'dwarf']","['XYYXX', 'GYGXY', 'GGGGG']","[74, 2, 2]"
12,4,"['lares', 'level', 'towel', 'model']","['YXXGX', 'YYXGG', 'XGXGG', 'GGGGG']","[29, 12, 1, 1]"
13,4,"['lares', 'parry', 'carat', 'karma']","['XGGXX', 'XGGYX', 'XGGYX', 'GGGGG']","[16, 6, 2, 2]"
14,4,"['lares', 'sissy', 'stint', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGG']","[114, 17, 2, 2]"
15,4,"['lares', 'erase', 'grace', 'grade']","['XYYYX', 'YGGXG', 'GGGXG', 'GGGGG']","[56, 19, 5, 5]"
