,steps,words,feedback,ncands
0,4,"['lores', 'trait', 'hairy', 'cigar']","['XXYXX', 'XYYYX', 'XYYYX', 'GGGGG']","[109, 8, 2, 2]"
1,5,"['lores', 'crepe', 'rearm', 'refit', 'rebut']","['XXYYX', 'XYYXY', 'GGXYX', 'GGXXG', 'GGGGG']","[111, 22, 3, 1, 1]"
2,3,"['lores', 'sassy', 'sissy']","['XXXXY', 'GXGGG', 'GGGGG']","[122, 1, 1]"
3,4,"['lores', 'canny', 'tight', 'humph']","['XXXXX', 'XXXXX', 'XXXYX', 'GGGGG']","[215, 16, 1, 1]"
4,4,"['lores', 'eerie', 'gauge', 'awake']","['XXXYX', 'YYXXG', 'XYXXG', 'GGGGG']","[163, 34, 5, 5]"
5,3,"['lores', 'shall', 'blush']","['YXXXY', 'YYXYY', 'GGGGG']","[58, 3, 3]"
6,3,"['lores', 'folly', 'focal']","['YGXXX', 'GGYYX', 'GGGGG']","[27, 1, 1]"
7,3,"['lores', 'eerie', 'evade']","['XXXYX', 'GYXXG', 'GGGGG']","[163, 2, 2]"
8,4,"['lores', 'allay', 'natal', 'naval']","['YXXXX', 'YYYGX', 'GGXGG', 'GGGGG']","[130, 12, 1, 1]"
9,3,"['lores', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[10, 1, 1]"
10,5,"['lores', 'eerie', 'teeth', 'death', 'heath']","['XXXYX', 'YGXXY', 'YGYGG', 'XGGGG', 'GGGGG']","[163, 36, 3, 1, 1]"
11,4,"['lores', 'trait', 'award', 'dwarf']","['XXYXX', 'XYGXX', 'YGGGY', 'GGGGG']","[109, 7, 1, 1]"
12,4,"['lores', 'vowel', 'motel', 'model']","['YGXGX', 'XGXGG', 'GGXGG', 'GGGGG']","[10, 3, 1, 1]"
13,3,"['lores', 'harry', 'karma']","['XXGXX', 'XGGYX', 'GGGGG']","[29, 3, 3]"
14,4,"['lores', 'sassy', 'stunt', 'stink']","['XXXXY', 'GXYYX', 'GGXGY', 'GGGGG']","[122, 29, 2, 2]"
15,4,"['lores', 'crepe', 'grate', 'grade']","['XXYYX', 'XGYXG', 'GGGXG', 'GGGGG']","[111, 21, 3, 3]"
16,4,"['lores', 'eaten', 'tweet', 'quiet']","['XXXGX', 'YXYGX', 'YXYGG', 'GGGGG']","[37, 7, 3, 3]"
17,4,"['lores', 'eerie', 'teeth', 'bench']","['XXXYX', 'YGXXY', 'XGYXG', 'GGGGG']","[163, 36, 4, 4]"
18,5,"['lores', 'eerie', 'gauge', 'awake', 'abate']","['XXXYX', 'YYXXG', 'XYXXG', 'GXGXG', 'GGGGG']","[163, 34, 5, 2, 2]"
19,4,"['lores', 'eerie', 'deign', 'feign']","['XXXYX', 'YGXYY', 'XGGGG', 'GGGGG']","[163, 6, 1, 1]"
