,steps,words,feedback,ncands
0,4,"['nares', 'drama', 'altar', 'cigar']","['XYYXX', 'XYYXY', 'YXXGG', 'GGGGG']","[71, 10, 2, 2]"
1,5,"['nares', 'crepe', 'retro', 'remit', 'rebut']","['XXYYX', 'XYYXY', 'GGYYX', 'GGXXG', 'GGGGG']","[75, 10, 3, 1, 1]"
2,2,"['nares', 'sissy']","['XXXXY', 'GGGGG']","[115, 115]"
3,4,"['nares', 'doily', 'hutch', 'humph']","['XXXXX', 'XXXXX', 'GGXXG', 'GGGGG']","[219, 7, 1, 1]"
4,3,"['nares', 'elate', 'awake']","['XYXYX', 'YXGXG', 'GGGGG']","[90, 10, 10]"
5,3,"['nares', 'sissy', 'blush']","['XXXXY', 'YXYGX', 'GGGGG']","[115, 6, 6]"
6,4,"['nares', 'allay', 'local', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'GGGGG']","[94, 11, 2, 2]"
7,3,"['nares', 'elate', 'evade']","['XYXYX', 'GXGXG', 'GGGGG']","[90, 1, 1]"
8,2,"['nares', 'naval']","['GGXXX', 'GGGGG']","[3, 3]"
9,3,"['nares', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[11, 1, 1]"
10,3,"['nares', 'elate', 'heath']","['XYXYX', 'YXGGY', 'GGGGG']","[90, 3, 3]"
11,3,"['nares', 'drama', 'dwarf']","['XYYXX', 'GYGXY', 'GGGGG']","[71, 2, 2]"
12,5,"['nares', 'betel', 'expel', 'dowel', 'model']","['XXXGX', 'XYXGG', 'YXXGG', 'YGXGG', 'GGGGG']","[49, 9, 5, 1, 1]"
13,3,"['nares', 'carry', 'karma']","['XGGXX', 'XGGYX', 'GGGGG']","[17, 4, 4]"
14,4,"['nares', 'stung', 'stint', 'stink']","['YXXXY', 'GGXGX', 'GGGGY', 'GGGGG']","[35, 3, 1, 1]"
