,steps,words,feedback,ncands
0,3,"['raile', 'train', 'cigar']","['YYYXX', 'XYYYX', 'GGGGG']","[14, 3, 3]"
1,4,"['raile', 'refer', 'retry', 'rebut']","['GXXXY', 'GGXYY', 'GGYYX', 'GGGGG']","[17, 8, 2, 2]"
2,4,"['raile', 'digit', 'pinky', 'sissy']","['XXYXX', 'XGXYX', 'XGXXG', 'GGGGG']","[98, 21, 5, 5]"
3,4,"['raile', 'sooty', 'hunch', 'humph']","['XXXXX', 'XXXXX', 'GGXXG', 'GGGGG']","[173, 8, 1, 1]"
4,4,"['raile', 'abase', 'agate', 'awake']","['XYXXG', 'GXGXG', 'GXGXG', 'GGGGG']","[43, 5, 2, 2]"
5,3,"['raile', 'sloop', 'blush']","['XXXYX', 'YGXXX', 'GGGGG']","[66, 2, 2]"
6,4,"['raile', 'allay', 'local', 'focal']","['XYXYX', 'YYYGX', 'YGGGG', 'GGGGG']","[64, 13, 2, 2]"
7,4,"['raile', 'abase', 'heave', 'evade']","['XYXXG', 'YXGXG', 'XYGYG', 'GGGGG']","[43, 8, 2, 2]"
8,3,"['raile', 'nasal', 'naval']","['XGXYX', 'GGXGG', 'GGGGG']","[22, 2, 2]"
9,3,"['raile', 'erode', 'serve']","['YXXXG', 'YYXXG', 'GGGGG']","[58, 20, 20]"
10,3,"['raile', 'ahead', 'heath']","['XYXXY', 'YYYYX', 'GGGGG']","[50, 5, 5]"
11,4,"['raile', 'array', 'shard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[91, 21, 1, 1]"
12,4,"['raile', 'level', 'towel', 'model']","['XXXYY', 'YYXGG', 'XGXGG', 'GGGGG']","[49, 11, 1, 1]"
13,3,"['raile', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[26, 1, 1]"
14,3,"['raile', 'stint', 'stink']","['XXGXX', 'GGGGY', 'GGGGG']","[54, 2, 2]"
15,4,"['raile', 'erase', 'grace', 'grade']","['YYXXG', 'YGGXG', 'GGGXG', 'GGGGG']","[30, 18, 5, 5]"
16,4,"['raile', 'deign', 'thief', 'quiet']","['XXGXY', 'XYGXX', 'YXGGX', 'GGGGG']","[18, 5, 1, 1]"
17,3,"['raile', 'tenet', 'bench']","['XXXXY', 'XGGYX', 'GGGGG']","[104, 4, 4]"
18,3,"['raile', 'abase', 'abate']","['XYXXG', 'GGGXG', 'GGGGG']","[43, 1, 1]"
19,3,"['raile', 'deign', 'feign']","['XXGXY', 'XGGGG', 'GGGGG']","[18, 1, 1]"
20,3,"['raile', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[26, 2, 2]"
21,3,"['raile', 'ahead', 'death']","['XYXXY', 'YYYYY', 'GGGGG']","[50, 2, 2]"
22,3,"['raile', 'freer', 'fresh']","['YXXXY', 'GGGYY', 'GGGGG']","[112, 1, 1]"
23,4,"['raile', 'error', 'trust', 'crust']","['YXXXX', 'XGYXY', 'YGGGG', 'GGGGG']","[119, 18, 1, 1]"
24,3,"['raile', 'sloop', 'stool']","['XXXYX', 'GYGGX', 'GGGGG']","[66, 1, 1]"
25,3,"['raile', 'sloop', 'colon']","['XXXYX', 'XYYGX', 'GGGGG']","[66, 2, 2]"
