,steps,words,feedback,ncands
0,3,"['raise', 'trail', 'cigar']","['YYYXX', 'XYYYX', 'GGGGG']","[18, 3, 3]"
1,4,"['raise', 'refer', 'retry', 'rebut']","['GXXXY', 'GGXYY', 'GGYYX', 'GGGGG']","[20, 8, 2, 2]"
2,2,"['raise', 'sissy']","['XXYGX', 'GGGGG']","[6, 6]"
3,4,"['raise', 'booty', 'cluck', 'humph']","['XXXXX', 'XXXXX', 'XXYXX', 'GGGGG']","[168, 19, 1, 1]"
4,4,"['raise', 'abate', 'agape', 'awake']","['XYXXG', 'GXGXG', 'GXGXG', 'GGGGG']","[41, 4, 2, 2]"
5,3,"['raise', 'slush', 'blush']","['XXXGX', 'YGGGG', 'GGGGG']","[17, 3, 3]"
6,4,"['raise', 'allay', 'local', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'GGGGG']","[92, 11, 2, 2]"
7,4,"['raise', 'abate', 'leave', 'evade']","['XYXXG', 'YXGXG', 'XYGYG', 'GGGGG']","[41, 15, 1, 1]"
8,4,"['raise', 'tatty', 'canal', 'naval']","['XGXXX', 'XGXXX', 'XGYGG', 'GGGGG']","[91, 25, 1, 1]"
9,3,"['raise', 'score', 'serve']","['YXXYG', 'GXXYG', 'GGGGG']","[10, 3, 3]"
10,3,"['raise', 'legal', 'heath']","['XYXXY', 'XGXYX', 'GGGGG']","[69, 11, 11]"
11,4,"['raise', 'array', 'chard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[78, 14, 1, 1]"
12,3,"['raise', 'melee', 'model']","['XXXXY', 'GYYGY', 'GGGGG']","[121, 2, 2]"
13,3,"['raise', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[26, 1, 1]"
14,3,"['raise', 'stint', 'stink']","['XXGYX', 'GGGGY', 'GGGGG']","[29, 2, 2]"
15,3,"['raise', 'grace', 'grade']","['YYXXG', 'GGGXG', 'GGGGG']","[26, 5, 5]"
16,4,"['raise', 'deign', 'thief', 'quiet']","['XXGXY', 'XYGXX', 'YXGGX', 'GGGGG']","[15, 4, 1, 1]"
17,4,"['raise', 'melee', 'teeth', 'bench']","['XXXXY', 'XGXYY', 'XGYXG', 'GGGGG']","[121, 23, 2, 2]"
18,2,"['raise', 'abate']","['XYXXG', 'GGGGG']","[41, 41]"
19,3,"['raise', 'deign', 'feign']","['XXGXY', 'XGGGG', 'GGGGG']","[15, 1, 1]"
20,3,"['raise', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[26, 2, 2]"
21,4,"['raise', 'legal', 'heath', 'death']","['XYXXY', 'XGXYX', 'YGGGG', 'GGGGG']","[69, 11, 1, 1]"
22,3,"['raise', 'cress', 'fresh']","['YXXGY', 'XGGGY', 'GGGGG']","[7, 2, 2]"
23,3,"['raise', 'truss', 'crust']","['YXXGX', 'YGGGY', 'GGGGG']","[13, 1, 1]"
24,5,"['raise', 'sooty', 'stout', 'stoop', 'stool']","['XXXYX', 'GYGYX', 'GGGXY', 'GGGGX', 'GGGGG']","[80, 11, 5, 2, 2]"
25,4,"['raise', 'booty', 'couch', 'colon']","['XXXXX', 'XGYXX', 'GGXYX', 'GGGGG']","[168, 16, 2, 2]"
26,2,"['raise', 'abase']","['XYXGG', 'GGGGG']","[8, 8]"
27,2,"['raise', 'marry']","['YGXXX', 'GGGGG']","[26, 26]"
28,4,"['raise', 'rebar', 'rearm', 'react']","['GYXXY', 'GGXYY', 'GGGYX', 'GGGGG']","[13, 5, 3, 3]"
