,steps,words,feedback,ncands
0,3,"['rales', 'array', 'cigar']","['YYXXX', 'YYYGX', 'GGGGG']","[80, 2, 2]"
1,4,"['rales', 'revue', 'recut', 'rebut']","['GXXYX', 'GGXGY', 'GGXGG', 'GGGGG']","[17, 4, 1, 1]"
2,2,"['rales', 'sissy']","['XXXXY', 'GGGGG']","[114, 114]"
3,3,"['rales', 'ponty', 'humph']","['XXXXX', 'YXXXX', 'GGGGG']","[205, 2, 2]"
4,4,"['rales', 'abate', 'agape', 'awake']","['XYXYX', 'GXGXG', 'GXGXG', 'GGGGG']","[59, 4, 2, 2]"
5,3,"['rales', 'slush', 'blush']","['XXYXY', 'YGGGG', 'GGGGG']","[31, 3, 3]"
6,5,"['rales', 'allay', 'total', 'local', 'focal']","['XYYXX', 'YYYGX', 'XGXGG', 'YGGGG', 'GGGGG']","[67, 14, 5, 2, 2]"
7,4,"['rales', 'abate', 'heave', 'evade']","['XYXYX', 'YXGXG', 'XYGYG', 'GGGGG']","[59, 9, 1, 1]"
8,3,"['rales', 'canal', 'naval']","['XGYXX', 'XGYGG', 'GGGGG']","[20, 2, 2]"
9,2,"['rales', 'serve']","['YXXYY', 'GGGGG']","[26, 26]"
10,3,"['rales', 'abate', 'heath']","['XYXYX', 'YXGGY', 'GGGGG']","[59, 3, 3]"
11,4,"['rales', 'array', 'chard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[80, 14, 1, 1]"
12,4,"['rales', 'level', 'towel', 'model']","['XXYGX', 'YYXGG', 'XGXGG', 'GGGGG']","[30, 12, 1, 1]"
13,3,"['rales', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[28, 1, 1]"
14,4,"['rales', 'sissy', 'stint', 'stink']","['XXXXY', 'GYYYX', 'GGGGY', 'GGGGG']","[114, 17, 2, 2]"
15,4,"['rales', 'erase', 'grace', 'grade']","['YYXYX', 'YGGXG', 'GGGXG', 'GGGGG']","[49, 19, 5, 5]"
16,4,"['rales', 'tenet', 'covet', 'quiet']","['XXXGX', 'YYXGG', 'XXXGG', 'GGGGG']","[44, 5, 1, 1]"
17,4,"['rales', 'eerie', 'teeth', 'bench']","['XXXYX', 'YGXXY', 'XGYXG', 'GGGGG']","[130, 26, 2, 2]"
18,2,"['rales', 'abate']","['XYXYX', 'GGGGG']","[59, 59]"
19,4,"['rales', 'eerie', 'deign', 'feign']","['XXXYX', 'YGXYY', 'XGGGG', 'GGGGG']","[130, 6, 1, 1]"
20,3,"['rales', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[28, 2, 2]"
21,4,"['rales', 'abate', 'heath', 'death']","['XYXYX', 'YXGGY', 'YGGGG', 'GGGGG']","[59, 3, 1, 1]"
22,4,"['rales', 'serve', 'wrest', 'fresh']","['YXXYY', 'YYYXY', 'XGGGX', 'GGGGG']","[26, 3, 1, 1]"
23,4,"['rales', 'short', 'trust', 'crust']","['YXXXY', 'YXXYG', 'YGGGG', 'GGGGG']","[43, 6, 1, 1]"
24,4,"['rales', 'slush', 'spill', 'stool']","['XXYXY', 'GYXYX', 'GXXYG', 'GGGGG']","[31, 11, 2, 2]"
25,4,"['rales', 'filly', 'gulch', 'colon']","['XXGXX', 'XXGYX', 'XXGYX', 'GGGGG']","[30, 3, 1, 1]"
26,4,"['rales', 'state', 'cease', 'abase']","['XYXYY', 'YXGXG', 'XYGGG', 'GGGGG']","[35, 5, 2, 2]"
27,2,"['rales', 'marry']","['YGXXX', 'GGGGG']","[28, 28]"
28,3,"['rales', 'rebar', 'react']","['GYXYX', 'GGXYY', 'GGGGG']","[8, 4, 4]"
29,4,"['rales', 'canny', 'tatty', 'batty']","['XGXXX', 'XGXXG', 'YGGGG', 'GGGGG']","[85, 15, 3, 3]"
30,4,"['rales', 'eerie', 'tripe', 'pride']","['YXXYX', 'YYYYG', 'XGGYG', 'GGGGG']","[92, 18, 4, 4]"
31,2,"['rales', 'floss']","['XXYXG', 'GGGGG']","[5, 5]"
32,4,"['rales', 'belle', 'melon', 'helix']","['XXGYX', 'XGGYY', 'XGGXX', 'GGGGG']","[17, 4, 2, 2]"
