,steps,words,feedback,ncands
0,4,"['rates', 'array', 'molar', 'cigar']","['YYXXX', 'YYYGX', 'XXXGG', 'GGGGG']","[77, 5, 2, 2]"
1,2,"['rates', 'rebut']","['GXYYX', 'GGGGG']","[5, 5]"
2,2,"['rates', 'sissy']","['XXXXY', 'GGGGG']","[94, 94]"
3,4,"['rates', 'doily', 'hunch', 'humph']","['XXXXX', 'XXXXX', 'GGXXG', 'GGGGG']","[227, 8, 1, 1]"
4,4,"['rates', 'leave', 'adage', 'awake']","['XYXYX', 'XYGXG', 'GXGXG', 'GGGGG']","[81, 8, 2, 2]"
5,3,"['rates', 'sissy', 'blush']","['XXXXY', 'YXYGX', 'GGGGG']","[94, 3, 3]"
6,4,"['rates', 'allay', 'local', 'focal']","['XYXXX', 'YYYGX', 'YGGGG', 'GGGGG']","[98, 8, 2, 2]"
7,3,"['rates', 'leave', 'evade']","['XYXYX', 'XYGYG', 'GGGGG']","[81, 1, 1]"
8,3,"['rates', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,2,"['rates', 'serve']","['YXXYY', 'GGGGG']","[21, 21]"
10,3,"['rates', 'elate', 'heath']","['XYYYX', 'YXGGY', 'GGGGG']","[30, 3, 3]"
11,4,"['rates', 'array', 'chard', 'dwarf']","['YYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[77, 13, 1, 1]"
12,5,"['rates', 'level', 'expel', 'dowel', 'model']","['XXXGX', 'YYXGG', 'YXXGG', 'YGXGG', 'GGGGG']","[56, 9, 5, 1, 1]"
13,3,"['rates', 'marry', 'karma']","['YGXXX', 'YGGYX', 'GGGGG']","[26, 1, 1]"
14,3,"['rates', 'stout', 'stink']","['XXYXY', 'GGXXY', 'GGGGG']","[57, 5, 5]"
15,4,"['rates', 'erase', 'grave', 'grade']","['YYXYX', 'YGGXG', 'GGGXG', 'GGGGG']","[43, 14, 4, 4]"
16,4,"['rates', 'tweet', 'comet', 'quiet']","['XXYGX', 'YXYGG', 'XXXGG', 'GGGGG']","[16, 8, 5, 5]"
17,5,"['rates', 'eerie', 'belly', 'beech', 'bench']","['XXXYX', 'YGXXY', 'GGXXX', 'GGYGG', 'GGGGG']","[147, 27, 3, 1, 1]"
18,3,"['rates', 'elate', 'abate']","['XYYYX', 'YXGGG', 'GGGGG']","[30, 3, 3]"
19,4,"['rates', 'eerie', 'neigh', 'feign']","['XXXYX', 'YGXYY', 'YGGGX', 'GGGGG']","[147, 5, 2, 2]"
20,3,"['rates', 'marry', 'major']","['YGXXX', 'GGYYX', 'GGGGG']","[26, 2, 2]"
21,4,"['rates', 'elate', 'heath', 'death']","['XYYYX', 'YXGGY', 'YGGGG', 'GGGGG']","[30, 3, 1, 1]"
22,3,"['rates', 'serve', 'fresh']","['YXXYY', 'YYYXY', 'GGGGG']","[21, 1, 1]"
23,4,"['rates', 'strut', 'trust', 'crust']","['YXYXY', 'YYYYG', 'YGGGG', 'GGGGG']","[20, 2, 1, 1]"
24,4,"['rates', 'stout', 'stoop', 'stool']","['XXYXY', 'GGGXY', 'GGGGX', 'GGGGG']","[57, 7, 2, 2]"
25,3,"['rates', 'doily', 'colon']","['XXXXX', 'XGXYX', 'GGGGG']","[227, 2, 2]"
26,3,"['rates', 'shale', 'abase']","['XYXYY', 'YXGXG', 'GGGGG']","[28, 3, 3]"
27,2,"['rates', 'marry']","['YGXXX', 'GGGGG']","[26, 26]"
28,2,"['rates', 'react']","['GYYYX', 'GGGGG']","[1, 1]"
29,3,"['rates', 'tatty', 'batty']","['XGGXX', 'YGGGG', 'GGGGG']","[17, 4, 4]"
30,4,"['rates', 'eerie', 'prime', 'pride']","['YXXYX', 'YYYYG', 'GGGXG', 'GGGGG']","[71, 13, 3, 3]"
31,3,"['rates', 'mucus', 'floss']","['XXXXG', 'XXXXG', 'GGGGG']","[11, 3, 3]"
32,4,"['rates', 'eerie', 'denim', 'helix']","['XXXYX', 'YGXGY', 'XGXGX', 'GGGGG']","[147, 5, 1, 1]"
33,5,"['rates', 'array', 'briar', 'groan', 'croak']","['YYXXX', 'YGYGX', 'XGXGY', 'XGGGX', 'GGGGG']","[77, 7, 3, 1, 1]"
34,5,"['rates', 'start', 'stank', 'stash', 'staff']","['XYYXY', 'GGGXY', 'GGGXX', 'GGGYX', 'GGGGG']","[24, 10, 5, 4, 4]"
35,3,"['rates', 'parer', 'paper']","['YGXGX', 'GGYGG', 'GGGGG']","[18, 3, 3]"
36,5,"['rates', 'level', 'money', 'kneed', 'unfed']","['XXXGX', 'XYXGX', 'XXYGX', 'XGYGG', 'GGGGG']","[56, 23, 6, 2, 2]"
37,4,"['rates', 'eerie', 'dwell', 'whelp']","['XXXYX', 'YYXXY', 'XYGGY', 'GGGGG']","[147, 6, 1, 1]"
38,3,"['rates', 'trait', 'trawl']","['YYYXX', 'GGGXY', 'GGGGG']","[20, 3, 3]"
39,3,"['rates', 'ditty', 'outdo']","['XXGXX', 'YXGYX', 'GGGGG']","[24, 1, 1]"
40,4,"['rates', 'leave', 'abode', 'adobe']","['XYXYX', 'XYYXG', 'GYGYG', 'GGGGG']","[81, 6, 1, 1]"
41,3,"['rates', 'array', 'crazy']","['YYXXX', 'YGYYG', 'GGGGG']","[77, 2, 2]"
42,4,"['rates', 'surer', 'sewer', 'sower']","['YXXGY', 'GXYGG', 'GYGGG', 'GGGGG']","[19, 7, 1, 1]"
43,4,"['rates', 'rebar', 'relay', 'repay']","['GYXYX', 'GGXGY', 'GGXGG', 'GGGGG']","[12, 6, 1, 1]"
44,3,"['rates', 'tight', 'digit']","['XXYXX', 'YGGXG', 'GGGGG']","[75, 2, 2]"
45,3,"['rates', 'treat', 'crate']","['YYYYX', 'YGYYY', 'GGGGG']","[13, 3, 3]"
46,3,"['rates', 'doily', 'cluck']","['XXXXX', 'XXXYX', 'GGGGG']","[227, 14, 14]"
47,4,"['rates', 'sense', 'slice', 'spike']","['XXXYY', 'GYXYG', 'GXGXG', 'GGGGG']","[61, 14, 1, 1]"
48,4,"['rates', 'doily', 'cinch', 'mimic']","['XXXXX', 'XXYXX', 'YGXYX', 'GGGGG']","[227, 12, 1, 1]"
49,3,"['rates', 'doily', 'pound']","['XXXXX', 'YGXXX', 'GGGGG']","[227, 7, 7]"
50,5,"['rates', 'manly', 'mamma', 'madam', 'maxim']","['XGXXX', 'GGXXX', 'GGYYY', 'GGXYG', 'GGGGG']","[66, 9, 5, 1, 1]"
51,3,"['rates', 'level', 'linen']","['XXXGX', 'GYXGY', 'GGGGG']","[56, 3, 3]"
52,4,"['rates', 'tweet', 'comet', 'unmet']","['XXYGX', 'YXYGG', 'XXGGG', 'GGGGG']","[16, 8, 1, 1]"
53,3,"['rates', 'sense', 'flesh']","['XXXYY', 'YYXGY', 'GGGGG']","[61, 2, 2]"
54,3,"['rates', 'doily', 'booby']","['XXXXX', 'XGXXG', 'GGGGG']","[227, 9, 9]"
55,3,"['rates', 'truth', 'forth']","['YXYXX', 'YYXGG', 'GGGGG']","[43, 6, 6]"
56,3,"['rates', 'strut', 'first']","['YXYXY', 'YYGXG', 'GGGGG']","[20, 2, 2]"
57,4,"['rates', 'start', 'stank', 'stand']","['XYYXY', 'GGGXY', 'GGGGX', 'GGGGG']","[24, 10, 1, 1]"
58,3,"['rates', 'eerie', 'belly']","['XXXYX', 'YGXXY', 'GGGGG']","[147, 27, 27]"
59,4,"['rates', 'error', 'gourd', 'ivory']","['YXXXX', 'XYYYY', 'XYXGX', 'GGGGG']","[108, 9, 2, 2]"
60,3,"['rates', 'sense', 'seedy']","['XXXYY', 'GGXYY', 'GGGGG']","[61, 1, 1]"
61,4,"['rates', 'truth', 'droit', 'print']","['YXYXX', 'YGXYX', 'XGXYG', 'GGGGG']","[43, 6, 1, 1]"
62,3,"['rates', 'erase', 'yearn']","['YYXYX', 'YYGXY', 'GGGGG']","[43, 6, 6]"
63,4,"['rates', 'array', 'drawn', 'drain']","['YYXXX', 'YGYYX', 'GGGXG', 'GGGGG']","[77, 25, 1, 1]"
64,5,"['rates', 'eerie', 'prime', 'brine', 'bribe']","['YXXYX', 'YYYYG', 'XGGXG', 'GGGXG', 'GGGGG']","[71, 13, 5, 2, 2]"
65,2,"['rates', 'stout']","['XXYXY', 'GGGGG']","[57, 57]"
66,3,"['rates', 'lapel', 'panel']","['XGXGX', 'YGYGG', 'GGGGG']","[15, 1, 1]"
67,2,"['rates', 'crass']","['YYXXG', 'GGGGG']","[3, 3]"
68,4,"['rates', 'eerie', 'gouge', 'flume']","['XXXYX', 'YYXXG', 'XXGXG', 'GGGGG']","[147, 35, 3, 3]"
