,steps,words,feedback,ncands
0,3,"['reais', 'friar', 'cigar']","['YXYYX', 'XYYGG', 'GGGGG']","[12, 2, 2]"
1,4,"['reais', 'refer', 'retry', 'rebut']","['GGXXX', 'GGXYY', 'GGYYX', 'GGGGG']","[15, 9, 2, 2]"
2,2,"['reais', 'sissy']","['XXXYY', 'GGGGG']","[53, 53]"
3,4,"['reais', 'booty', 'cluck', 'humph']","['XXXXX', 'XXXXX', 'XXYXX', 'GGGGG']","[168, 19, 1, 1]"
4,3,"['reais', 'elate', 'awake']","['XYGXX', 'YXGXG', 'GGGGG']","[26, 7, 7]"
5,3,"['reais', 'slosh', 'blush']","['XXXXY', 'YGXGG', 'GGGGG']","[89, 3, 3]"
6,4,"['reais', 'canal', 'local', 'focal']","['XXYXX', 'YYXGG', 'YGGGG', 'GGGGG']","[150, 4, 2, 2]"
7,3,"['reais', 'elate', 'evade']","['XYGXX', 'GXGXG', 'GGGGG']","[26, 1, 1]"
8,3,"['reais', 'canal', 'naval']","['XXYXX', 'XGYGG', 'GGGGG']","[150, 2, 2]"
9,2,"['reais', 'serve']","['YGXXY', 'GGGGG']","[7, 7]"
10,3,"['reais', 'leave', 'heath']","['XGGXX', 'XGGXY', 'GGGGG']","[21, 9, 9]"
11,3,"['reais', 'drama', 'dwarf']","['YXGXX', 'GYGXY', 'GGGGG']","[44, 1, 1]"
12,4,"['reais', 'emcee', 'modem', 'model']","['XYXXX', 'YYXGY', 'GGGGY', 'GGGGG']","[121, 10, 1, 1]"
13,3,"['reais', 'array', 'karma']","['YXYXX', 'YYGYX', 'GGGGG']","[60, 8, 8]"
14,4,"['reais', 'sissy', 'stint', 'stink']","['XXXYY', 'GYYYX', 'GGGGY', 'GGGGG']","[53, 23, 2, 2]"
15,3,"['reais', 'grace', 'grade']","['YYGXX', 'GGGXG', 'GGGGG']","[22, 5, 5]"
16,4,"['reais', 'niece', 'plied', 'quiet']","['XYXYX', 'XYYXY', 'XXGGX', 'GGGGG']","[74, 5, 2, 2]"
17,4,"['reais', 'melee', 'teeth', 'bench']","['XGXXX', 'XGXYY', 'XGYXG', 'GGGGG']","[61, 23, 2, 2]"
18,3,"['reais', 'elate', 'abate']","['XYGXX', 'YXGGG', 'GGGGG']","[26, 3, 3]"
19,3,"['reais', 'deign', 'feign']","['XGXYX', 'XGGGG', 'GGGGG']","[6, 1, 1]"
20,4,"['reais', 'array', 'labor', 'major']","['YXYXX', 'YYYYX', 'XGXGG', 'GGGGG']","[60, 11, 4, 4]"
21,4,"['reais', 'leave', 'heath', 'death']","['XGGXX', 'XGGXY', 'YGGGG', 'GGGGG']","[21, 9, 1, 1]"
22,4,"['reais', 'spree', 'wrest', 'fresh']","['YYXXY', 'YXYYY', 'XGGGX', 'GGGGG']","[33, 3, 1, 1]"
23,4,"['reais', 'short', 'trust', 'crust']","['YXXXY', 'YXXYG', 'YGGGG', 'GGGGG']","[32, 4, 1, 1]"
24,3,"['reais', 'slosh', 'stool']","['XXXXY', 'GYGYX', 'GGGGG']","[89, 4, 4]"
25,4,"['reais', 'booty', 'couch', 'colon']","['XXXXX', 'XGYXX', 'GGXYX', 'GGGGG']","[168, 16, 2, 2]"
26,3,"['reais', 'shave', 'abase']","['XYGXY', 'YXGXG', 'GGGGG']","[23, 2, 2]"
27,4,"['reais', 'array', 'harry', 'marry']","['YXYXX', 'YYGYG', 'XGGGG', 'GGGGG']","[60, 9, 3, 3]"
28,3,"['reais', 'rearm', 'react']","['GGGXX', 'GGGYX', 'GGGGG']","[5, 3, 3]"
29,4,"['reais', 'canal', 'tatty', 'batty']","['XXYXX', 'XGXYX', 'YGGGG', 'GGGGG']","[150, 24, 3, 3]"
30,3,"['reais', 'drier', 'pride']","['YYXYX', 'YGGYY', 'GGGGG']","[53, 2, 2]"
31,3,"['reais', 'locus', 'floss']","['XXXXG', 'YYXXG', 'GGGGG']","[8, 2, 2]"
32,3,"['reais', 'belie', 'helix']","['XGXGX', 'XGGGY', 'GGGGG']","[11, 1, 1]"
33,4,"['reais', 'array', 'groan', 'croak']","['YXYXX', 'YGYGX', 'XGGGX', 'GGGGG']","[60, 5, 2, 2]"
34,4,"['reais', 'slash', 'stank', 'staff']","['XXGXY', 'GXGYX', 'GGGXX', 'GGGGG']","[50, 14, 2, 2]"
35,6,"['reais', 'rarer', 'rarer', 'eater', 'gayer', 'paper']","['YYYXX', 'YGYGG', 'YGYGG', 'YGXGG', 'XGXGG', 'GGGGG']","[57, 24, 24, 15, 8, 8]"
36,5,"['reais', 'emcee', 'dowel', 'kneed', 'unfed']","['XYXXX', 'YXXGY', 'YXXGX', 'XGYGG', 'GGGGG']","[121, 29, 2, 1, 1]"
37,4,"['reais', 'emcee', 'dwell', 'whelp']","['XYXXX', 'YXXYY', 'XYGGY', 'GGGGG']","[121, 7, 1, 1]"
38,5,"['reais', 'drama', 'crack', 'brawn', 'trawl']","['YXGXX', 'XGGXY', 'XGGXX', 'XGGGX', 'GGGGG']","[44, 20, 10, 1, 1]"
39,4,"['reais', 'booty', 'outgo', 'outdo']","['XXXXX', 'XYYYX', 'GGGXG', 'GGGGG']","[168, 3, 1, 1]"
40,4,"['reais', 'eagle', 'abode', 'adobe']","['XYYXX', 'YYXXG', 'GYGYG', 'GGGGG']","[90, 7, 1, 1]"
41,4,"['reais', 'drama', 'crack', 'crazy']","['YXGXX', 'XGGXY', 'GGGYX', 'GGGGG']","[44, 20, 3, 3]"
42,4,"['reais', 'spree', 'sneer', 'sower']","['YYXXY', 'GXYGY', 'GXYGG', 'GGGGG']","[33, 5, 2, 2]"
43,4,"['reais', 'rebar', 'relay', 'repay']","['GGYXX', 'GGXGY', 'GGXGG', 'GGGGG']","[8, 6, 1, 1]"
44,4,"['reais', 'civic', 'limit', 'digit']","['XXXGX', 'XGXGX', 'XGXGG', 'GGGGG']","[40, 5, 1, 1]"
45,3,"['reais', 'grace', 'crate']","['YYGXX', 'XGGYG', 'GGGGG']","[22, 4, 4]"
46,3,"['reais', 'booty', 'cluck']","['XXXXX', 'XXXXX', 'GGGGG']","[168, 19, 19]"
47,3,"['reais', 'spine', 'spike']","['XYXYY', 'GGGXG', 'GGGGG']","[28, 3, 3]"
48,3,"['reais', 'civic', 'mimic']","['XXXGX', 'YGXGG', 'GGGGG']","[40, 1, 1]"
49,5,"['reais', 'booty', 'couch', 'wound', 'pound']","['XXXXX', 'XGYXX', 'XGGXX', 'XGGGG', 'GGGGG']","[168, 16, 5, 3, 3]"
50,3,"['reais', 'mania', 'maxim']","['XXYGX', 'GGXGY', 'GGGGG']","[24, 2, 2]"
51,3,"['reais', 'niece', 'linen']","['XYXYX', 'YGYXY', 'GGGGG']","[74, 6, 6]"
52,5,"['reais', 'emcee', 'modem', 'lumen', 'unmet']","['XYXXX', 'YYXGY', 'YXXGY', 'XYGGY', 'GGGGG']","[121, 10, 3, 1, 1]"
53,3,"['reais', 'sheet', 'flesh']","['XYXXY', 'YYGYX', 'GGGGG']","[67, 1, 1]"
54,3,"['reais', 'booty', 'booby']","['XXXXX', 'GGGXG', 'GGGGG']","[168, 2, 2]"
55,4,"['reais', 'error', 'worry', 'forth']","['YXXXX', 'XYGYY', 'XGGYX', 'GGGGG']","[103, 16, 7, 7]"
56,3,"['reais', 'frisk', 'first']","['YXXYY', 'GYYGX', 'GGGGG']","[12, 1, 1]"
57,4,"['reais', 'slash', 'stank', 'stand']","['XXGXY', 'GXGYX', 'GGGGX', 'GGGGG']","[50, 14, 1, 1]"
58,3,"['reais', 'melee', 'belly']","['XGXXX', 'XGGYY', 'GGGGG']","[61, 8, 8]"
59,4,"['reais', 'prior', 'intro', 'ivory']","['YXXYX', 'XYYYY', 'GXXGY', 'GGGGG']","[41, 3, 1, 1]"
60,3,"['reais', 'sense', 'seedy']","['XGXXY', 'GGXYY', 'GGGGG']","[15, 2, 2]"
61,3,"['reais', 'prior', 'print']","['YXXYX', 'GGGXY', 'GGGGG']","[41, 3, 3]"
62,3,"['reais', 'heard', 'yearn']","['YGGXX', 'XGGGX', 'GGGGG']","[8, 5, 5]"
63,3,"['reais', 'train', 'drain']","['YXGGX', 'XGGGG', 'GGGGG']","[11, 3, 3]"
64,6,"['reais', 'drier', 'trite', 'prime', 'brine', 'bribe']","['YYXYX', 'XGGYY', 'XGGXG', 'XGGXG', 'GGGXG', 'GGGGG']","[53, 14, 9, 3, 1, 1]"
65,4,"['reais', 'slosh', 'stoop', 'stout']","['XXXXY', 'GXGYX', 'GGGYX', 'GGGGG']","[89, 21, 3, 3]"
66,4,"['reais', 'eagle', 'lapel', 'panel']","['XYYXX', 'YGXYY', 'YGYGG', 'GGGGG']","[90, 8, 1, 1]"
67,2,"['reais', 'crass']","['YXGXG', 'GGGGG']","[3, 3]"
68,4,"['reais', 'emcee', 'theme', 'flume']","['XYXXX', 'YYXYG', 'XXYGG', 'GGGGG']","[121, 5, 3, 3]"
69,4,"['reais', 'canal', 'loyal', 'offal']","['XXYXX', 'XYXGG', 'YYXGG', 'GGGGG']","[150, 6, 1, 1]"
