,steps,words,feedback,ncands
0,3,"['roate', 'array', 'cigar']","['YXYXX', 'YYYGX', 'GGGGG']","[35, 4, 4]"
1,3,"['roate', 'reset', 'rebut']","['GXXYY', 'GGXYG', 'GGGGG']","[8, 4, 4]"
2,4,"['roate', 'sully', 'spiny', 'sissy']","['XXXXX', 'GXXXG', 'GXYXG', 'GGGGG']","[195, 5, 1, 1]"
3,4,"['roate', 'sully', 'hunch', 'humph']","['XXXXX', 'XGXXX', 'GGXXG', 'GGGGG']","[195, 11, 1, 1]"
4,4,"['roate', 'lease', 'adage', 'awake']","['XXGXG', 'XYGXG', 'GXGXG', 'GGGGG']","[42, 10, 2, 2]"
5,3,"['roate', 'sully', 'blush']","['XXXXX', 'YYYYX', 'GGGGG']","[195, 3, 3]"
6,3,"['roate', 'local', 'focal']","['XGYXX', 'YGGGG', 'GGGGG']","[16, 2, 2]"
7,4,"['roate', 'lease', 'adage', 'evade']","['XXGXG', 'XYGXG', 'YYGXG', 'GGGGG']","[42, 10, 1, 1]"
8,3,"['roate', 'canal', 'naval']","['XXYXX', 'XGYGG', 'GGGGG']","[112, 2, 2]"
9,4,"['roate', 'eerie', 'verve', 'serve']","['YXXXG', 'YGGXG', 'YGGGG', 'GGGGG']","[39, 6, 2, 2]"
10,2,"['roate', 'heath']","['XXGGY', 'GGGGG']","[3, 3]"
11,3,"['roate', 'drama', 'dwarf']","['YXGXX', 'GYGXY', 'GGGGG']","[51, 2, 2]"
12,5,"['roate', 'gooey', 'woven', 'modem', 'model']","['XGXXY', 'XGYGX', 'XGXGX', 'GGGGY', 'GGGGG']","[21, 12, 2, 1, 1]"
13,3,"['roate', 'array', 'karma']","['YXYXX', 'YYGYX', 'GGGGG']","[35, 7, 7]"
14,3,"['roate', 'stint', 'stink']","['XXXYX', 'GGGGY', 'GGGGG']","[63, 2, 2]"
15,4,"['roate', 'erase', 'grave', 'grade']","['YXGXG', 'YGGXG', 'GGGXG', 'GGGGG']","[23, 14, 4, 4]"
16,4,"['roate', 'tweet', 'unset', 'quiet']","['XXXYY', 'YXYGG', 'YXXGG', 'GGGGG']","[56, 10, 2, 2]"
17,3,"['roate', 'sheen', 'bench']","['XXXXY', 'XYYYY', 'GGGGG']","[106, 3, 3]"
18,3,"['roate', 'slate', 'abate']","['XXGGG', 'XXGGG', 'GGGGG']","[7, 2, 2]"
19,4,"['roate', 'sheen', 'begin', 'feign']","['XXXXY', 'XXYYG', 'XGYYG', 'GGGGG']","[106, 5, 2, 2]"
20,3,"['roate', 'arbor', 'major']","['YYYXX', 'YYXGG', 'GGGGG']","[28, 7, 7]"
21,3,"['roate', 'heath', 'death']","['XXGGY', 'YGGGG', 'GGGGG']","[3, 1, 1]"
22,3,"['roate', 'freer', 'fresh']","['YXXXY', 'GGGYY', 'GGGGG']","[102, 1, 1]"
23,3,"['roate', 'trust', 'crust']","['YXXYX', 'YGGGG', 'GGGGG']","[29, 1, 1]"
24,4,"['roate', 'stout', 'stoop', 'stool']","['XYXYX', 'GGGXY', 'GGGGX', 'GGGGG']","[26, 7, 2, 2]"
25,4,"['roate', 'wooly', 'login', 'colon']","['XGXXX', 'XGYYX', 'YGXXG', 'GGGGG']","[71, 7, 1, 1]"
26,4,"['roate', 'lease', 'phase', 'abase']","['XXGXG', 'XYGGG', 'XXGGG', 'GGGGG']","[42, 3, 1, 1]"
27,4,"['roate', 'array', 'harry', 'marry']","['YXYXX', 'YYGYG', 'XGGGG', 'GGGGG']","[35, 6, 3, 3]"
28,2,"['roate', 'react']","['GXGYY', 'GGGGG']","[1, 1]"
29,3,"['roate', 'tatty', 'batty']","['XXYGX', 'YGGGG', 'GGGGG']","[18, 4, 4]"
30,4,"['roate', 'eerie', 'prime', 'pride']","['YXXXG', 'YYYYG', 'GGGXG', 'GGGGG']","[39, 15, 3, 3]"
31,3,"['roate', 'sloop', 'floss']","['XYXXX', 'YGGYX', 'GGGGG']","[66, 2, 2]"
32,4,"['roate', 'sheen', 'welch', 'helix']","['XXXXY', 'XYYYX', 'XGGXY', 'GGGGG']","[106, 4, 1, 1]"
33,4,"['roate', 'arbor', 'groan', 'croak']","['YYYXX', 'YGXYY', 'XGGGX', 'GGGGG']","[28, 3, 1, 1]"
34,5,"['roate', 'start', 'stank', 'stash', 'staff']","['XXGYX', 'GGGXY', 'GGGXX', 'GGGYX', 'GGGGG']","[23, 10, 5, 4, 4]"
35,4,"['roate', 'rarer', 'eager', 'paper']","['YXYXY', 'YGYGG', 'YGXGG', 'GGGGG']","[42, 18, 12, 12]"
36,3,"['roate', 'sheen', 'unfed']","['XXXXY', 'XXYGY', 'GGGGG']","[106, 4, 4]"
37,3,"['roate', 'sheen', 'whelp']","['XXXXY', 'XGGYX', 'GGGGG']","[106, 2, 2]"
38,3,"['roate', 'trait', 'trawl']","['YXGYX', 'GGGXY', 'GGGGG']","[20, 4, 4]"
