,steps,words,feedback,ncands
0,4,"['soare', 'radar', 'briar', 'cigar']","['XXYYX', 'YYXGG', 'XYYGG', 'GGGGG']","[42, 6, 2, 2]"
1,4,"['soare', 'refer', 'rerun', 'rebut']","['XXXYY', 'GGXYY', 'GGYGX', 'GGGGG']","[117, 9, 2, 2]"
2,3,"['soare', 'stink', 'sissy']","['GXXXX', 'GXYXX', 'GGGGG']","[63, 4, 4]"
3,4,"['soare', 'hilly', 'hutch', 'humph']","['XXXXX', 'GXXXX', 'GGXXG', 'GGGGG']","[183, 3, 1, 1]"
4,3,"['soare', 'elate', 'awake']","['XXGXG', 'YXGXG', 'GGGGG']","[28, 12, 12]"
5,3,"['soare', 'hussy', 'blush']","['YXXXX', 'YYYGX', 'GGGGG']","[33, 3, 3]"
6,3,"['soare', 'local', 'focal']","['XGYXX', 'YGGGG', 'GGGGG']","[21, 2, 2]"
7,3,"['soare', 'elate', 'evade']","['XXGXG', 'GXGXG', 'GGGGG']","[28, 1, 1]"
8,3,"['soare', 'canal', 'naval']","['XXYXX', 'XGYGG', 'GGGGG']","[138, 2, 2]"
9,3,"['soare', 'spree', 'serve']","['GXXYG', 'GXGYG', 'GGGGG']","[4, 2, 2]"
10,3,"['soare', 'leach', 'heath']","['XXGXY', 'XGGXG', 'GGGGG']","[21, 2, 2]"
11,3,"['soare', 'award', 'dwarf']","['XXGGX', 'YGGGY', 'GGGGG']","[13, 1, 1]"
12,4,"['soare', 'novel', 'towel', 'model']","['XGXXY', 'XGXGG', 'XGXGG', 'GGGGG']","[26, 6, 1, 1]"
13,4,"['soare', 'radar', 'parka', 'karma']","['XXYYX', 'YGXYY', 'XGGYG', 'GGGGG']","[42, 7, 1, 1]"
14,2,"['soare', 'stink']","['GXXXX', 'GGGGG']","[63, 63]"
15,3,"['soare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
