,steps,words,feedback,ncands
0,4,"['stare', 'radar', 'briar', 'cigar']","['XXYYX', 'YYXGG', 'XYYGG', 'GGGGG']","[64, 7, 2, 2]"
1,4,"['stare', 'tenet', 'remit', 'rebut']","['XYXYY', 'YGXYG', 'GGXXG', 'GGGGG']","[30, 5, 2, 2]"
2,2,"['stare', 'sissy']","['GXXXX', 'GGGGG']","[67, 67]"
3,4,"['stare', 'doily', 'hunch', 'humph']","['XXXXX', 'XXXXX', 'GGXXG', 'GGGGG']","[227, 8, 1, 1]"
4,4,"['stare', 'leave', 'adage', 'awake']","['XXGXG', 'XYGXG', 'GXGXG', 'GGGGG']","[24, 8, 2, 2]"
5,4,"['stare', 'sissy', 'flush', 'blush']","['YXXXX', 'YXYGX', 'XGGGG', 'GGGGG']","[38, 5, 2, 2]"
6,4,"['stare', 'canal', 'local', 'focal']","['XXYXX', 'YYXGG', 'YGGGG', 'GGGGG']","[127, 3, 2, 2]"
7,3,"['stare', 'leave', 'evade']","['XXGXG', 'XYGYG', 'GGGGG']","[24, 1, 1]"
8,3,"['stare', 'canal', 'naval']","['XXYXX', 'XGYGG', 'GGGGG']","[127, 1, 1]"
9,3,"['stare', 'spree', 'serve']","['GXXYG', 'GXGYG', 'GGGGG']","[4, 2, 2]"
10,3,"['stare', 'leant', 'heath']","['XYGXY', 'XGGXY', 'GGGGG']","[11, 4, 4]"
11,3,"['stare', 'award', 'dwarf']","['XXGGX', 'YGGGY', 'GGGGG']","[12, 1, 1]"
12,3,"['stare', 'melee', 'model']","['XXXXY', 'GYYGY', 'GGGGG']","[116, 1, 1]"
13,3,"['stare', 'radar', 'karma']","['XXYYX', 'YGXYY', 'GGGGG']","[64, 8, 8]"
14,3,"['stare', 'stint', 'stink']","['GGXXX', 'GGGGY', 'GGGGG']","[22, 2, 2]"
15,3,"['stare', 'grave', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[14, 4, 4]"
16,5,"['stare', 'tenet', 'covet', 'fleet', 'quiet']","['XYXXY', 'YYXGG', 'XXXGG', 'XXYGG', 'GGGGG']","[54, 7, 3, 1, 1]"
17,4,"['stare', 'melee', 'beech', 'bench']","['XXXXY', 'XGXYY', 'GGYGG', 'GGGGG']","[116, 18, 1, 1]"
18,3,"['stare', 'elate', 'abate']","['XYGXG', 'YXGGG', 'GGGGG']","[5, 3, 3]"
19,4,"['stare', 'melee', 'beech', 'feign']","['XXXXY', 'XGXYY', 'XGYXX', 'GGGGG']","[116, 18, 3, 3]"
20,3,"['stare', 'radar', 'major']","['XXYYX', 'YGXYG', 'GGGGG']","[64, 7, 7]"
21,4,"['stare', 'leant', 'heath', 'death']","['XYGXY', 'XGGXY', 'YGGGG', 'GGGGG']","[11, 4, 1, 1]"
22,4,"['stare', 'riser', 'cress', 'fresh']","['YXXYY', 'YXYYY', 'XGGGY', 'GGGGG']","[14, 5, 1, 1]"
23,3,"['stare', 'trust', 'crust']","['YYXYX', 'YGGGG', 'GGGGG']","[13, 1, 1]"
24,4,"['stare', 'stint', 'stoop', 'stool']","['GGXXX', 'GGXXY', 'GGGGX', 'GGGGG']","[22, 9, 2, 2]"
25,3,"['stare', 'doily', 'colon']","['XXXXX', 'XGXYX', 'GGGGG']","[227, 2, 2]"
26,3,"['stare', 'cease', 'abase']","['YXGXG', 'XYGGG', 'GGGGG']","[6, 2, 2]"
27,3,"['stare', 'carry', 'marry']","['XXYGX', 'XGGGG', 'GGGGG']","[16, 3, 3]"
28,2,"['stare', 'react']","['XYGYY', 'GGGGG']","[1, 1]"
29,3,"['stare', 'tatty', 'batty']","['XYYXX', 'YGGGG', 'GGGGG']","[74, 4, 4]"
30,3,"['stare', 'erode', 'pride']","['XXXYG', 'YGXGG', 'GGGGG']","[49, 4, 4]"
31,4,"['stare', 'sissy', 'flush', 'floss']","['YXXXX', 'YXYGX', 'GGXGX', 'GGGGG']","[38, 5, 1, 1]"
32,4,"['stare', 'melee', 'hello', 'helix']","['XXXXY', 'XGGYY', 'GGGYX', 'GGGGG']","[116, 9, 1, 1]"
33,5,"['stare', 'radar', 'array', 'groan', 'croak']","['XXYYX', 'YYXGY', 'YGYGX', 'XGGGX', 'GGGGG']","[64, 11, 4, 1, 1]"
34,4,"['stare', 'stank', 'stash', 'staff']","['GGGXX', 'GGGXX', 'GGGYX', 'GGGGG']","[10, 5, 4, 4]"
35,4,"['stare', 'rarer', 'eager', 'paper']","['XXYYY', 'YGYGG', 'YGXGG', 'GGGGG']","[47, 16, 10, 10]"
36,4,"['stare', 'melee', 'doven', 'unfed']","['XXXXY', 'XYXGY', 'YXXGY', 'GGGGG']","[116, 23, 4, 4]"
