,steps,words,feedback,ncands
0,3,"['tales', 'array', 'cigar']","['XYXXX', 'YYYGX', 'GGGGG']","[102, 2, 2]"
1,4,"['tales', 'teeth', 'refit', 'rebut']","['YXXYX', 'YGYYX', 'GGXXG', 'GGGGG']","[52, 14, 2, 2]"
2,2,"['tales', 'sissy']","['XXXXY', 'GGGGG']","[88, 88]"
3,4,"['tales', 'crony', 'humid', 'humph']","['XXXXX', 'XXXXX', 'GGGXX', 'GGGGG']","[221, 4, 1, 1]"
4,3,"['tales', 'aware', 'awake']","['XYXYX', 'GGGXG', 'GGGGG']","[83, 1, 1]"
5,3,"['tales', 'slush', 'blush']","['XXYXY', 'YGGGG', 'GGGGG']","[28, 3, 3]"
6,3,"['tales', 'flail', 'focal']","['XYYXX', 'GYYXG', 'GGGGG']","[67, 1, 1]"
7,4,"['tales', 'aware', 'heave', 'evade']","['XYXYX', 'YXGXG', 'XYGYG', 'GGGGG']","[83, 8, 1, 1]"
8,3,"['tales', 'canal', 'naval']","['XGYXX', 'XGYGG', 'GGGGG']","[18, 1, 1]"
9,3,"['tales', 'sense', 'serve']","['XXXYY', 'GGXYG', 'GGGGG']","[69, 3, 3]"
10,3,"['tales', 'agate', 'heath']","['YYXYX', 'YXGGY', 'GGGGG']","[24, 3, 3]"
11,4,"['tales', 'array', 'chard', 'dwarf']","['XYXXX', 'YYYYX', 'XXGGY', 'GGGGG']","[102, 13, 1, 1]"
12,5,"['tales', 'level', 'expel', 'dowel', 'model']","['XXYGX', 'YYXGG', 'YXXGG', 'YGXGG', 'GGGGG']","[43, 11, 7, 1, 1]"
13,4,"['tales', 'mania', 'gamma', 'karma']","['XGXXX', 'YGXXG', 'XGYGG', 'GGGGG']","[82, 2, 1, 1]"
14,3,"['tales', 'stout', 'stink']","['YXXXY', 'GGXXY', 'GGGGG']","[67, 5, 5]"
15,4,"['tales', 'aware', 'grave', 'grade']","['XYXYX', 'YXGYG', 'GGGXG', 'GGGGG']","[83, 14, 4, 4]"
16,3,"['tales', 'otter', 'quiet']","['YXXGX', 'XYYGX', 'GGGGG']","[22, 4, 4]"
17,4,"['tales', 'eerie', 'needy', 'bench']","['XXXYX', 'YGXXY', 'YGYXX', 'GGGGG']","[165, 14, 4, 4]"
18,3,"['tales', 'agate', 'abate']","['YYXYX', 'GXGGG', 'GGGGG']","[24, 1, 1]"
19,4,"['tales', 'eerie', 'neigh', 'feign']","['XXXYX', 'YGXYY', 'YGGGX', 'GGGGG']","[165, 5, 2, 2]"
20,5,"['tales', 'mania', 'mammy', 'macaw', 'major']","['XGXXX', 'GGXXY', 'GGYYX', 'GGXYX', 'GGGGG']","[82, 10, 6, 1, 1]"
21,4,"['tales', 'agate', 'heath', 'death']","['YYXYX', 'YXGGY', 'YGGGG', 'GGGGG']","[24, 3, 1, 1]"
22,3,"['tales', 'sense', 'fresh']","['XXXYY', 'YYXGY', 'GGGGG']","[69, 2, 2]"
23,3,"['tales', 'stout', 'crust']","['YXXXY', 'YYXYG', 'GGGGG']","[67, 2, 2]"
24,3,"['tales', 'still', 'stool']","['YXYXY', 'GGXYG', 'GGGGG']","[6, 1, 1]"
25,3,"['tales', 'folly', 'colon']","['XXGXX', 'XGGYX', 'GGGGG']","[27, 2, 2]"
26,3,"['tales', 'share', 'abase']","['XYXYY', 'YXGXG', 'GGGGG']","[33, 3, 3]"
27,4,"['tales', 'mania', 'mammy', 'marry']","['XGXXX', 'GGXXY', 'GGYYG', 'GGGGG']","[82, 10, 1, 1]"
28,3,"['tales', 'agate', 'react']","['YYXYX', 'YXGYY', 'GGGGG']","[24, 5, 5]"
29,3,"['tales', 'tatty', 'batty']","['YGXXX', 'YGGGG', 'GGGGG']","[31, 5, 5]"
30,4,"['tales', 'eerie', 'prime', 'pride']","['XXXYX', 'YYYYG', 'GGGXG', 'GGGGG']","[165, 14, 3, 3]"
31,2,"['tales', 'floss']","['XXYXG', 'GGGGG']","[5, 5]"
32,4,"['tales', 'belle', 'melon', 'helix']","['XXGYX', 'XGGYY', 'XGGXX', 'GGGGG']","[16, 5, 3, 3]"
33,5,"['tales', 'array', 'briar', 'groan', 'croak']","['XYXXX', 'YGYGX', 'XGXGY', 'XGGGX', 'GGGGG']","[102, 7, 3, 1, 1]"
34,5,"['tales', 'start', 'stand', 'stash', 'staff']","['YYXXY', 'GGGXY', 'GGGXX', 'GGGYX', 'GGGGG']","[26, 8, 4, 3, 3]"
