,steps,words,feedback,ncands
0,3,"['tores', 'briar', 'cigar']","['XXYXX', 'XYYGG', 'GGGGG']","[97, 2, 2]"
1,4,"['tores', 'erect', 'remit', 'rebut']","['YXYYX', 'YYYXG', 'GGXXG', 'GGGGG']","[23, 4, 1, 1]"
2,3,"['tores', 'sassy', 'sissy']","['XXXXY', 'GXGGG', 'GGGGG']","[120, 1, 1]"
3,4,"['tores', 'canny', 'fluid', 'humph']","['XXXXX', 'XXXXX', 'XXYXX', 'GGGGG']","[246, 17, 1, 1]"
4,5,"['tores', 'melee', 'niece', 'gauge', 'awake']","['XXXYX', 'XYXYG', 'XXYXG', 'XYXXG', 'GGGGG']","[196, 39, 14, 2, 2]"
5,3,"['tores', 'sassy', 'blush']","['XXXXY', 'YXYGX', 'GGGGG']","[120, 4, 4]"
6,4,"['tores', 'wooly', 'local', 'focal']","['XGXXX', 'XGYYX', 'YGGGG', 'GGGGG']","[79, 11, 2, 2]"
7,6,"['tores', 'melee', 'niece', 'gauge', 'awake', 'evade']","['XXXYX', 'XYXYG', 'XXYXG', 'XYXXG', 'YXGXG', 'GGGGG']","[196, 39, 14, 2, 1, 1]"
8,3,"['tores', 'canny', 'naval']","['XXXXX', 'XGYYX', 'GGGGG']","[246, 2, 2]"
9,3,"['tores', 'verse', 'serve']","['XXGYY', 'YGGYG', 'GGGGG']","[9, 1, 1]"
10,3,"['tores', 'elate', 'heath']","['YXXYX', 'YXGGY', 'GGGGG']","[69, 3, 3]"
11,4,"['tores', 'briar', 'award', 'dwarf']","['XXYXX', 'XYXYY', 'YGGGY', 'GGGGG']","[97, 13, 1, 1]"
12,4,"['tores', 'woven', 'modem', 'model']","['XGXGX', 'XGXGX', 'GGGGY', 'GGGGG']","[19, 5, 1, 1]"
13,3,"['tores', 'carry', 'karma']","['XXGXX', 'XGGYX', 'GGGGG']","[29, 3, 3]"
14,3,"['tores', 'stint', 'stink']","['YXXXY', 'GGGGY', 'GGGGG']","[58, 2, 2]"
15,4,"['tores', 'rearm', 'grave', 'grade']","['XXYYX', 'YYGYX', 'GGGXG', 'GGGGG']","[93, 13, 4, 4]"
16,4,"['tores', 'fleet', 'duvet', 'quiet']","['YXXGX', 'XXYGG', 'XGXGG', 'GGGGG']","[13, 5, 1, 1]"
17,4,"['tores', 'melee', 'beech', 'bench']","['XXXYX', 'XGXYY', 'GGYGG', 'GGGGG']","[196, 26, 2, 2]"
18,3,"['tores', 'elate', 'abate']","['YXXYX', 'YXGGG', 'GGGGG']","[69, 2, 2]"
19,4,"['tores', 'melee', 'beech', 'feign']","['XXXYX', 'XGXYY', 'XGYXX', 'GGGGG']","[196, 26, 4, 4]"
20,4,"['tores', 'brood', 'razor', 'major']","['XYYXX', 'XYYGX', 'YGXGG', 'GGGGG']","[74, 13, 6, 6]"
21,4,"['tores', 'elate', 'heath', 'death']","['YXXYX', 'YXGGY', 'YGGGG', 'GGGGG']","[69, 3, 1, 1]"
22,3,"['tores', 'spare', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[18, 2, 2]"
23,3,"['tores', 'start', 'crust']","['YXYXY', 'YYXYG', 'GGGGG']","[12, 2, 2]"
24,4,"['tores', 'stout', 'stoop', 'stool']","['YYXXY', 'GGGXY', 'GGGGX', 'GGGGG']","[17, 7, 2, 2]"
25,4,"['tores', 'wooly', 'local', 'colon']","['XGXXX', 'XGYYX', 'YGYXY', 'GGGGG']","[79, 11, 1, 1]"
26,4,"['tores', 'sense', 'pause', 'abase']","['XXXYY', 'YYXGG', 'XYXGG', 'GGGGG']","[72, 12, 2, 2]"
27,3,"['tores', 'carry', 'marry']","['XXGXX', 'XGGGG', 'GGGGG']","[29, 3, 3]"
28,3,"['tores', 'erect', 'react']","['YXYYX', 'YYYGG', 'GGGGG']","[23, 1, 1]"
29,3,"['tores', 'tatty', 'batty']","['YXXXX', 'YGGGG', 'GGGGG']","[87, 4, 4]"
30,3,"['tores', 'rearm', 'pride']","['XXYYX', 'YYXYX', 'GGGGG']","[93, 14, 14]"
31,2,"['tores', 'floss']","['XYXXG', 'GGGGG']","[3, 3]"
32,4,"['tores', 'melee', 'belly', 'helix']","['XXXYX', 'XGGYY', 'XGGYX', 'GGGGG']","[196, 7, 2, 2]"
33,5,"['tores', 'brood', 'grown', 'crock', 'croak']","['XYYXX', 'XGGYX', 'XGGXX', 'GGGYG', 'GGGGG']","[74, 18, 6, 1, 1]"
34,5,"['tores', 'stint', 'stalk', 'stash', 'staff']","['YXXXY', 'GGXXY', 'GGGXX', 'GGGYX', 'GGGGG']","[58, 10, 3, 2, 2]"
35,5,"['tores', 'freer', 'rarer', 'eager', 'paper']","['XXYGX', 'XYYGG', 'YGYGG', 'YGXGG', 'GGGGG']","[94, 52, 15, 9, 9]"
36,5,"['tores', 'level', 'emcee', 'annex', 'unfed']","['XXXGX', 'XYXGX', 'YXXGY', 'XGYGX', 'GGGGG']","[55, 20, 11, 3, 3]"
37,4,"['tores', 'melee', 'plead', 'whelp']","['XXXYX', 'XYYYY', 'YYGXX', 'GGGGG']","[196, 16, 1, 1]"
38,3,"['tores', 'trait', 'trawl']","['GXYXX', 'GGGXY', 'GGGGG']","[19, 3, 3]"
39,3,"['tores', 'afoot', 'outdo']","['YYXXX', 'XXYYY', 'GGGGG']","[31, 6, 6]"
