,steps,words,feedback,ncands
0,4,"['arles', 'yarco', 'chart', 'cigar']","['YYXXX', 'XYYYX', 'GXYYX', 'GGGGG']","[65, 6, 1, 1]"
1,5,"['arles', 'toyer', 'merit', 'recut', 'rebut']","['XYXYX', 'YXXYY', 'XGYXG', 'GGXGG', 'GGGGG']","[64, 9, 2, 1, 1]"
2,4,"['arles', 'oints', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGGGG', 'GGGGG']","[114, 5, 1, 1]"
3,4,"['arles', 'unity', 'cough', 'humph']","['XXXXX', 'YXXXX', 'XXYXG', 'GGGGG']","[205, 12, 1, 1]"
4,4,"['arles', 'anode', 'acute', 'awake']","['GXXYX', 'GXXXG', 'GXXXG', 'GGGGG']","[19, 6, 3, 3]"
5,6,"['arles', 'louis', 'skull', 'flush', 'plush', 'blush']","['XXYXY', 'YXGXY', 'YXGYY', 'XGGGG', 'XGGGG', 'GGGGG']","[31, 9, 3, 2, 1, 1]"
6,5,"['arles', 'octal', 'local', 'vocal', 'focal']","['YXYXX', 'YYXGG', 'YGGGG', 'XGGGG', 'GGGGG']","[68, 3, 2, 1, 1]"
7,5,"['arles', 'teach', 'image', 'quake', 'evade']","['YXXYX', 'XYGXX', 'XXGXG', 'XXGXG', 'GGGGG']","[56, 5, 3, 1, 1]"
8,4,"['arles', 'octal', 'final', 'naval']","['YXYXX', 'XXXGG', 'XXYGG', 'GGGGG']","[68, 5, 1, 1]"
9,3,"['arles', 'roues', 'serve']","['XYXYY', 'YXXYY', 'GGGGG']","[26, 8, 8]"
10,4,"['arles', 'teach', 'death', 'heath']","['YXXYX', 'YGGXG', 'XGGGG', 'GGGGG']","[56, 2, 1, 1]"
11,4,"['arles', 'yarco', 'guard', 'dwarf']","['YYXXX', 'XYYXX', 'XXGGY', 'GGGGG']","[65, 8, 1, 1]"
12,3,"['arles', 'lobed', 'model']","['XXYGX', 'YGXGY', 'GGGGG']","[30, 2, 2]"
13,3,"['arles', 'yarco', 'karma']","['YYXXX', 'XGGXX', 'GGGGG']","[65, 2, 2]"
14,5,"['arles', 'oints', 'stint', 'sting', 'stink']","['XXXXY', 'XYYYY', 'GGGGY', 'GGGGX', 'GGGGG']","[114, 3, 2, 1, 1]"
15,4,"['arles', 'acred', 'trade', 'grade']","['YGXYX', 'YXYYY', 'XGGGG', 'GGGGG']","[30, 5, 1, 1]"
16,3,"['arles', 'noted', 'quiet']","['XXXGX', 'XXYGX', 'GGGGG']","[44, 5, 5]"
17,4,"['arles', 'ident', 'ounce', 'bench']","['XXXYX', 'XXYYX', 'XXGGY', 'GGGGG']","[130, 12, 2, 2]"
18,5,"['arles', 'anode', 'acute', 'agate', 'abate']","['GXXYX', 'GXXXG', 'GXXGG', 'GXGGG', 'GGGGG']","[19, 6, 2, 1, 1]"
19,4,"['arles', 'ident', 'hinge', 'feign']","['XXXYX', 'YXYYX', 'XYYGY', 'GGGGG']","[130, 11, 1, 1]"
20,3,"['arles', 'yarco', 'major']","['YYXXX', 'XGYXY', 'GGGGG']","[65, 5, 5]"
21,3,"['arles', 'teach', 'death']","['YXXYX', 'YGGXG', 'GGGGG']","[56, 2, 2]"
22,2,"['arles', 'fresh']","['XGXYY', 'GGGGG']","[4, 4]"
23,2,"['arles', 'crust']","['XGXXY', 'GGGGG']","[11, 11]"
24,4,"['arles', 'louis', 'sloop', 'stool']","['XXYXY', 'YYXXY', 'GYGGX', 'GGGGG']","[31, 7, 1, 1]"
25,3,"['arles', 'doily', 'colon']","['XXGXX', 'XGXYX', 'GGGGG']","[30, 1, 1]"
26,3,"['arles', 'abuse', 'abase']","['GXXYY', 'GGXGG', 'GGGGG']","[4, 1, 1]"
27,5,"['arles', 'yarco', 'party', 'harry', 'marry']","['YYXXX', 'YGGXX', 'XGGXG', 'XGGGG', 'GGGGG']","[65, 8, 3, 1, 1]"
28,3,"['arles', 'recta', 'react']","['YYXYX', 'GGYYY', 'GGGGG']","[25, 1, 1]"
29,5,"['arles', 'canty', 'fatty', 'patty', 'batty']","['YXXXX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[119, 4, 3, 2, 2]"
30,6,"['arles', 'petri', 'prize', 'prime', 'price', 'pride']","['XGXYX', 'GYXYY', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[45, 4, 3, 2, 1, 1]"
31,4,"['arles', 'bliss', 'gloss', 'floss']","['XXYXG', 'XGXGG', 'XGGGG', 'GGGGG']","[5, 2, 1, 1]"
32,4,"['arles', 'belch', 'hello', 'helix']","['XXGYX', 'XGGXY', 'GGGYX', 'GGGGG']","[17, 2, 1, 1]"
33,4,"['arles', 'drant', 'friar', 'croak']","['YGXXX', 'XGYXX', 'XGXGY', 'GGGGG']","[40, 3, 1, 1]"
34,3,"['arles', 'antsy', 'staff']","['YXXXY', 'YXYYX', 'GGGGG']","[62, 9, 9]"
35,3,"['arles', 'prate', 'paper']","['YYXGX', 'GYYXY', 'GGGGG']","[25, 3, 3]"
36,4,"['arles', 'noted', 'unwed', 'unfed']","['XXXGX', 'YXXGG', 'GGXGG', 'GGGGG']","[44, 3, 1, 1]"
37,5,"['arles', 'louie', 'newly', 'dwell', 'whelp']","['XXYYX', 'YXXXY', 'XYYGX', 'XYGGY', 'GGGGG']","[55, 10, 3, 1, 1]"
38,3,"['arles', 'trail', 'trawl']","['YGYXX', 'GGGXG', 'GGGGG']","[8, 1, 1]"
39,4,"['arles', 'unity', 'touch', 'outdo']","['XXXXX', 'YXXYX', 'YYYXX', 'GGGGG']","[205, 11, 2, 2]"
40,3,"['arles', 'anode', 'adobe']","['GXXYX', 'GXGYG', 'GGGGG']","[19, 1, 1]"
41,4,"['arles', 'drant', 'graph', 'crazy']","['YGXXX', 'XGGXX', 'XGGXX', 'GGGGG']","[40, 7, 4, 4]"
42,5,"['arles', 'wries', 'screw', 'sewer', 'sower']","['XYXGY', 'YYXGY', 'GXYGY', 'GYGGG', 'GGGGG']","[23, 4, 2, 1, 1]"
