,steps,words,feedback,ncands
0,4,"['dares', 'actor', 'chair', 'cigar']","['XYYXX', 'YYXXG', 'GXYYG', 'GGGGG']","[71, 3, 1, 1]"
1,4,"['dares', 'citer', 'route', 'rebut']","['XXYYX', 'XXYYY', 'GXYYY', 'GGGGG']","[71, 10, 1, 1]"
2,5,"['dares', 'toils', 'fishy', 'missy', 'sissy']","['XXXXY', 'XXYXY', 'XGGXG', 'XGGGG', 'GGGGG']","[141, 8, 3, 1, 1]"
3,4,"['dares', 'oculi', 'funky', 'humph']","['XXXXX', 'XXYXX', 'XGXXX', 'GGGGG']","[257, 15, 1, 1]"
4,5,"['dares', 'laten', 'cheap', 'awoke', 'awake']","['XYXYX', 'XYXYX', 'XXYYX', 'GGXGG', 'GGGGG']","[89, 18, 7, 1, 1]"
5,5,"['dares', 'toils', 'plush', 'flush', 'blush']","['XXXXY', 'XXXYY', 'XGGGG', 'XGGGG', 'GGGGG']","[141, 8, 3, 2, 2]"
6,6,"['dares', 'aloin', 'octal', 'local', 'vocal', 'focal']","['XYXXX', 'YYYXX', 'YYXGG', 'YGGGG', 'XGGGG', 'GGGGG']","[118, 11, 3, 2, 1, 1]"
7,3,"['dares', 'blade', 'evade']","['YYXYX', 'XXGGG', 'GGGGG']","[19, 1, 1]"
8,3,"['dares', 'canty', 'naval']","['XGXXX', 'XGYXX', 'GGGGG']","[94, 4, 4]"
9,3,"['dares', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[12, 1, 1]"
10,4,"['dares', 'laten', 'cheat', 'heath']","['XYXYX', 'XYYYX', 'XYYYY', 'GGGGG']","[89, 13, 1, 1]"
11,3,"['dares', 'drawn', 'dwarf']","['GYYXX', 'GYGYX', 'GGGGG']","[8, 1, 1]"
12,3,"['dares', 'olden', 'model']","['YXXGX', 'YYGGX', 'GGGGG']","[14, 1, 1]"
13,4,"['dares', 'party', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[16, 6, 1, 1]"
14,3,"['dares', 'toils', 'stink']","['XXXXY', 'YXGXY', 'GGGGG']","[141, 8, 8]"
15,3,"['dares', 'tread', 'grade']","['YYYYX', 'XGYYY', 'GGGGG']","[9, 1, 1]"
16,3,"['dares', 'lento', 'quiet']","['XXXGX', 'XYXYX', 'GGGGG']","[59, 3, 3]"
17,4,"['dares', 'intel', 'ounce', 'bench']","['XXXYX', 'XYXYX', 'XXGGY', 'GGGGG']","[151, 14, 2, 2]"
18,6,"['dares', 'laten', 'cheat', 'ovate', 'agate', 'abate']","['XYXYX', 'XYYYX', 'XXYYY', 'XXGGG', 'GXGGG', 'GGGGG']","[89, 13, 4, 2, 1, 1]"
19,4,"['dares', 'intel', 'hinge', 'feign']","['XXXYX', 'YYXYX', 'XYYGY', 'GGGGG']","[151, 16, 1, 1]"
20,4,"['dares', 'noria', 'valor', 'major']","['XGYXX', 'XYYXY', 'XGXGG', 'GGGGG']","[22, 8, 3, 3]"
21,3,"['dares', 'delta', 'death']","['GYXYX', 'GGXGY', 'GGGGG']","[6, 1, 1]"
22,3,"['dares', 'snore', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[18, 3, 3]"
23,3,"['dares', 'trois', 'crust']","['XXYXY', 'YGXXY', 'GGGGG']","[34, 1, 1]"
24,3,"['dares', 'toils', 'stool']","['XXXXY', 'YYXYY', 'GGGGG']","[141, 2, 2]"
25,4,"['dares', 'oculi', 'flock', 'colon']","['XXXXX', 'YYXYX', 'XYYYX', 'GGGGG']","[257, 6, 1, 1]"
26,4,"['dares', 'least', 'phase', 'abase']","['XYXYY', 'XYGGX', 'XXGGG', 'GGGGG']","[40, 3, 1, 1]"
27,5,"['dares', 'party', 'harry', 'carry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 3, 2, 1, 1]"
28,3,"['dares', 'trace', 'react']","['XYYYX', 'YYGGY', 'GGGGG']","[54, 1, 1]"
29,5,"['dares', 'canty', 'fatty', 'patty', 'batty']","['XGXXX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[94, 4, 3, 2, 2]"
30,2,"['dares', 'pride']","['YXYYX', 'GGGGG']","[10, 10]"
31,4,"['dares', 'locus', 'gloss', 'floss']","['XXXXG', 'YYXXG', 'XGGGG', 'GGGGG']","[11, 2, 1, 1]"
32,4,"['dares', 'intel', 'bilge', 'helix']","['XXXYX', 'YXXYY', 'XYGXY', 'GGGGG']","[151, 9, 1, 1]"
33,4,"['dares', 'actor', 'roach', 'croak']","['XYYXX', 'YYXYY', 'YYYYX', 'GGGGG']","[71, 3, 1, 1]"
34,4,"['dares', 'halts', 'coast', 'staff']","['XYXXY', 'XYXYY', 'XXGYY', 'GGGGG']","[63, 12, 4, 4]"
35,4,"['dares', 'great', 'paler', 'paper']","['XGYGX', 'XYYYX', 'GGXGG', 'GGGGG']","[27, 13, 2, 2]"
36,4,"['dares', 'olden', 'unwed', 'unfed']","['YXXGX', 'XXYGY', 'GGXGG', 'GGGGG']","[14, 3, 1, 1]"
37,5,"['dares', 'intel', 'coble', 'jelly', 'whelp']","['XXXYX', 'XXXYY', 'XXXGY', 'XYYGX', 'GGGGG']","[151, 27, 2, 1, 1]"
38,4,"['dares', 'actor', 'trial', 'trawl']","['XYYXX', 'YXYXY', 'GGXYG', 'GGGGG']","[71, 11, 1, 1]"
39,3,"['dares', 'doily', 'outdo']","['YXXXX', 'YYXXX', 'GGGGG']","[46, 1, 1]"
40,3,"['dares', 'blade', 'adobe']","['YYXYX', 'YXYYG', 'GGGGG']","[19, 1, 1]"
41,4,"['dares', 'actor', 'wrack', 'crazy']","['XYYXX', 'YYXXY', 'XGGYX', 'GGGGG']","[71, 7, 2, 2]"
42,4,"['dares', 'wiser', 'sewer', 'sower']","['XXYGY', 'YXYGG', 'GYGGG', 'GGGGG']","[18, 2, 1, 1]"
43,4,"['dares', 'trace', 'relay', 'repay']","['XYYYX', 'XYYXY', 'GGXGG', 'GGGGG']","[54, 9, 1, 1]"
44,3,"['dares', 'hyoid', 'digit']","['GXXXX', 'XXXGY', 'GGGGG']","[23, 1, 1]"
45,3,"['dares', 'trace', 'crate']","['XYYYX', 'YGGYG', 'GGGGG']","[54, 1, 1]"
46,5,"['dares', 'oculi', 'clump', 'clung', 'cluck']","['XXXXX', 'XYGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[257, 4, 2, 1, 1]"
47,4,"['dares', 'toise', 'spine', 'spike']","['XXXYY', 'XXGYG', 'GGGXG', 'GGGGG']","[84, 10, 2, 2]"
48,5,"['dares', 'oculi', 'winch', 'civic', 'mimic']","['XXXXX', 'XYXXY', 'XGXYX', 'YGXGG', 'GGGGG']","[257, 15, 3, 1, 1]"
49,3,"['dares', 'doily', 'pound']","['YXXXX', 'YGXXX', 'GGGGG']","[46, 7, 7]"
50,3,"['dares', 'canty', 'maxim']","['XGXXX', 'XGXXX', 'GGGGG']","[94, 9, 9]"
51,3,"['dares', 'lento', 'linen']","['XXXGX', 'GYGXX', 'GGGGG']","[59, 1, 1]"
52,3,"['dares', 'lento', 'unmet']","['XXXGX', 'XYYYX', 'GGGGG']","[59, 1, 1]"
53,4,"['dares', 'toise', 'welsh', 'flesh']","['XXXYY', 'XXXGY', 'XYYGG', 'GGGGG']","[84, 2, 1, 1]"
54,5,"['dares', 'oculi', 'phony', 'booty', 'booby']","['XXXXX', 'YXXXX', 'XXGXG', 'GGGXG', 'GGGGG']","[257, 19, 5, 2, 2]"
