,steps,words,feedback,ncands
0,3,"['lares', 'andro', 'cigar']","['XYYXX', 'YXXYX', 'GGGGG']","[74, 19, 19]"
1,4,"['lares', 'citer', 'route', 'rebut']","['XXYYX', 'XXYYY', 'GXYYY', 'GGGGG']","[81, 11, 1, 1]"
2,4,"['lares', 'oints', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGGGG', 'GGGGG']","[114, 5, 1, 1]"
3,4,"['lares', 'unity', 'cough', 'humph']","['XXXXX', 'YXXXX', 'XXYXG', 'GGGGG']","[205, 12, 1, 1]"
4,5,"['lares', 'thane', 'peace', 'image', 'awake']","['XYXYX', 'XXGXG', 'XYGXG', 'XXGXG', 'GGGGG']","[59, 9, 6, 3, 3]"
5,6,"['lares', 'louis', 'skull', 'flush', 'plush', 'blush']","['YXXXY', 'YXGXY', 'YXGYY', 'XGGGG', 'XGGGG', 'GGGGG']","[35, 9, 3, 2, 1, 1]"
6,5,"['lares', 'aloin', 'total', 'vocal', 'focal']","['YYXXX', 'YYYXX', 'XGXGG', 'XGGGG', 'GGGGG']","[71, 8, 3, 1, 1]"
7,6,"['lares', 'thane', 'peace', 'image', 'awake', 'evade']","['XYXYX', 'XXGXG', 'XYGXG', 'XXGXG', 'YXGXG', 'GGGGG']","[59, 9, 6, 3, 1, 1]"
8,3,"['lares', 'laity', 'naval']","['YGXXX', 'YGXXX', 'GGGGG']","[23, 6, 6]"
9,3,"['lares', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[12, 1, 1]"
10,4,"['lares', 'thane', 'death', 'heath']","['XYXYX', 'YYGXY', 'XGGGG', 'GGGGG']","[59, 2, 1, 1]"
11,4,"['lares', 'andro', 'guard', 'dwarf']","['XYYXX', 'YXYGX', 'XXGGY', 'GGGGG']","[74, 4, 2, 2]"
12,4,"['lares', 'towel', 'novel', 'model']","['YXXGX', 'XGXGG', 'XGXGG', 'GGGGG']","[29, 3, 1, 1]"
13,4,"['lares', 'party', 'march', 'karma']","['XGGXX', 'XGGXX', 'YGGXX', 'GGGGG']","[16, 4, 1, 1]"
14,5,"['lares', 'oints', 'stint', 'sting', 'stink']","['XXXXY', 'XYYYY', 'GGGGY', 'GGGGX', 'GGGGG']","[114, 3, 2, 1, 1]"
15,4,"['lares', 'acred', 'trade', 'grade']","['XYYYX', 'YXYYY', 'XGGGG', 'GGGGG']","[56, 7, 1, 1]"
16,3,"['lares', 'noted', 'quiet']","['XXXGX', 'XXYGX', 'GGGGG']","[44, 5, 5]"
17,4,"['lares', 'ident', 'ounce', 'bench']","['XXXYX', 'XXYYX', 'XXGGY', 'GGGGG']","[130, 12, 2, 2]"
18,5,"['lares', 'thane', 'ovate', 'agate', 'abate']","['XYXYX', 'YXGXG', 'XXGGG', 'GXGGG', 'GGGGG']","[59, 3, 2, 1, 1]"
19,4,"['lares', 'ident', 'hinge', 'feign']","['XXXYX', 'YXYYX', 'XYYGY', 'GGGGG']","[130, 11, 1, 1]"
20,3,"['lares', 'radio', 'major']","['XGYXX', 'YGXXY', 'GGGGG']","[26, 5, 5]"
21,3,"['lares', 'thane', 'death']","['XYXYX', 'YYGXY', 'GGGGG']","[59, 2, 2]"
22,3,"['lares', 'snore', 'fresh']","['XXYYY', 'YXXYY', 'GGGGG']","[18, 3, 3]"
23,4,"['lares', 'rosit', 'trust', 'crust']","['XXYXY', 'YXYXG', 'YGGGG', 'GGGGG']","[33, 4, 1, 1]"
24,4,"['lares', 'louis', 'sloop', 'stool']","['YXXXY', 'YYXXY', 'GYGGX', 'GGGGG']","[35, 7, 1, 1]"
25,4,"['lares', 'oculi', 'block', 'colon']","['YXXXX', 'YYXYX', 'XYYYX', 'GGGGG']","[102, 6, 1, 1]"
26,4,"['lares', 'ketas', 'phase', 'abase']","['XYXYY', 'XYXYY', 'XXGGG', 'GGGGG']","[35, 14, 1, 1]"
27,5,"['lares', 'party', 'harry', 'carry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 4, 2, 1, 1]"
28,3,"['lares', 'acred', 'react']","['XYYYX', 'YYYYX', 'GGGGG']","[56, 12, 12]"
