,steps,words,feedback,ncands
0,4,"['raile', 'acrid', 'vicar', 'cigar']","['YYYXX', 'YYYYX', 'XGYGG', 'GGGGG']","[14, 2, 1, 1]"
1,3,"['raile', 'recut', 'rebut']","['GXXXY', 'GGXGG', 'GGGGG']","[17, 1, 1]"
2,5,"['raile', 'ontic', 'gipsy', 'missy', 'sissy']","['XXYXX', 'XXXYX', 'XGXGG', 'XGGGG', 'GGGGG']","[98, 14, 2, 1, 1]"
3,4,"['raile', 'tousy', 'punch', 'humph']","['XXXXX', 'XXYXX', 'YGXXG', 'GGGGG']","[173, 5, 1, 1]"
4,3,"['raile', 'heats', 'awake']","['XYXXG', 'XYGXX', 'GGGGG']","[43, 7, 7]"
5,5,"['raile', 'locus', 'flush', 'plush', 'blush']","['XXXYX', 'YXXYY', 'XGGGG', 'XGGGG', 'GGGGG']","[66, 8, 3, 2, 2]"
6,5,"['raile', 'coals', 'local', 'vocal', 'focal']","['XYXYX', 'YGYYX', 'YGGGG', 'XGGGG', 'GGGGG']","[64, 3, 2, 1, 1]"
7,4,"['raile', 'heats', 'awake', 'evade']","['XYXXG', 'XYGXX', 'YXGXG', 'GGGGG']","[43, 7, 1, 1]"
8,3,"['raile', 'slant', 'naval']","['XGXYX', 'XYYYX', 'GGGGG']","[22, 4, 4]"
9,3,"['raile', 'prose', 'serve']","['YXXXG', 'XYXYG', 'GGGGG']","[58, 3, 3]"
10,4,"['raile', 'neats', 'death', 'heath']","['XYXXY', 'XGGGX', 'XGGGG', 'GGGGG']","[50, 3, 1, 1]"
11,4,"['raile', 'taros', 'drawn', 'dwarf']","['YYXXX', 'XYYXX', 'GYGYX', 'GGGGG']","[91, 28, 1, 1]"
12,4,"['raile', 'botel', 'novel', 'model']","['XXXYY', 'XGXGG', 'XGXGG', 'GGGGG']","[49, 5, 2, 2]"
13,3,"['raile', 'moray', 'karma']","['YGXXX', 'YXGYX', 'GGGGG']","[26, 1, 1]"
14,5,"['raile', 'oints', 'stint', 'sting', 'stink']","['XXGXX', 'XYYYY', 'GGGGY', 'GGGGX', 'GGGGG']","[54, 3, 2, 1, 1]"
15,3,"['raile', 'cager', 'grade']","['YYXXG', 'XYYYY', 'GGGGG']","[30, 5, 5]"
16,4,"['raile', 'deign', 'chief', 'quiet']","['XXGXY', 'XYGXX', 'XXGGX', 'GGGGG']","[18, 5, 1, 1]"
17,3,"['raile', 'seton', 'bench']","['XXXXY', 'XGXXY', 'GGGGG']","[104, 4, 4]"
18,5,"['raile', 'heats', 'ovate', 'agate', 'abate']","['XYXXG', 'XYGGX', 'XXGGG', 'GXGGG', 'GGGGG']","[43, 3, 2, 1, 1]"
19,3,"['raile', 'deign', 'feign']","['XXGXY', 'XGGGG', 'GGGGG']","[18, 1, 1]"
20,3,"['raile', 'moray', 'major']","['YGXXX', 'GYYYX', 'GGGGG']","[26, 3, 3]"
21,3,"['raile', 'neats', 'death']","['XYXXY', 'XGGGX', 'GGGGG']","[50, 3, 3]"
22,4,"['raile', 'store', 'press', 'fresh']","['YXXXY', 'YXXYY', 'XGGGY', 'GGGGG']","[112, 5, 1, 1]"
23,4,"['raile', 'stour', 'trust', 'crust']","['YXXXX', 'YYXYY', 'YGGGG', 'GGGGG']","[119, 4, 1, 1]"
24,4,"['raile', 'locus', 'sloop', 'stool']","['XXXYX', 'YYXXY', 'GYGGX', 'GGGGG']","[66, 5, 1, 1]"
25,3,"['raile', 'locus', 'colon']","['XXXYX', 'YGYXX', 'GGGGG']","[66, 1, 1]"
26,5,"['raile', 'heats', 'space', 'usage', 'abase']","['XYXXG', 'XYGXY', 'YXGXG', 'XYGXG', 'GGGGG']","[43, 6, 2, 1, 1]"
27,3,"['raile', 'moray', 'marry']","['YGXXX', 'GXGYG', 'GGGGG']","[26, 1, 1]"
28,3,"['raile', 'reach', 'react']","['GYXXY', 'GGGGX', 'GGGGG']","[8, 1, 1]"
29,5,"['raile', 'canty', 'fatty', 'patty', 'batty']","['XGXXX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[85, 7, 3, 2, 2]"
30,6,"['raile', 'tripe', 'prize', 'prime', 'price', 'pride']","['YXGXG', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[19, 4, 3, 2, 1, 1]"
31,4,"['raile', 'locus', 'gloss', 'floss']","['XXXYX', 'YYXXG', 'XGGGG', 'GGGGG']","[66, 2, 1, 1]"
32,3,"['raile', 'inlet', 'helix']","['XXYYY', 'YXGYX', 'GGGGG']","[11, 1, 1]"
33,4,"['raile', 'taros', 'adorn', 'croak']","['YYXXX', 'XYYYX', 'YXGYX', 'GGGGG']","[91, 13, 1, 1]"
34,3,"['raile', 'santo', 'staff']","['XYXXX', 'GYXYX', 'GGGGG']","[76, 6, 6]"
35,3,"['raile', 'taper', 'paper']","['YGXXY', 'XGGGG', 'GGGGG']","[24, 2, 2]"
36,5,"['raile', 'seton', 'enemy', 'unwed', 'unfed']","['XXXXY', 'XYXXY', 'YGYXX', 'GGXGG', 'GGGGG']","[104, 4, 2, 1, 1]"
37,3,"['raile', 'spelt', 'whelp']","['XXXGY', 'XYGGX', 'GGGGG']","[18, 1, 1]"
38,4,"['raile', 'molar', 'ultra', 'trawl']","['YYXYX', 'XXYYY', 'XYYYY', 'GGGGG']","[16, 6, 1, 1]"
39,4,"['raile', 'tousy', 'ought', 'outdo']","['XXXXX', 'YYYXX', 'GGXXY', 'GGGGG']","[173, 5, 1, 1]"
40,4,"['raile', 'heats', 'above', 'adobe']","['XYXXG', 'XYYXX', 'GYGXG', 'GGGGG']","[43, 5, 1, 1]"
41,5,"['raile', 'taros', 'drawn', 'graph', 'crazy']","['YYXXX', 'XYYXX', 'XGGXX', 'XGGXX', 'GGGGG']","[91, 28, 5, 2, 2]"
42,4,"['raile', 'store', 'sober', 'sower']","['YXXXY', 'GXYYY', 'GGXGG', 'GGGGG']","[112, 2, 1, 1]"
43,3,"['raile', 'reach', 'repay']","['GYXXY', 'GGYXX', 'GGGGG']","[8, 2, 2]"
44,4,"['raile', 'ontic', 'visit', 'digit']","['XXYXX', 'XXYGX', 'XGXGG', 'GGGGG']","[98, 3, 1, 1]"
45,5,"['raile', 'cager', 'crane', 'craze', 'crate']","['YYXXG', 'GYXYY', 'GGGXG', 'GGGXG', 'GGGGG']","[30, 4, 3, 2, 2]"
46,5,"['raile', 'locus', 'gulch', 'pluck', 'cluck']","['XXXYX', 'YXYYX', 'XYYGX', 'XGGGG', 'GGGGG']","[66, 6, 2, 1, 1]"
47,3,"['raile', 'inset', 'spike']","['XXGXG', 'YXYYX', 'GGGGG']","[29, 5, 5]"
48,4,"['raile', 'ontic', 'music', 'mimic']","['XXYXX', 'XXXGG', 'GXXGG', 'GGGGG']","[98, 5, 1, 1]"
49,7,"['raile', 'tousy', 'hound', 'found', 'bound', 'mound', 'pound']","['XXXXX', 'XGGXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[173, 12, 5, 4, 3, 2, 2]"
50,4,"['raile', 'cabin', 'mafia', 'maxim']","['XGYXX', 'XGXGX', 'GGXGY', 'GGGGG']","[16, 4, 1, 1]"
51,3,"['raile', 'inlet', 'linen']","['XXYYY', 'YYYGX', 'GGGGG']","[11, 2, 2]"
52,4,"['raile', 'seton', 'event', 'unmet']","['XXXXY', 'XYYXY', 'YXYYG', 'GGGGG']","[104, 2, 1, 1]"
53,4,"['raile', 'botel', 'welsh', 'flesh']","['XXXYY', 'XXXYY', 'XYYGG', 'GGGGG']","[49, 7, 1, 1]"
