,steps,words,feedback,ncands
0,5,"['rales', 'radon', 'triac', 'vicar', 'cigar']","['YYXXX', 'YYXXX', 'XYYGY', 'XGYGG', 'GGGGG']","[80, 29, 2, 1, 1]"
1,4,"['rales', 'route', 'recut', 'rebut']","['GXXYX', 'GXYYY', 'GGXGG', 'GGGGG']","[17, 2, 1, 1]"
2,4,"['rales', 'oints', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGGGG', 'GGGGG']","[114, 5, 1, 1]"
3,4,"['rales', 'unity', 'cough', 'humph']","['XXXXX', 'YXXXX', 'XXYXG', 'GGGGG']","[205, 12, 1, 1]"
4,5,"['rales', 'thane', 'peace', 'image', 'awake']","['XYXYX', 'XXGXG', 'XYGXG', 'XXGXG', 'GGGGG']","[59, 9, 6, 3, 3]"
5,6,"['rales', 'louis', 'skull', 'flush', 'plush', 'blush']","['XXYXY', 'YXGXY', 'YXGYY', 'XGGGG', 'XGGGG', 'GGGGG']","[31, 9, 3, 2, 1, 1]"
6,6,"['rales', 'aloin', 'octal', 'local', 'vocal', 'focal']","['XYYXX', 'YYYXX', 'YYXGG', 'YGGGG', 'XGGGG', 'GGGGG']","[67, 11, 3, 2, 1, 1]"
7,6,"['rales', 'thane', 'peace', 'image', 'awake', 'evade']","['XYXYX', 'XXGXG', 'XYGXG', 'XXGXG', 'YXGXG', 'GGGGG']","[59, 9, 6, 3, 1, 1]"
8,3,"['rales', 'manly', 'naval']","['XGYXX', 'XGYYX', 'GGGGG']","[20, 2, 2]"
9,3,"['rales', 'prose', 'serve']","['YXXYY', 'XYXYG', 'GGGGG']","[26, 3, 3]"
10,4,"['rales', 'thane', 'death', 'heath']","['XYXYX', 'YYGXY', 'XGGGG', 'GGGGG']","[59, 2, 1, 1]"
11,4,"['rales', 'radon', 'triad', 'dwarf']","['YYXXX', 'YYYXX', 'XYXYY', 'GGGGG']","[80, 11, 1, 1]"
12,3,"['rales', 'lobed', 'model']","['XXYGX', 'YGXGY', 'GGGGG']","[30, 2, 2]"
13,3,"['rales', 'moray', 'karma']","['YGXXX', 'YXGYX', 'GGGGG']","[28, 1, 1]"
14,5,"['rales', 'oints', 'stint', 'sting', 'stink']","['XXXXY', 'XYYYY', 'GGGGY', 'GGGGX', 'GGGGG']","[114, 3, 2, 1, 1]"
15,3,"['rales', 'rated', 'grade']","['YYXYX', 'YYXYY', 'GGGGG']","[49, 7, 7]"
16,3,"['rales', 'noted', 'quiet']","['XXXGX', 'XXYGX', 'GGGGG']","[44, 5, 5]"
17,4,"['rales', 'ident', 'ounce', 'bench']","['XXXYX', 'XXYYX', 'XXGGY', 'GGGGG']","[130, 12, 2, 2]"
18,5,"['rales', 'thane', 'ovate', 'agate', 'abate']","['XYXYX', 'YXGXG', 'XXGGG', 'GXGGG', 'GGGGG']","[59, 3, 2, 1, 1]"
19,4,"['rales', 'ident', 'hinge', 'feign']","['XXXYX', 'YXYYX', 'XYYGY', 'GGGGG']","[130, 11, 1, 1]"
20,3,"['rales', 'moray', 'major']","['YGXXX', 'GYYYX', 'GGGGG']","[28, 3, 3]"
21,3,"['rales', 'thane', 'death']","['XYXYX', 'YYGXY', 'GGGGG']","[59, 2, 2]"
22,3,"['rales', 'prose', 'fresh']","['YXXYY', 'XGXGY', 'GGGGG']","[26, 3, 3]"
23,4,"['rales', 'routs', 'trust', 'crust']","['YXXXY', 'YXGYY', 'YGGGG', 'GGGGG']","[43, 3, 1, 1]"
24,4,"['rales', 'louis', 'sloop', 'stool']","['XXYXY', 'YYXXY', 'GYGGX', 'GGGGG']","[31, 7, 1, 1]"
25,3,"['rales', 'doily', 'colon']","['XXGXX', 'XGXYX', 'GGGGG']","[30, 1, 1]"
26,4,"['rales', 'ketas', 'phase', 'abase']","['XYXYY', 'XYXYY', 'XXGGG', 'GGGGG']","[35, 14, 1, 1]"
27,3,"['rales', 'moray', 'marry']","['YGXXX', 'GXGYG', 'GGGGG']","[28, 1, 1]"
28,3,"['rales', 'reach', 'react']","['GYXYX', 'GGGGX', 'GGGGG']","[8, 1, 1]"
29,5,"['rales', 'canty', 'fatty', 'patty', 'batty']","['XGXXX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[85, 4, 3, 2, 2]"
30,3,"['rales', 'recto', 'pride']","['YXXYX', 'YYXXX', 'GGGGG']","[92, 19, 19]"
31,4,"['rales', 'bliss', 'gloss', 'floss']","['XXYXG', 'XGXGG', 'XGGGG', 'GGGGG']","[5, 2, 1, 1]"
32,4,"['rales', 'belch', 'hello', 'helix']","['XXGYX', 'XGGXY', 'GGGYX', 'GGGGG']","[17, 2, 1, 1]"
33,5,"['rales', 'radon', 'bravo', 'aroma', 'croak']","['YYXXX', 'YYXYX', 'XGYXY', 'YGGXY', 'GGGGG']","[80, 10, 2, 1, 1]"
34,4,"['rales', 'thans', 'coast', 'staff']","['XYXXY', 'YXGXY', 'XXGYY', 'GGGGG']","[44, 6, 3, 3]"
35,3,"['rales', 'gater', 'paper']","['YGXGX', 'XGXGG', 'GGGGG']","[21, 8, 8]"
36,4,"['rales', 'noted', 'unwed', 'unfed']","['XXXGX', 'YXXGG', 'GGXGG', 'GGGGG']","[44, 3, 1, 1]"
37,5,"['rales', 'louie', 'newly', 'dwell', 'whelp']","['XXYYX', 'YXXXY', 'XYYGX', 'XYGGY', 'GGGGG']","[55, 10, 3, 1, 1]"
38,3,"['rales', 'trial', 'trawl']","['YYYXX', 'GGXYG', 'GGGGG']","[18, 1, 1]"
39,4,"['rales', 'unity', 'touch', 'outdo']","['XXXXX', 'YXXYX', 'YYYXX', 'GGGGG']","[205, 11, 2, 2]"
40,4,"['rales', 'thane', 'above', 'adobe']","['XYXYX', 'XXYXG', 'GYGXG', 'GGGGG']","[59, 5, 1, 1]"
41,4,"['rales', 'radon', 'triac', 'crazy']","['YYXXX', 'YYXXX', 'XGXYY', 'GGGGG']","[80, 29, 4, 4]"
42,4,"['rales', 'wiser', 'sewer', 'sower']","['YXXGY', 'YXYGG', 'GYGGG', 'GGGGG']","[20, 2, 1, 1]"
43,3,"['rales', 'reach', 'repay']","['GYXYX', 'GGYXX', 'GGGGG']","[8, 2, 2]"
44,4,"['rales', 'unity', 'pitch', 'digit']","['XXXXX', 'XXYYX', 'XGYXX', 'GGGGG']","[205, 17, 3, 3]"
45,5,"['rales', 'rated', 'great', 'trace', 'crate']","['YYXYX', 'YYYYX', 'XGYYY', 'YGGYG', 'GGGGG']","[49, 10, 3, 1, 1]"
46,5,"['rales', 'oculi', 'clump', 'clung', 'cluck']","['XXYXX', 'XYGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[91, 4, 2, 1, 1]"
47,3,"['rales', 'toise', 'spike']","['XXXYY', 'XXGYG', 'GGGGG']","[67, 8, 8]"
48,4,"['rales', 'unity', 'comic', 'mimic']","['XXXXX', 'XXYXX', 'YXGGG', 'GGGGG']","[205, 7, 1, 1]"
49,7,"['rales', 'unity', 'hound', 'found', 'bound', 'mound', 'pound']","['XXXXX', 'YYXXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[205, 11, 5, 4, 3, 2, 2]"
50,4,"['rales', 'canty', 'gamma', 'maxim']","['XGXXX', 'XGXXX', 'XGYYY', 'GGGGG']","[85, 9, 2, 2]"
51,4,"['rales', 'lobed', 'level', 'linen']","['XXYGX', 'GXXGX', 'GYXGY', 'GGGGG']","[30, 4, 3, 3]"
52,4,"['rales', 'noted', 'tenet', 'unmet']","['XXXGX', 'YXYGX', 'YYYGG', 'GGGGG']","[44, 2, 1, 1]"
53,3,"['rales', 'stole', 'flesh']","['XXYYY', 'YXXYY', 'GGGGG']","[19, 1, 1]"
54,5,"['rales', 'unity', 'howdy', 'bobby', 'booby']","['XXXXX', 'XXXXG', 'XGXXG', 'GGYGG', 'GGGGG']","[205, 16, 7, 1, 1]"
55,3,"['rales', 'nitro', 'forth']","['YXXXX', 'XXYYY', 'GGGGG']","[124, 12, 12]"
56,3,"['rales', 'routs', 'first']","['YXXXY', 'YXXYY', 'GGGGG']","[43, 6, 6]"
57,3,"['rales', 'thans', 'stand']","['XYXXY', 'YXGGY', 'GGGGG']","[44, 3, 3]"
58,5,"['rales', 'belch', 'below', 'belle', 'belly']","['XXGYX', 'GGGXX', 'GGGXX', 'GGGGY', 'GGGGG']","[17, 4, 3, 1, 1]"
59,3,"['rales', 'nitro', 'ivory']","['YXXXX', 'XYXGY', 'GGGGG']","[124, 1, 1]"
60,4,"['rales', 'toise', 'spend', 'seedy']","['XXXYY', 'XXXYY', 'GXGXY', 'GGGGG']","[67, 4, 1, 1]"
61,3,"['rales', 'nitro', 'print']","['YXXXX', 'YYYYX', 'GGGGG']","[124, 1, 1]"
62,5,"['rales', 'rated', 'brace', 'weary', 'yearn']","['YYXYX', 'YYXYX', 'XYGXY', 'XGGGY', 'GGGGG']","[49, 25, 2, 1, 1]"
63,4,"['rales', 'radon', 'drawn', 'drain']","['YYXXX', 'YYYXG', 'GGGXG', 'GGGGG']","[80, 2, 1, 1]"
64,6,"['rales', 'recto', 'pride', 'urine', 'grime', 'bribe']","['YXXYX', 'YYXXX', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[92, 19, 4, 2, 1, 1]"
65,5,"['rales', 'oints', 'spout', 'scout', 'stout']","['XXXXY', 'YXXYY', 'GXGGG', 'GXGGG', 'GGGGG']","[114, 12, 3, 2, 2]"
66,3,"['rales', 'label', 'panel']","['XGYGX', 'YGXGG', 'GGGGG']","[9, 5, 5]"
67,4,"['rales', 'grass', 'brass', 'crass']","['YYXXG', 'XGGGG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
68,4,"['rales', 'louie', 'flute', 'flume']","['XXYYX', 'YXGXG', 'GGGXG', 'GGGGG']","[55, 5, 2, 2]"
69,4,"['rales', 'aloin', 'octal', 'offal']","['XYYXX', 'YYYXX', 'GXXGG', 'GGGGG']","[67, 11, 1, 1]"
70,3,"['rales', 'after', 'agree']","['YYXGX', 'GXXGY', 'GGGGG']","[5, 1, 1]"
71,4,"['rales', 'recto', 'grope', 'error']","['YXXYX', 'YYXXY', 'XGYXY', 'GGGGG']","[92, 16, 1, 1]"
72,2,"['rales', 'swirl']","['YXYXY', 'GGGGG']","[3, 3]"
73,4,"['rales', 'rated', 'brace', 'argue']","['YYXYX', 'YYXYX', 'XGYXG', 'GGGGG']","[49, 25, 1, 1]"
74,3,"['rales', 'lobed', 'bleed']","['XXYGX', 'YXYGG', 'GGGGG']","[30, 1, 1]"
75,2,"['rales', 'delta']","['XYGYX', 'GGGGG']","[4, 4]"
76,4,"['rales', 'oculi', 'civil', 'flick']","['XXYXX', 'XYXYY', 'YYXYY', 'GGGGG']","[91, 7, 1, 1]"
77,3,"['rales', 'noted', 'totem']","['XXXGX', 'XGGGX', 'GGGGG']","[44, 1, 1]"
78,4,"['rales', 'tired', 'powre', 'wooer']","['YXXGX', 'XXYGX', 'XGYYY', 'GGGGG']","[87, 31, 1, 1]"
79,3,"['rales', 'nitro', 'front']","['YXXXX', 'YXYYY', 'GGGGG']","[124, 1, 1]"
80,3,"['rales', 'routs', 'shrub']","['YXXXY', 'YXYXY', 'GGGGG']","[43, 5, 5]"
81,4,"['rales', 'moray', 'party', 'parry']","['YGXXX', 'XXGYG', 'GGGXG', 'GGGGG']","[28, 8, 1, 1]"
82,4,"['rales', 'ident', 'movie', 'biome']","['XXXYX', 'YXYXX', 'YYXYG', 'GGGGG']","[130, 9, 1, 1]"
83,3,"['rales', 'label', 'lapel']","['XGYGX', 'GGXGG', 'GGGGG']","[9, 1, 1]"
84,3,"['rales', 'trash', 'start']","['YYXXY', 'YYGYX', 'GGGGG']","[25, 4, 4]"
85,4,"['rales', 'tired', 'other', 'greet']","['YXXGX', 'YXYGX', 'XYXGY', 'GGGGG']","[87, 9, 1, 1]"
86,9,"['rales', 'tired', 'powre', 'cover', 'boxer', 'homer', 'joker', 'foyer', 'goner']","['YXXGX', 'XXYGX', 'XGXYY', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[87, 31, 8, 5, 4, 3, 2, 1, 1]"
87,4,"['rales', 'inlet', 'melee', 'golem']","['XXGGX', 'XXGGX', 'YYGGY', 'GGGGG']","[4, 2, 1, 1]"
88,3,"['rales', 'louis', 'lusty']","['XXYXY', 'GXYXY', 'GGGGG']","[31, 1, 1]"
89,4,"['rales', 'oculi', 'blood', 'loopy']","['XXYXX', 'YXXYX', 'XYGYX', 'GGGGG']","[91, 10, 1, 1]"
90,3,"['rales', 'rough', 'round']","['GXXXX', 'GGGXX', 'GGGGG']","[15, 1, 1]"
91,3,"['rales', 'conia', 'audit']","['XYXXX', 'XXXGY', 'GGGGG']","[61, 5, 5]"
92,4,"['rales', 'oculi', 'glint', 'lying']","['XXYXX', 'XXXYY', 'YYGGX', 'GGGGG']","[91, 14, 1, 1]"
93,3,"['rales', 'canty', 'gamma']","['XGXXX', 'XGXXX', 'GGGGG']","[85, 9, 9]"
94,2,"['rales', 'labor']","['YGYXX', 'GGGGG']","[3, 3]"
95,2,"['rales', 'islet']","['XXGGY', 'GGGGG']","[1, 1]"
96,4,"['rales', 'unity', 'comic', 'civic']","['XXXXX', 'XXYXX', 'GXXGG', 'GGGGG']","[205, 7, 1, 1]"
97,4,"['rales', 'recto', 'grope', 'forge']","['YXXYX', 'YYXXY', 'YYYXG', 'GGGGG']","[92, 16, 1, 1]"
98,4,"['rales', 'nitro', 'crown', 'corny']","['YXXXX', 'YXXYY', 'GYYXY', 'GGGGG']","[124, 14, 1, 1]"
99,4,"['rales', 'oculi', 'would', 'moult']","['XXYXX', 'YXGGX', 'XGGGX', 'GGGGG']","[91, 2, 1, 1]"
100,3,"['rales', 'antsy', 'basic']","['XGXXY', 'YXXYX', 'GGGGG']","[22, 1, 1]"
101,5,"['rales', 'sally', 'salon', 'salsa', 'salad']","['XGGXY', 'GGGYX', 'GGGXX', 'GGGYY', 'GGGGG']","[7, 4, 2, 1, 1]"
102,4,"['rales', 'thane', 'ovate', 'agate']","['XYXYX', 'YXGXG', 'XXGGG', 'GGGGG']","[59, 3, 2, 2]"
