,steps,words,feedback,ncands
0,3,"['rates', 'radon', 'cigar']","['YYXXX', 'YYXXX', 'GGGGG']","[77, 26, 26]"
1,4,"['rates', 'route', 'recut', 'rebut']","['GXYYX', 'GXYYY', 'GGXGG', 'GGGGG']","[5, 2, 1, 1]"
2,3,"['rates', 'soily', 'sissy']","['XXXXY', 'GXYXG', 'GGGGG']","[94, 1, 1]"
3,4,"['rates', 'noily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[227, 3, 1, 1]"
4,5,"['rates', 'naled', 'cheap', 'awoke', 'awake']","['XYXYX', 'XYXYX', 'XXYYX', 'GGXGG', 'GGGGG']","[81, 18, 7, 1, 1]"
5,5,"['rates', 'soily', 'flush', 'plush', 'blush']","['XXXXY', 'YXXYX', 'XGGGG', 'XGGGG', 'GGGGG']","[94, 3, 2, 1, 1]"
6,3,"['rates', 'aloin', 'focal']","['XYXXX', 'YYYXX', 'GGGGG']","[98, 9, 9]"
7,4,"['rates', 'naled', 'beady', 'evade']","['XYXYX', 'XYXYY', 'XYGGX', 'GGGGG']","[81, 9, 1, 1]"
8,3,"['rates', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,4,"['rates', 'pores', 'nurse', 'serve']","['YXXYY', 'XXGYY', 'XXGYG', 'GGGGG']","[21, 7, 1, 1]"
10,4,"['rates', 'cleat', 'death', 'heath']","['XYYYX', 'XXYYY', 'XGGGG', 'GGGGG']","[30, 7, 1, 1]"
11,3,"['rates', 'radon', 'dwarf']","['YYXXX', 'YYYXX', 'GGGGG']","[77, 10, 10]"
12,3,"['rates', 'loden', 'model']","['XXXGX', 'YGGGX', 'GGGGG']","[56, 1, 1]"
13,3,"['rates', 'moray', 'karma']","['YGXXX', 'YXGYX', 'GGGGG']","[26, 1, 1]"
14,5,"['rates', 'hoist', 'still', 'stick', 'stink']","['XXYXY', 'XXGYY', 'GGGXX', 'GGGXG', 'GGGGG']","[57, 5, 4, 1, 1]"
15,3,"['rates', 'bared', 'grade']","['YYXYX', 'XYYYY', 'GGGGG']","[43, 6, 6]"
16,3,"['rates', 'inlet', 'quiet']","['XXYGX', 'YXXGG', 'GGGGG']","[16, 1, 1]"
17,4,"['rates', 'eloin', 'dunce', 'bench']","['XXXYX', 'YXXXY', 'XXGGY', 'GGGGG']","[147, 12, 2, 2]"
18,6,"['rates', 'cleat', 'death', 'ovate', 'agate', 'abate']","['XYYYX', 'XXYYY', 'XYGGX', 'XXGGG', 'GXGGG', 'GGGGG']","[30, 7, 3, 2, 1, 1]"
19,3,"['rates', 'eloin', 'feign']","['XXXYX', 'YXXYG', 'GGGGG']","[147, 2, 2]"
20,3,"['rates', 'moray', 'major']","['YGXXX', 'GYYYX', 'GGGGG']","[26, 3, 3]"
21,3,"['rates', 'cleat', 'death']","['XYYYX', 'XXYYY', 'GGGGG']","[30, 7, 7]"
