,steps,words,feedback,ncands
0,3,"['reais', 'vicar', 'cigar']","['YXYYX', 'XGYGG', 'GGGGG']","[12, 1, 1]"
1,3,"['reais', 'recut', 'rebut']","['GGXXX', 'GGXGG', 'GGGGG']","[15, 1, 1]"
2,4,"['reais', 'tiyns', 'silky', 'sissy']","['XXXYY', 'XGYXY', 'GGXXG', 'GGGGG']","[53, 7, 1, 1]"
3,4,"['reais', 'uncoy', 'plumb', 'humph']","['XXXXX', 'YXXXX', 'YXYYX', 'GGGGG']","[168, 7, 1, 1]"
4,3,"['reais', 'aglet', 'awake']","['XYGXX', 'GXXYX', 'GGGGG']","[26, 2, 2]"
5,5,"['reais', 'tousy', 'flush', 'plush', 'blush']","['XXXXY', 'XXGGX', 'XGGGG', 'XGGGG', 'GGGGG']","[89, 5, 3, 2, 2]"
6,5,"['reais', 'tolan', 'local', 'vocal', 'focal']","['XXYXX', 'XGYGX', 'YGGGG', 'XGGGG', 'GGGGG']","[150, 5, 2, 1, 1]"
7,4,"['reais', 'aglet', 'quake', 'evade']","['XYGXX', 'YXXYX', 'XXGXG', 'GGGGG']","[26, 4, 2, 2]"
8,3,"['reais', 'tolan', 'naval']","['XXYXX', 'XXYGY', 'GGGGG']","[150, 3, 3]"
9,3,"['reais', 'verso', 'serve']","['YGXXY', 'YGGYX', 'GGGGG']","[7, 1, 1]"
10,4,"['reais', 'lathe', 'death', 'heath']","['XGGXX', 'XYYYY', 'XGGGG', 'GGGGG']","[21, 3, 1, 1]"
11,3,"['reais', 'drawn', 'dwarf']","['YXGXX', 'GYGYX', 'GGGGG']","[44, 1, 1]"
12,4,"['reais', 'noule', 'towel', 'model']","['XYXXX', 'XGXYY', 'XGXGG', 'GGGGG']","[121, 9, 2, 2]"
13,3,"['reais', 'molar', 'karma']","['YXYXX', 'YXXYY', 'GGGGG']","[60, 2, 2]"
14,5,"['reais', 'tiyns', 'stint', 'sting', 'stink']","['XXXYY', 'YYXGY', 'GGGGY', 'GGGGX', 'GGGGG']","[53, 3, 2, 1, 1]"
15,3,"['reais', 'grace', 'grade']","['YYGXX', 'GGGXG', 'GGGGG']","[22, 5, 5]"
16,3,"['reais', 'intel', 'quiet']","['XYXYX', 'YXYGX', 'GGGGG']","[74, 2, 2]"
17,4,"['reais', 'blent', 'begun', 'bench']","['XGXXX', 'GXYYX', 'GGXXY', 'GGGGG']","[61, 2, 1, 1]"
18,3,"['reais', 'aglet', 'abate']","['XYGXX', 'GXXYY', 'GGGGG']","[26, 1, 1]"
19,3,"['reais', 'deign', 'feign']","['XGXYX', 'XGGGG', 'GGGGG']","[6, 1, 1]"
20,3,"['reais', 'molar', 'major']","['YXYXX', 'GYXYG', 'GGGGG']","[60, 3, 3]"
21,3,"['reais', 'lathe', 'death']","['XGGXX', 'XYYYY', 'GGGGG']","[21, 3, 3]"
22,3,"['reais', 'prose', 'fresh']","['YYXXY', 'XGXGY', 'GGGGG']","[33, 3, 3]"
23,4,"['reais', 'sutor', 'trust', 'crust']","['YXXXY', 'YYYXY', 'YGGGG', 'GGGGG']","[32, 2, 1, 1]"
24,4,"['reais', 'tousy', 'sloth', 'stool']","['XXXXY', 'YYXYX', 'GYGYX', 'GGGGG']","[89, 7, 1, 1]"
25,3,"['reais', 'uncoy', 'colon']","['XXXXX', 'XYYGX', 'GGGGG']","[168, 1, 1]"
26,5,"['reais', 'haets', 'slave', 'usage', 'abase']","['XYGXY', 'XYYXY', 'YXGXG', 'XYGXG', 'GGGGG']","[23, 8, 2, 1, 1]"
27,4,"['reais', 'molar', 'march', 'marry']","['YXYXX', 'GXXYY', 'GGGXX', 'GGGGG']","[60, 2, 1, 1]"
28,3,"['reais', 'reach', 'react']","['GGGXX', 'GGGGX', 'GGGGG']","[5, 1, 1]"
29,6,"['reais', 'tolan', 'yacht', 'fatty', 'patty', 'batty']","['XXYXX', 'YXXYX', 'YGXXY', 'XGGGG', 'XGGGG', 'GGGGG']","[150, 14, 3, 2, 1, 1]"
30,4,"['reais', 'fired', 'drive', 'pride']","['YYXYX', 'XYYYY', 'YGGXG', 'GGGGG']","[53, 3, 2, 2]"
31,4,"['reais', 'locus', 'gloss', 'floss']","['XXXXG', 'YYXXG', 'XGGGG', 'GGGGG']","[8, 2, 1, 1]"
32,4,"['reais', 'debit', 'genie', 'helix']","['XGXGX', 'XGXGX', 'XGXGY', 'GGGGG']","[11, 2, 1, 1]"
33,5,"['reais', 'molar', 'broad', 'groan', 'croak']","['YXYXX', 'XYXGY', 'XGGGX', 'XGGGX', 'GGGGG']","[60, 4, 2, 1, 1]"
34,4,"['reais', 'halts', 'coast', 'staff']","['XXGXY', 'XYXYY', 'XXGYY', 'GGGGG']","[50, 9, 4, 4]"
35,4,"['reais', 'grate', 'paler', 'paper']","['YYYXX', 'XYYXY', 'GGXGG', 'GGGGG']","[57, 16, 3, 3]"
36,5,"['reais', 'noule', 'queen', 'unwed', 'unfed']","['XYXXX', 'YXYXY', 'XYYGY', 'GGXGG', 'GGGGG']","[121, 4, 3, 1, 1]"
37,4,"['reais', 'noule', 'dwell', 'whelp']","['XYXXX', 'XXXGY', 'XYGGY', 'GGGGG']","[121, 3, 1, 1]"
38,5,"['reais', 'drawn', 'crawl', 'brawl', 'trawl']","['YXGXX', 'XGGGX', 'XGGGG', 'XGGGG', 'GGGGG']","[44, 3, 2, 1, 1]"
39,4,"['reais', 'uncoy', 'ought', 'outdo']","['XXXXX', 'YXXYX', 'GGXXY', 'GGGGG']","[168, 16, 1, 1]"
40,4,"['reais', 'leant', 'badge', 'adobe']","['XYYXX', 'XYYXX', 'YYYXG', 'GGGGG']","[90, 19, 2, 2]"
41,4,"['reais', 'drawn', 'track', 'crazy']","['YXGXX', 'XGGXX', 'XGGYX', 'GGGGG']","[44, 11, 2, 2]"
42,5,"['reais', 'prose', 'loser', 'sober', 'sower']","['YYXXY', 'XYYYY', 'XGYGG', 'GGXGG', 'GGGGG']","[33, 3, 2, 1, 1]"
43,3,"['reais', 'relay', 'repay']","['GGYXX', 'GGXGG', 'GGGGG']","[8, 1, 1]"
44,4,"['reais', 'tonic', 'limit', 'digit']","['XXXGX', 'YXXGX', 'XGXGG', 'GGGGG']","[40, 2, 1, 1]"
45,5,"['reais', 'grace', 'crane', 'craze', 'crate']","['YYGXX', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGGG']","[22, 4, 3, 2, 2]"
46,5,"['reais', 'uncoy', 'mulch', 'pluck', 'cluck']","['XXXXX', 'YXYXX', 'XYYGX', 'XGGGG', 'GGGGG']","[168, 10, 2, 1, 1]"
47,3,"['reais', 'snipe', 'spike']","['XYXYY', 'GXGYG', 'GGGGG']","[28, 3, 3]"
48,4,"['reais', 'tonic', 'civic', 'mimic']","['XXXGX', 'XXXGG', 'YGXGG', 'GGGGG']","[40, 4, 1, 1]"
49,4,"['reais', 'uncoy', 'donut', 'pound']","['XXXXX', 'YYXYX', 'YGYYX', 'GGGGG']","[168, 9, 6, 6]"
50,4,"['reais', 'diact', 'mafia', 'maxim']","['XXYGX', 'XYYXX', 'GGXGY', 'GGGGG']","[24, 5, 1, 1]"
51,3,"['reais', 'intel', 'linen']","['XYXYX', 'YYXGY', 'GGGGG']","[74, 2, 2]"
52,5,"['reais', 'noule', 'queen', 'unwed', 'unmet']","['XYXXX', 'YXYXY', 'XYYGY', 'GGXGX', 'GGGGG']","[121, 4, 3, 1, 1]"
53,3,"['reais', 'stole', 'flesh']","['XYXXY', 'YXXYY', 'GGGGG']","[67, 1, 1]"
54,6,"['reais', 'uncoy', 'goldy', 'boozy', 'booty', 'booby']","['XXXXX', 'XXXYG', 'XGXXG', 'GGGXG', 'GGGXG', 'GGGGG']","[168, 30, 7, 2, 1, 1]"
