,steps,words,feedback,ncands
0,4,"['soare', 'dairy', 'rival', 'cigar']","['XXYYX', 'XYYYX', 'YGXGX', 'GGGGG']","[42, 5, 1, 1]"
1,5,"['soare', 'tride', 'enter', 'berth', 'rebut']","['XXXYY', 'YYXXY', 'YXYYY', 'YGYYX', 'GGGGG']","[117, 10, 3, 1, 1]"
2,3,"['soare', 'tulsi', 'sissy']","['GXXXX', 'XXXGY', 'GGGGG']","[63, 2, 2]"
3,4,"['soare', 'unity', 'clump', 'humph']","['XXXXX', 'YXXXX', 'XXYYY', 'GGGGG']","[183, 12, 1, 1]"
4,3,"['soare', 'plage', 'awake']","['XXGXG', 'XXGXG', 'GGGGG']","[28, 10, 10]"
5,5,"['soare', 'mushy', 'flush', 'plush', 'blush']","['YXXXX', 'XYYYX', 'XGGGG', 'XGGGG', 'GGGGG']","[33, 3, 2, 1, 1]"
6,5,"['soare', 'modal', 'local', 'vocal', 'focal']","['XGYXX', 'XGXGG', 'YGGGG', 'XGGGG', 'GGGGG']","[21, 7, 2, 1, 1]"
7,4,"['soare', 'plage', 'awake', 'evade']","['XXGXG', 'XXGXG', 'YXGXG', 'GGGGG']","[28, 10, 4, 4]"
8,3,"['soare', 'laity', 'naval']","['XXYXX', 'YGXXX', 'GGGGG']","[138, 6, 6]"
9,2,"['soare', 'serve']","['GXXYG', 'GGGGG']","[4, 4]"
10,4,"['soare', 'ethal', 'death', 'heath']","['XXGXY', 'YYYYX', 'XGGGG', 'GGGGG']","[21, 3, 1, 1]"
11,3,"['soare', 'chard', 'dwarf']","['XXGGX', 'XXGGY', 'GGGGG']","[13, 2, 2]"
12,3,"['soare', 'melon', 'model']","['XGXXY', 'GYYYX', 'GGGGG']","[26, 2, 2]"
13,4,"['soare', 'dairy', 'march', 'karma']","['XXYYX', 'XGXYX', 'YGGXX', 'GGGGG']","[42, 8, 1, 1]"
14,5,"['soare', 'tulsi', 'shift', 'stick', 'stink']","['GXXXX', 'YXXYY', 'GXGXY', 'GGGXG', 'GGGGG']","[63, 11, 3, 1, 1]"
15,3,"['soare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
16,3,"['soare', 'enlit', 'quiet']","['XXXXY', 'YXXYG', 'GGGGG']","[120, 1, 1]"
17,4,"['soare', 'enlit', 'queen', 'bench']","['XXXXY', 'YYXXX', 'XXYYY', 'GGGGG']","[120, 7, 3, 3]"
18,4,"['soare', 'plage', 'awake', 'abate']","['XXGXG', 'XXGXG', 'GXGXG', 'GGGGG']","[28, 10, 2, 2]"
19,4,"['soare', 'enlit', 'being', 'feign']","['XXXXY', 'YYXYX', 'XGGYY', 'GGGGG']","[120, 9, 3, 3]"
20,3,"['soare', 'norma', 'major']","['XYYYX', 'XYYYY', 'GGGGG']","[27, 3, 3]"
21,3,"['soare', 'ethal', 'death']","['XXGXY', 'YYYYX', 'GGGGG']","[21, 3, 3]"
22,4,"['soare', 'risen', 'press', 'fresh']","['YXXYY', 'YXYYX', 'XGGGY', 'GGGGG']","[15, 6, 3, 3]"
23,2,"['soare', 'crust']","['YXXYX', 'GGGGG']","[16, 16]"
24,5,"['soare', 'ponts', 'stock', 'stood', 'stool']","['GYXXX', 'XYXYY', 'GGGXX', 'GGGGX', 'GGGGG']","[37, 8, 3, 1, 1]"
25,3,"['soare', 'cyton', 'colon']","['XGXXX', 'GXXGG', 'GGGGG']","[87, 1, 1]"
26,4,"['soare', 'phase', 'lease', 'abase']","['YXGXG', 'XXGGG', 'XYGGG', 'GGGGG']","[7, 4, 1, 1]"
27,4,"['soare', 'hairy', 'carry', 'marry']","['XXYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 2]"
28,3,"['soare', 'reach', 'react']","['XXGYY', 'GGGGX', 'GGGGG']","[4, 1, 1]"
29,5,"['soare', 'laity', 'fatty', 'patty', 'batty']","['XXYXX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[138, 5, 4, 3, 3]"
30,6,"['soare', 'tripe', 'prize', 'prime', 'price', 'pride']","['XXXYG', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[39, 4, 3, 2, 1, 1]"
31,4,"['soare', 'ghost', 'kiosk', 'floss']","['YYXXX', 'XXGGX', 'XXGGX', 'GGGGG']","[7, 2, 1, 1]"
32,3,"['soare', 'enlit', 'helix']","['XXXXY', 'YXGGX', 'GGGGG']","[120, 1, 1]"
33,4,"['soare', 'norma', 'broad', 'croak']","['XYYYX', 'XYYXY', 'XGGGX', 'GGGGG']","[27, 13, 1, 1]"
34,3,"['soare', 'shalt', 'staff']","['GXGXX', 'GXGXY', 'GGGGG']","[41, 7, 7]"
35,4,"['soare', 'alert', 'grape', 'paper']","['XXYYY', 'YXYYX', 'XYYYY', 'GGGGG']","[61, 24, 6, 6]"
36,4,"['soare', 'enlit', 'unwed', 'unfed']","['XXXXY', 'YGXXX', 'GGXGG', 'GGGGG']","[120, 3, 1, 1]"
37,3,"['soare', 'enlit', 'whelp']","['XXXXY', 'YXYXX', 'GGGGG']","[120, 14, 14]"
38,5,"['soare', 'intra', 'track', 'tramp', 'trawl']","['XXGYX', 'XXYYY', 'GGGXX', 'GGGXX', 'GGGGG']","[40, 8, 2, 1, 1]"
39,4,"['soare', 'lingo', 'photo', 'outdo']","['XYXXX', 'XXXXG', 'XXYYG', 'GGGGG']","[56, 3, 1, 1]"
40,3,"['soare', 'above', 'adobe']","['XYYXG', 'GYGXG', 'GGGGG']","[8, 1, 1]"
41,5,"['soare', 'intra', 'graph', 'fraud', 'crazy']","['XXGYX', 'XXXYY', 'XGGXX', 'XGGXX', 'GGGGG']","[40, 10, 7, 5, 5]"
42,3,"['soare', 'sober', 'sower']","['GGXYY', 'GGXGG', 'GGGGG']","[2, 1, 1]"
43,5,"['soare', 'alert', 'grape', 'paper', 'repay']","['XXYYY', 'YXYYX', 'XYYYY', 'YYGYY', 'GGGGG']","[61, 24, 6, 1, 1]"
44,4,"['soare', 'unity', 'might', 'digit']","['XXXXX', 'XXYYX', 'XGGXG', 'GGGGG']","[183, 12, 1, 1]"
45,5,"['soare', 'grace', 'crane', 'craze', 'crate']","['XXGYG', 'XGGYG', 'GGGXG', 'GGGXG', 'GGGGG']","[19, 4, 3, 2, 2]"
46,4,"['soare', 'unity', 'clump', 'cluck']","['XXXXX', 'YXXXX', 'GGGXX', 'GGGGG']","[183, 12, 1, 1]"
47,5,"['soare', 'elsin', 'siege', 'suite', 'spike']","['GXXXG', 'YXYYX', 'GYYXG', 'GXGXG', 'GGGGG']","[23, 8, 6, 3, 3]"
48,4,"['soare', 'unity', 'civil', 'mimic']","['XXXXX', 'XXYXX', 'YGXGX', 'GGGGG']","[183, 7, 1, 1]"
49,6,"['soare', 'cyton', 'found', 'bound', 'mound', 'pound']","['XGXXX', 'XXXYY', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[87, 9, 5, 4, 3, 3]"
50,5,"['soare', 'laity', 'magic', 'mafia', 'maxim']","['XXYXX', 'XGYXX', 'GGXGX', 'GGXGY', 'GGGGG']","[138, 8, 3, 1, 1]"
51,3,"['soare', 'enlit', 'linen']","['XXXXY', 'YYYYX', 'GGGGG']","[120, 2, 2]"
52,3,"['soare', 'enlit', 'unmet']","['XXXXY', 'YGXXG', 'GGGGG']","[120, 1, 1]"
53,3,"['soare', 'fetus', 'flesh']","['YXXXY', 'GYXXY', 'GGGGG']","[19, 1, 1]"
54,5,"['soare', 'cyton', 'godly', 'bobby', 'booby']","['XGXXX', 'XYXYX', 'XGXXG', 'GGYGG', 'GGGGG']","[87, 26, 6, 1, 1]"
55,4,"['soare', 'thorn', 'worth', 'forth']","['XGXYX', 'YYYYX', 'XGGGG', 'GGGGG']","[26, 2, 1, 1]"
56,3,"['soare', 'crust', 'first']","['YXXYX', 'XYXGG', 'GGGGG']","[16, 1, 1]"
57,4,"['soare', 'shalt', 'staff', 'stand']","['GXGXX', 'GXGXY', 'GGGXX', 'GGGGG']","[41, 7, 6, 6]"
58,4,"['soare', 'enlit', 'welch', 'belly']","['XXXXY', 'YXGXX', 'XGGXX', 'GGGGG']","[120, 4, 2, 2]"
59,2,"['soare', 'ivory']","['XYXGX', 'GGGGG']","[8, 8]"
60,4,"['soare', 'slept', 'sheen', 'seedy']","['GXXXY', 'GXGXX', 'GXGYX', 'GGGGG']","[35, 3, 1, 1]"
61,3,"['soare', 'rutin', 'print']","['XXXYX', 'YXYYY', 'GGGGG']","[57, 1, 1]"
62,6,"['soare', 'heart', 'pearl', 'beard', 'weary', 'yearn']","['XXGGY', 'XGGGX', 'XGGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[9, 6, 4, 3, 1, 1]"
63,5,"['soare', 'intra', 'brain', 'grain', 'drain']","['XXGYX', 'YYXYY', 'XGGGG', 'XGGGG', 'GGGGG']","[40, 3, 2, 1, 1]"
64,6,"['soare', 'tripe', 'crime', 'drive', 'urine', 'bribe']","['XXXYG', 'XGGXG', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[39, 7, 5, 3, 1, 1]"
65,5,"['soare', 'ponts', 'stock', 'stood', 'stout']","['GYXXX', 'XYXYY', 'GGGXX', 'GGGYX', 'GGGGG']","[37, 8, 3, 1, 1]"
66,4,"['soare', 'leant', 'angel', 'panel']","['XXYXY', 'YYYYX', 'YYXGG', 'GGGGG']","[68, 6, 2, 2]"
67,4,"['soare', 'grass', 'brass', 'crass']","['YXGYX', 'XGGGG', 'XGGGG', 'GGGGG']","[7, 2, 1, 1]"
68,4,"['soare', 'tuile', 'plume', 'flume']","['XXXXG', 'XYXYG', 'XGGGG', 'GGGGG']","[79, 4, 1, 1]"
69,4,"['soare', 'talon', 'viola', 'offal']","['XYYXX', 'XYYYX', 'XXYYY', 'GGGGG']","[44, 5, 1, 1]"
70,3,"['soare', 'large', 'agree']","['XXYYG', 'XYGYG', 'GGGGG']","[7, 1, 1]"
71,3,"['soare', 'credo', 'error']","['XYXYY', 'XGYXY', 'GGGGG']","[13, 1, 1]"
72,3,"['soare', 'shirt', 'swirl']","['GXXGX', 'GXGGX', 'GGGGG']","[8, 2, 2]"
73,3,"['soare', 'large', 'argue']","['XXYYG', 'XYYYG', 'GGGGG']","[7, 1, 1]"
74,4,"['soare', 'enlit', 'whelp', 'bleed']","['XXXXY', 'YXYXX', 'XXGYX', 'GGGGG']","[120, 14, 2, 2]"
75,4,"['soare', 'leant', 'metal', 'delta']","['XXYXY', 'YGYXY', 'XGYYY', 'GGGGG']","[68, 4, 1, 1]"
76,4,"['soare', 'unity', 'child', 'flick']","['XXXXX', 'XXGXX', 'YXGYX', 'GGGGG']","[183, 11, 1, 1]"
77,4,"['soare', 'melon', 'comet', 'totem']","['XGXXY', 'YYXYX', 'XGYGY', 'GGGGG']","[26, 2, 1, 1]"
78,3,"['soare', 'vower', 'wooer']","['XGXYY', 'XGYGG', 'GGGGG']","[22, 1, 1]"
79,3,"['soare', 'nitro', 'front']","['XYXYX', 'YXYYY', 'GGGGG']","[59, 1, 1]"
80,3,"['soare', 'strip', 'shrub']","['GXXYX', 'GXGXX', 'GGGGG']","[9, 5, 5]"
81,5,"['soare', 'hairy', 'carry', 'marry', 'parry']","['XXYGX', 'XGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[11, 3, 2, 1, 1]"
82,5,"['soare', 'clone', 'quote', 'diode', 'biome']","['XYXXG', 'XXGXG', 'XXGXG', 'XGGXG', 'GGGGG']","[20, 4, 3, 1, 1]"
83,4,"['soare', 'leant', 'label', 'lapel']","['XXYXY', 'GYYXX', 'GGXGG', 'GGGGG']","[68, 2, 1, 1]"
84,3,"['soare', 'shark', 'start']","['GXGGX', 'GXGGX', 'GGGGG']","[11, 6, 6]"
85,4,"['soare', 'tride', 'erect', 'greet']","['XXXYY', 'YGXXY', 'YGGXG', 'GGGGG']","[117, 4, 1, 1]"
86,4,"['soare', 'vower', 'roger', 'goner']","['XGXYY', 'XGXGG', 'YGYGG', 'GGGGG']","[22, 8, 1, 1]"
87,3,"['soare', 'melon', 'golem']","['XGXXY', 'YYGYX', 'GGGGG']","[26, 1, 1]"
88,5,"['soare', 'mushy', 'dusty', 'gusty', 'lusty']","['YXXXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[33, 5, 2, 1, 1]"
89,5,"['soare', 'cyton', 'godly', 'lobby', 'loopy']","['XGXXX', 'XYXYX', 'XGXYG', 'GGXXG', 'GGGGG']","[87, 26, 2, 1, 1]"
90,3,"['soare', 'thorn', 'round']","['XGXYX', 'XXYYY', 'GGGGG']","[26, 3, 3]"
91,3,"['soare', 'laity', 'audit']","['XXYXX', 'XYYYX', 'GGGGG']","[138, 6, 6]"
92,3,"['soare', 'unity', 'lying']","['XXXXX', 'XYGXY', 'GGGGG']","[183, 3, 3]"
93,4,"['soare', 'laity', 'manga', 'gamma']","['XXYXX', 'XGXXX', 'YGXYG', 'GGGGG']","[138, 9, 1, 1]"
94,4,"['soare', 'norma', 'broad', 'labor']","['XYYYX', 'XYYXY', 'YYYYX', 'GGGGG']","[27, 13, 2, 2]"
95,4,"['soare', 'fetus', 'exist', 'islet']","['YXXXY', 'XYYXY', 'YXYYG', 'GGGGG']","[19, 3, 1, 1]"
96,4,"['soare', 'unity', 'civil', 'civic']","['XXXXX', 'XXYXX', 'GGGGX', 'GGGGG']","[183, 7, 1, 1]"
97,4,"['soare', 'route', 'force', 'forge']","['XGXYG', 'YGXXG', 'GGGXG', 'GGGGG']","[9, 5, 1, 1]"
98,4,"['soare', 'thorn', 'round', 'corny']","['XGXYX', 'XXYYY', 'YGXGX', 'GGGGG']","[26, 3, 1, 1]"
99,4,"['soare', 'cyton', 'mouth', 'moult']","['XGXXX', 'XXYYX', 'GGGYX', 'GGGGG']","[87, 7, 1, 1]"
100,4,"['soare', 'bayts', 'basin', 'basic']","['YXYXX', 'GGXXY', 'GGGGX', 'GGGGG']","[23, 4, 2, 2]"
101,4,"['soare', 'salty', 'salsa', 'salad']","['GXYXX', 'GGGXX', 'GGGYY', 'GGGGG']","[19, 2, 1, 1]"
102,3,"['soare', 'plage', 'agate']","['XXGXG', 'XXGYG', 'GGGGG']","[28, 1, 1]"
103,4,"['soare', 'tulsi', 'swing', 'spicy']","['GXXXX', 'XXXYY', 'GXGXX', 'GGGGG']","[63, 8, 4, 4]"
104,4,"['soare', 'sugar', 'scrap', 'spray']","['GXYYX', 'GXXGY', 'GXGGY', 'GGGGG']","[8, 6, 1, 1]"
