,steps,words,feedback,ncands
0,5,"['stare', 'loran', 'radar', 'vicar', 'cigar']","['XXYYX', 'XXYGX', 'YYXGG', 'XGYGG', 'GGGGG']","[64, 6, 4, 1, 1]"
1,5,"['stare', 'urite', 'outer', 'recut', 'rebut']","['XYXYY', 'YYXYY', 'XYYYY', 'GGXGG', 'GGGGG']","[30, 4, 2, 1, 1]"
2,4,"['stare', 'noils', 'sushi', 'sissy']","['GXXXX', 'XXYXY', 'GXGXY', 'GGGGG']","[67, 3, 1, 1]"
3,4,"['stare', 'noily', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[227, 3, 1, 1]"
4,4,"['stare', 'gavel', 'peace', 'awake']","['XXGXG', 'XYXYX', 'XYGXG', 'GGGGG']","[24, 6, 4, 4]"
5,5,"['stare', 'shoyu', 'flush', 'plush', 'blush']","['YXXXX', 'YYXXY', 'XGGGG', 'XGGGG', 'GGGGG']","[38, 4, 2, 1, 1]"
6,5,"['stare', 'onlay', 'local', 'vocal', 'focal']","['XXYXX', 'YXYGX', 'YGGGG', 'XGGGG', 'GGGGG']","[127, 5, 2, 1, 1]"
7,4,"['stare', 'gavel', 'weave', 'evade']","['XXGXG', 'XYYYX', 'XYGYG', 'GGGGG']","[24, 4, 1, 1]"
8,4,"['stare', 'onlay', 'final', 'naval']","['XXYXX', 'XYYGX', 'XXYGG', 'GGGGG']","[127, 4, 1, 1]"
9,2,"['stare', 'serve']","['GXXYG', 'GGGGG']","[4, 4]"
10,4,"['stare', 'leant', 'death', 'heath']","['XYGXY', 'XGGXY', 'XGGGG', 'GGGGG']","[11, 4, 1, 1]"
11,3,"['stare', 'hoard', 'dwarf']","['XXGGX', 'XXGGY', 'GGGGG']","[12, 2, 2]"
12,3,"['stare', 'olein', 'model']","['XXXXY', 'YYYXX', 'GGGGG']","[116, 9, 9]"
13,4,"['stare', 'loran', 'march', 'karma']","['XXYYX', 'XXGYX', 'YGGXX', 'GGGGG']","[64, 7, 1, 1]"
14,5,"['stare', 'touns', 'stint', 'sting', 'stink']","['GGXXX', 'YXXGY', 'GGGGY', 'GGGGX', 'GGGGG']","[22, 3, 2, 1, 1]"
15,3,"['stare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[14, 4, 4]"
16,4,"['stare', 'toile', 'deity', 'quiet']","['XYXXY', 'YXGXY', 'XYGYX', 'GGGGG']","[54, 4, 2, 2]"
17,3,"['stare', 'olein', 'bench']","['XXXXY', 'XXYXY', 'GGGGG']","[116, 5, 5]"
18,5,"['stare', 'plate', 'ovate', 'agate', 'abate']","['XYGXG', 'XXGGG', 'XXGGG', 'GXGGG', 'GGGGG']","[5, 3, 2, 1, 1]"
19,4,"['stare', 'olein', 'given', 'feign']","['XXXXY', 'XXYYG', 'YYXYG', 'GGGGG']","[116, 5, 2, 2]"
20,3,"['stare', 'loran', 'major']","['XXYYX', 'XYYYX', 'GGGGG']","[64, 11, 11]"
21,3,"['stare', 'leant', 'death']","['XYGXY', 'XGGXY', 'GGGGG']","[11, 4, 4]"
22,4,"['stare', 'risen', 'press', 'fresh']","['YXXYY', 'YXYYX', 'XGGGY', 'GGGGG']","[14, 5, 1, 1]"
23,3,"['stare', 'torus', 'crust']","['YYXYX', 'YXYYY', 'GGGGG']","[13, 2, 2]"
24,5,"['stare', 'touns', 'stock', 'stood', 'stool']","['GGXXX', 'YYXXY', 'GGGXX', 'GGGGX', 'GGGGG']","[22, 6, 4, 2, 2]"
25,3,"['stare', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[227, 1, 1]"
26,4,"['stare', 'phase', 'lease', 'abase']","['YXGXG', 'XXGGG', 'XYGGG', 'GGGGG']","[6, 3, 1, 1]"
27,4,"['stare', 'acorn', 'harry', 'marry']","['XXYGX', 'YXXGX', 'XGGGG', 'GGGGG']","[16, 7, 2, 2]"
28,2,"['stare', 'react']","['XYGYY', 'GGGGG']","[1, 1]"
29,6,"['stare', 'tonal', 'yacht', 'fatty', 'patty', 'batty']","['XYYXX', 'YXXYX', 'YGXXY', 'XGGGG', 'XGGGG', 'GGGGG']","[74, 20, 3, 2, 1, 1]"
30,6,"['stare', 'goier', 'prize', 'prime', 'price', 'pride']","['XXXYG', 'XXGYY', 'GGGXG', 'GGGXG', 'GGGXG', 'GGGGG']","[49, 10, 3, 2, 1, 1]"
31,5,"['stare', 'shoyu', 'kiosk', 'gloss', 'floss']","['YXXXX', 'YXGXX', 'XXGGX', 'XGGGG', 'GGGGG']","[38, 3, 2, 1, 1]"
32,4,"['stare', 'olein', 'devil', 'helix']","['XXXXY', 'XYYGX', 'XGXGY', 'GGGGG']","[116, 2, 1, 1]"
33,4,"['stare', 'loran', 'broad', 'croak']","['XXYYX', 'XYYGX', 'XGGGX', 'GGGGG']","[64, 2, 1, 1]"
34,2,"['stare', 'staff']","['GGGXX', 'GGGGG']","[10, 10]"
35,3,"['stare', 'large', 'paper']","['XXYYY', 'XGYXY', 'GGGGG']","[47, 10, 10]"
36,5,"['stare', 'olein', 'bench', 'unwed', 'unfed']","['XXXXY', 'XXYXY', 'XYYXX', 'GGXGG', 'GGGGG']","[116, 5, 2, 1, 1]"
37,4,"['stare', 'olein', 'wheel', 'whelp']","['XXXXY', 'XYGXX', 'GGGYY', 'GGGGG']","[116, 5, 1, 1]"
38,5,"['stare', 'craft', 'train', 'tramp', 'trawl']","['XYGYX', 'XGGXY', 'GGGXX', 'GGGXX', 'GGGGG']","[12, 5, 2, 1, 1]"
39,4,"['stare', 'litho', 'motto', 'outdo']","['XYXXX', 'XXGXG', 'XYGYG', 'GGGGG']","[98, 3, 2, 2]"
40,3,"['stare', 'glean', 'adobe']","['XXYXG', 'XXYYX', 'GGGGG']","[41, 11, 11]"
41,4,"['stare', 'dinar', 'graph', 'crazy']","['XXGYX', 'XXXYY', 'XGGXX', 'GGGGG']","[30, 10, 6, 6]"
42,2,"['stare', 'sower']","['GXXYY', 'GGGGG']","[14, 14]"
43,4,"['stare', 'large', 'debar', 'repay']","['XXYYY', 'XYYXY', 'XGXGY', 'GGGGG']","[47, 17, 2, 2]"
44,4,"['stare', 'litho', 'fifty', 'digit']","['XYXXX', 'XGYXX', 'XGXYX', 'GGGGG']","[98, 4, 2, 2]"
45,3,"['stare', 'trade', 'crate']","['XYGYG', 'YGGXG', 'GGGGG']","[5, 3, 3]"
46,5,"['stare', 'noily', 'bluff', 'clump', 'cluck']","['XXXXX', 'XXXYX', 'XGGXX', 'GGGXX', 'GGGGG']","[227, 9, 4, 1, 1]"
47,4,"['stare', 'eosin', 'siege', 'spike']","['GXXXG', 'YXYYX', 'GYYXG', 'GGGGG']","[27, 9, 7, 7]"
48,4,"['stare', 'noily', 'civic', 'mimic']","['XXXXX', 'XXYXX', 'YGXGG', 'GGGGG']","[227, 6, 1, 1]"
49,6,"['stare', 'noily', 'found', 'bound', 'mound', 'pound']","['XXXXX', 'YGXXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[227, 9, 5, 4, 3, 3]"
50,5,"['stare', 'onlay', 'magic', 'mafia', 'maxim']","['XXYXX', 'XXXYX', 'GGXGX', 'GGXGY', 'GGGGG']","[127, 11, 2, 1, 1]"
51,3,"['stare', 'olein', 'linen']","['XXXXY', 'XYYYG', 'GGGGG']","[116, 2, 2]"
52,5,"['stare', 'toile', 'depth', 'event', 'unmet']","['XYXXY', 'YXXXY', 'XYXYX', 'YXYYG', 'GGGGG']","[54, 12, 3, 1, 1]"
53,3,"['stare', 'welsh', 'flesh']","['YXXXY', 'XYYGG', 'GGGGG']","[9, 1, 1]"
54,5,"['stare', 'noily', 'howdy', 'bobby', 'booby']","['XXXXX', 'XGXXG', 'XGXXG', 'GGYGG', 'GGGGG']","[227, 15, 7, 1, 1]"
55,5,"['stare', 'routh', 'north', 'worth', 'forth']","['XYXYX', 'YGXGG', 'XGGGG', 'XGGGG', 'GGGGG']","[42, 3, 2, 1, 1]"
56,3,"['stare', 'torus', 'first']","['YYXYX', 'YXGXY', 'GGGGG']","[13, 1, 1]"
57,3,"['stare', 'staff', 'stand']","['GGGXX', 'GGGXX', 'GGGGG']","[10, 9, 9]"
58,4,"['stare', 'olein', 'belch', 'belly']","['XXXXY', 'XYYXX', 'GGGXX', 'GGGGG']","[116, 11, 1, 1]"
59,3,"['stare', 'hydro', 'ivory']","['XXXGX', 'XYXGY', 'GGGGG']","[20, 4, 4]"
60,3,"['stare', 'plesh', 'seedy']","['GXXXY', 'XXGYX', 'GGGGG']","[21, 1, 1]"
61,3,"['stare', 'routh', 'print']","['XYXYX', 'YXXYX', 'GGGGG']","[42, 4, 4]"
62,5,"['stare', 'heard', 'pearl', 'weary', 'yearn']","['XXGGY', 'XGGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[7, 5, 3, 1, 1]"
63,3,"['stare', 'dinar', 'drain']","['XXGYX', 'GYYYY', 'GGGGG']","[30, 1, 1]"
64,7,"['stare', 'goier', 'prize', 'crime', 'drive', 'urine', 'bribe']","['XXXYG', 'XXGYY', 'XGGXG', 'XGGXG', 'XGGXG', 'XGGXG', 'GGGGG']","[49, 10, 6, 5, 3, 1, 1]"
65,3,"['stare', 'touns', 'stout']","['GGXXX', 'YYYXY', 'GGGGG']","[22, 1, 1]"
66,3,"['stare', 'naled', 'panel']","['XXYXY', 'YGYGX', 'GGGGG']","[51, 1, 1]"
67,4,"['stare', 'grass', 'brass', 'crass']","['YXGYX', 'XGGGG', 'XGGGG', 'GGGGG']","[6, 2, 1, 1]"
68,4,"['stare', 'louie', 'plume', 'flume']","['XXXXG', 'YXGXG', 'XGGGG', 'GGGGG']","[87, 4, 1, 1]"
69,3,"['stare', 'onlay', 'offal']","['XXYXX', 'GXYGX', 'GGGGG']","[127, 1, 1]"
70,3,"['stare', 'large', 'agree']","['XXYYG', 'XYGYG', 'GGGGG']","[7, 1, 1]"
71,3,"['stare', 'riled', 'error']","['XXXYY', 'YXXYX', 'GGGGG']","[118, 8, 8]"
72,3,"['stare', 'sword', 'swirl']","['GXXGX', 'GGXGX', 'GGGGG']","[10, 1, 1]"
73,3,"['stare', 'large', 'argue']","['XXYYG', 'XYYYG', 'GGGGG']","[7, 1, 1]"
74,3,"['stare', 'olein', 'bleed']","['XXXXY', 'XGGXX', 'GGGGG']","[116, 4, 4]"
75,3,"['stare', 'cleat', 'delta']","['XYYXY', 'XYYYY', 'GGGGG']","[21, 1, 1]"
76,4,"['stare', 'noily', 'cliff', 'flick']","['XXXXX', 'XXGYX', 'YGGYY', 'GGGGG']","[227, 5, 1, 1]"
77,4,"['stare', 'toile', 'token', 'totem']","['XYXXY', 'GGXXY', 'GGXGX', 'GGGGG']","[54, 2, 1, 1]"
78,4,"['stare', 'riled', 'powre', 'wooer']","['XXXYY', 'YXXGX', 'XGYYY', 'GGGGG']","[118, 33, 1, 1]"
79,3,"['stare', 'routh', 'front']","['XYXYX', 'YYXYX', 'GGGGG']","[42, 5, 5]"
80,2,"['stare', 'shrub']","['GXXYX', 'GGGGG']","[8, 8]"
81,5,"['stare', 'acorn', 'harry', 'marry', 'parry']","['XXYGX', 'YXXGX', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 7, 2, 1, 1]"
82,4,"['stare', 'louie', 'oxide', 'biome']","['XXXXG', 'XYXYG', 'YXYXG', 'GGGGG']","[87, 5, 1, 1]"
83,4,"['stare', 'naled', 'label', 'lapel']","['XXYXY', 'XGYGX', 'GGXGG', 'GGGGG']","[51, 6, 1, 1]"
84,2,"['stare', 'start']","['GGGGX', 'GGGGG']","[2, 2]"
85,5,"['stare', 'urite', 'trend', 'erect', 'greet']","['XYXYY', 'XGXYY', 'YGGXX', 'YGGXG', 'GGGGG']","[30, 4, 3, 1, 1]"
