,steps,words,feedback,ncands
0,4,"['tores', 'dinar', 'vicar', 'cigar']","['XXYXX', 'XGXGG', 'XGYGG', 'GGGGG']","[97, 2, 1, 1]"
1,5,"['tores', 'cater', 'write', 'exert', 'rebut']","['YXYYX', 'XXYYY', 'XYXYY', 'YXYYG', 'GGGGG']","[23, 8, 2, 1, 1]"
2,5,"['tores', 'shaly', 'sunny', 'spicy', 'sissy']","['XXXXY', 'GXXXG', 'GXXXG', 'GXYXG', 'GGGGG']","[120, 5, 3, 1, 1]"
3,4,"['tores', 'layin', 'chuck', 'humph']","['XXXXX', 'XXXXX', 'XYYXX', 'GGGGG']","[246, 3, 1, 1]"
4,4,"['tores', 'liane', 'peace', 'awake']","['XXXYX', 'XXGXG', 'XYGXG', 'GGGGG']","[196, 10, 5, 5]"
5,5,"['tores', 'shaly', 'flush', 'plush', 'blush']","['XXXXY', 'YYXYX', 'XGGGG', 'XGGGG', 'GGGGG']","[120, 3, 2, 1, 1]"
6,5,"['tores', 'godly', 'local', 'vocal', 'focal']","['XGXXX', 'XGXYX', 'YGGGG', 'XGGGG', 'GGGGG']","[79, 7, 2, 1, 1]"
7,5,"['tores', 'liane', 'peace', 'awake', 'evade']","['XXXYX', 'XXGXG', 'XYGXG', 'YXGXG', 'GGGGG']","[196, 10, 5, 1, 1]"
8,3,"['tores', 'layin', 'naval']","['XXXXX', 'YGXXY', 'GGGGG']","[246, 3, 3]"
9,2,"['tores', 'serve']","['XXGYY', 'GGGGG']","[9, 9]"
10,4,"['tores', 'telia', 'death', 'heath']","['YXXYX', 'YGXXY', 'XGGGG', 'GGGGG']","[69, 5, 1, 1]"
11,4,"['tores', 'dinar', 'drama', 'dwarf']","['XXYXX', 'GXXYY', 'GYGXY', 'GGGGG']","[97, 3, 1, 1]"
12,3,"['tores', 'novel', 'model']","['XGXGX', 'XGXGG', 'GGGGG']","[19, 3, 3]"
13,3,"['tores', 'lycra', 'karma']","['XXGXX', 'XXXYG', 'GGGGG']","[29, 2, 2]"
14,5,"['tores', 'stain', 'stint', 'sting', 'stink']","['YXXXY', 'GGXYY', 'GGGGY', 'GGGGX', 'GGGGG']","[58, 3, 2, 1, 1]"
15,3,"['tores', 'acred', 'grade']","['XXYYX', 'YXYYY', 'GGGGG']","[93, 6, 6]"
16,3,"['tores', 'valet', 'quiet']","['YXXGX', 'XXXGG', 'GGGGG']","[13, 3, 3]"
17,5,"['tores', 'liane', 'enemy', 'begun', 'bench']","['XXXYX', 'XXXYY', 'YYYXX', 'GGXXY', 'GGGGG']","[196, 5, 3, 1, 1]"
18,5,"['tores', 'telia', 'cheat', 'agate', 'abate']","['YXXYX', 'YYXXY', 'XXYYY', 'GXGGG', 'GGGGG']","[69, 11, 2, 1, 1]"
19,4,"['tores', 'liane', 'begin', 'feign']","['XXXYX', 'XYXYY', 'XGYYG', 'GGGGG']","[196, 6, 2, 2]"
20,3,"['tores', 'andro', 'major']","['XYYXX', 'YXXYY', 'GGGGG']","[74, 8, 8]"
21,3,"['tores', 'telia', 'death']","['YXXYX', 'YGXXY', 'GGGGG']","[69, 5, 5]"
22,3,"['tores', 'arise', 'fresh']","['XXYYY', 'XGXGY', 'GGGGG']","[18, 1, 1]"
23,3,"['tores', 'stair', 'crust']","['YXYXY', 'YYXXY', 'GGGGG']","[12, 2, 2]"
24,4,"['tores', 'scout', 'stood', 'stool']","['YYXXY', 'GXGXY', 'GGGGX', 'GGGGG']","[17, 6, 2, 2]"
25,4,"['tores', 'godly', 'local', 'colon']","['XGXXX', 'XGXYX', 'YGYXY', 'GGGGG']","[79, 7, 1, 1]"
26,4,"['tores', 'aisle', 'abuse', 'abase']","['XXXYY', 'GXYXG', 'GGXGG', 'GGGGG']","[72, 3, 1, 1]"
27,4,"['tores', 'lycra', 'harry', 'marry']","['XXGXX', 'XYXGY', 'XGGGG', 'GGGGG']","[29, 3, 2, 2]"
28,3,"['tores', 'cater', 'react']","['YXYYX', 'YYYYY', 'GGGGG']","[23, 1, 1]"
29,5,"['tores', 'hutia', 'fatal', 'patty', 'batty']","['YXXXX', 'XXGXY', 'XGGYX', 'XGGGG', 'GGGGG']","[87, 7, 3, 2, 2]"
30,4,"['tores', 'acred', 'drive', 'pride']","['XXYYX', 'XXYYY', 'YGGXG', 'GGGGG']","[93, 7, 2, 2]"
31,4,"['tores', 'chaos', 'gloss', 'floss']","['XYXXG', 'XXXYG', 'XGGGG', 'GGGGG']","[3, 2, 1, 1]"
32,4,"['tores', 'liane', 'devil', 'helix']","['XXXYX', 'YYXXY', 'XGXGY', 'GGGGG']","[196, 2, 1, 1]"
33,4,"['tores', 'andro', 'major', 'croak']","['XYYXX', 'YXXYY', 'XYXYY', 'GGGGG']","[74, 8, 1, 1]"
34,3,"['tores', 'stain', 'staff']","['YXXXY', 'GGGXX', 'GGGGG']","[58, 6, 6]"
35,4,"['tores', 'aider', 'lager', 'paper']","['XXYGX', 'YXXGG', 'XGXGG', 'GGGGG']","[94, 17, 8, 8]"
36,5,"['tores', 'aline', 'queen', 'unwed', 'unfed']","['XXXGX', 'XXXYY', 'XYYGY', 'GGXGG', 'GGGGG']","[55, 5, 2, 1, 1]"
37,4,"['tores', 'liane', 'welch', 'whelp']","['XXXYX', 'YXXXY', 'GYYXY', 'GGGGG']","[196, 9, 1, 1]"
38,3,"['tores', 'trail', 'trawl']","['GXYXX', 'GGGXG', 'GGGGG']","[19, 1, 1]"
39,4,"['tores', 'ploat', 'ditto', 'outdo']","['YYXXX', 'XXYXY', 'YXGYG', 'GGGGG']","[31, 4, 1, 1]"
40,4,"['tores', 'clone', 'above', 'adobe']","['XYXYX', 'XXGXG', 'GYGXG', 'GGGGG']","[45, 7, 1, 1]"
41,4,"['tores', 'dinar', 'charm', 'crazy']","['XXYXX', 'XXXYY', 'GXGYX', 'GGGGG']","[97, 16, 3, 3]"
42,4,"['tores', 'loser', 'sober', 'sower']","['XGYGY', 'XGYGG', 'GGXGG', 'GGGGG']","[4, 2, 1, 1]"
43,5,"['tores', 'acred', 'blaer', 'range', 'repay']","['XXYYX', 'YXYYX', 'XXYYY', 'GYXXY', 'GGGGG']","[93, 27, 4, 1, 1]"
44,4,"['tores', 'hutia', 'limit', 'digit']","['YXXXX', 'XXYGX', 'XGXGG', 'GGGGG']","[87, 2, 1, 1]"
45,3,"['tores', 'cater', 'crate']","['YXYYX', 'GYYYY', 'GGGGG']","[23, 1, 1]"
46,5,"['tores', 'layin', 'bluff', 'clump', 'cluck']","['XXXXX', 'YXXXX', 'XGGXX', 'GGGXX', 'GGGGG']","[246, 9, 4, 1, 1]"
47,3,"['tores', 'aisle', 'spike']","['XXXYY', 'XYYXG', 'GGGGG']","[72, 9, 9]"
48,4,"['tores', 'layin', 'civic', 'mimic']","['XXXXX', 'XXXGX', 'YGXGG', 'GGGGG']","[246, 6, 1, 1]"
49,6,"['tores', 'godly', 'found', 'bound', 'mound', 'pound']","['XGXXX', 'XGYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[79, 8, 5, 4, 3, 3]"
50,5,"['tores', 'layin', 'magic', 'mafia', 'maxim']","['XXXXX', 'XGXGX', 'GGXGX', 'GGXGY', 'GGGGG']","[246, 4, 2, 1, 1]"
51,3,"['tores', 'aline', 'linen']","['XXXGX', 'XYYYY', 'GGGGG']","[55, 2, 2]"
52,4,"['tores', 'valet', 'quiet', 'unmet']","['YXXGX', 'XXXGG', 'XYXGG', 'GGGGG']","[13, 3, 1, 1]"
53,4,"['tores', 'aisle', 'welsh', 'flesh']","['XXXYY', 'XXYYY', 'XYYGG', 'GGGGG']","[72, 2, 1, 1]"
54,4,"['tores', 'godly', 'bobby', 'booby']","['XGXXX', 'XGXXG', 'GGYGG', 'GGGGG']","[79, 8, 1, 1]"
55,4,"['tores', 'north', 'worth', 'forth']","['YGGXX', 'XGGGG', 'XGGGG', 'GGGGG']","[5, 2, 1, 1]"
56,2,"['tores', 'first']","['YXGXY', 'GGGGG']","[7, 7]"
57,3,"['tores', 'stain', 'stand']","['YXXXY', 'GGGXY', 'GGGGG']","[58, 2, 2]"
58,4,"['tores', 'liane', 'welch', 'belly']","['XXXYX', 'YXXXY', 'XGGXX', 'GGGGG']","[196, 9, 2, 2]"
59,3,"['tores', 'andro', 'ivory']","['XYYXX', 'XXXGY', 'GGGGG']","[74, 2, 2]"
60,4,"['tores', 'aisle', 'spend', 'seedy']","['XXXYY', 'XXYXY', 'GXGXY', 'GGGGG']","[72, 3, 1, 1]"
61,4,"['tores', 'afrit', 'right', 'print']","['YXYXX', 'XXYYG', 'YYXXG', 'GGGGG']","[21, 2, 1, 1]"
