,steps,words,feedback,ncands
0,4,"['arles', 'yarco', 'chair', 'cigar']","['YYXXX', 'XYYYX', 'GXYYG', 'GGGGG']","[65, 6, 1, 1]"
1,4,"['arles', 'toyer', 'merit', 'rebut']","['XYXYX', 'YXXYY', 'XGYXG', 'GGGGG']","[64, 9, 2, 2]"
2,5,"['arles', 'oints', 'gipsy', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGXGG', 'XGGGG', 'GGGGG']","[114, 5, 2, 1, 1]"
3,4,"['arles', 'unity', 'cough', 'humph']","['XXXXX', 'YXXXX', 'XXYXG', 'GGGGG']","[205, 12, 1, 1]"
4,4,"['arles', 'anode', 'agate', 'awake']","['GXXYX', 'GXXXG', 'GXGXG', 'GGGGG']","[19, 6, 2, 2]"
5,4,"['arles', 'louis', 'plush', 'blush']","['XXYXY', 'YXGXY', 'XGGGG', 'GGGGG']","[31, 9, 3, 3]"
6,3,"['arles', 'octal', 'focal']","['YXYXX', 'YYXGG', 'GGGGG']","[68, 3, 3]"
7,4,"['arles', 'teach', 'knave', 'evade']","['YXXYX', 'XYGXX', 'XXGYG', 'GGGGG']","[56, 5, 1, 1]"
8,4,"['arles', 'octal', 'final', 'naval']","['YXYXX', 'XXXGG', 'XXYGG', 'GGGGG']","[68, 5, 1, 1]"
9,4,"['arles', 'roues', 'spire', 'serve']","['XYXYY', 'YXXYY', 'GXXYG', 'GGGGG']","[26, 8, 1, 1]"
10,4,"['arles', 'teach', 'death', 'heath']","['YXXYX', 'YGGXG', 'XGGGG', 'GGGGG']","[56, 2, 1, 1]"
11,4,"['arles', 'yarco', 'quart', 'dwarf']","['YYXXX', 'XYYXX', 'XXGGX', 'GGGGG']","[65, 8, 2, 2]"
12,3,"['arles', 'lobed', 'model']","['XXYGX', 'YGXGY', 'GGGGG']","[30, 2, 2]"
13,3,"['arles', 'yarco', 'karma']","['YYXXX', 'XGGXX', 'GGGGG']","[65, 2, 2]"
14,3,"['arles', 'oints', 'stink']","['XXXXY', 'XYYYY', 'GGGGG']","[114, 3, 3]"
15,3,"['arles', 'acred', 'grade']","['YGXYX', 'YXYYY', 'GGGGG']","[30, 5, 5]"
16,3,"['arles', 'noted', 'quiet']","['XXXGX', 'XXYGX', 'GGGGG']","[44, 5, 5]"
17,4,"['arles', 'ident', 'ounce', 'bench']","['XXXYX', 'XXYYX', 'XXGGY', 'GGGGG']","[130, 12, 2, 2]"
18,4,"['arles', 'anode', 'agate', 'abate']","['GXXYX', 'GXXXG', 'GXGGG', 'GGGGG']","[19, 6, 1, 1]"
19,4,"['arles', 'ident', 'hinge', 'feign']","['XXXYX', 'YXYYX', 'XYYGY', 'GGGGG']","[130, 11, 1, 1]"
20,3,"['arles', 'yarco', 'major']","['YYXXX', 'XGYXY', 'GGGGG']","[65, 5, 5]"
21,3,"['arles', 'teach', 'death']","['YXXYX', 'YGGXG', 'GGGGG']","[56, 2, 2]"
22,3,"['arles', 'wrest', 'fresh']","['XGXYY', 'XGGGX', 'GGGGG']","[4, 1, 1]"
23,2,"['arles', 'crust']","['XGXXY', 'GGGGG']","[11, 11]"
24,4,"['arles', 'louis', 'sloth', 'stool']","['XXYXY', 'YYXXY', 'GYGYX', 'GGGGG']","[31, 7, 1, 1]"
25,3,"['arles', 'doily', 'colon']","['XXGXX', 'XGXYX', 'GGGGG']","[30, 1, 1]"
26,3,"['arles', 'abuse', 'abase']","['GXXYY', 'GGXGG', 'GGGGG']","[4, 1, 1]"
27,5,"['arles', 'yarco', 'party', 'hardy', 'marry']","['YYXXX', 'YGGXX', 'XGGXG', 'XGGXG', 'GGGGG']","[65, 8, 3, 1, 1]"
28,3,"['arles', 'recta', 'react']","['YYXYX', 'GGYYY', 'GGGGG']","[25, 1, 1]"
29,3,"['arles', 'canty', 'batty']","['YXXXX', 'XGXGG', 'GGGGG']","[119, 4, 4]"
30,3,"['arles', 'petri', 'pride']","['XGXYX', 'GYXYY', 'GGGGG']","[45, 4, 4]"
31,3,"['arles', 'locus', 'floss']","['XXYXG', 'YYXXG', 'GGGGG']","[5, 2, 2]"
32,3,"['arles', 'belch', 'helix']","['XXGYX', 'XGGXY', 'GGGGG']","[17, 2, 2]"
33,3,"['arles', 'drant', 'croak']","['YGXXX', 'XGYXX', 'GGGGG']","[40, 3, 3]"
34,4,"['arles', 'antsy', 'shaft', 'staff']","['YXXXY', 'YXYYX', 'GXGGY', 'GGGGG']","[62, 9, 1, 1]"
35,4,"['arles', 'prate', 'payer', 'paper']","['YYXGX', 'GYYXY', 'GGXGG', 'GGGGG']","[25, 3, 2, 2]"
36,3,"['arles', 'noted', 'unfed']","['XXXGX', 'YXXGG', 'GGGGG']","[44, 3, 3]"
37,4,"['arles', 'louie', 'dwelt', 'whelp']","['XXYYX', 'YXXXY', 'XYGGX', 'GGGGG']","[55, 10, 1, 1]"
38,2,"['arles', 'trawl']","['YGYXX', 'GGGGG']","[8, 8]"
39,4,"['arles', 'unity', 'touch', 'outdo']","['XXXXX', 'YXXYX', 'YYYXX', 'GGGGG']","[205, 11, 2, 2]"
40,3,"['arles', 'anode', 'adobe']","['GXXYX', 'GXGYG', 'GGGGG']","[19, 1, 1]"
41,3,"['arles', 'drant', 'crazy']","['YGXXX', 'XGGXX', 'GGGGG']","[40, 7, 7]"
42,3,"['arles', 'wries', 'sower']","['XYXGY', 'YYXGY', 'GGGGG']","[23, 4, 4]"
43,3,"['arles', 'recta', 'repay']","['YYXYX', 'GGXXY', 'GGGGG']","[25, 5, 5]"
44,4,"['arles', 'unity', 'pitch', 'digit']","['XXXXX', 'XXYYX', 'XGYXX', 'GGGGG']","[205, 17, 3, 3]"
