,steps,words,feedback,ncands
0,4,"['arose', 'yaird', 'vicar', 'cigar']","['YYXXX', 'XYYYX', 'XGYGG', 'GGGGG']","[55, 7, 1, 1]"
1,3,"['arose', 'tiler', 'rebut']","['XYXXY', 'YXXYY', 'GGGGG']","[103, 7, 7]"
2,4,"['arose', 'plush', 'midst', 'sissy']","['XXXGX', 'XXXGX', 'XGXGX', 'GGGGG']","[17, 4, 1, 1]"
3,4,"['arose', 'unity', 'clump', 'humph']","['XXXXX', 'YXXXX', 'XXYYY', 'GGGGG']","[183, 12, 1, 1]"
4,4,"['arose', 'agile', 'acute', 'awake']","['GXXXG', 'GXXXG', 'GXXXG', 'GGGGG']","[18, 4, 2, 2]"
5,3,"['arose', 'plush', 'blush']","['XXXGX', 'XGGGG', 'GGGGG']","[17, 3, 3]"
6,3,"['arose', 'notal', 'focal']","['YXYXX', 'XGXGG', 'GGGGG']","[44, 5, 5]"
7,4,"['arose', 'gavel', 'knave', 'evade']","['YXXXG', 'XYYYX', 'XXGYG', 'GGGGG']","[50, 4, 1, 1]"
8,3,"['arose', 'talcy', 'naval']","['YXXXX', 'XGYXX', 'GGGGG']","[148, 4, 4]"
9,4,"['arose', 'spire', 'surge', 'serve']","['XYXYG', 'GXXYG', 'GXGXG', 'GGGGG']","[6, 3, 2, 2]"
10,4,"['arose', 'eclat', 'death', 'heath']","['YXXXY', 'YXXYY', 'XGGGG', 'GGGGG']","[78, 6, 1, 1]"
11,3,"['arose', 'yaird', 'dwarf']","['YYXXX', 'XYXGY', 'GGGGG']","[55, 1, 1]"
12,3,"['arose', 'melon', 'model']","['XXYXY', 'GYYYX', 'GGGGG']","[47, 2, 2]"
13,4,"['arose', 'yaird', 'march', 'karma']","['YYXXX', 'XGXYX', 'YGGXX', 'GGGGG']","[55, 8, 1, 1]"
14,3,"['arose', 'suint', 'stink']","['XXXYX', 'GXGGY', 'GGGGG']","[79, 2, 2]"
15,3,"['arose', 'grace', 'grade']","['YGXXG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
16,3,"['arose', 'enlit', 'quiet']","['XXXXY', 'YXXYG', 'GGGGG']","[120, 1, 1]"
17,3,"['arose', 'enlit', 'bench']","['XXXXY', 'YYXXX', 'GGGGG']","[120, 7, 7]"
18,4,"['arose', 'agile', 'acute', 'abate']","['GXXXG', 'GXXXG', 'GXXGG', 'GGGGG']","[18, 4, 1, 1]"
19,4,"['arose', 'enlit', 'deign', 'feign']","['XXXXY', 'YYXYX', 'XGGGG', 'GGGGG']","[120, 9, 1, 1]"
20,4,"['arose', 'claro', 'manor', 'major']","['YYYXX', 'XXYYY', 'GGXGG', 'GGGGG']","[28, 11, 2, 2]"
21,3,"['arose', 'eclat', 'death']","['YXXXY', 'YXXYY', 'GGGGG']","[78, 6, 6]"
22,3,"['arose', 'crest', 'fresh']","['XGXGY', 'XGGGX', 'GGGGG']","[6, 3, 3]"
23,2,"['arose', 'crust']","['XGXGX', 'GGGGG']","[11, 11]"
24,5,"['arose', 'tophs', 'scout', 'stony', 'stool']","['XXGYX', 'YYXXY', 'GXGXY', 'GGGXX', 'GGGGG']","[36, 8, 3, 2, 2]"
25,4,"['arose', 'tondi', 'nobly', 'colon']","['XXYXX', 'XGYXX', 'YGXYX', 'GGGGG']","[104, 3, 1, 1]"
26,3,"['arose', 'abuse', 'abase']","['GXXGG', 'GGXGG', 'GGGGG']","[3, 1, 1]"
27,3,"['arose', 'yaird', 'marry']","['YYXXX', 'YGXGX', 'GGGGG']","[55, 4, 4]"
28,3,"['arose', 'later', 'react']","['YYXXY', 'XYYYY', 'GGGGG']","[60, 4, 4]"
29,3,"['arose', 'talcy', 'batty']","['YXXXX', 'YGXXG', 'GGGGG']","[148, 3, 3]"
30,3,"['arose', 'petri', 'pride']","['XGXXG', 'GYXYY', 'GGGGG']","[24, 4, 4]"
31,3,"['arose', 'ghost', 'floss']","['XXGGX', 'XXGGX', 'GGGGG']","[6, 2, 2]"
32,3,"['arose', 'enlit', 'helix']","['XXXXY', 'YXGGX', 'GGGGG']","[120, 1, 1]"
33,2,"['arose', 'croak']","['YGGXX', 'GGGGG']","[3, 3]"
34,6,"['arose', 'slant', 'stack', 'stamp', 'staid', 'staff']","['YXXYX', 'GXGXY', 'GGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[67, 5, 3, 2, 1, 1]"
35,5,"['arose', 'later', 'wager', 'caper', 'paper']","['YYXXY', 'XGXGG', 'XGXGG', 'XGGGG', 'GGGGG']","[60, 15, 8, 1, 1]"
36,3,"['arose', 'enlit', 'unfed']","['XXXXY', 'YGXXX', 'GGGGG']","[120, 3, 3]"
37,3,"['arose', 'enlit', 'whelp']","['XXXXY', 'YXYXX', 'GGGGG']","[120, 14, 14]"
38,3,"['arose', 'riant', 'trawl']","['YGXXX', 'YXGXY', 'GGGGG']","[43, 4, 4]"
39,3,"['arose', 'tondi', 'outdo']","['XXYXX', 'YYXGX', 'GGGGG']","[104, 1, 1]"
40,2,"['arose', 'adobe']","['GXGXG', 'GGGGG']","[7, 7]"
41,4,"['arose', 'riant', 'crawl', 'crazy']","['YGXXX', 'YXGXX', 'GGGXX', 'GGGGG']","[43, 11, 3, 3]"
42,2,"['arose', 'sower']","['XYYYY', 'GGGGG']","[4, 4]"
43,4,"['arose', 'later', 'ready', 'repay']","['YYXXY', 'XYXYY', 'GGYXG', 'GGGGG']","[60, 11, 1, 1]"
44,4,"['arose', 'unity', 'might', 'digit']","['XXXXX', 'XXYYX', 'XGGXG', 'GGGGG']","[183, 12, 1, 1]"
45,3,"['arose', 'grace', 'crate']","['YGXXG', 'XGGYG', 'GGGGG']","[19, 4, 4]"
46,4,"['arose', 'unity', 'clump', 'cluck']","['XXXXX', 'YXXXX', 'GGGXX', 'GGGGG']","[183, 12, 1, 1]"
47,4,"['arose', 'liens', 'spite', 'spike']","['XXXYG', 'XYYXY', 'GGGXG', 'GGGGG']","[24, 7, 2, 2]"
48,4,"['arose', 'unity', 'civil', 'mimic']","['XXXXX', 'XXYXX', 'YGXGX', 'GGGGG']","[183, 7, 1, 1]"
49,4,"['arose', 'tondi', 'wound', 'pound']","['XXYXX', 'XGYYX', 'XGGGG', 'GGGGG']","[104, 7, 5, 5]"
50,4,"['arose', 'talcy', 'manga', 'maxim']","['YXXXX', 'XGXXX', 'GGXXY', 'GGGGG']","[148, 12, 2, 2]"
51,4,"['arose', 'enlit', 'liken', 'linen']","['XXXXY', 'YYYYX', 'GGXGG', 'GGGGG']","[120, 2, 1, 1]"
52,3,"['arose', 'enlit', 'unmet']","['XXXXY', 'YGXXG', 'GGGGG']","[120, 1, 1]"
