,steps,words,feedback,ncands
0,3,"['dares', 'actor', 'cigar']","['XYYXX', 'YYXXG', 'GGGGG']","[71, 3, 3]"
1,4,"['dares', 'citer', 'route', 'rebut']","['XXYYX', 'XXYYY', 'GXYYY', 'GGGGG']","[71, 10, 1, 1]"
2,6,"['dares', 'toils', 'fishy', 'wispy', 'missy', 'sissy']","['XXXXY', 'XXYXY', 'XGGXG', 'XGGXG', 'XGGGG', 'GGGGG']","[141, 8, 3, 2, 1, 1]"
3,4,"['dares', 'oculi', 'funky', 'humph']","['XXXXX', 'XXYXX', 'XGXXX', 'GGGGG']","[257, 15, 1, 1]"
4,5,"['dares', 'laten', 'cheap', 'awoke', 'awake']","['XYXYX', 'XYXYX', 'XXYYX', 'GGXGG', 'GGGGG']","[89, 18, 7, 1, 1]"
5,4,"['dares', 'toils', 'plush', 'blush']","['XXXXY', 'XXXYY', 'XGGGG', 'GGGGG']","[141, 8, 3, 3]"
6,4,"['dares', 'aloin', 'octal', 'focal']","['XYXXX', 'YYYXX', 'YYXGG', 'GGGGG']","[118, 11, 3, 3]"
7,3,"['dares', 'blade', 'evade']","['YYXYX', 'XXGGG', 'GGGGG']","[19, 1, 1]"
8,4,"['dares', 'canty', 'wagon', 'naval']","['XGXXX', 'XGYXX', 'XGXXY', 'GGGGG']","[94, 4, 2, 2]"
9,3,"['dares', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[12, 1, 1]"
10,4,"['dares', 'laten', 'cheat', 'heath']","['XYXYX', 'XYYYX', 'XYYYY', 'GGGGG']","[89, 13, 1, 1]"
11,3,"['dares', 'drawn', 'dwarf']","['GYYXX', 'GYGYX', 'GGGGG']","[8, 1, 1]"
12,3,"['dares', 'olden', 'model']","['YXXGX', 'YYGGX', 'GGGGG']","[14, 1, 1]"
13,4,"['dares', 'party', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[16, 6, 1, 1]"
14,3,"['dares', 'toils', 'stink']","['XXXXY', 'YXGXY', 'GGGGG']","[141, 8, 8]"
15,3,"['dares', 'tread', 'grade']","['YYYYX', 'XGYYY', 'GGGGG']","[9, 1, 1]"
16,3,"['dares', 'lento', 'quiet']","['XXXGX', 'XYXYX', 'GGGGG']","[59, 3, 3]"
17,4,"['dares', 'intel', 'ounce', 'bench']","['XXXYX', 'XYXYX', 'XXGGY', 'GGGGG']","[151, 14, 2, 2]"
18,6,"['dares', 'laten', 'cheat', 'meaty', 'ovate', 'abate']","['XYXYX', 'XYYYX', 'XXYYY', 'XYGGX', 'XXGGG', 'GGGGG']","[89, 13, 4, 3, 2, 2]"
19,4,"['dares', 'intel', 'hinge', 'feign']","['XXXYX', 'YYXYX', 'XYYGY', 'GGGGG']","[151, 16, 1, 1]"
