,steps,words,feedback,ncands
0,3,"['lares', 'andro', 'cigar']","['XYYXX', 'YXXYX', 'GGGGG']","[74, 19, 19]"
1,4,"['lares', 'citer', 'route', 'rebut']","['XXYYX', 'XXYYY', 'GXYYY', 'GGGGG']","[81, 11, 1, 1]"
2,5,"['lares', 'oints', 'gipsy', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGXGG', 'XGGGG', 'GGGGG']","[114, 5, 2, 1, 1]"
3,4,"['lares', 'unity', 'cough', 'humph']","['XXXXX', 'YXXXX', 'XXYXG', 'GGGGG']","[205, 12, 1, 1]"
4,4,"['lares', 'thane', 'image', 'awake']","['XYXYX', 'XXGXG', 'XXGXG', 'GGGGG']","[59, 9, 5, 5]"
5,4,"['lares', 'louis', 'plush', 'blush']","['YXXXY', 'YXGXY', 'XGGGG', 'GGGGG']","[35, 9, 3, 3]"
6,3,"['lares', 'aloin', 'focal']","['YYXXX', 'YYYXX', 'GGGGG']","[71, 8, 8]"
7,5,"['lares', 'thane', 'image', 'awake', 'evade']","['XYXYX', 'XXGXG', 'XXGXG', 'YXGXG', 'GGGGG']","[59, 9, 5, 2, 2]"
8,4,"['lares', 'laity', 'canal', 'naval']","['YGXXX', 'YGXXX', 'XGYGG', 'GGGGG']","[23, 6, 1, 1]"
9,3,"['lares', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[12, 1, 1]"
10,4,"['lares', 'thane', 'death', 'heath']","['XYXYX', 'YYGXY', 'XGGGG', 'GGGGG']","[59, 2, 1, 1]"
11,3,"['lares', 'andro', 'dwarf']","['XYYXX', 'YXYGX', 'GGGGG']","[74, 4, 4]"
12,4,"['lares', 'towel', 'hovel', 'model']","['YXXGX', 'XGXGG', 'XGXGG', 'GGGGG']","[29, 3, 1, 1]"
13,4,"['lares', 'party', 'cargo', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[16, 4, 1, 1]"
14,3,"['lares', 'oints', 'stink']","['XXXXY', 'XYYYY', 'GGGGG']","[114, 3, 3]"
15,3,"['lares', 'acred', 'grade']","['XYYYX', 'YXYYY', 'GGGGG']","[56, 7, 7]"
16,3,"['lares', 'noted', 'quiet']","['XXXGX', 'XXYGX', 'GGGGG']","[44, 5, 5]"
17,4,"['lares', 'ident', 'ounce', 'bench']","['XXXYX', 'XXYYX', 'XXGGY', 'GGGGG']","[130, 12, 2, 2]"
18,4,"['lares', 'thane', 'ovate', 'abate']","['XYXYX', 'YXGXG', 'XXGGG', 'GGGGG']","[59, 3, 2, 2]"
19,4,"['lares', 'ident', 'hinge', 'feign']","['XXXYX', 'YXYYX', 'XYYGY', 'GGGGG']","[130, 11, 1, 1]"
20,3,"['lares', 'radio', 'major']","['XGYXX', 'YGXXY', 'GGGGG']","[26, 5, 5]"
21,3,"['lares', 'thane', 'death']","['XYXYX', 'YYGXY', 'GGGGG']","[59, 2, 2]"
22,4,"['lares', 'snore', 'wrest', 'fresh']","['XXYYY', 'YXXYY', 'XGGGX', 'GGGGG']","[18, 3, 1, 1]"
23,3,"['lares', 'rosit', 'crust']","['XXYXY', 'YXYXG', 'GGGGG']","[33, 4, 4]"
24,4,"['lares', 'louis', 'sloth', 'stool']","['YXXXY', 'YYXXY', 'GYGYX', 'GGGGG']","[35, 7, 1, 1]"
25,4,"['lares', 'oculi', 'flock', 'colon']","['YXXXX', 'YYXYX', 'XYYYX', 'GGGGG']","[102, 6, 1, 1]"
26,4,"['lares', 'ketas', 'phase', 'abase']","['XYXYY', 'XYXYY', 'XXGGG', 'GGGGG']","[35, 14, 1, 1]"
27,4,"['lares', 'party', 'hardy', 'marry']","['XGGXX', 'XGGXG', 'XGGXG', 'GGGGG']","[16, 4, 2, 2]"
28,3,"['lares', 'acred', 'react']","['XYYYX', 'YYYYX', 'GGGGG']","[56, 12, 12]"
29,3,"['lares', 'canty', 'batty']","['XGXXX', 'XGXGG', 'GGGGG']","[85, 4, 4]"
30,3,"['lares', 'citer', 'pride']","['XXYYX', 'XYXYY', 'GGGGG']","[81, 12, 12]"
31,2,"['lares', 'floss']","['YXXXG', 'GGGGG']","[3, 3]"
