,steps,words,feedback,ncands
0,4,"['lores', 'train', 'hairy', 'cigar']","['XXYXX', 'XYYYX', 'XYYYX', 'GGGGG']","[109, 6, 2, 2]"
1,4,"['lores', 'terai', 'recut', 'rebut']","['XXYYX', 'YGYXX', 'GGXGG', 'GGGGG']","[111, 4, 1, 1]"
2,5,"['lores', 'aitus', 'gipsy', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGXGG', 'XGGGG', 'GGGGG']","[122, 5, 2, 1, 1]"
3,4,"['lores', 'actin', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[215, 15, 1, 1]"
4,4,"['lores', 'tinea', 'ached', 'awake']","['XXXYX', 'XXXYY', 'GXXYX', 'GGGGG']","[163, 27, 3, 3]"
5,3,"['lores', 'hails', 'blush']","['YXXXY', 'YXXYY', 'GGGGG']","[58, 4, 4]"
6,3,"['lores', 'coaly', 'focal']","['YGXXX', 'YGYYX', 'GGGGG']","[27, 2, 2]"
7,5,"['lores', 'tinea', 'ached', 'badge', 'evade']","['XXXYX', 'XXXYY', 'YXXYY', 'XYYXG', 'GGGGG']","[163, 27, 3, 1, 1]"
8,4,"['lores', 'inula', 'blank', 'naval']","['YXXXX', 'XYXYY', 'XYYYX', 'GGGGG']","[130, 12, 3, 3]"
9,3,"['lores', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[10, 1, 1]"
10,5,"['lores', 'tinea', 'cheat', 'death', 'heath']","['XXXYX', 'YXXYY', 'XYYYY', 'XGGGG', 'GGGGG']","[163, 13, 4, 1, 1]"
11,3,"['lores', 'train', 'dwarf']","['XXYXX', 'XYGXX', 'GGGGG']","[109, 7, 7]"
12,4,"['lores', 'vowel', 'motel', 'model']","['YGXGX', 'XGXGG', 'GGXGG', 'GGGGG']","[10, 3, 1, 1]"
13,3,"['lores', 'rhyta', 'karma']","['XXGXX', 'YXXXG', 'GGGGG']","[29, 3, 3]"
14,3,"['lores', 'aitus', 'stink']","['XXXXY', 'XYYXY', 'GGGGG']","[122, 9, 9]"
15,4,"['lores', 'terai', 'grace', 'grade']","['XXYYX', 'XYYYX', 'GGGXG', 'GGGGG']","[111, 19, 4, 4]"
16,3,"['lores', 'tenia', 'quiet']","['XXXGX', 'YYXYX', 'GGGGG']","[37, 1, 1]"
17,3,"['lores', 'tinea', 'bench']","['XXXYX', 'XXGYX', 'GGGGG']","[163, 9, 9]"
18,5,"['lores', 'tinea', 'cheat', 'meaty', 'abate']","['XXXYX', 'YXXYY', 'XXYYY', 'XYGGX', 'GGGGG']","[163, 13, 3, 2, 2]"
19,3,"['lores', 'tinea', 'feign']","['XXXYX', 'XYYYX', 'GGGGG']","[163, 9, 9]"
20,4,"['lores', 'noria', 'bravo', 'major']","['XYYXX', 'XYYXY', 'XYYXY', 'GGGGG']","[78, 16, 4, 4]"
21,4,"['lores', 'tinea', 'cheat', 'death']","['XXXYX', 'YXXYY', 'XYYYY', 'GGGGG']","[163, 13, 4, 4]"
22,4,"['lores', 'raise', 'wrest', 'fresh']","['XXYYY', 'YXXGY', 'XGGGX', 'GGGGG']","[22, 3, 1, 1]"
23,4,"['lores', 'stair', 'rusty', 'crust']","['XXYXY', 'YYXXY', 'YYYYX', 'GGGGG']","[38, 4, 2, 2]"
24,5,"['lores', 'shoal', 'spoil', 'scowl', 'stool']","['YYXXY', 'GXGXG', 'GXGXG', 'GXGXG', 'GGGGG']","[11, 4, 2, 1, 1]"
25,3,"['lores', 'coaly', 'colon']","['YGXXX', 'GGXYX', 'GGGGG']","[27, 1, 1]"
26,5,"['lores', 'nates', 'shape', 'usage', 'abase']","['XXXYY', 'XYXYY', 'YXGXG', 'XYGXG', 'GGGGG']","[88, 19, 3, 2, 2]"
27,3,"['lores', 'rhyta', 'marry']","['XXGXX', 'YXYXY', 'GGGGG']","[29, 4, 4]"
28,3,"['lores', 'terai', 'react']","['XXYYX', 'YGYYX', 'GGGGG']","[111, 2, 2]"
29,3,"['lores', 'actin', 'batty']","['XXXXX', 'YXGXX', 'GGGGG']","[215, 5, 5]"
30,3,"['lores', 'terai', 'pride']","['XXYYX', 'XYYXY', 'GGGGG']","[111, 15, 15]"
31,2,"['lores', 'floss']","['YYXXG', 'GGGGG']","[2, 2]"
32,3,"['lores', 'telia', 'helix']","['YXXYX', 'XGGGX', 'GGGGG']","[101, 2, 2]"
33,4,"['lores', 'noria', 'bravo', 'croak']","['XYYXX', 'XYYXY', 'XGYXY', 'GGGGG']","[78, 16, 3, 3]"
34,5,"['lores', 'aitus', 'nasty', 'shaft', 'staff']","['XXXXY', 'YXYXY', 'XYYYX', 'GXGGY', 'GGGGG']","[122, 14, 5, 1, 1]"
35,6,"['lores', 'aider', 'water', 'gamer', 'caper', 'paper']","['XXYGX', 'YXXGG', 'XGXGG', 'XGXGG', 'XGGGG', 'GGGGG']","[93, 20, 10, 5, 1, 1]"
36,3,"['lores', 'tenia', 'unfed']","['XXXGX', 'XYYXX', 'GGGGG']","[37, 5, 5]"
37,4,"['lores', 'telia', 'flume', 'whelp']","['YXXYX', 'XYYXX', 'XYXXY', 'GGGGG']","[101, 13, 2, 2]"
38,3,"['lores', 'liart', 'trawl']","['YXYXX', 'YXGYY', 'GGGGG']","[27, 1, 1]"
39,4,"['lores', 'gonia', 'quoth', 'outdo']","['XYXXX', 'XYXXX', 'XGYYX', 'GGGGG']","[60, 7, 1, 1]"
40,3,"['lores', 'anode', 'adobe']","['XYXYX', 'GXGYG', 'GGGGG']","[35, 1, 1]"
41,4,"['lores', 'train', 'cramp', 'crazy']","['XXYXX', 'XGGXX', 'GGGXX', 'GGGGG']","[109, 8, 2, 2]"
42,2,"['lores', 'sower']","['XGYGY', 'GGGGG']","[3, 3]"
43,4,"['lores', 'terai', 'debar', 'repay']","['XXYYX', 'XGYGX', 'XGXGY', 'GGGGG']","[111, 6, 2, 2]"
44,3,"['lores', 'actin', 'digit']","['XXXXX', 'XXYGX', 'GGGGG']","[215, 2, 2]"
45,3,"['lores', 'terai', 'crate']","['XXYYX', 'YYYYX', 'GGGGG']","[111, 4, 4]"
46,4,"['lores', 'inula', 'clump', 'cluck']","['YXXXX', 'XXGYX', 'GGGXX', 'GGGGG']","[130, 7, 1, 1]"
47,3,"['lores', 'nates', 'spike']","['XXXYY', 'XXXYY', 'GGGGG']","[88, 13, 13]"
48,4,"['lores', 'actin', 'pubic', 'mimic']","['XXXXX', 'XYXGX', 'XXXGG', 'GGGGG']","[215, 4, 2, 2]"
49,3,"['lores', 'donut', 'pound']","['XGXXX', 'YGYYX', 'GGGGG']","[76, 6, 6]"
50,3,"['lores', 'actin', 'maxim']","['XXXXX', 'YXXGX', 'GGGGG']","[215, 3, 3]"
51,4,"['lores', 'laden', 'liken', 'linen']","['GXXGX', 'GXXGG', 'GGXGG', 'GGGGG']","[8, 3, 1, 1]"
52,3,"['lores', 'tenia', 'unmet']","['XXXGX', 'YYYXX', 'GGGGG']","[37, 1, 1]"
53,4,"['lores', 'tesla', 'slide', 'flesh']","['YXXYY', 'XYYYX', 'YGXXY', 'GGGGG']","[25, 5, 1, 1]"
