,steps,words,feedback,ncands
0,3,"['nares', 'actor', 'cigar']","['XYYXX', 'YYXXG', 'GGGGG']","[71, 3, 3]"
1,4,"['nares', 'citer', 'route', 'rebut']","['XXYYX', 'XXYYY', 'GXYYY', 'GGGGG']","[75, 10, 1, 1]"
2,6,"['nares', 'toils', 'fishy', 'wispy', 'missy', 'sissy']","['XXXXY', 'XXYXY', 'XGGXG', 'XGGXG', 'XGGGG', 'GGGGG']","[115, 8, 3, 2, 1, 1]"
3,4,"['nares', 'oculi', 'dumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[219, 15, 1, 1]"
4,5,"['nares', 'dealt', 'image', 'quake', 'awake']","['XYXYX', 'XYGXX', 'XXGXG', 'XXGGG', 'GGGGG']","[90, 6, 3, 1, 1]"
5,4,"['nares', 'toils', 'plush', 'blush']","['XXXXY', 'XXXYY', 'XGGGG', 'GGGGG']","[115, 6, 3, 3]"
6,3,"['nares', 'octal', 'focal']","['XYXXX', 'YYXGG', 'GGGGG']","[94, 3, 3]"
7,3,"['nares', 'dealt', 'evade']","['XYXYX', 'YYGXX', 'GGGGG']","[90, 2, 2]"
8,2,"['nares', 'naval']","['GGXXX', 'GGGGG']","[3, 3]"
9,3,"['nares', 'verso', 'serve']","['XXGYY', 'YGGYX', 'GGGGG']","[11, 1, 1]"
10,4,"['nares', 'dealt', 'teach', 'heath']","['XYXYX', 'XGGXY', 'YGGXG', 'GGGGG']","[90, 3, 1, 1]"
11,4,"['nares', 'actor', 'fraud', 'dwarf']","['XYYXX', 'YXXXY', 'YYGXY', 'GGGGG']","[71, 17, 1, 1]"
12,3,"['nares', 'toled', 'model']","['XXXGX', 'XGYGY', 'GGGGG']","[49, 2, 2]"
13,4,"['nares', 'party', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[17, 5, 1, 1]"
14,3,"['nares', 'suint', 'stink']","['YXXXY', 'GXGGY', 'GGGGG']","[35, 2, 2]"
