,steps,words,feedback,ncands
0,3,"['raile', 'acrid', 'cigar']","['YYYXX', 'YYYYX', 'GGGGG']","[14, 2, 2]"
1,3,"['raile', 'recut', 'rebut']","['GXXXY', 'GGXGG', 'GGGGG']","[17, 1, 1]"
2,5,"['raile', 'ontic', 'gipsy', 'missy', 'sissy']","['XXYXX', 'XXXYX', 'XGXGG', 'XGGGG', 'GGGGG']","[98, 14, 2, 1, 1]"
3,4,"['raile', 'tousy', 'munch', 'humph']","['XXXXX', 'XXYXX', 'YGXXG', 'GGGGG']","[173, 5, 1, 1]"
4,5,"['raile', 'heats', 'knave', 'quake', 'awake']","['XYXXG', 'XYGXX', 'YXGXG', 'XXGGG', 'GGGGG']","[43, 7, 2, 1, 1]"
5,4,"['raile', 'locus', 'plush', 'blush']","['XXXYX', 'YXXYY', 'XGGGG', 'GGGGG']","[66, 8, 3, 3]"
6,3,"['raile', 'coals', 'focal']","['XYXYX', 'YGYYX', 'GGGGG']","[64, 3, 3]"
7,4,"['raile', 'heats', 'knave', 'evade']","['XYXXG', 'XYGXX', 'XXGYG', 'GGGGG']","[43, 7, 1, 1]"
8,4,"['raile', 'slant', 'lanky', 'naval']","['XGXYX', 'XYYYX', 'YGYXX', 'GGGGG']","[22, 4, 1, 1]"
9,4,"['raile', 'prose', 'surge', 'serve']","['YXXXG', 'XYXYG', 'GXGXG', 'GGGGG']","[58, 3, 2, 2]"
10,4,"['raile', 'neats', 'death', 'heath']","['XYXXY', 'XGGGX', 'XGGGG', 'GGGGG']","[50, 3, 1, 1]"
11,4,"['raile', 'taros', 'drawn', 'dwarf']","['YYXXX', 'XYYXX', 'GYGYX', 'GGGGG']","[91, 28, 1, 1]"
12,4,"['raile', 'botel', 'vowel', 'model']","['XXXYY', 'XGXGG', 'XGXGG', 'GGGGG']","[49, 5, 1, 1]"
13,3,"['raile', 'moray', 'karma']","['YGXXX', 'YXGYX', 'GGGGG']","[26, 1, 1]"
14,3,"['raile', 'oints', 'stink']","['XXGXX', 'XYYYY', 'GGGGG']","[54, 3, 3]"
15,3,"['raile', 'cager', 'grade']","['YYXXG', 'XYYYY', 'GGGGG']","[30, 5, 5]"
16,4,"['raile', 'deign', 'thief', 'quiet']","['XXGXY', 'XYGXX', 'YXGGX', 'GGGGG']","[18, 5, 1, 1]"
17,3,"['raile', 'seton', 'bench']","['XXXXY', 'XGXXY', 'GGGGG']","[104, 4, 4]"
