,steps,words,feedback,ncands
0,4,"['rales', 'radon', 'triac', 'cigar']","['YYXXX', 'YYXXX', 'XYYGY', 'GGGGG']","[80, 29, 2, 2]"
1,3,"['rales', 'route', 'rebut']","['GXXYX', 'GXYYY', 'GGGGG']","[17, 2, 2]"
2,5,"['rales', 'oints', 'gipsy', 'missy', 'sissy']","['XXXXY', 'XGXXY', 'XGXGG', 'XGGGG', 'GGGGG']","[114, 5, 2, 1, 1]"
3,4,"['rales', 'unity', 'cough', 'humph']","['XXXXX', 'YXXXX', 'XXYXG', 'GGGGG']","[205, 12, 1, 1]"
4,4,"['rales', 'thane', 'image', 'awake']","['XYXYX', 'XXGXG', 'XXGXG', 'GGGGG']","[59, 9, 5, 5]"
5,4,"['rales', 'louis', 'plush', 'blush']","['XXYXY', 'YXGXY', 'XGGGG', 'GGGGG']","[31, 9, 3, 3]"
6,4,"['rales', 'aloin', 'octal', 'focal']","['XYYXX', 'YYYXX', 'YYXGG', 'GGGGG']","[67, 11, 3, 3]"
7,5,"['rales', 'thane', 'image', 'awake', 'evade']","['XYXYX', 'XXGXG', 'XXGXG', 'YXGXG', 'GGGGG']","[59, 9, 5, 2, 2]"
8,3,"['rales', 'manly', 'naval']","['XGYXX', 'XGYYX', 'GGGGG']","[20, 2, 2]"
9,5,"['rales', 'prose', 'shire', 'surge', 'serve']","['YXXYY', 'XYXYG', 'GXXYG', 'GXGXG', 'GGGGG']","[26, 3, 2, 1, 1]"
10,4,"['rales', 'thane', 'death', 'heath']","['XYXYX', 'YYGXY', 'XGGGG', 'GGGGG']","[59, 2, 1, 1]"
11,4,"['rales', 'radon', 'triad', 'dwarf']","['YYXXX', 'YYYXX', 'XYXYY', 'GGGGG']","[80, 11, 1, 1]"
12,3,"['rales', 'lobed', 'model']","['XXYGX', 'YGXGY', 'GGGGG']","[30, 2, 2]"
13,3,"['rales', 'moray', 'karma']","['YGXXX', 'YXGYX', 'GGGGG']","[28, 1, 1]"
14,3,"['rales', 'oints', 'stink']","['XXXXY', 'XYYYY', 'GGGGG']","[114, 3, 3]"
15,3,"['rales', 'rated', 'grade']","['YYXYX', 'YYXYY', 'GGGGG']","[49, 7, 7]"
16,3,"['rales', 'noted', 'quiet']","['XXXGX', 'XXYGX', 'GGGGG']","[44, 5, 5]"
17,4,"['rales', 'ident', 'ounce', 'bench']","['XXXYX', 'XXYYX', 'XXGGY', 'GGGGG']","[130, 12, 2, 2]"
18,4,"['rales', 'thane', 'ovate', 'abate']","['XYXYX', 'YXGXG', 'XXGGG', 'GGGGG']","[59, 3, 2, 2]"
19,4,"['rales', 'ident', 'hinge', 'feign']","['XXXYX', 'YXYYX', 'XYYGY', 'GGGGG']","[130, 11, 1, 1]"
20,3,"['rales', 'moray', 'major']","['YGXXX', 'GYYYX', 'GGGGG']","[28, 3, 3]"
