,steps,words,feedback,ncands
0,3,"['rates', 'radon', 'cigar']","['YYXXX', 'YYXXX', 'GGGGG']","[77, 26, 26]"
1,2,"['rates', 'rebut']","['GXYYX', 'GGGGG']","[5, 5]"
2,3,"['rates', 'soily', 'sissy']","['XXXXY', 'GXYXG', 'GGGGG']","[94, 1, 1]"
3,4,"['rates', 'noily', 'chump', 'humph']","['XXXXX', 'XXXXX', 'XYYYY', 'GGGGG']","[227, 3, 1, 1]"
4,5,"['rates', 'naled', 'cheap', 'awoke', 'awake']","['XYXYX', 'XYXYX', 'XXYYX', 'GGXGG', 'GGGGG']","[81, 18, 7, 1, 1]"
5,3,"['rates', 'soily', 'blush']","['XXXXY', 'YXXYX', 'GGGGG']","[94, 3, 3]"
6,3,"['rates', 'aloin', 'focal']","['XYXXX', 'YYYXX', 'GGGGG']","[98, 9, 9]"
7,4,"['rates', 'naled', 'beady', 'evade']","['XYXYX', 'XYXYY', 'XYGGX', 'GGGGG']","[81, 9, 1, 1]"
8,3,"['rates', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,4,"['rates', 'pores', 'nurse', 'serve']","['YXXYY', 'XXGYY', 'XXGYG', 'GGGGG']","[21, 7, 1, 1]"
10,4,"['rates', 'cleat', 'death', 'heath']","['XYYYX', 'XXYYY', 'XGGGG', 'GGGGG']","[30, 7, 1, 1]"
11,3,"['rates', 'radon', 'dwarf']","['YYXXX', 'YYYXX', 'GGGGG']","[77, 10, 10]"
12,3,"['rates', 'loden', 'model']","['XXXGX', 'YGGGX', 'GGGGG']","[56, 1, 1]"
13,3,"['rates', 'moray', 'karma']","['YGXXX', 'YXGYX', 'GGGGG']","[26, 1, 1]"
14,3,"['rates', 'hoist', 'stink']","['XXYXY', 'XXGYY', 'GGGGG']","[57, 5, 5]"
15,3,"['rates', 'bared', 'grade']","['YYXYX', 'XYYYY', 'GGGGG']","[43, 6, 6]"
16,3,"['rates', 'inlet', 'quiet']","['XXYGX', 'YXXGG', 'GGGGG']","[16, 1, 1]"
17,4,"['rates', 'eloin', 'dunce', 'bench']","['XXXYX', 'YXXXY', 'XXGGY', 'GGGGG']","[147, 12, 2, 2]"
18,5,"['rates', 'cleat', 'death', 'ovate', 'abate']","['XYYYX', 'XXYYY', 'XYGGX', 'XXGGG', 'GGGGG']","[30, 7, 3, 2, 2]"
19,3,"['rates', 'eloin', 'feign']","['XXXYX', 'YXXYG', 'GGGGG']","[147, 2, 2]"
20,3,"['rates', 'moray', 'major']","['YGXXX', 'GYYYX', 'GGGGG']","[26, 3, 3]"
21,3,"['rates', 'cleat', 'death']","['XYYYX', 'XXYYY', 'GGGGG']","[30, 7, 7]"
22,3,"['rates', 'pores', 'fresh']","['YXXYY', 'XXYYY', 'GGGGG']","[21, 2, 2]"
23,3,"['rates', 'sport', 'crust']","['YXYXY', 'YXXYG', 'GGGGG']","[20, 6, 6]"
24,6,"['rates', 'hoist', 'stomp', 'stony', 'stock', 'stool']","['XXYXY', 'XYXYY', 'GGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[57, 7, 4, 3, 2, 2]"
25,3,"['rates', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[227, 1, 1]"
26,3,"['rates', 'leash', 'abase']","['XYXYY', 'XYGGX', 'GGGGG']","[28, 1, 1]"
27,3,"['rates', 'moray', 'marry']","['YGXXX', 'GXGYG', 'GGGGG']","[26, 1, 1]"
28,2,"['rates', 'react']","['GYYYX', 'GGGGG']","[1, 1]"
29,4,"['rates', 'batch', 'baton', 'batty']","['XGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[17, 2, 1, 1]"
30,3,"['rates', 'credo', 'pride']","['YXXYX', 'XGYGX', 'GGGGG']","[71, 3, 3]"
31,3,"['rates', 'locus', 'floss']","['XXXXG', 'YYXXG', 'GGGGG']","[11, 2, 2]"
