,steps,words,feedback,ncands
0,3,"['reais', 'vicar', 'cigar']","['YXYYX', 'XGYGG', 'GGGGG']","[12, 1, 1]"
1,3,"['reais', 'recut', 'rebut']","['GGXXX', 'GGXGG', 'GGGGG']","[15, 1, 1]"
2,4,"['reais', 'tiyns', 'silky', 'sissy']","['XXXYY', 'XGYXY', 'GGXXG', 'GGGGG']","[53, 7, 1, 1]"
3,4,"['reais', 'uncoy', 'plumb', 'humph']","['XXXXX', 'YXXXX', 'YXYYX', 'GGGGG']","[168, 7, 1, 1]"
4,3,"['reais', 'aglet', 'awake']","['XYGXX', 'GXXYX', 'GGGGG']","[26, 2, 2]"
5,3,"['reais', 'tousy', 'blush']","['XXXXY', 'XXGGX', 'GGGGG']","[89, 5, 5]"
6,3,"['reais', 'tolan', 'focal']","['XXYXX', 'XGYGX', 'GGGGG']","[150, 5, 5]"
7,4,"['reais', 'aglet', 'knave', 'evade']","['XYGXX', 'YXXYX', 'XXGYG', 'GGGGG']","[26, 4, 1, 1]"
8,3,"['reais', 'tolan', 'naval']","['XXYXX', 'XXYGY', 'GGGGG']","[150, 3, 3]"
9,3,"['reais', 'verso', 'serve']","['YGXXY', 'YGGYX', 'GGGGG']","[7, 1, 1]"
10,4,"['reais', 'lathe', 'death', 'heath']","['XGGXX', 'XYYYY', 'XGGGG', 'GGGGG']","[21, 3, 1, 1]"
11,3,"['reais', 'drawn', 'dwarf']","['YXGXX', 'GYGYX', 'GGGGG']","[44, 1, 1]"
12,4,"['reais', 'noule', 'towel', 'model']","['XYXXX', 'XGXYY', 'XGXGG', 'GGGGG']","[121, 9, 2, 2]"
13,4,"['reais', 'molar', 'umbra', 'karma']","['YXYXX', 'YXXYY', 'XYXYG', 'GGGGG']","[60, 2, 1, 1]"
14,3,"['reais', 'tiyns', 'stink']","['XXXYY', 'YYXGY', 'GGGGG']","[53, 3, 3]"
15,3,"['reais', 'grace', 'grade']","['YYGXX', 'GGGXG', 'GGGGG']","[22, 5, 5]"
16,3,"['reais', 'intel', 'quiet']","['XYXYX', 'YXYGX', 'GGGGG']","[74, 2, 2]"
17,3,"['reais', 'blent', 'bench']","['XGXXX', 'GXYYX', 'GGGGG']","[61, 2, 2]"
18,3,"['reais', 'aglet', 'abate']","['XYGXX', 'GXXYY', 'GGGGG']","[26, 1, 1]"
19,3,"['reais', 'deign', 'feign']","['XGXYX', 'XGGGG', 'GGGGG']","[6, 1, 1]"
20,3,"['reais', 'molar', 'major']","['YXYXX', 'GYXYG', 'GGGGG']","[60, 3, 3]"
21,3,"['reais', 'lathe', 'death']","['XGGXX', 'XYYYY', 'GGGGG']","[21, 3, 3]"
22,4,"['reais', 'prose', 'wrest', 'fresh']","['YYXXY', 'XGXGY', 'XGGGX', 'GGGGG']","[33, 3, 1, 1]"
23,3,"['reais', 'sutor', 'crust']","['YXXXY', 'YYYXY', 'GGGGG']","[32, 2, 2]"
24,4,"['reais', 'tousy', 'sloth', 'stool']","['XXXXY', 'YYXYX', 'GYGYX', 'GGGGG']","[89, 7, 1, 1]"
25,3,"['reais', 'uncoy', 'colon']","['XXXXX', 'XYYGX', 'GGGGG']","[168, 1, 1]"
26,5,"['reais', 'haets', 'slave', 'usage', 'abase']","['XYGXY', 'XYYXY', 'YXGXG', 'XYGXG', 'GGGGG']","[23, 8, 2, 1, 1]"
27,4,"['reais', 'molar', 'march', 'marry']","['YXYXX', 'GXXYY', 'GGGXX', 'GGGGG']","[60, 2, 1, 1]"
28,2,"['reais', 'react']","['GGGXX', 'GGGGG']","[5, 5]"
29,4,"['reais', 'tolan', 'yacht', 'batty']","['XXYXX', 'YXXYX', 'YGXXY', 'GGGGG']","[150, 14, 3, 3]"
30,3,"['reais', 'fired', 'pride']","['YYXYX', 'XYYYY', 'GGGGG']","[53, 3, 3]"
31,3,"['reais', 'locus', 'floss']","['XXXXG', 'YYXXG', 'GGGGG']","[8, 2, 2]"
32,3,"['reais', 'debit', 'helix']","['XGXGX', 'XGXGX', 'GGGGG']","[11, 2, 2]"
33,4,"['reais', 'molar', 'groan', 'croak']","['YXYXX', 'XYXGY', 'XGGGX', 'GGGGG']","[60, 4, 2, 2]"
34,6,"['reais', 'halts', 'coast', 'stand', 'stamp', 'staff']","['XXGXY', 'XYXYY', 'XXGYY', 'GGGXX', 'GGGXX', 'GGGGG']","[50, 9, 4, 2, 1, 1]"
35,5,"['reais', 'grate', 'paler', 'payer', 'paper']","['YYYXX', 'XYYXY', 'GGXGG', 'GGXGG', 'GGGGG']","[57, 16, 3, 2, 2]"
36,3,"['reais', 'noule', 'unfed']","['XYXXX', 'YXYXY', 'GGGGG']","[121, 4, 4]"
37,4,"['reais', 'noule', 'dwelt', 'whelp']","['XYXXX', 'XXXGY', 'XYGGX', 'GGGGG']","[121, 3, 1, 1]"
38,3,"['reais', 'drawn', 'trawl']","['YXGXX', 'XGGGX', 'GGGGG']","[44, 3, 3]"
39,4,"['reais', 'uncoy', 'ought', 'outdo']","['XXXXX', 'YXXYX', 'GGXXY', 'GGGGG']","[168, 16, 1, 1]"
40,4,"['reais', 'leant', 'badge', 'adobe']","['XYYXX', 'XYYXX', 'YYYXG', 'GGGGG']","[90, 19, 2, 2]"
41,4,"['reais', 'drawn', 'track', 'crazy']","['YXGXX', 'XGGXX', 'XGGYX', 'GGGGG']","[44, 11, 2, 2]"
42,3,"['reais', 'prose', 'sower']","['YYXXY', 'XYYYY', 'GGGGG']","[33, 3, 3]"
43,3,"['reais', 'relay', 'repay']","['GGYXX', 'GGXGG', 'GGGGG']","[8, 1, 1]"
44,3,"['reais', 'tonic', 'digit']","['XXXGX', 'YXXGX', 'GGGGG']","[40, 2, 2]"
45,3,"['reais', 'grace', 'crate']","['YYGXX', 'XGGYG', 'GGGGG']","[22, 4, 4]"
46,5,"['reais', 'uncoy', 'mulch', 'pluck', 'cluck']","['XXXXX', 'YXYXX', 'XYYGX', 'XGGGG', 'GGGGG']","[168, 10, 2, 1, 1]"
47,3,"['reais', 'snipe', 'spike']","['XYXYY', 'GXGYG', 'GGGGG']","[28, 3, 3]"
48,4,"['reais', 'tonic', 'pubic', 'mimic']","['XXXGX', 'XXXGG', 'XXXGG', 'GGGGG']","[40, 4, 2, 2]"
49,4,"['reais', 'uncoy', 'donut', 'pound']","['XXXXX', 'YYXYX', 'YGYYX', 'GGGGG']","[168, 9, 6, 6]"
50,3,"['reais', 'diact', 'maxim']","['XXYGX', 'XYYXX', 'GGGGG']","[24, 5, 5]"
51,4,"['reais', 'intel', 'liken', 'linen']","['XYXYX', 'YYXGY', 'GGXGG', 'GGGGG']","[74, 2, 1, 1]"
52,4,"['reais', 'noule', 'unfed', 'unmet']","['XYXXX', 'YXYXY', 'GGXGX', 'GGGGG']","[121, 4, 1, 1]"
53,3,"['reais', 'stole', 'flesh']","['XYXXY', 'YXXYY', 'GGGGG']","[67, 1, 1]"
54,6,"['reais', 'uncoy', 'goldy', 'boozy', 'booty', 'booby']","['XXXXX', 'XXXYG', 'XGXXG', 'GGGXG', 'GGGXG', 'GGGGG']","[168, 30, 7, 2, 1, 1]"
55,3,"['reais', 'court', 'forth']","['YXXXX', 'XGXYY', 'GGGGG']","[103, 5, 5]"
56,3,"['reais', 'skirt', 'first']","['YXXYY', 'YXYYG', 'GGGGG']","[12, 1, 1]"
57,4,"['reais', 'halts', 'coast', 'stand']","['XXGXY', 'XYXYY', 'XXGYY', 'GGGGG']","[50, 9, 4, 4]"
58,5,"['reais', 'blent', 'belch', 'below', 'belly']","['XGXXX', 'GYYXX', 'GGGXX', 'GGGXX', 'GGGGG']","[61, 6, 3, 2, 2]"
59,3,"['reais', 'intro', 'ivory']","['YXXYX', 'GXXGY', 'GGGGG']","[41, 1, 1]"
