,steps,words,feedback,ncands
0,4,"['roate', 'hairy', 'vicar', 'cigar']","['YXYXX', 'XYYYX', 'XGYGG', 'GGGGG']","[35, 5, 1, 1]"
1,3,"['roate', 'recut', 'rebut']","['GXXYY', 'GGXGG', 'GGGGG']","[8, 1, 1]"
2,4,"['roate', 'sulci', 'spiny', 'sissy']","['XXXXX', 'GXXXY', 'GXYXG', 'GGGGG']","[195, 9, 1, 1]"
3,4,"['roate', 'sulci', 'dumpy', 'humph']","['XXXXX', 'XGXXX', 'XGGGX', 'GGGGG']","[195, 18, 1, 1]"
4,5,"['roate', 'sheal', 'knave', 'quake', 'awake']","['XXGXG', 'XXYYX', 'YXGXG', 'XXGGG', 'GGGGG']","[42, 11, 2, 1, 1]"
5,3,"['roate', 'sulci', 'blush']","['XXXXX', 'YYYXX', 'GGGGG']","[195, 3, 3]"
6,3,"['roate', 'modal', 'focal']","['XGYXX', 'XGXGG', 'GGGGG']","[16, 5, 5]"
7,4,"['roate', 'sheal', 'knave', 'evade']","['XXGXG', 'XXYYX', 'XXGYG', 'GGGGG']","[42, 11, 1, 1]"
8,3,"['roate', 'layin', 'naval']","['XXYXX', 'YGXXY', 'GGGGG']","[112, 4, 4]"
9,4,"['roate', 'epris', 'curse', 'serve']","['YXXXG', 'YXGXY', 'XXGYG', 'GGGGG']","[39, 6, 1, 1]"
10,3,"['roate', 'death', 'heath']","['XXGGY', 'XGGGG', 'GGGGG']","[3, 1, 1]"
11,3,"['roate', 'darns', 'dwarf']","['YXGXX', 'GYYXX', 'GGGGG']","[51, 4, 4]"
12,4,"['roate', 'onely', 'dowel', 'model']","['XGXXY', 'YXYYX', 'YGXGG', 'GGGGG']","[21, 6, 1, 1]"
13,3,"['roate', 'hairy', 'karma']","['YXYXX', 'XGXYX', 'GGGGG']","[35, 3, 3]"
14,3,"['roate', 'thins', 'stink']","['XXXYX', 'YXGGY', 'GGGGG']","[63, 3, 3]"
15,3,"['roate', 'grace', 'grade']","['YXGXG', 'GGGXG', 'GGGGG']","[23, 4, 4]"
16,4,"['roate', 'stile', 'edict', 'quiet']","['XXXYY', 'XYGXY', 'YXGXG', 'GGGGG']","[56, 4, 1, 1]"
17,3,"['roate', 'eldin', 'bench']","['XXXXY', 'YXXXY', 'GGGGG']","[106, 3, 3]"
18,3,"['roate', 'slate', 'abate']","['XXGGG', 'XXGGG', 'GGGGG']","[7, 2, 2]"
19,4,"['roate', 'eldin', 'given', 'feign']","['XXXXY', 'YXXYG', 'YYXYG', 'GGGGG']","[106, 3, 1, 1]"
20,3,"['roate', 'maron', 'major']","['YYYXX', 'GGYGX', 'GGGGG']","[28, 2, 2]"
21,2,"['roate', 'death']","['XXGGY', 'GGGGG']","[3, 3]"
22,3,"['roate', 'fried', 'fresh']","['YXXXY', 'GGXYX', 'GGGGG']","[102, 1, 1]"
23,3,"['roate', 'runts', 'crust']","['YXXYX', 'YYXYY', 'GGGGG']","[29, 4, 4]"
24,5,"['roate', 'spout', 'stock', 'stony', 'stool']","['XYXYX', 'GXGXY', 'GGGXX', 'GGGXX', 'GGGGG']","[26, 5, 3, 2, 2]"
25,4,"['roate', 'oundy', 'login', 'colon']","['XGXXX', 'YXYXX', 'YGXXG', 'GGGGG']","[71, 3, 1, 1]"
26,4,"['roate', 'sheal', 'usage', 'abase']","['XXGXG', 'YXYYX', 'XYGXG', 'GGGGG']","[42, 3, 2, 2]"
27,3,"['roate', 'hairy', 'marry']","['YXYXX', 'XGXGG', 'GGGGG']","[35, 3, 3]"
28,2,"['roate', 'react']","['GXGYY', 'GGGGG']","[1, 1]"
29,3,"['roate', 'nasty', 'batty']","['XXYGX', 'XGXGG', 'GGGGG']","[18, 5, 5]"
30,3,"['roate', 'epris', 'pride']","['YXXXG', 'YYYYX', 'GGGGG']","[39, 5, 5]"
