,steps,words,feedback,ncands
0,4,"['soare', 'dairy', 'vicar', 'cigar']","['XXYYX', 'XYYYX', 'XGYGG', 'GGGGG']","[42, 5, 1, 1]"
1,3,"['soare', 'tride', 'rebut']","['XXXYY', 'YYXXY', 'GGGGG']","[117, 10, 10]"
2,4,"['soare', 'tulsi', 'swish', 'sissy']","['GXXXX', 'XXXGY', 'GXYGX', 'GGGGG']","[63, 2, 1, 1]"
3,4,"['soare', 'unity', 'clump', 'humph']","['XXXXX', 'YXXXX', 'XXYYY', 'GGGGG']","[183, 12, 1, 1]"
4,5,"['soare', 'plage', 'knave', 'quake', 'awake']","['XXGXG', 'XXGXG', 'YXGXG', 'XXGGG', 'GGGGG']","[28, 10, 2, 1, 1]"
5,3,"['soare', 'mushy', 'blush']","['YXXXX', 'XYYYX', 'GGGGG']","[33, 3, 3]"
6,3,"['soare', 'modal', 'focal']","['XGYXX', 'XGXGG', 'GGGGG']","[21, 7, 7]"
7,4,"['soare', 'plage', 'knave', 'evade']","['XXGXG', 'XXGXG', 'XXGYG', 'GGGGG']","[28, 10, 1, 1]"
8,4,"['soare', 'laity', 'canal', 'naval']","['XXYXX', 'YGXXX', 'XGYGG', 'GGGGG']","[138, 6, 1, 1]"
9,3,"['soare', 'surge', 'serve']","['GXXYG', 'GXGXG', 'GGGGG']","[4, 3, 3]"
10,4,"['soare', 'ethal', 'death', 'heath']","['XXGXY', 'YYYYX', 'XGGGG', 'GGGGG']","[21, 3, 1, 1]"
11,3,"['soare', 'chard', 'dwarf']","['XXGGX', 'XXGGY', 'GGGGG']","[13, 2, 2]"
12,3,"['soare', 'melon', 'model']","['XGXXY', 'GYYYX', 'GGGGG']","[26, 2, 2]"
13,4,"['soare', 'dairy', 'march', 'karma']","['XXYYX', 'XGXYX', 'YGGXX', 'GGGGG']","[42, 8, 1, 1]"
14,4,"['soare', 'tulsi', 'shift', 'stink']","['GXXXX', 'YXXYY', 'GXGXY', 'GGGGG']","[63, 11, 3, 3]"
15,3,"['soare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[19, 5, 5]"
16,3,"['soare', 'enlit', 'quiet']","['XXXXY', 'YXXYG', 'GGGGG']","[120, 1, 1]"
17,3,"['soare', 'enlit', 'bench']","['XXXXY', 'YYXXX', 'GGGGG']","[120, 7, 7]"
18,5,"['soare', 'plage', 'knave', 'chafe', 'abate']","['XXGXG', 'XXGXG', 'XXGXG', 'XXGXG', 'GGGGG']","[28, 10, 3, 2, 2]"
19,4,"['soare', 'enlit', 'deign', 'feign']","['XXXXY', 'YYXYX', 'XGGGG', 'GGGGG']","[120, 9, 1, 1]"
20,3,"['soare', 'norma', 'major']","['XYYYX', 'XYYYY', 'GGGGG']","[27, 3, 3]"
21,3,"['soare', 'ethal', 'death']","['XXGXY', 'YYYYX', 'GGGGG']","[21, 3, 3]"
22,4,"['soare', 'risen', 'crest', 'fresh']","['YXXYY', 'YXYYX', 'XGGGX', 'GGGGG']","[15, 6, 3, 3]"
23,2,"['soare', 'crust']","['YXXYX', 'GGGGG']","[16, 16]"
24,4,"['soare', 'ponts', 'scout', 'stool']","['GYXXX', 'XYXYY', 'GXGXY', 'GGGGG']","[37, 8, 2, 2]"
25,3,"['soare', 'cyton', 'colon']","['XGXXX', 'GXXGG', 'GGGGG']","[87, 1, 1]"
26,3,"['soare', 'chase', 'abase']","['YXGXG', 'XXGGG', 'GGGGG']","[7, 3, 3]"
27,3,"['soare', 'hairy', 'marry']","['XXYGX', 'XGXGG', 'GGGGG']","[11, 3, 3]"
28,2,"['soare', 'react']","['XXGYY', 'GGGGG']","[4, 4]"
29,3,"['soare', 'laity', 'batty']","['XXYXX', 'XGXGG', 'GGGGG']","[138, 5, 5]"
30,3,"['soare', 'tripe', 'pride']","['XXXYG', 'XGGYG', 'GGGGG']","[39, 4, 4]"
