,steps,words,feedback,ncands
0,3,"['stare', 'loran', 'cigar']","['XXYYX', 'XXYGX', 'GGGGG']","[64, 6, 6]"
1,3,"['stare', 'urite', 'rebut']","['XYXYY', 'YYXYY', 'GGGGG']","[30, 4, 4]"
2,4,"['stare', 'noils', 'squib', 'sissy']","['GXXXX', 'XXYXY', 'GXXYX', 'GGGGG']","[67, 3, 1, 1]"
3,4,"['stare', 'noily', 'chump', 'humph']","['XXXXX', 'XXXXX', 'XYYYY', 'GGGGG']","[227, 3, 1, 1]"
4,5,"['stare', 'gavel', 'chafe', 'quake', 'awake']","['XXGXG', 'XYXYX', 'XXGXG', 'XXGGG', 'GGGGG']","[24, 6, 4, 1, 1]"
5,3,"['stare', 'shoyu', 'blush']","['YXXXX', 'YYXXY', 'GGGGG']","[38, 4, 4]"
6,3,"['stare', 'onlay', 'focal']","['XXYXX', 'YXYGX', 'GGGGG']","[127, 5, 5]"
7,4,"['stare', 'gavel', 'knave', 'evade']","['XXGXG', 'XYYYX', 'XXGYG', 'GGGGG']","[24, 4, 1, 1]"
8,4,"['stare', 'onlay', 'final', 'naval']","['XXYXX', 'XYYGX', 'XXYGG', 'GGGGG']","[127, 4, 1, 1]"
9,3,"['stare', 'surge', 'serve']","['GXXYG', 'GXGXG', 'GGGGG']","[4, 3, 3]"
10,4,"['stare', 'leant', 'death', 'heath']","['XYGXY', 'XGGXY', 'XGGGG', 'GGGGG']","[11, 4, 1, 1]"
11,3,"['stare', 'hoard', 'dwarf']","['XXGGX', 'XXGGY', 'GGGGG']","[12, 2, 2]"
12,4,"['stare', 'olein', 'dowel', 'model']","['XXXXY', 'YYYXX', 'YGXGG', 'GGGGG']","[116, 9, 1, 1]"
13,4,"['stare', 'loran', 'march', 'karma']","['XXYYX', 'XXGYX', 'YGGXX', 'GGGGG']","[64, 7, 1, 1]"
14,3,"['stare', 'touns', 'stink']","['GGXXX', 'YXXGY', 'GGGGG']","[22, 3, 3]"
15,3,"['stare', 'grace', 'grade']","['XXGYG', 'GGGXG', 'GGGGG']","[14, 4, 4]"
16,4,"['stare', 'toile', 'edict', 'quiet']","['XYXXY', 'YXGXY', 'YXGXG', 'GGGGG']","[54, 4, 1, 1]"
17,4,"['stare', 'olein', 'wench', 'bench']","['XXXXY', 'XXYXY', 'XGGGG', 'GGGGG']","[116, 5, 1, 1]"
18,4,"['stare', 'plate', 'ovate', 'abate']","['XYGXG', 'XXGGG', 'XXGGG', 'GGGGG']","[5, 3, 2, 2]"
19,4,"['stare', 'olein', 'given', 'feign']","['XXXXY', 'XXYYG', 'YYXYG', 'GGGGG']","[116, 5, 2, 2]"
20,3,"['stare', 'loran', 'major']","['XXYYX', 'XYYYX', 'GGGGG']","[64, 11, 11]"
21,3,"['stare', 'leant', 'death']","['XYGXY', 'XGGXY', 'GGGGG']","[11, 4, 4]"
22,3,"['stare', 'risen', 'fresh']","['YXXYY', 'YXYYX', 'GGGGG']","[14, 5, 5]"
23,3,"['stare', 'torus', 'crust']","['YYXYX', 'YXYYY', 'GGGGG']","[13, 2, 2]"
24,5,"['stare', 'touns', 'stomp', 'stock', 'stool']","['GGXXX', 'YYXXY', 'GGGXX', 'GGGXX', 'GGGGG']","[22, 6, 4, 2, 2]"
25,3,"['stare', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[227, 1, 1]"
26,3,"['stare', 'chase', 'abase']","['YXGXG', 'XXGGG', 'GGGGG']","[6, 2, 2]"
27,4,"['stare', 'acorn', 'hairy', 'marry']","['XXYGX', 'YXXGX', 'XGXGG', 'GGGGG']","[16, 7, 2, 2]"
28,2,"['stare', 'react']","['XYGYY', 'GGGGG']","[1, 1]"
29,4,"['stare', 'tonal', 'yacht', 'batty']","['XYYXX', 'YXXYX', 'YGXXY', 'GGGGG']","[74, 20, 3, 3]"
30,3,"['stare', 'goier', 'pride']","['XXXYG', 'XXGYY', 'GGGGG']","[49, 10, 10]"
31,3,"['stare', 'shoyu', 'floss']","['YXXXX', 'YXGXX', 'GGGGG']","[38, 3, 3]"
32,3,"['stare', 'olein', 'helix']","['XXXXY', 'XYYGX', 'GGGGG']","[116, 2, 2]"
33,3,"['stare', 'loran', 'croak']","['XXYYX', 'XYYGX', 'GGGGG']","[64, 2, 2]"
34,5,"['stare', 'stank', 'stamp', 'staid', 'staff']","['GGGXX', 'GGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[10, 5, 4, 3, 3]"
35,4,"['stare', 'large', 'caper', 'paper']","['XXYYY', 'XGYXY', 'XGGGG', 'GGGGG']","[47, 10, 1, 1]"
36,4,"['stare', 'olein', 'wench', 'unfed']","['XXXXY', 'XXYXY', 'XYYXX', 'GGGGG']","[116, 5, 1, 1]"
37,3,"['stare', 'olein', 'whelp']","['XXXXY', 'XYGXX', 'GGGGG']","[116, 5, 5]"
38,3,"['stare', 'craft', 'trawl']","['XYGYX', 'XGGXY', 'GGGGG']","[12, 5, 5]"
39,3,"['stare', 'litho', 'outdo']","['XYXXX', 'XXGXG', 'GGGGG']","[98, 3, 3]"
40,3,"['stare', 'glean', 'adobe']","['XXYXG', 'XXYYX', 'GGGGG']","[41, 11, 11]"
41,4,"['stare', 'dinar', 'crawl', 'crazy']","['XXGYX', 'XXXYY', 'GGGXX', 'GGGGG']","[30, 10, 3, 3]"
42,2,"['stare', 'sower']","['GXXYY', 'GGGGG']","[14, 14]"
43,4,"['stare', 'large', 'debar', 'repay']","['XXYYY', 'XYYXY', 'XGXGY', 'GGGGG']","[47, 17, 2, 2]"
44,4,"['stare', 'litho', 'minty', 'digit']","['XYXXX', 'XGYXX', 'XGXYX', 'GGGGG']","[98, 4, 1, 1]"
45,2,"['stare', 'crate']","['XYGYG', 'GGGGG']","[5, 5]"
46,4,"['stare', 'noily', 'clump', 'cluck']","['XXXXX', 'XXXYX', 'GGGXX', 'GGGGG']","[227, 9, 1, 1]"
47,4,"['stare', 'eosin', 'smile', 'spike']","['GXXXG', 'YXYYX', 'GXGXG', 'GGGGG']","[27, 9, 3, 3]"
48,4,"['stare', 'noily', 'pubic', 'mimic']","['XXXXX', 'XXYXX', 'XXXGG', 'GGGGG']","[227, 6, 2, 2]"
49,4,"['stare', 'noily', 'bound', 'pound']","['XXXXX', 'YGXXX', 'XGGGG', 'GGGGG']","[227, 9, 5, 5]"
50,4,"['stare', 'onlay', 'magic', 'maxim']","['XXYXX', 'XXXYX', 'GGXGX', 'GGGGG']","[127, 11, 2, 2]"
51,4,"['stare', 'olein', 'liken', 'linen']","['XXXXY', 'XYYYG', 'GGXGG', 'GGGGG']","[116, 2, 1, 1]"
52,4,"['stare', 'toile', 'depth', 'unmet']","['XYXXY', 'YXXXY', 'XYXYX', 'GGGGG']","[54, 12, 3, 3]"
53,2,"['stare', 'flesh']","['YXXXY', 'GGGGG']","[9, 9]"
54,6,"['stare', 'noily', 'howdy', 'foggy', 'boozy', 'booby']","['XXXXX', 'XGXXG', 'XGXXG', 'XGXXG', 'GGGXG', 'GGGGG']","[227, 15, 7, 4, 1, 1]"
55,3,"['stare', 'routh', 'forth']","['XYXYX', 'YGXGG', 'GGGGG']","[42, 3, 3]"
56,3,"['stare', 'torus', 'first']","['YYXYX', 'YXGXY', 'GGGGG']","[13, 1, 1]"
57,3,"['stare', 'stank', 'stand']","['GGGXX', 'GGGGX', 'GGGGG']","[10, 1, 1]"
58,4,"['stare', 'olein', 'belch', 'belly']","['XXXXY', 'XYYXX', 'GGGXX', 'GGGGG']","[116, 11, 1, 1]"
59,4,"['stare', 'hydro', 'glory', 'ivory']","['XXXGX', 'XYXGY', 'XXGGG', 'GGGGG']","[20, 4, 1, 1]"
60,3,"['stare', 'plesh', 'seedy']","['GXXXY', 'XXGYX', 'GGGGG']","[21, 1, 1]"
61,3,"['stare', 'routh', 'print']","['XYXYX', 'YXXYX', 'GGGGG']","[42, 4, 4]"
62,2,"['stare', 'yearn']","['XXGGY', 'GGGGG']","[7, 7]"
63,3,"['stare', 'dinar', 'drain']","['XXGYX', 'GYYYY', 'GGGGG']","[30, 1, 1]"
64,5,"['stare', 'goier', 'pride', 'brine', 'bribe']","['XXXYG', 'XXGYY', 'XGGXG', 'GGGXG', 'GGGGG']","[49, 10, 4, 1, 1]"
65,3,"['stare', 'touns', 'stout']","['GGXXX', 'YYYXY', 'GGGGG']","[22, 1, 1]"
66,3,"['stare', 'naled', 'panel']","['XXYXY', 'YGYGX', 'GGGGG']","[51, 1, 1]"
67,3,"['stare', 'crash', 'crass']","['YXGYX', 'GGGGX', 'GGGGG']","[6, 1, 1]"
68,3,"['stare', 'louie', 'flume']","['XXXXG', 'YXGXG', 'GGGGG']","[87, 4, 4]"
69,3,"['stare', 'onlay', 'offal']","['XXYXX', 'GXYGX', 'GGGGG']","[127, 1, 1]"
70,3,"['stare', 'argue', 'agree']","['XXYYG', 'GYYXG', 'GGGGG']","[7, 1, 1]"
71,4,"['stare', 'riled', 'perky', 'error']","['XXXYY', 'YXXYX', 'XYGXX', 'GGGGG']","[118, 8, 1, 1]"
72,3,"['stare', 'sworn', 'swirl']","['GXXGX', 'GGXGX', 'GGGGG']","[10, 1, 1]"
73,2,"['stare', 'argue']","['XXYYG', 'GGGGG']","[7, 7]"
74,3,"['stare', 'olein', 'bleed']","['XXXXY', 'XGGXX', 'GGGGG']","[116, 4, 4]"
75,3,"['stare', 'cleat', 'delta']","['XYYXY', 'XYYYY', 'GGGGG']","[21, 1, 1]"
76,3,"['stare', 'noily', 'flick']","['XXXXX', 'XXGYX', 'GGGGG']","[227, 5, 5]"
77,4,"['stare', 'toile', 'token', 'totem']","['XYXXY', 'GGXXY', 'GGXGX', 'GGGGG']","[54, 2, 1, 1]"
78,4,"['stare', 'riled', 'powre', 'wooer']","['XXXYY', 'YXXGX', 'XGYYY', 'GGGGG']","[118, 33, 1, 1]"
79,4,"['stare', 'routh', 'orbit', 'front']","['XYXYX', 'YYXYX', 'YGXXG', 'GGGGG']","[42, 5, 1, 1]"
80,3,"['stare', 'scrub', 'shrub']","['GXXYX', 'GXGGG', 'GGGGG']","[8, 1, 1]"
81,5,"['stare', 'acorn', 'hairy', 'marry', 'parry']","['XXYGX', 'YXXGX', 'XGXGG', 'XGGGG', 'GGGGG']","[16, 7, 2, 1, 1]"
82,4,"['stare', 'louie', 'oxide', 'biome']","['XXXXG', 'XYXYG', 'YXYXG', 'GGGGG']","[87, 5, 1, 1]"
83,6,"['stare', 'naled', 'bagel', 'hazel', 'camel', 'lapel']","['XXYXY', 'XGYGX', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[51, 6, 3, 2, 1, 1]"
84,3,"['stare', 'stark', 'start']","['GGGGX', 'GGGGX', 'GGGGG']","[2, 1, 1]"
85,4,"['stare', 'urite', 'crept', 'greet']","['XYXYY', 'XGXYY', 'XGGXG', 'GGGGG']","[30, 4, 1, 1]"
86,5,"['stare', 'riled', 'powre', 'cover', 'goner']","['XXXYY', 'YXXGX', 'XGXYY', 'XGXGG', 'GGGGG']","[118, 33, 9, 5, 5]"
87,4,"['stare', 'olein', 'dowel', 'golem']","['XXXXY', 'YYYXX', 'XGXGY', 'GGGGG']","[116, 9, 1, 1]"
88,3,"['stare', 'moist', 'lusty']","['YYXXX', 'XXXYY', 'GGGGG']","[17, 3, 3]"
89,4,"['stare', 'noily', 'moldy', 'loopy']","['XXXXX', 'XGXYG', 'XGYXG', 'GGGGG']","[227, 3, 2, 2]"
