,steps,words,feedback,ncands
0,3,"['tales', 'noria', 'cigar']","['XYXXX', 'XXYYY', 'GGGGG']","[102, 5, 5]"
1,3,"['tales', 'uteri', 'rebut']","['YXXYX', 'YYYYX', 'GGGGG']","[52, 5, 5]"
2,4,"['tales', 'yonis', 'spiky', 'sissy']","['XXXXY', 'YXXYY', 'GXYXG', 'GGGGG']","[88, 8, 1, 1]"
3,4,"['tales', 'irony', 'chump', 'humph']","['XXXXX', 'XXXXX', 'XYYYY', 'GGGGG']","[221, 3, 1, 1]"
4,4,"['tales', 'acred', 'awoke', 'awake']","['XYXYX', 'GXXYX', 'GGXGG', 'GGGGG']","[83, 6, 1, 1]"
5,4,"['tales', 'pulis', 'slunk', 'blush']","['XXYXY', 'XYYXY', 'YGGXX', 'GGGGG']","[28, 8, 2, 2]"
6,4,"['tales', 'aloin', 'coral', 'focal']","['XYYXX', 'YYYXX', 'YGXGG', 'GGGGG']","[67, 11, 3, 3]"
7,4,"['tales', 'acred', 'beady', 'evade']","['XYXYX', 'YXXYY', 'XYGGX', 'GGGGG']","[83, 4, 1, 1]"
8,3,"['tales', 'manly', 'naval']","['XGYXX', 'XGYYX', 'GGGGG']","[18, 1, 1]"
9,4,"['tales', 'osier', 'purse', 'serve']","['XXXYY', 'XYXYY', 'XXGYG', 'GGGGG']","[69, 10, 1, 1]"
10,4,"['tales', 'caret', 'death', 'heath']","['YYXYX', 'XYXYY', 'XGGGG', 'GGGGG']","[24, 7, 1, 1]"
11,4,"['tales', 'noria', 'chard', 'dwarf']","['XYXXX', 'XXYXY', 'XXGGY', 'GGGGG']","[102, 15, 1, 1]"
12,4,"['tales', 'oriel', 'vowel', 'model']","['XXYGX', 'YXXGG', 'XGXGG', 'GGGGG']","[43, 6, 1, 1]"
13,3,"['tales', 'carny', 'karma']","['XGXXX', 'XGGXX', 'GGGGG']","[82, 2, 2]"
