,steps,words,feedback,ncands
0,3,"['tares', 'radon', 'cigar']","['XYYXX', 'YYXXX', 'GGGGG']","[70, 22, 22]"
1,3,"['tares', 'route', 'rebut']","['YXYYX', 'GXYYY', 'GGGGG']","[19, 2, 2]"
2,3,"['tares', 'soily', 'sissy']","['XXXXY', 'GXYXG', 'GGGGG']","[94, 1, 1]"
3,4,"['tares', 'noily', 'chump', 'humph']","['XXXXX', 'XXXXX', 'XYYYY', 'GGGGG']","[227, 3, 1, 1]"
4,5,"['tares', 'naled', 'cheap', 'awoke', 'awake']","['XYXYX', 'XYXYX', 'XXYYX', 'GGXGG', 'GGGGG']","[81, 18, 7, 1, 1]"
5,3,"['tares', 'soily', 'blush']","['XXXXY', 'YXXYX', 'GGGGG']","[94, 3, 3]"
6,3,"['tares', 'aloin', 'focal']","['XYXXX', 'YYYXX', 'GGGGG']","[98, 9, 9]"
7,4,"['tares', 'naled', 'beady', 'evade']","['XYXYX', 'XYXYY', 'XYGGX', 'GGGGG']","[81, 9, 1, 1]"
8,3,"['tares', 'manly', 'naval']","['XGXXX', 'XGYYX', 'GGGGG']","[66, 1, 1]"
9,3,"['tares', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[11, 1, 1]"
10,4,"['tares', 'lacet', 'death', 'heath']","['YYXYX', 'XYXYY', 'XGGGG', 'GGGGG']","[30, 7, 1, 1]"
11,3,"['tares', 'radon', 'dwarf']","['XYYXX', 'YYYXX', 'GGGGG']","[70, 9, 9]"
12,3,"['tares', 'loden', 'model']","['XXXGX', 'YGGGX', 'GGGGG']","[56, 1, 1]"
13,4,"['tares', 'harpy', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[13, 5, 1, 1]"
14,3,"['tares', 'hoist', 'stink']","['YXXXY', 'XXGYY', 'GGGGG']","[55, 5, 5]"
15,3,"['tares', 'bread', 'grade']","['XYYYX', 'XGYYY', 'GGGGG']","[54, 3, 3]"
16,3,"['tares', 'motel', 'quiet']","['YXXGX', 'XXYGX', 'GGGGG']","[14, 3, 3]"
17,4,"['tares', 'eloin', 'dunce', 'bench']","['XXXYX', 'YXXXY', 'XXGGY', 'GGGGG']","[147, 12, 2, 2]"
18,5,"['tares', 'lacet', 'death', 'ovate', 'abate']","['YYXYX', 'XYXYY', 'XYGGX', 'XXGGG', 'GGGGG']","[30, 7, 3, 2, 2]"
19,3,"['tares', 'eloin', 'feign']","['XXXYX', 'YXXYG', 'GGGGG']","[147, 2, 2]"
20,4,"['tares', 'aroid', 'manor', 'major']","['XGYXX', 'YYYXX', 'GGXGG', 'GGGGG']","[27, 10, 2, 2]"
21,3,"['tares', 'lacet', 'death']","['YYXYX', 'XYXYY', 'GGGGG']","[30, 7, 7]"
22,3,"['tares', 'prose', 'fresh']","['XXYYY', 'XGXGY', 'GGGGG']","[14, 1, 1]"
23,3,"['tares', 'story', 'crust']","['YXYXY', 'YYXYX', 'GGGGG']","[14, 2, 2]"
24,6,"['tares', 'hoist', 'stomp', 'stony', 'stock', 'stool']","['YXXXY', 'XYXYY', 'GGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[55, 7, 4, 3, 2, 2]"
25,3,"['tares', 'noily', 'colon']","['XXXXX', 'YGXYX', 'GGGGG']","[227, 1, 1]"
26,3,"['tares', 'leash', 'abase']","['XYXYY', 'XYGGX', 'GGGGG']","[28, 1, 1]"
27,3,"['tares', 'harpy', 'marry']","['XGGXX', 'XGGXG', 'GGGGG']","[13, 2, 2]"
28,2,"['tares', 'react']","['YYYYX', 'GGGGG']","[9, 9]"
29,4,"['tares', 'chant', 'patty', 'batty']","['YGXXX', 'XXYXY', 'XGGGG', 'GGGGG']","[32, 7, 2, 2]"
30,3,"['tares', 'dicer', 'pride']","['XXYYX', 'YYXYY', 'GGGGG']","[57, 3, 3]"
31,3,"['tares', 'locus', 'floss']","['XXXXG', 'YYXXG', 'GGGGG']","[11, 2, 2]"
32,3,"['tares', 'eloin', 'helix']","['XXXYX', 'YYXGX', 'GGGGG']","[147, 3, 3]"
33,4,"['tares', 'radon', 'molar', 'croak']","['XYYXX', 'YYXYX', 'XYXGY', 'GGGGG']","[70, 9, 1, 1]"
34,7,"['tares', 'slant', 'swath', 'stack', 'stamp', 'staid', 'staff']","['YYXXY', 'GXGXY', 'GXGYX', 'GGGXX', 'GGGXX', 'GGGXX', 'GGGGG']","[23, 6, 4, 3, 2, 1, 1]"
35,4,"['tares', 'lager', 'caper', 'paper']","['XGYGX', 'XGXGG', 'XGGGG', 'GGGGG']","[19, 8, 1, 1]"
36,3,"['tares', 'loden', 'unfed']","['XXXGX', 'XXYGY', 'GGGGG']","[56, 3, 3]"
37,4,"['tares', 'eloin', 'belch', 'whelp']","['XXXYX', 'YYXXX', 'XYYXY', 'GGGGG']","[147, 15, 1, 1]"
38,3,"['tares', 'trial', 'trawl']","['GYYXX', 'GGXYG', 'GGGGG']","[10, 1, 1]"
39,3,"['tares', 'litho', 'outdo']","['YXXXX', 'XXGXG', 'GGGGG']","[78, 3, 3]"
40,4,"['tares', 'naled', 'beady', 'adobe']","['XYXYX', 'XYXYY', 'YYYYX', 'GGGGG']","[81, 9, 1, 1]"
41,5,"['tares', 'radon', 'cigar', 'cramp', 'crazy']","['XYYXX', 'YYXXX', 'GXXYY', 'GGGXX', 'GGGGG']","[70, 22, 5, 3, 3]"
42,3,"['tares', 'wiser', 'sower']","['XXYGY', 'YXYGG', 'GGGGG']","[15, 2, 2]"
43,4,"['tares', 'bread', 'relay', 'repay']","['XYYYX', 'XYYGX', 'GGXGG', 'GGGGG']","[54, 6, 1, 1]"
44,4,"['tares', 'litho', 'minty', 'digit']","['YXXXX', 'XGYXX', 'XGXYX', 'GGGGG']","[78, 3, 1, 1]"
45,3,"['tares', 'react', 'crate']","['YYYYX', 'YYGYY', 'GGGGG']","[9, 1, 1]"
46,4,"['tares', 'noily', 'clump', 'cluck']","['XXXXX', 'XXXYX', 'GGGXX', 'GGGGG']","[227, 9, 1, 1]"
47,4,"['tares', 'solei', 'spine', 'spike']","['XXXYY', 'GXXYY', 'GGGXG', 'GGGGG']","[61, 13, 2, 2]"
48,4,"['tares', 'noily', 'pubic', 'mimic']","['XXXXX', 'XXYXX', 'XXXGG', 'GGGGG']","[227, 6, 2, 2]"
49,4,"['tares', 'noily', 'bound', 'pound']","['XXXXX', 'YGXXX', 'XGGGG', 'GGGGG']","[227, 9, 5, 5]"
50,4,"['tares', 'manly', 'magic', 'maxim']","['XGXXX', 'GGXXX', 'GGXGX', 'GGGGG']","[66, 9, 2, 2]"
51,4,"['tares', 'loden', 'liken', 'linen']","['XXXGX', 'GXXGG', 'GGXGG', 'GGGGG']","[56, 3, 1, 1]"
52,3,"['tares', 'motel', 'unmet']","['YXXGX', 'YXYGX', 'GGGGG']","[14, 1, 1]"
53,3,"['tares', 'solei', 'flesh']","['XXXYY', 'YXYYX', 'GGGGG']","[61, 1, 1]"
54,6,"['tares', 'noily', 'howdy', 'foggy', 'boozy', 'booby']","['XXXXX', 'XGXXG', 'XGXXG', 'XGXXG', 'GGGXG', 'GGGGG']","[227, 15, 7, 4, 1, 1]"
55,2,"['tares', 'forth']","['YXGXX', 'GGGGG']","[9, 9]"
56,2,"['tares', 'first']","['YXGXY', 'GGGGG']","[5, 5]"
57,3,"['tares', 'slant', 'stand']","['YYXXY', 'GXGGY', 'GGGGG']","[23, 2, 2]"
58,4,"['tares', 'eloin', 'belch', 'belly']","['XXXYX', 'YYXXX', 'GGGXX', 'GGGGG']","[147, 15, 2, 2]"
59,3,"['tares', 'nidor', 'ivory']","['XXYXX', 'XYXYY', 'GGGGG']","[93, 3, 3]"
60,4,"['tares', 'solei', 'spend', 'seedy']","['XXXYY', 'GXXYX', 'GXGXY', 'GGGGG']","[61, 6, 1, 1]"
61,3,"['tares', 'intro', 'print']","['YXYXX', 'YYYYX', 'GGGGG']","[21, 1, 1]"
62,4,"['tares', 'bread', 'realm', 'yearn']","['XYYYX', 'XYYYX', 'YGGXX', 'GGGGG']","[54, 12, 2, 2]"
63,3,"['tares', 'radon', 'drain']","['XYYXX', 'YYYXG', 'GGGGG']","[70, 2, 2]"
64,5,"['tares', 'dicer', 'gripe', 'brine', 'bribe']","['XXYYX', 'XYXYY', 'XGGXG', 'GGGXG', 'GGGGG']","[57, 8, 3, 1, 1]"
