,steps,words,feedback,ncands
0,3,"['tores', 'dinar', 'cigar']","['XXYXX', 'XGXGG', 'GGGGG']","[97, 2, 2]"
1,3,"['tores', 'cater', 'rebut']","['YXYYX', 'XXYYY', 'GGGGG']","[23, 8, 8]"
2,4,"['tores', 'shaly', 'spiny', 'sissy']","['XXXXY', 'GXXXG', 'GXYXG', 'GGGGG']","[120, 5, 1, 1]"
3,4,"['tores', 'layin', 'chump', 'humph']","['XXXXX', 'XXXXX', 'XYYYY', 'GGGGG']","[246, 3, 1, 1]"
4,6,"['tores', 'liane', 'evade', 'chafe', 'quake', 'awake']","['XXXYX', 'XXGXG', 'YXGXG', 'XXGXG', 'XXGGG', 'GGGGG']","[196, 10, 6, 4, 1, 1]"
5,3,"['tores', 'shaly', 'blush']","['XXXXY', 'YYXYX', 'GGGGG']","[120, 3, 3]"
6,3,"['tores', 'godly', 'focal']","['XGXXX', 'XGXYX', 'GGGGG']","[79, 7, 7]"
7,3,"['tores', 'liane', 'evade']","['XXXYX', 'XXGXG', 'GGGGG']","[196, 10, 10]"
8,3,"['tores', 'layin', 'naval']","['XXXXX', 'YGXXY', 'GGGGG']","[246, 3, 3]"
9,3,"['tores', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[9, 1, 1]"
10,4,"['tores', 'telia', 'death', 'heath']","['YXXYX', 'YGXXY', 'XGGGG', 'GGGGG']","[69, 5, 1, 1]"
11,3,"['tores', 'dinar', 'dwarf']","['XXYXX', 'GXXYY', 'GGGGG']","[97, 3, 3]"
12,4,"['tores', 'novel', 'dowel', 'model']","['XGXGX', 'XGXGG', 'YGXGG', 'GGGGG']","[19, 3, 1, 1]"
13,3,"['tores', 'lycra', 'karma']","['XXGXX', 'XXXYG', 'GGGGG']","[29, 2, 2]"
14,3,"['tores', 'stain', 'stink']","['YXXXY', 'GGXYY', 'GGGGG']","[58, 3, 3]"
15,3,"['tores', 'acred', 'grade']","['XXYYX', 'YXYYY', 'GGGGG']","[93, 6, 6]"
16,3,"['tores', 'valet', 'quiet']","['YXXGX', 'XXXGG', 'GGGGG']","[13, 3, 3]"
17,3,"['tores', 'liane', 'bench']","['XXXYX', 'XXXYY', 'GGGGG']","[196, 5, 5]"
18,4,"['tores', 'telia', 'cheat', 'abate']","['YXXYX', 'YYXXY', 'XXYYY', 'GGGGG']","[69, 11, 2, 2]"
19,4,"['tores', 'liane', 'deign', 'feign']","['XXXYX', 'XYXYY', 'XGGGG', 'GGGGG']","[196, 6, 1, 1]"
20,4,"['tores', 'andro', 'valor', 'major']","['XYYXX', 'YXXYY', 'XGXGG', 'GGGGG']","[74, 8, 3, 3]"
21,3,"['tores', 'telia', 'death']","['YXXYX', 'YGXXY', 'GGGGG']","[69, 5, 5]"
22,3,"['tores', 'arise', 'fresh']","['XXYYY', 'XGXGY', 'GGGGG']","[18, 1, 1]"
23,3,"['tores', 'stair', 'crust']","['YXYXY', 'YYXXY', 'GGGGG']","[12, 2, 2]"
