word,cares_doily,cares_pouty,cares_poind,cares_gouty,cares_noily,cares_point,cares_doilt,cares_piony,cares_bound,cares_pound,bares_doily,bares_pouty,bares_poind,bares_gouty,bares_noily,bares_point,bares_doilt,bares_piony,bares_could,bares_colin,pares_doily,pares_gouty,pares_noily,pares_doilt,pares_bound,pares_could,pares_colin,pares_count,pares_boult,pares_boink,tares_doily,tares_poind,tares_noily,tares_piony,tares_bound,tares_could,tares_colin,tares_pound,tares_boink,tares_mound,cores_laity,cores_daily,cores_gaily,cores_haily,cores_paint,cores_bialy,cores_daint,cores_baith,cores_faint,cores_gaudy,bores_laity,bores_daily,bores_gaily,bores_haily,bores_canid,bores_calid,bores_paint,bores_daint,bores_cauld,bores_faint,mares_doily,mares_pouty,mares_poind,mares_gouty,mares_noily,mares_point,mares_doilt,mares_piony,mares_bound,mares_could,pores_laity,pores_daily,pores_gaily,pores_haily,pores_canid,pores_calid,pores_bialy,pores_daint,pores_baith,pores_cauld,canes_doily,canes_roily,canes_pouty,canes_gouty,canes_loury,canes_doilt,canes_bourd,canes_boult,canes_poult,canes_roupy,dares_pouty,dares_gouty,dares_noily,dares_point,dares_piony,dares_colin,dares_count,dares_boult,dares_poult,dares_boink
cigar,4,4,4,4,4,4,4,3,5,5,5,4,5,4,4,5,4,4,5,3,4,4,4,4,5,5,3,5,5,4,4,4,4,4,5,5,3,5,5,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,3,3,5,5,5,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,3,3,5,4,6,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,3,5,5,4,5
rebut,5,4,5,4,5,4,4,5,4,5,4,3,5,3,4,3,3,4,4,4,5,3,5,4,4,5,5,3,3,5,4,4,4,4,3,4,5,3,3,3,4,5,4,5,4,4,4,3,4,4,3,4,3,4,5,5,3,3,4,3,5,3,5,3,5,4,4,5,4,5,4,5,4,5,5,5,4,4,3,5,5,6,5,5,6,5,4,4,4,6,3,3,5,4,5,5,3,3,3,5
sissy,3,3,3,3,4,3,3,3,5,5,3,3,3,3,3,3,3,3,5,3,3,3,4,3,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,5,5,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3
humph,5,4,4,5,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,5,4,4,5,4,4,5,5,5,5,5,4,4,4,4,4,5,4,4,5,4,4,4,4,5,4,4,5,4,4,4,4,4,5,4,5,4,4,4,5,4,5,5,5,5,4,5,5,3,4,4,4,5,4,5,5,5,4,5,5,4,5,5,4,4,4,5,5,5,5,4,5,5,4,4
awake,5,5,5,4,4,5,5,6,6,5,5,5,6,5,5,4,5,6,5,5,5,6,5,5,6,5,5,5,5,4,5,4,4,4,5,5,5,4,4,4,5,5,4,5,5,5,4,5,5,5,5,5,5,5,6,5,4,4,5,6,5,4,6,6,5,6,5,6,6,5,5,5,6,5,5,5,5,4,4,5,5,4,4,4,5,5,6,5,5,5,5,4,5,4,6,5,5,5,5,4
blush,6,5,6,6,6,6,6,5,3,5,3,3,4,3,3,4,3,3,3,3,5,5,5,5,3,5,5,5,3,4,6,6,6,5,3,6,6,5,4,6,6,6,6,6,6,3,7,3,6,6,3,3,3,3,4,3,4,4,3,4,6,5,5,6,6,5,6,5,3,6,5,5,5,5,6,5,3,6,3,5,6,6,5,6,6,6,3,3,5,5,5,6,6,6,5,6,6,3,5,4
focal,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,6,5,6,5,5,5,6,5,5,6,5,5,5,5,6,5,6,5,6,6,5,5,6,6,6,4,5,5,5,5,5,5,5,3,5,7,5,5,5,5,5,6,6,5,3,5,6,6,6,5,6,5,6,6,5,6,5,5,5,5,5,5,6,6,5,5,5,5,5,4,5,5,5,5,5,6,6,5,6,6,5,5,5,5,6
evade,4,5,4,5,5,6,4,6,4,5,4,6,4,6,6,4,4,6,4,4,4,5,5,4,4,4,6,5,5,4,4,4,5,6,4,4,5,4,5,4,5,4,5,6,6,4,4,5,5,4,5,4,6,5,4,4,4,4,4,5,4,5,4,5,6,4,4,6,4,4,4,4,5,6,4,4,4,5,5,4,4,5,6,6,5,4,4,4,5,5,5,4,5,5,5,5,4,5,5,4
naval,4,5,4,5,3,5,4,4,4,4,4,4,4,5,3,4,4,5,4,4,4,4,3,5,5,4,4,5,4,4,5,4,3,4,5,4,4,4,4,5,4,4,5,5,5,5,4,5,5,4,4,4,5,5,5,4,4,5,4,4,4,4,4,5,3,4,5,4,4,4,5,4,5,4,4,4,5,4,5,4,3,4,4,4,3,4,4,4,4,4,5,5,3,4,5,4,5,4,5,4
serve,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,4
heath,5,5,5,5,6,5,4,6,5,5,5,4,5,4,5,5,4,5,5,5,5,5,6,4,5,5,5,5,6,5,4,5,5,5,5,4,5,5,6,5,5,5,6,4,5,4,4,4,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,6,5,4,6,5,5,5,5,6,4,5,5,4,4,4,5,4,6,5,5,5,5,5,6,6,5,4,4,5,4,5,5,4,5,5,5
dwarf,4,5,4,5,4,5,4,5,4,4,4,5,4,5,4,6,4,6,4,5,4,5,5,4,4,4,5,5,5,5,4,4,5,5,4,4,5,4,5,4,5,4,5,5,5,5,4,5,3,4,5,4,6,5,4,4,6,4,4,3,4,5,4,5,5,5,4,6,4,4,5,4,5,5,4,4,5,4,5,4,4,5,5,5,4,4,3,4,4,5,4,4,4,4,4,4,4,4,4,4
model,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,3,4,3,4,3,4,3,4,3,3,4,4,4,4,3,3,4,4,4,3,4,4,5,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
