steps,words,feedback,ncands
3,"['arles', 'coati', 'cigar']","['YYXXX', 'GXYXY', 'GGGGG']","[65, 3, 3]"
3,"['arles', 'donut', 'rebut']","['XYXYX', 'XXXGG', 'GGGGG']","[64, 2, 2]"
4,"['arles', 'point', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[114, 6, 1, 1]"
4,"['arles', 'count', 'dumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[205, 15, 1, 1]"
5,"['arles', 'adobe', 'agate', 'amaze', 'awake']","['GXXYX', 'GXXXG', 'GXGXG', 'GXGXG', 'GGGGG']","[19, 6, 2, 1, 1]"
4,"['arles', 'pluot', 'slung', 'blush']","['XXYXY', 'XGGXX', 'YGGXX', 'GGGGG']","[31, 5, 2, 2]"
3,"['arles', 'tonic', 'focal']","['YXYXX', 'XGXXY', 'GGGGG']","[68, 3, 3]"
3,"['arles', 'chave', 'evade']","['YXXYX', 'XXGYG', 'GGGGG']","[56, 2, 2]"
4,"['arles', 'tonic', 'bland', 'naval']","['YXYXX', 'XXYXX', 'XYYYX', 'GGGGG']","[68, 6, 1, 1]"
4,"['arles', 'nutso', 'shire', 'serve']","['XYXYY', 'XXXYX', 'GXXYG', 'GGGGG']","[26, 5, 1, 1]"
4,"['arles', 'chave', 'death', 'heath']","['YXXYX', 'XYGXY', 'XGGGG', 'GGGGG']","[56, 3, 1, 1]"
3,"['arles', 'coati', 'dwarf']","['YYXXX', 'XXGXX', 'GGGGG']","[65, 4, 4]"
3,"['arles', 'bidon', 'model']","['XXYGX', 'XXGYX', 'GGGGG']","[30, 1, 1]"
4,"['arles', 'coati', 'harpy', 'karma']","['YYXXX', 'XXYXX', 'XGGXX', 'GGGGG']","[65, 12, 1, 1]"
4,"['arles', 'point', 'sting', 'stink']","['XXXXY', 'XXGGY', 'GGGGX', 'GGGGG']","[114, 2, 1, 1]"
3,"['arles', 'diact', 'grade']","['YGXYX', 'YXGXX', 'GGGGG']","[30, 1, 1]"
3,"['arles', 'tondi', 'quiet']","['XXXGX', 'YXXXY', 'GGGGG']","[44, 1, 1]"
3,"['arles', 'cunit', 'bench']","['XXXYX', 'YXGXX', 'GGGGG']","[130, 5, 5]"
3,"['arles', 'adobe', 'abate']","['GXXYX', 'GXXYG', 'GGGGG']","[19, 1, 1]"
3,"['arles', 'cunit', 'feign']","['XXXYX', 'XXYYX', 'GGGGG']","[130, 11, 11]"
5,"['arles', 'coati', 'rayon', 'favor', 'major']","['YYXXX', 'XYYXX', 'YGXGX', 'XGXGG', 'GGGGG']","[65, 8, 3, 1, 1]"
3,"['arles', 'chave', 'death']","['YXXYX', 'XYGXY', 'GGGGG']","[56, 3, 3]"
3,"['arles', 'crest', 'fresh']","['XGXYY', 'XGGGX', 'GGGGG']","[4, 1, 1]"
2,"['arles', 'crust']","['XGXXY', 'GGGGG']","[11, 11]"
3,"['arles', 'pluot', 'stool']","['XXYXY', 'XYXGY', 'GGGGG']","[31, 1, 1]"
3,"['arles', 'doily', 'colon']","['XXGXX', 'XGXYX', 'GGGGG']","[30, 1, 1]"
2,"['arles', 'abase']","['GXXYY', 'GGGGG']","[4, 4]"
4,"['arles', 'coati', 'harpy', 'marry']","['YYXXX', 'XXYXX', 'XGGXG', 'GGGGG']","[65, 12, 1, 1]"
2,"['arles', 'react']","['YYXYX', 'GGGGG']","[25, 25]"
