steps,words,feedback,ncands
3,"['arose', 'halid', 'cigar']","['YYXXX', 'XYXYX', 'GGGGG']","[55, 4, 4]"
4,"['arose', 'lited', 'berth', 'rebut']","['XYXXY', 'XXYYX', 'YGYYX', 'GGGGG']","[103, 4, 1, 1]"
2,"['arose', 'sissy']","['XXXGX', 'GGGGG']","[17, 17]"
4,"['arose', 'clint', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[183, 15, 1, 1]"
5,"['arose', 'agile', 'abate', 'amaze', 'awake']","['GXXXG', 'GXXXG', 'GXGXG', 'GXGXG', 'GGGGG']","[18, 4, 2, 1, 1]"
3,"['arose', 'sissy', 'blush']","['XXXGX', 'YXYGX', 'GGGGG']","[17, 3, 3]"
3,"['arose', 'cotan', 'focal']","['YXYXX', 'YGXGX', 'GGGGG']","[44, 3, 3]"
4,"['arose', 'laugh', 'knave', 'evade']","['YXXXG', 'XYXXX', 'XXGYG', 'GGGGG']","[50, 5, 1, 1]"
4,"['arose', 'clint', 'lanky', 'naval']","['YXXXX', 'XYXYX', 'YGYXX', 'GGGGG']","[148, 4, 1, 1]"
3,"['arose', 'spree', 'serve']","['XYXYG', 'GXGYG', 'GGGGG']","[6, 2, 2]"
4,"['arose', 'letch', 'death', 'heath']","['YXXXY', 'XGYXG', 'XGGGG', 'GGGGG']","[78, 2, 1, 1]"
3,"['arose', 'halid', 'dwarf']","['YYXXX', 'XYXXY', 'GGGGG']","[55, 1, 1]"
3,"['arose', 'moten', 'model']","['XXYXY', 'GGXGX', 'GGGGG']","[47, 2, 2]"
4,"['arose', 'halid', 'party', 'karma']","['YYXXX', 'XGXXX', 'XGGXX', 'GGGGG']","[55, 9, 1, 1]"
3,"['arose', 'skint', 'stink']","['XXXYX', 'GYGGY', 'GGGGG']","[79, 1, 1]"
3,"['arose', 'crate', 'grade']","['YGXXG', 'XGGXG', 'GGGGG']","[19, 9, 9]"
4,"['arose', 'teind', 'evict', 'quiet']","['XXXXY', 'YYGXX', 'YXGXG', 'GGGGG']","[120, 2, 1, 1]"
3,"['arose', 'teind', 'bench']","['XXXXY', 'XGXYX', 'GGGGG']","[120, 4, 4]"
3,"['arose', 'agile', 'abate']","['GXXXG', 'GXXXG', 'GGGGG']","[18, 4, 4]"
3,"['arose', 'teind', 'feign']","['XXXXY', 'XGGYX', 'GGGGG']","[120, 2, 2]"
3,"['arose', 'calmy', 'major']","['YYYXX', 'XGXYX', 'GGGGG']","[28, 2, 2]"
