steps,words,feedback,ncands
4,"['lores', 'daint', 'chair', 'cigar']","['XXYXX', 'XYYXX', 'GXYYG', 'GGGGG']","[109, 3, 1, 1]"
4,"['lores', 'diact', 'erupt', 'rebut']","['XXYYX', 'XXXXG', 'YYYXG', 'GGGGG']","[111, 3, 1, 1]"
4,"['lores', 'hiant', 'missy', 'sissy']","['XXXXY', 'XGXXX', 'XGGGG', 'GGGGG']","[122, 4, 1, 1]"
3,"['lores', 'hiant', 'humph']","['XXXXX', 'GXXXX', 'GGGGG']","[215, 1, 1]"
5,"['lores', 'haint', 'adage', 'amaze', 'awake']","['XXXYX', 'XYXXX', 'GXGXG', 'GXGXG', 'GGGGG']","[163, 12, 2, 1, 1]"
3,"['lores', 'stalk', 'blush']","['YXXXY', 'YXXYX', 'GGGGG']","[58, 3, 3]"
3,"['lores', 'yclad', 'focal']","['YGXXX', 'XYYGX', 'GGGGG']","[27, 2, 2]"
4,"['lores', 'haint', 'adage', 'evade']","['XXXYX', 'XYXXX', 'YYGXG', 'GGGGG']","[163, 12, 1, 1]"
4,"['lores', 'cabin', 'natal', 'naval']","['YXXXX', 'XGXXY', 'GGXGG', 'GGGGG']","[130, 3, 1, 1]"
3,"['lores', 'purse', 'serve']","['XXGYY', 'XXGYG', 'GGGGG']","[10, 1, 1]"
3,"['lores', 'haint', 'heath']","['XXXYX', 'GYXXY', 'GGGGG']","[163, 1, 1]"
4,"['lores', 'daint', 'drama', 'dwarf']","['XXYXX', 'GYXXX', 'GYGXY', 'GGGGG']","[109, 2, 1, 1]"
4,"['lores', 'towel', 'hovel', 'model']","['YGXGX', 'XGXGG', 'XGXGG', 'GGGGG']","[10, 3, 1, 1]"
3,"['lores', 'match', 'karma']","['XXGXX', 'YGXXX', 'GGGGG']","[29, 1, 1]"
4,"['lores', 'hiant', 'sting', 'stink']","['XXXXY', 'XYXGY', 'GGGGX', 'GGGGG']","[122, 2, 1, 1]"
4,"['lores', 'diact', 'beard', 'grade']","['XXYYX', 'YXGXX', 'XYGYY', 'GGGGG']","[111, 4, 1, 1]"
3,"['lores', 'daint', 'quiet']","['XXXGX', 'XXGXG', 'GGGGG']","[37, 1, 1]"
3,"['lores', 'haint', 'bench']","['XXXYX', 'YXXYX', 'GGGGG']","[163, 2, 2]"
3,"['lores', 'haint', 'abate']","['XXXYX', 'XYXXY', 'GGGGG']","[163, 5, 5]"
4,"['lores', 'haint', 'deign', 'feign']","['XXXYX', 'XXGYX', 'XGGGG', 'GGGGG']","[163, 3, 1, 1]"
4,"['lores', 'canid', 'favor', 'major']","['XYYXX', 'XGXXX', 'XGXGG', 'GGGGG']","[78, 5, 3, 3]"
3,"['lores', 'haint', 'death']","['XXXYX', 'YYXXY', 'GGGGG']","[163, 3, 3]"
3,"['lores', 'shawn', 'fresh']","['XXYYY', 'YYXXX', 'GGGGG']","[22, 1, 1]"
4,"['lores', 'shakt', 'trust', 'crust']","['XXYXY', 'YXXXG', 'YGGGG', 'GGGGG']","[38, 4, 1, 1]"
3,"['lores', 'sloop', 'stool']","['YYXXY', 'GYGGX', 'GGGGG']","[11, 1, 1]"
3,"['lores', 'yclad', 'colon']","['YGXXX', 'XYGXX', 'GGGGG']","[27, 1, 1]"
4,"['lores', 'spait', 'cease', 'abase']","['XXXYY', 'YXGXX', 'XYGGG', 'GGGGG']","[88, 4, 1, 1]"
3,"['lores', 'match', 'marry']","['XXGXX', 'GGXXX', 'GGGGG']","[29, 1, 1]"
3,"['lores', 'diact', 'react']","['XXYYX', 'XXGGG', 'GGGGG']","[111, 1, 1]"
4,"['lores', 'hiant', 'tabby', 'batty']","['XXXXX', 'XXYXY', 'YGYYG', 'GGGGG']","[215, 9, 1, 1]"
4,"['lores', 'diact', 'bride', 'pride']","['XXYYX', 'YYXXX', 'XGGGG', 'GGGGG']","[111, 3, 1, 1]"
2,"['lores', 'floss']","['YYXXG', 'GGGGG']","[2, 2]"
3,"['lores', 'diact', 'helix']","['YXXYX', 'XYXXX', 'GGGGG']","[101, 6, 6]"
3,"['lores', 'canid', 'croak']","['XYYXX', 'GYXXX', 'GGGGG']","[78, 1, 1]"
4,"['lores', 'hiant', 'stack', 'staff']","['XXXXY', 'XXGXY', 'GGGXX', 'GGGGG']","[122, 3, 2, 2]"
