steps,words,feedback,ncands
3,"['nares', 'droit', 'cigar']","['XYYXX', 'XYXYX', 'GGGGG']","[71, 3, 3]"
3,"['nares', 'crout', 'rebut']","['XXYYX', 'XYXGG', 'GGGGG']","[75, 1, 1]"
4,"['nares', 'thiol', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[115, 6, 1, 1]"
4,"['nares', 'doilt', 'pygmy', 'humph']","['XXXXX', 'XXXXX', 'YXXYX', 'GGGGG']","[219, 13, 1, 1]"
5,"['nares', 'dealt', 'agape', 'amaze', 'awake']","['XYXYX', 'XYGXX', 'GXGXG', 'GXGXG', 'GGGGG']","[90, 6, 2, 1, 1]"
3,"['nares', 'thiol', 'blush']","['XXXXY', 'XYXXY', 'GGGGG']","[115, 4, 4]"
3,"['nares', 'clout', 'focal']","['XYXXX', 'YYYXX', 'GGGGG']","[94, 3, 3]"
4,"['nares', 'dealt', 'adage', 'evade']","['XYXYX', 'YYGXX', 'YYGXG', 'GGGGG']","[90, 2, 1, 1]"
3,"['nares', 'natal', 'naval']","['GGXXX', 'GGXGG', 'GGGGG']","[3, 1, 1]"
3,"['nares', 'verso', 'serve']","['XXGYY', 'YGGYX', 'GGGGG']","[11, 1, 1]"
3,"['nares', 'dealt', 'heath']","['XYXYX', 'XGGXY', 'GGGGG']","[90, 3, 3]"
3,"['nares', 'droit', 'dwarf']","['XYYXX', 'GYXXX', 'GGGGG']","[71, 1, 1]"
3,"['nares', 'doilt', 'model']","['XXXGX', 'YGXYX', 'GGGGG']","[49, 1, 1]"
4,"['nares', 'party', 'carol', 'karma']","['XGGXX', 'XGGXX', 'XGGXX', 'GGGGG']","[17, 5, 1, 1]"
3,"['nares', 'ingot', 'stink']","['YXXXY', 'YYXXY', 'GGGGG']","[35, 1, 1]"
4,"['nares', 'bract', 'drape', 'grade']","['XYYYX', 'XGGXX', 'YGGXG', 'GGGGG']","[63, 7, 1, 1]"
3,"['nares', 'doilt', 'quiet']","['XXXGX', 'XXGXG', 'GGGGG']","[49, 1, 1]"
4,"['nares', 'ligne', 'endow', 'bench']","['YXXYX', 'XXXYY', 'YYXXX', 'GGGGG']","[55, 9, 2, 2]"
3,"['nares', 'dealt', 'abate']","['XYXYX', 'XYGXY', 'GGGGG']","[90, 3, 3]"
4,"['nares', 'ligne', 'deign', 'feign']","['YXXYX', 'XYYYY', 'XGGGG', 'GGGGG']","[55, 2, 1, 1]"
4,"['nares', 'pyoid', 'valor', 'major']","['XGYXX', 'XXYXX', 'XGXGG', 'GGGGG']","[23, 6, 2, 2]"
3,"['nares', 'dealt', 'death']","['XYXYX', 'GGGXY', 'GGGGG']","[90, 1, 1]"
3,"['nares', 'shore', 'fresh']","['XXYYY', 'YYXYY', 'GGGGG']","[14, 1, 1]"
3,"['nares', 'moist', 'crust']","['XXYXY', 'XXXGG', 'GGGGG']","[30, 3, 3]"
3,"['nares', 'thiol', 'stool']","['XXXXY', 'YXXGG', 'GGGGG']","[115, 1, 1]"
3,"['nares', 'tonic', 'colon']","['YXXXX', 'XGYXY', 'GGGGG']","[99, 1, 1]"
3,"['nares', 'shalt', 'abase']","['XYXYY', 'YXGXX', 'GGGGG']","[42, 3, 3]"
5,"['nares', 'party', 'carry', 'harry', 'marry']","['XGGXX', 'XGGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[17, 4, 2, 1, 1]"
3,"['nares', 'bract', 'react']","['XYYYX', 'XYGGG', 'GGGGG']","[63, 1, 1]"
3,"['nares', 'culty', 'batty']","['XGXXX', 'XXXGG', 'GGGGG']","[71, 4, 4]"
3,"['nares', 'crout', 'pride']","['XXYYX', 'XGXXX', 'GGGGG']","[75, 8, 8]"
2,"['nares', 'floss']","['XXXXG', 'GGGGG']","[9, 9]"
4,"['nares', 'doilt', 'belie', 'helix']","['XXXYX', 'XXYYX', 'XGGGY', 'GGGGG']","[140, 4, 1, 1]"
4,"['nares', 'droit', 'aroma', 'croak']","['XYYXX', 'XGGXX', 'YGGXY', 'GGGGG']","[71, 2, 1, 1]"
4,"['nares', 'shalt', 'stack', 'staff']","['XYXXY', 'GXGXY', 'GGGXX', 'GGGGG']","[53, 4, 3, 3]"
3,"['nares', 'patly', 'paper']","['XGYGX', 'GGXXX', 'GGGGG']","[25, 1, 1]"
3,"['nares', 'vodun', 'unfed']","['YXXGX', 'XXYYY', 'GGGGG']","[28, 2, 2]"
5,"['nares', 'doilt', 'belle', 'quell', 'whelp']","['XXXYX', 'XXXGX', 'XYYGY', 'XXGGY', 'GGGGG']","[140, 7, 2, 1, 1]"
5,"['nares', 'droit', 'track', 'tramp', 'trawl']","['XYYXX', 'XGXXY', 'GGGXX', 'GGGXX', 'GGGGG']","[71, 4, 2, 1, 1]"
3,"['nares', 'doilt', 'outdo']","['XXXXX', 'YYXXY', 'GGGGG']","[219, 1, 1]"
4,"['nares', 'dealt', 'abide', 'adobe']","['XYXYX', 'YYYXX', 'GYXYG', 'GGGGG']","[90, 4, 1, 1]"
5,"['nares', 'droit', 'wrack', 'cramp', 'crazy']","['XYYXX', 'XGXXX', 'XGGYX', 'GGGXX', 'GGGGG']","[71, 8, 2, 1, 1]"
2,"['nares', 'sower']","['XXYGY', 'GGGGG']","[16, 16]"
4,"['nares', 'bract', 'opera', 'repay']","['XYYYX', 'XYYXX', 'XYYYY', 'GGGGG']","[63, 8, 1, 1]"
3,"['nares', 'doilt', 'digit']","['XXXXX', 'GXYXG', 'GGGGG']","[219, 1, 1]"
3,"['nares', 'bract', 'crate']","['XYYYX', 'XGGYY', 'GGGGG']","[63, 1, 1]"
4,"['nares', 'doilt', 'clump', 'cluck']","['XXXXX', 'XXXYX', 'GGGXX', 'GGGGG']","[219, 15, 1, 1]"
