steps,words,feedback,ncands
3,"['raile', 'train', 'cigar']","['YYYXX', 'XYYYX', 'GGGGG']","[14, 3, 3]"
3,"['raile', 'recut', 'rebut']","['GXXXY', 'GGXGG', 'GGGGG']","[17, 1, 1]"
4,"['raile', 'ponts', 'missy', 'sissy']","['XXYXX', 'XXXXY', 'XGGGG', 'GGGGG']","[98, 6, 1, 1]"
3,"['raile', 'month', 'humph']","['XXXXX', 'YXXXG', 'GGGGG']","[173, 1, 1]"
3,"['raile', 'shakt', 'awake']","['XYXXG', 'XXGGX', 'GGGGG']","[43, 2, 2]"
3,"['raile', 'copsy', 'blush']","['XXXYX', 'XXXGX', 'GGGGG']","[66, 3, 3]"
3,"['raile', 'confs', 'focal']","['XYXYX', 'YGXYX', 'GGGGG']","[64, 1, 1]"
4,"['raile', 'shakt', 'adage', 'evade']","['XYXXG', 'XXGXX', 'YYGXG', 'GGGGG']","[43, 6, 1, 1]"
3,"['raile', 'synth', 'naval']","['XGXYX', 'XXYXX', 'GGGGG']","[22, 1, 1]"
4,"['raile', 'ponts', 'curse', 'serve']","['YXXXG', 'XXXXY', 'XXGYG', 'GGGGG']","[58, 5, 1, 1]"
4,"['raile', 'scent', 'death', 'heath']","['XYXXY', 'XXYXY', 'XGGGG', 'GGGGG']","[50, 3, 1, 1]"
4,"['raile', 'crost', 'award', 'dwarf']","['YYXXX', 'XYXXX', 'YGGGY', 'GGGGG']","[91, 8, 1, 1]"
4,"['raile', 'bowet', 'hovel', 'model']","['XXXYY', 'XGXGX', 'XGXGG', 'GGGGG']","[49, 4, 1, 1]"
3,"['raile', 'typos', 'karma']","['YGXXX', 'XXXXX', 'GGGGG']","[26, 2, 2]"
4,"['raile', 'stony', 'sting', 'stink']","['XXGXX', 'GGXGX', 'GGGGX', 'GGGGG']","[54, 3, 2, 2]"
3,"['raile', 'crags', 'grade']","['YYXXG', 'XGGYX', 'GGGGG']","[30, 5, 5]"
4,"['raile', 'heist', 'edict', 'quiet']","['XXGXY', 'XYGXG', 'YXGXG', 'GGGGG']","[18, 3, 1, 1]"
3,"['raile', 'seton', 'bench']","['XXXXY', 'XGXXY', 'GGGGG']","[104, 4, 4]"
3,"['raile', 'shakt', 'abate']","['XYXXG', 'XXGXY', 'GGGGG']","[43, 3, 3]"
4,"['raile', 'heist', 'deign', 'feign']","['XXGXY', 'XGGXX', 'XGGGG', 'GGGGG']","[18, 3, 1, 1]"
3,"['raile', 'typos', 'major']","['YGXXX', 'XXXGX', 'GGGGG']","[26, 4, 4]"
3,"['raile', 'scent', 'death']","['XYXXY', 'XXYXY', 'GGGGG']","[50, 3, 3]"
3,"['raile', 'dotes', 'fresh']","['YXXXY', 'XXXYY', 'GGGGG']","[112, 3, 3]"
3,"['raile', 'count', 'crust']","['YXXXX', 'GXGXG', 'GGGGG']","[119, 1, 1]"
4,"['raile', 'copsy', 'sloth', 'stool']","['XXXYX', 'XYXYX', 'GYGYX', 'GGGGG']","[66, 2, 1, 1]"
3,"['raile', 'copsy', 'colon']","['XXXYX', 'GGXXX', 'GGGGG']","[66, 1, 1]"
3,"['raile', 'shakt', 'abase']","['XYXXG', 'YXGXX', 'GGGGG']","[43, 3, 3]"
5,"['raile', 'typos', 'carry', 'harry', 'marry']","['YGXXX', 'XYXXX', 'XGGGG', 'XGGGG', 'GGGGG']","[26, 4, 2, 1, 1]"
3,"['raile', 'reach', 'react']","['GYXXY', 'GGGGX', 'GGGGG']","[8, 1, 1]"
3,"['raile', 'cyton', 'batty']","['XGXXX', 'XYGXX', 'GGGGG']","[85, 5, 5]"
4,"['raile', 'tripe', 'price', 'pride']","['YXGXG', 'XGGYG', 'GGGXG', 'GGGGG']","[19, 4, 3, 3]"
3,"['raile', 'copsy', 'floss']","['XXXYX', 'XYXGX', 'GGGGG']","[66, 3, 3]"
3,"['raile', 'inlet', 'helix']","['XXYYY', 'YXGYX', 'GGGGG']","[11, 1, 1]"
3,"['raile', 'crost', 'croak']","['YYXXX', 'GGGXX', 'GGGGG']","[91, 1, 1]"
4,"['raile', 'shunt', 'stack', 'staff']","['XYXXX', 'GXXXY', 'GGGXX', 'GGGGG']","[76, 3, 2, 2]"
4,"['raile', 'empts', 'caper', 'paper']","['YGXXY', 'YXGXX', 'XGGGG', 'GGGGG']","[24, 2, 1, 1]"
3,"['raile', 'seton', 'unfed']","['XXXXY', 'XYXXY', 'GGGGG']","[104, 4, 4]"
3,"['raile', 'swell', 'whelp']","['XXXGY', 'XYGGY', 'GGGGG']","[18, 1, 1]"
6,"['raile', 'moral', 'brawl', 'crawl', 'drawl', 'trawl']","['YYXYX', 'XXYYG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[16, 5, 3, 2, 1, 1]"
4,"['raile', 'month', 'stood', 'outdo']","['XXXXX', 'XYXYX', 'XYYYY', 'GGGGG']","[173, 8, 1, 1]"
4,"['raile', 'shakt', 'abode', 'adobe']","['XYXXG', 'XXYXX', 'GYGYG', 'GGGGG']","[43, 4, 1, 1]"
5,"['raile', 'crost', 'crack', 'cramp', 'crazy']","['YYXXX', 'GGXXX', 'GGGYX', 'GGGXX', 'GGGGG']","[91, 4, 2, 1, 1]"
4,"['raile', 'dotes', 'sober', 'sower']","['YXXXY', 'XGXGY', 'GGXGG', 'GGGGG']","[112, 3, 1, 1]"
4,"['raile', 'reach', 'rebar', 'repay']","['GYXXY', 'GGYXX', 'GGXGY', 'GGGGG']","[8, 2, 1, 1]"
4,"['raile', 'ponts', 'wight', 'digit']","['XXYXX', 'XXXYX', 'XGGXG', 'GGGGG']","[98, 10, 1, 1]"
4,"['raile', 'crags', 'crane', 'crate']","['YYXXG', 'GGGXX', 'GGGXG', 'GGGGG']","[30, 4, 3, 3]"
3,"['raile', 'copsy', 'cluck']","['XXXYX', 'GXXXX', 'GGGGG']","[66, 2, 2]"
