steps,words,feedback,ncands
3,"['rales', 'droit', 'cigar']","['YYXXX', 'XYXYX', 'GGGGG']","[80, 3, 3]"
3,"['rales', 'recut', 'rebut']","['GXXYX', 'GGXGG', 'GGGGG']","[17, 1, 1]"
4,"['rales', 'point', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[114, 6, 1, 1]"
4,"['rales', 'count', 'dumpy', 'humph']","['XXXXX', 'XXYXX', 'XGGGX', 'GGGGG']","[205, 15, 1, 1]"
3,"['rales', 'death', 'awake']","['XYXYX', 'XYGXX', 'GGGGG']","[59, 7, 7]"
4,"['rales', 'pluot', 'slung', 'blush']","['XXYXY', 'XGGXX', 'YGGXX', 'GGGGG']","[31, 5, 2, 2]"
3,"['rales', 'tonic', 'focal']","['XYYXX', 'XGXXY', 'GGGGG']","[67, 3, 3]"
4,"['rales', 'death', 'adage', 'evade']","['XYXYX', 'YYGXX', 'YYGXG', 'GGGGG']","[59, 2, 1, 1]"
3,"['rales', 'natal', 'naval']","['XGYXX', 'GGXGG', 'GGGGG']","[20, 1, 1]"
3,"['rales', 'stope', 'serve']","['YXXYY', 'GXXXG', 'GGGGG']","[26, 3, 3]"
3,"['rales', 'death', 'heath']","['XYXYX', 'XGGGG', 'GGGGG']","[59, 1, 1]"
3,"['rales', 'droit', 'dwarf']","['YYXXX', 'GYXXX', 'GGGGG']","[80, 1, 1]"
3,"['rales', 'bidon', 'model']","['XXYGX', 'XXGYX', 'GGGGG']","[30, 1, 1]"
3,"['rales', 'porty', 'karma']","['YGXXX', 'XXGXX', 'GGGGG']","[28, 2, 2]"
4,"['rales', 'point', 'sting', 'stink']","['XXXXY', 'XXGGY', 'GGGGX', 'GGGGG']","[114, 2, 1, 1]"
4,"['rales', 'bract', 'drape', 'grade']","['YYXYX', 'XGGXX', 'YGGXG', 'GGGGG']","[49, 7, 1, 1]"
3,"['rales', 'tondi', 'quiet']","['XXXGX', 'YXXXY', 'GGGGG']","[44, 1, 1]"
3,"['rales', 'cunit', 'bench']","['XXXYX', 'YXGXX', 'GGGGG']","[130, 5, 5]"
3,"['rales', 'death', 'abate']","['XYXYX', 'XYGGX', 'GGGGG']","[59, 3, 3]"
3,"['rales', 'cunit', 'feign']","['XXXYX', 'XXYYX', 'GGGGG']","[130, 11, 11]"
3,"['rales', 'porty', 'major']","['YGXXX', 'XYYXX', 'GGGGG']","[28, 4, 4]"
2,"['rales', 'death']","['XYXYX', 'GGGGG']","[59, 59]"
3,"['rales', 'stope', 'fresh']","['YXXYY', 'YXXXY', 'GGGGG']","[26, 1, 1]"
3,"['rales', 'souct', 'crust']","['YXXXY', 'YXGYG', 'GGGGG']","[43, 1, 1]"
3,"['rales', 'pluot', 'stool']","['XXYXY', 'XYXGY', 'GGGGG']","[31, 1, 1]"
3,"['rales', 'doily', 'colon']","['XXGXX', 'XGXYX', 'GGGGG']","[30, 1, 1]"
3,"['rales', 'shakt', 'abase']","['XYXYY', 'YXGXX', 'GGGGG']","[35, 3, 3]"
5,"['rales', 'porty', 'carry', 'harry', 'marry']","['YGXXX', 'XXGXG', 'XGGGG', 'XGGGG', 'GGGGG']","[28, 4, 2, 1, 1]"
3,"['rales', 'reach', 'react']","['GYXYX', 'GGGGX', 'GGGGG']","[8, 1, 1]"
3,"['rales', 'cyton', 'batty']","['XGXXX', 'XYGXX', 'GGGGG']","[85, 4, 4]"
3,"['rales', 'dropt', 'pride']","['YXXYX', 'YGXYX', 'GGGGG']","[92, 2, 2]"
2,"['rales', 'floss']","['XXYXG', 'GGGGG']","[5, 5]"
4,"['rales', 'belle', 'felon', 'helix']","['XXGYX', 'XGGYY', 'XGGXX', 'GGGGG']","[17, 4, 2, 2]"
3,"['rales', 'droit', 'croak']","['YYXXX', 'XGGXX', 'GGGGG']","[80, 3, 3]"
3,"['rales', 'chant', 'staff']","['XYXXY', 'XXGXY', 'GGGGG']","[44, 3, 3]"
4,"['rales', 'empty', 'caper', 'paper']","['YGXGX', 'YXGXX', 'XGGGG', 'GGGGG']","[21, 2, 1, 1]"
3,"['rales', 'tondi', 'unfed']","['XXXGX', 'XXYYX', 'GGGGG']","[44, 3, 3]"
4,"['rales', 'toile', 'dwell', 'whelp']","['XXYYX', 'XXXGY', 'XYGGY', 'GGGGG']","[55, 4, 1, 1]"
3,"['rales', 'trial', 'trawl']","['YYYXX', 'GGXYG', 'GGGGG']","[18, 1, 1]"
3,"['rales', 'count', 'outdo']","['XXXXX', 'XYYXY', 'GGGGG']","[205, 3, 3]"
4,"['rales', 'death', 'abide', 'adobe']","['XYXYX', 'YYYXX', 'GYXYG', 'GGGGG']","[59, 6, 1, 1]"
5,"['rales', 'droit', 'crank', 'cramp', 'crazy']","['YYXXX', 'XGXXX', 'GGGXX', 'GGGXX', 'GGGGG']","[80, 13, 2, 1, 1]"
4,"['rales', 'shrew', 'sewer', 'sower']","['YXXGY', 'GXYGY', 'GYGGG', 'GGGGG']","[20, 2, 1, 1]"
4,"['rales', 'reach', 'rebar', 'repay']","['GYXYX', 'GGYXX', 'GGXGY', 'GGGGG']","[8, 2, 1, 1]"
4,"['rales', 'count', 'fight', 'digit']","['XXXXX', 'XXXXG', 'XGGXG', 'GGGGG']","[205, 6, 1, 1]"
3,"['rales', 'bract', 'crate']","['YYXYX', 'XGGYY', 'GGGGG']","[49, 1, 1]"
3,"['rales', 'count', 'cluck']","['XXYXX', 'GXGXX', 'GGGGG']","[91, 2, 2]"
4,"['rales', 'point', 'spice', 'spike']","['XXXYY', 'YXGXX', 'GGGXG', 'GGGGG']","[67, 2, 1, 1]"
3,"['rales', 'count', 'mimic']","['XXXXX', 'YXXXX', 'GGGGG']","[205, 3, 3]"
7,"['rales', 'count', 'bound', 'found', 'hound', 'mound', 'pound']","['XXXXX', 'XGGGX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[205, 7, 5, 4, 3, 2, 2]"
5,"['rales', 'cyton', 'gamma', 'madam', 'maxim']","['XGXXX', 'XXXXX', 'XGYYY', 'GGXYG', 'GGGGG']","[85, 8, 2, 1, 1]"
4,"['rales', 'bidon', 'liken', 'linen']","['XXYGX', 'XGXXG', 'GGXGG', 'GGGGG']","[30, 2, 1, 1]"
3,"['rales', 'tondi', 'unmet']","['XXXGX', 'YXYXX', 'GGGGG']","[44, 1, 1]"
3,"['rales', 'slept', 'flesh']","['XXYYY', 'YGGXX', 'GGGGG']","[19, 1, 1]"
4,"['rales', 'count', 'goody', 'booby']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGGG']","[205, 14, 3, 3]"
3,"['rales', 'count', 'forth']","['YXXXX', 'XGXXY', 'GGGGG']","[124, 4, 4]"
3,"['rales', 'souct', 'first']","['YXXXY', 'YXXXG', 'GGGGG']","[43, 3, 3]"
3,"['rales', 'chant', 'stand']","['XYXXY', 'XXGGY', 'GGGGG']","[44, 2, 2]"
3,"['rales', 'belle', 'belly']","['XXGYX', 'GGGGY', 'GGGGG']","[17, 1, 1]"
4,"['rales', 'count', 'brood', 'ivory']","['YXXXX', 'XYXXX', 'XYGYX', 'GGGGG']","[124, 13, 1, 1]"
4,"['rales', 'point', 'geese', 'seedy']","['XXXYY', 'XXXXX', 'XGGYY', 'GGGGG']","[67, 3, 1, 1]"
3,"['rales', 'count', 'print']","['YXXXX', 'XXXGG', 'GGGGG']","[124, 1, 1]"
4,"['rales', 'bract', 'weary', 'yearn']","['YYXYX', 'XYGXX', 'XGGGY', 'GGGGG']","[49, 4, 1, 1]"
3,"['rales', 'droit', 'drain']","['YYXXX', 'GGXGX', 'GGGGG']","[80, 1, 1]"
4,"['rales', 'dropt', 'brine', 'bribe']","['YXXYX', 'XGXXX', 'GGGXG', 'GGGGG']","[92, 7, 1, 1]"
5,"['rales', 'point', 'scout', 'shout', 'stout']","['XXXXY', 'XYXXG', 'GXGGG', 'GXGGG', 'GGGGG']","[114, 5, 2, 1, 1]"
3,"['rales', 'bagel', 'panel']","['XGYGX', 'XGXGG', 'GGGGG']","[9, 5, 5]"
3,"['rales', 'brass', 'crass']","['YYXXG', 'XGGGG', 'GGGGG']","[3, 2, 2]"
3,"['rales', 'toile', 'flume']","['XXYYX', 'XXXYG', 'GGGGG']","[55, 6, 6]"
4,"['rales', 'tonic', 'afoul', 'offal']","['XYYXX', 'XYXXX', 'YGYXG', 'GGGGG']","[67, 4, 1, 1]"
3,"['rales', 'after', 'agree']","['YYXGX', 'GXXGY', 'GGGGG']","[5, 1, 1]"
3,"['rales', 'dropt', 'error']","['YXXYX', 'XGYXX', 'GGGGG']","[92, 1, 1]"
3,"['rales', 'slurp', 'swirl']","['YXYXY', 'GYXGX', 'GGGGG']","[3, 1, 1]"
4,"['rales', 'bract', 'dread', 'argue']","['YYXYX', 'XGYXX', 'XGYYX', 'GGGGG']","[49, 6, 1, 1]"
3,"['rales', 'bidon', 'bleed']","['XXYGX', 'GXYXX', 'GGGGG']","[30, 1, 1]"
3,"['rales', 'delay', 'delta']","['XYGYX', 'GGGYX', 'GGGGG']","[4, 1, 1]"
3,"['rales', 'count', 'flick']","['XXYXX', 'YXXXX', 'GGGGG']","[91, 2, 2]"
3,"['rales', 'tondi', 'totem']","['XXXGX', 'GGXXX', 'GGGGG']","[44, 1, 1]"
4,"['rales', 'dicot', 'mower', 'wooer']","['YXXGX', 'XXXYX', 'XGYGG', 'GGGGG']","[87, 13, 1, 1]"
3,"['rales', 'count', 'front']","['YXXXX', 'XYXGG', 'GGGGG']","[124, 1, 1]"
3,"['rales', 'souct', 'shrub']","['YXXXY', 'GXYXX', 'GGGGG']","[43, 3, 3]"
3,"['rales', 'porty', 'parry']","['YGXXX', 'GXGXG', 'GGGGG']","[28, 1, 1]"
4,"['rales', 'cunit', 'diode', 'biome']","['XXXYX', 'XXXYX', 'XGGXG', 'GGGGG']","[130, 6, 1, 1]"
4,"['rales', 'bagel', 'panel', 'lapel']","['XGYGX', 'XGXGG', 'YGXGG', 'GGGGG']","[9, 5, 1, 1]"
4,"['rales', 'tramp', 'stark', 'start']","['YYXXY', 'YYGXX', 'GGGGX', 'GGGGG']","[25, 3, 1, 1]"
4,"['rales', 'dicot', 'beret', 'greet']","['YXXGX', 'XXXXG', 'XYYGG', 'GGGGG']","[87, 3, 1, 1]"
7,"['rales', 'dicot', 'mower', 'joker', 'boxer', 'foyer', 'goner']","['YXXGX', 'XXXYX', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[87, 13, 6, 4, 3, 2, 2]"
3,"['rales', 'filet', 'golem']","['XXGGX', 'XXGGX', 'GGGGG']","[4, 2, 2]"
3,"['rales', 'pluot', 'lusty']","['XXYXY', 'XYYXY', 'GGGGG']","[31, 1, 1]"
4,"['rales', 'count', 'wooly', 'loopy']","['XXYXX', 'XGXXX', 'XGGYG', 'GGGGG']","[91, 5, 1, 1]"
2,"['rales', 'round']","['GXXXX', 'GGGGG']","[15, 15]"
3,"['rales', 'timon', 'audit']","['XYXXX', 'YYXXX', 'GGGGG']","[61, 3, 3]"
4,"['rales', 'count', 'blind', 'lying']","['XXYXX', 'XXXGX', 'XYGGX', 'GGGGG']","[91, 4, 1, 1]"
3,"['rales', 'cyton', 'gamma']","['XGXXX', 'XXXXX', 'GGGGG']","[85, 8, 8]"
3,"['rales', 'carol', 'labor']","['YGYXX', 'XGYGY', 'GGGGG']","[3, 1, 1]"
2,"['rales', 'islet']","['XXGGY', 'GGGGG']","[1, 1]"
4,"['rales', 'count', 'chick', 'civic']","['XXXXX', 'GXXXX', 'GXYYX', 'GGGGG']","[205, 2, 1, 1]"
3,"['rales', 'dropt', 'forge']","['YXXYX', 'XYYXX', 'GGGGG']","[92, 6, 6]"
3,"['rales', 'count', 'corny']","['YXXXX', 'GGXGX', 'GGGGG']","[124, 1, 1]"
3,"['rales', 'count', 'moult']","['XXYXX', 'XGGXG', 'GGGGG']","[91, 1, 1]"
3,"['rales', 'potin', 'basic']","['XGXXY', 'XXXGX', 'GGGGG']","[22, 1, 1]"
4,"['rales', 'palsy', 'salon', 'salad']","['XGGXY', 'XGGYX', 'GGGXX', 'GGGGG']","[7, 3, 1, 1]"
4,"['rales', 'death', 'abate', 'agate']","['XYXYX', 'XYGGX', 'GXGGG', 'GGGGG']","[59, 3, 1, 1]"
