steps,words,feedback,ncands
4,"['rates', 'brond', 'chair', 'cigar']","['YYXXX', 'XYXXX', 'GXYYG', 'GGGGG']","[77, 12, 1, 1]"
2,"['rates', 'rebut']","['GXYYX', 'GGGGG']","[5, 5]"
4,"['rates', 'plink', 'missy', 'sissy']","['XXXXY', 'XXYXX', 'XGGGG', 'GGGGG']","[94, 7, 1, 1]"
4,"['rates', 'colin', 'dumpy', 'humph']","['XXXXX', 'XXXXX', 'XGGGX', 'GGGGG']","[227, 15, 1, 1]"
5,"['rates', 'gland', 'beach', 'amaze', 'awake']","['XYXYX', 'XXGXX', 'XYGXX', 'GXGXG', 'GGGGG']","[81, 10, 3, 1, 1]"
3,"['rates', 'plink', 'blush']","['XXXXY', 'XGXXX', 'GGGGG']","[94, 5, 5]"
3,"['rates', 'colin', 'focal']","['XYXXX', 'YGYXX', 'GGGGG']","[98, 3, 3]"
4,"['rates', 'gland', 'beady', 'evade']","['XYXYX', 'XXGXY', 'XYGGX', 'GGGGG']","[81, 3, 1, 1]"
4,"['rates', 'mincy', 'pagan', 'naval']","['XGXXX', 'XXYXX', 'XGXGY', 'GGGGG']","[66, 4, 1, 1]"
4,"['rates', 'phone', 'curse', 'serve']","['YXXYY', 'XXXXG', 'XXGYG', 'GGGGG']","[21, 4, 1, 1]"
4,"['rates', 'clang', 'death', 'heath']","['XYYYX', 'XXGXX', 'XGGGG', 'GGGGG']","[30, 5, 1, 1]"
4,"['rates', 'brond', 'diary', 'dwarf']","['YYXXX', 'XYXXY', 'GXGGX', 'GGGGG']","[77, 2, 1, 1]"
3,"['rates', 'indol', 'model']","['XXXGX', 'XXGYG', 'GGGGG']","[56, 1, 1]"
3,"['rates', 'pylon', 'karma']","['YGXXX', 'XXXXX', 'GGGGG']","[26, 2, 2]"
4,"['rates', 'point', 'sting', 'stink']","['XXYXY', 'XXGGY', 'GGGGX', 'GGGGG']","[57, 2, 1, 1]"
3,"['rates', 'drack', 'grade']","['YYXYX', 'YGGXX', 'GGGGG']","[43, 1, 1]"
3,"['rates', 'inlet', 'quiet']","['XXYGX', 'YXXGG', 'GGGGG']","[16, 1, 1]"
4,"['rates', 'lingo', 'pence', 'bench']","['XXXYX', 'XXGXX', 'XGGGY', 'GGGGG']","[147, 9, 2, 2]"
4,"['rates', 'clang', 'death', 'abate']","['XYYYX', 'XXGXX', 'XYGGX', 'GGGGG']","[30, 5, 2, 2]"
4,"['rates', 'lingo', 'deign', 'feign']","['XXXYX', 'XYYGX', 'XGGGG', 'GGGGG']","[147, 3, 1, 1]"
4,"['rates', 'pylon', 'favor', 'major']","['YGXXX', 'XXXGX', 'XGXGG', 'GGGGG']","[26, 2, 1, 1]"
3,"['rates', 'clang', 'death']","['XYYYX', 'XXGXX', 'GGGGG']","[30, 5, 5]"
3,"['rates', 'phone', 'fresh']","['YXXYY', 'XYXXY', 'GGGGG']","[21, 1, 1]"
3,"['rates', 'worst', 'crust']","['YXYXY', 'XXYGG', 'GGGGG']","[20, 3, 3]"
4,"['rates', 'point', 'stood', 'stool']","['XXYXY', 'XYXXY', 'GGGGX', 'GGGGG']","[57, 5, 1, 1]"
3,"['rates', 'colin', 'colon']","['XXXXX', 'GGGXG', 'GGGGG']","[227, 1, 1]"
4,"['rates', 'spule', 'cease', 'abase']","['XYXYY', 'YXXXG', 'XYGGG', 'GGGGG']","[28, 4, 1, 1]"
5,"['rates', 'pylon', 'hardy', 'carry', 'marry']","['YGXXX', 'XYXXX', 'XGGXG', 'XGGGG', 'GGGGG']","[26, 7, 2, 1, 1]"
2,"['rates', 'react']","['GYYYX', 'GGGGG']","[1, 1]"
3,"['rates', 'catty', 'batty']","['XGGXX', 'XGGGG', 'GGGGG']","[17, 4, 4]"
3,"['rates', 'poind', 'pride']","['YXXYX', 'GXGXY', 'GGGGG']","[71, 1, 1]"
2,"['rates', 'floss']","['XXXXG', 'GGGGG']","[11, 11]"
4,"['rates', 'lingo', 'elide', 'helix']","['XXXYX', 'YYXXX', 'YYYXY', 'GGGGG']","[147, 6, 1, 1]"
4,"['rates', 'brond', 'aroma', 'croak']","['YYXXX', 'XGGXX', 'YGGXY', 'GGGGG']","[77, 2, 1, 1]"
4,"['rates', 'clash', 'stand', 'staff']","['XYYXY', 'XXGYX', 'GGGXX', 'GGGGG']","[24, 6, 2, 2]"
4,"['rates', 'lager', 'caper', 'paper']","['YGXGX', 'XGXGG', 'XGGGG', 'GGGGG']","[18, 8, 1, 1]"
3,"['rates', 'indol', 'unfed']","['XXXGX', 'XGYXX', 'GGGGG']","[56, 3, 3]"
5,"['rates', 'lingo', 'belle', 'dwell', 'whelp']","['XXXYX', 'YXXXX', 'XYYGY', 'XYGGY', 'GGGGG']","[147, 15, 3, 1, 1]"
4,"['rates', 'tract', 'trail', 'trawl']","['YYYXX', 'GGGXY', 'GGGXG', 'GGGGG']","[20, 4, 1, 1]"
3,"['rates', 'hound', 'outdo']","['XXGXX', 'XYYXY', 'GGGGG']","[24, 1, 1]"
4,"['rates', 'gland', 'abide', 'adobe']","['XYXYX', 'XXYXY', 'GYXYG', 'GGGGG']","[81, 5, 1, 1]"
3,"['rates', 'brond', 'crazy']","['YYXXX', 'XGXXX', 'GGGGG']","[77, 11, 11]"
2,"['rates', 'sower']","['YXXGY', 'GGGGG']","[19, 19]"
3,"['rates', 'relay', 'repay']","['GYXYX', 'GGXGG', 'GGGGG']","[12, 1, 1]"
3,"['rates', 'hoing', 'digit']","['XXYXX', 'XXYXY', 'GGGGG']","[75, 1, 1]"
3,"['rates', 'trace', 'crate']","['YYYYX', 'YGGYG', 'GGGGG']","[13, 1, 1]"
3,"['rates', 'colin', 'cluck']","['XXXXX', 'GXYXX', 'GGGGG']","[227, 2, 2]"
5,"['rates', 'poilu', 'snipe', 'spice', 'spike']","['XXXYY', 'YXGXX', 'GXGYG', 'GGGXG', 'GGGGG']","[61, 4, 2, 1, 1]"
3,"['rates', 'colin', 'mimic']","['XXXXX', 'YXXGX', 'GGGGG']","[227, 2, 2]"
7,"['rates', 'colin', 'bound', 'found', 'hound', 'mound', 'pound']","['XXXXX', 'XGXXY', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[227, 9, 5, 4, 3, 2, 2]"
4,"['rates', 'mincy', 'mafia', 'maxim']","['XGXXX', 'GYXXX', 'GGXGY', 'GGGGG']","[66, 2, 1, 1]"
4,"['rates', 'indol', 'liken', 'linen']","['XXXGX', 'YYXXY', 'GGXGG', 'GGGGG']","[56, 2, 1, 1]"
3,"['rates', 'inlet', 'unmet']","['XXYGX', 'XGXGG', 'GGGGG']","[16, 1, 1]"
3,"['rates', 'poilu', 'flesh']","['XXXYY', 'XXXYX', 'GGGGG']","[61, 2, 2]"
4,"['rates', 'colin', 'goody', 'booby']","['XXXXX', 'XGXXX', 'XGGXG', 'GGGGG']","[227, 16, 3, 3]"
3,"['rates', 'tholi', 'forth']","['YXYXX', 'YYYXX', 'GGGGG']","[43, 3, 3]"
4,"['rates', 'worst', 'burst', 'first']","['YXYXY', 'XXGGG', 'XXGGG', 'GGGGG']","[20, 2, 1, 1]"
3,"['rates', 'clash', 'stand']","['XYYXY', 'XXGYX', 'GGGGG']","[24, 6, 6]"
4,"['rates', 'lingo', 'belle', 'belly']","['XXXYX', 'YXXXX', 'GGGGY', 'GGGGG']","[147, 15, 1, 1]"
4,"['rates', 'could', 'prong', 'ivory']","['YXXXX', 'XYXXX', 'XYGXX', 'GGGGG']","[108, 17, 1, 1]"
4,"['rates', 'poilu', 'dense', 'seedy']","['XXXYY', 'XXXXX', 'YGXYY', 'GGGGG']","[61, 5, 1, 1]"
4,"['rates', 'tholi', 'drift', 'print']","['YXYXX', 'YXXXY', 'XGGXG', 'GGGGG']","[43, 5, 1, 1]"
4,"['rates', 'drack', 'learn', 'yearn']","['YYXYX', 'XYGXX', 'XGGGG', 'GGGGG']","[43, 8, 1, 1]"
3,"['rates', 'brond', 'drain']","['YYXXX', 'XGXYY', 'GGGGG']","[77, 2, 2]"
4,"['rates', 'poind', 'crime', 'bribe']","['YXXYX', 'XXGXX', 'XGGXG', 'GGGGG']","[71, 3, 1, 1]"
5,"['rates', 'point', 'scout', 'shout', 'stout']","['XXYXY', 'XYXXG', 'GXGGG', 'GXGGG', 'GGGGG']","[57, 5, 2, 1, 1]"
3,"['rates', 'navel', 'panel']","['XGXGX', 'YGXGG', 'GGGGG']","[15, 1, 1]"
3,"['rates', 'brass', 'crass']","['YYXXG', 'XGGGG', 'GGGGG']","[3, 2, 2]"
4,"['rates', 'lingo', 'belle', 'flume']","['XXXYX', 'YXXXX', 'XYYYG', 'GGGGG']","[147, 15, 4, 4]"
4,"['rates', 'colin', 'afoul', 'offal']","['XYXXX', 'XYYXX', 'YGYXG', 'GGGGG']","[98, 4, 1, 1]"
2,"['rates', 'agree']","['YYXGX', 'GGGGG']","[4, 4]"
4,"['rates', 'poind', 'broke', 'error']","['YXXYX', 'XYXXX', 'XGYXY', 'GGGGG']","[71, 6, 1, 1]"
4,"['rates', 'scoup', 'shirk', 'swirl']","['YXXXY', 'GXXXX', 'GXGGX', 'GGGGG']","[26, 3, 1, 1]"
4,"['rates', 'drack', 'arena', 'argue']","['YYXYX', 'XGYXX', 'GGYXY', 'GGGGG']","[43, 2, 1, 1]"
3,"['rates', 'indol', 'bleed']","['XXXGX', 'XXYXY', 'GGGGG']","[56, 2, 2]"
3,"['rates', 'clang', 'delta']","['XYYYX', 'XYYXX', 'GGGGG']","[30, 1, 1]"
3,"['rates', 'colin', 'flick']","['XXXXX', 'YXYYX', 'GGGGG']","[227, 2, 2]"
3,"['rates', 'hotel', 'totem']","['XXGGX', 'XGGGX', 'GGGGG']","[6, 1, 1]"
3,"['rates', 'viold', 'wooer']","['YXXGX', 'XXGXX', 'GGGGG']","[83, 1, 1]"
3,"['rates', 'tholi', 'front']","['YXYXX', 'YXGXX', 'GGGGG']","[43, 2, 2]"
3,"['rates', 'scoup', 'shrub']","['YXXXY', 'GXXGX', 'GGGGG']","[26, 2, 2]"
3,"['rates', 'pylon', 'parry']","['YGXXX', 'GYXXX', 'GGGGG']","[26, 1, 1]"
3,"['rates', 'lingo', 'biome']","['XXXYX', 'XGXXY', 'GGGGG']","[147, 2, 2]"
4,"['rates', 'navel', 'label', 'lapel']","['XGXGX', 'XGXGG', 'GGXGG', 'GGGGG']","[15, 5, 1, 1]"
3,"['rates', 'smart', 'start']","['YYYXY', 'GXGGG', 'GGGGG']","[8, 1, 1]"
4,"['rates', 'tiger', 'egret', 'greet']","['YXYGX', 'YXYGY', 'YYYGG', 'GGGGG']","[13, 2, 1, 1]"
8,"['rates', 'viold', 'mower', 'joker', 'boxer', 'corer', 'foyer', 'goner']","['YXXGX', 'XXYXX', 'XGXGG', 'XGXGG', 'XGXGG', 'XGYGG', 'XGXGG', 'GGGGG']","[83, 12, 6, 4, 3, 2, 1, 1]"
3,"['rates', 'indol', 'golem']","['XXXGX', 'XXXYY', 'GGGGG']","[56, 1, 1]"
5,"['rates', 'point', 'dusty', 'gusty', 'lusty']","['XXYXY', 'XXXXY', 'XGGGG', 'XGGGG', 'GGGGG']","[57, 7, 3, 2, 2]"
4,"['rates', 'colin', 'wooly', 'loopy']","['XXXXX', 'XGYXX', 'XGGYG', 'GGGGG']","[227, 7, 1, 1]"
2,"['rates', 'round']","['GXXXX', 'GGGGG']","[12, 12]"
4,"['rates', 'aboil', 'admit', 'audit']","['XYYXX', 'GXXGX', 'GYXGG', 'GGGGG']","[33, 3, 1, 1]"
4,"['rates', 'colin', 'blind', 'lying']","['XXXXX', 'XXYYY', 'XYGGX', 'GGGGG']","[227, 5, 1, 1]"
3,"['rates', 'mincy', 'gamma']","['XGXXX', 'YXXXX', 'GGGGG']","[66, 1, 1]"
4,"['rates', 'pylon', 'carol', 'labor']","['YGXXX', 'XXYGX', 'XGYGY', 'GGGGG']","[26, 2, 1, 1]"
3,"['rates', 'sleet', 'islet']","['XXYGY', 'YYYGG', 'GGGGG']","[11, 1, 1]"
3,"['rates', 'colin', 'civic']","['XXXXX', 'GXXGX', 'GGGGG']","[227, 2, 2]"
4,"['rates', 'poind', 'force', 'forge']","['YXXYX', 'XGXXX', 'GGGXG', 'GGGGG']","[71, 3, 1, 1]"
3,"['rates', 'could', 'corny']","['YXXXX', 'GGXXX', 'GGGGG']","[108, 1, 1]"
4,"['rates', 'hoing', 'doubt', 'moult']","['XXYXX', 'XGXXX', 'XGGXG', 'GGGGG']","[75, 6, 1, 1]"
3,"['rates', 'pylon', 'basic']","['XGXXY', 'XXXXX', 'GGGGG']","[24, 1, 1]"
3,"['rates', 'pylon', 'salad']","['XGXXY', 'XXGXX', 'GGGGG']","[24, 2, 2]"
3,"['rates', 'clang', 'agate']","['XYYYX', 'XXGXY', 'GGGGG']","[30, 1, 1]"
3,"['rates', 'plink', 'spicy']","['XXXXY', 'YXGXX', 'GGGGG']","[94, 1, 1]"
3,"['rates', 'scrap', 'spray']","['YYXXY', 'GXGGY', 'GGGGG']","[18, 1, 1]"
3,"['rates', 'spule', 'essay']","['XYXYY', 'YXXXY', 'GGGGG']","[28, 1, 1]"
4,"['rates', 'could', 'brood', 'fjord']","['YXXXX', 'XYXXG', 'XYGYG', 'GGGGG']","[108, 3, 1, 1]"
4,"['rates', 'poilu', 'speck', 'spend']","['XXXYY', 'YXXXX', 'GGGXX', 'GGGGG']","[61, 2, 1, 1]"
3,"['rates', 'gland', 'kebab']","['XYXYX', 'XXYXX', 'GGGGG']","[81, 5, 5]"
