steps,words,feedback,ncands
2,"['reais', 'cigar']","['YXYYX', 'GGGGG']","[12, 12]"
3,"['reais', 'recut', 'rebut']","['GGXXX', 'GGXGG', 'GGGGG']","[15, 1, 1]"
4,"['reais', 'skint', 'silly', 'sissy']","['XXXYY', 'GXYXX', 'GGXXG', 'GGGGG']","[53, 3, 1, 1]"
3,"['reais', 'mulch', 'humph']","['XXXXX', 'YGXXG', 'GGGGG']","[168, 1, 1]"
3,"['reais', 'klutz', 'awake']","['XYGXX', 'YXXXX', 'GGGGG']","[26, 1, 1]"
4,"['reais', 'pluot', 'slung', 'blush']","['XXXXY', 'XGGXX', 'YGGXX', 'GGGGG']","[89, 5, 2, 2]"
4,"['reais', 'tonal', 'local', 'focal']","['XXYXX', 'XGXGG', 'YGGGG', 'GGGGG']","[150, 5, 2, 2]"
4,"['reais', 'klutz', 'adage', 'evade']","['XYGXX', 'XXXXX', 'YYGXG', 'GGGGG']","[26, 4, 1, 1]"
3,"['reais', 'tonal', 'naval']","['XXYXX', 'XXYGG', 'GGGGG']","[150, 1, 1]"
2,"['reais', 'serve']","['YGXXY', 'GGGGG']","[7, 7]"
3,"['reais', 'hotly', 'heath']","['XGGXX', 'GXYXX', 'GGGGG']","[21, 1, 1]"
3,"['reais', 'crowd', 'dwarf']","['YXGXX', 'XYXYY', 'GGGGG']","[44, 1, 1]"
4,"['reais', 'clout', 'dowel', 'model']","['XYXXX', 'XYYXX', 'YGXGG', 'GGGGG']","[121, 9, 1, 1]"
3,"['reais', 'macon', 'karma']","['YXYXX', 'YGXXX', 'GGGGG']","[60, 1, 1]"
3,"['reais', 'skint', 'stink']","['XXXYY', 'GYGGY', 'GGGGG']","[53, 1, 1]"
4,"['reais', 'bract', 'drape', 'grade']","['YYGXX', 'XGGXX', 'YGGXG', 'GGGGG']","[22, 7, 1, 1]"
3,"['reais', 'tined', 'quiet']","['XYXYX', 'YYXGX', 'GGGGG']","[74, 1, 1]"
3,"['reais', 'lynch', 'bench']","['XGXXX', 'XXGGG', 'GGGGG']","[61, 2, 2]"
3,"['reais', 'klutz', 'abate']","['XYGXX', 'XXXGX', 'GGGGG']","[26, 3, 3]"
3,"['reais', 'deign', 'feign']","['XGXYX', 'XGGGG', 'GGGGG']","[6, 1, 1]"
3,"['reais', 'macon', 'major']","['YXYXX', 'GGXGX', 'GGGGG']","[60, 2, 2]"
3,"['reais', 'hotly', 'death']","['XGGXX', 'YXYXX', 'GGGGG']","[21, 2, 2]"
3,"['reais', 'porch', 'fresh']","['YYXXY', 'XXYXG', 'GGGGG']","[33, 1, 1]"
3,"['reais', 'curst', 'crust']","['YXXXY', 'GYYGG', 'GGGGG']","[32, 1, 1]"
3,"['reais', 'pluot', 'stool']","['XXXXY', 'XYXGY', 'GGGGG']","[89, 1, 1]"
3,"['reais', 'mulch', 'colon']","['XXXXX', 'XXGYX', 'GGGGG']","[168, 1, 1]"
3,"['reais', 'sloth', 'abase']","['XYGXY', 'YXXXX', 'GGGGG']","[23, 2, 2]"
3,"['reais', 'macon', 'marry']","['YXYXX', 'GGXXX', 'GGGGG']","[60, 1, 1]"
3,"['reais', 'reach', 'react']","['GGGXX', 'GGGGX', 'GGGGG']","[5, 1, 1]"
4,"['reais', 'tonal', 'caput', 'batty']","['XXYXX', 'YXXYX', 'XGXXY', 'GGGGG']","[150, 14, 2, 2]"
3,"['reais', 'pined', 'pride']","['YYXYX', 'GYXYY', 'GGGGG']","[53, 1, 1]"
2,"['reais', 'floss']","['XXXXG', 'GGGGG']","[8, 8]"
4,"['reais', 'debit', 'genie', 'helix']","['XGXGX', 'XGXGX', 'XGXGY', 'GGGGG']","[11, 2, 1, 1]"
4,"['reais', 'macon', 'cobra', 'croak']","['YXYXX', 'XYYYX', 'GYXYY', 'GGGGG']","[60, 3, 1, 1]"
4,"['reais', 'cloth', 'stand', 'staff']","['XXGXY', 'XXXYX', 'GGGXX', 'GGGGG']","[50, 4, 2, 2]"
4,"['reais', 'aglet', 'caper', 'paper']","['YYYXX', 'YXXGX', 'XGGGG', 'GGGGG']","[57, 9, 1, 1]"
3,"['reais', 'clout', 'unfed']","['XYXXX', 'XXXYX', 'GGGGG']","[121, 7, 7]"
4,"['reais', 'clout', 'dwell', 'whelp']","['XYXXX', 'XYXXX', 'XYGGY', 'GGGGG']","[121, 5, 1, 1]"
4,"['reais', 'crowd', 'brawl', 'trawl']","['YXGXX', 'XGXGX', 'XGGGG', 'GGGGG']","[44, 4, 1, 1]"
4,"['reais', 'mulch', 'pudgy', 'outdo']","['XXXXX', 'XGXXX', 'XGYXX', 'GGGGG']","[168, 15, 1, 1]"
4,"['reais', 'laten', 'abode', 'adobe']","['XYYXX', 'XYXYX', 'GYGYG', 'GGGGG']","[90, 7, 1, 1]"
6,"['reais', 'crowd', 'crack', 'craft', 'cramp', 'crazy']","['YXGXX', 'GGXXX', 'GGGYX', 'GGGXX', 'GGGXX', 'GGGGG']","[44, 5, 3, 2, 1, 1]"
4,"['reais', 'porch', 'sober', 'sower']","['YYXXY', 'XGYXX', 'GGXGG', 'GGGGG']","[33, 3, 1, 1]"
3,"['reais', 'relay', 'repay']","['GGYXX', 'GGXGG', 'GGGGG']","[8, 1, 1]"
3,"['reais', 'count', 'digit']","['XXXGX', 'XXXXG', 'GGGGG']","[40, 2, 2]"
3,"['reais', 'bract', 'crate']","['YYGXX', 'XGGYY', 'GGGGG']","[22, 1, 1]"
3,"['reais', 'mulch', 'cluck']","['XXXXX', 'XYYGX', 'GGGGG']","[168, 2, 2]"
4,"['reais', 'snipe', 'spice', 'spike']","['XYXYY', 'GXGYG', 'GGGXG', 'GGGGG']","[28, 3, 2, 2]"
3,"['reais', 'count', 'mimic']","['XXXGX', 'YXXXX', 'GGGGG']","[40, 1, 1]"
5,"['reais', 'mulch', 'bound', 'found', 'pound']","['XXXXX', 'XYXXX', 'XGGGG', 'XGGGG', 'GGGGG']","[168, 8, 3, 2, 2]"
4,"['reais', 'macon', 'mafia', 'maxim']","['XXYGX', 'GGXXX', 'GGXGY', 'GGGGG']","[24, 2, 1, 1]"
3,"['reais', 'tined', 'linen']","['XYXYX', 'XGGGX', 'GGGGG']","[74, 2, 2]"
4,"['reais', 'clout', 'duvet', 'unmet']","['XYXXX', 'XXXYG', 'XYXGG', 'GGGGG']","[121, 2, 1, 1]"
3,"['reais', 'spelt', 'flesh']","['XYXXY', 'YXGYX', 'GGGGG']","[67, 1, 1]"
4,"['reais', 'mulch', 'goody', 'booby']","['XXXXX', 'XXXXX', 'XGGXG', 'GGGGG']","[168, 16, 4, 4]"
3,"['reais', 'count', 'forth']","['YXXXX', 'XGXXY', 'GGGGG']","[103, 4, 4]"
3,"['reais', 'skirt', 'first']","['YXXYY', 'YXYYG', 'GGGGG']","[12, 1, 1]"
3,"['reais', 'cloth', 'stand']","['XXGXY', 'XXXYX', 'GGGGG']","[50, 4, 4]"
3,"['reais', 'lynch', 'belly']","['XGXXX', 'YYXXX', 'GGGGG']","[61, 2, 2]"
3,"['reais', 'tronk', 'ivory']","['YXXYX', 'XYGXX', 'GGGGG']","[41, 1, 1]"
4,"['reais', 'tense', 'pesky', 'seedy']","['XGXXY', 'XGXYY', 'XGYXG', 'GGGGG']","[15, 2, 1, 1]"
3,"['reais', 'tronk', 'print']","['YXXYX', 'YGXGX', 'GGGGG']","[41, 1, 1]"
3,"['reais', 'teary', 'yearn']","['YGGXX', 'XGGGY', 'GGGGG']","[8, 1, 1]"
4,"['reais', 'trail', 'braid', 'drain']","['YXGGX', 'XGGGX', 'XGGGY', 'GGGGG']","[11, 4, 1, 1]"
4,"['reais', 'pined', 'tribe', 'bribe']","['YYXYX', 'XYXYX', 'XGGGG', 'GGGGG']","[53, 7, 1, 1]"
6,"['reais', 'pluot', 'scout', 'shout', 'snout', 'stout']","['XXXXY', 'XXYYG', 'GXGGG', 'GXGGG', 'GXGGG', 'GGGGG']","[89, 4, 3, 2, 1, 1]"
4,"['reais', 'laten', 'navel', 'panel']","['XYYXX', 'YGXGY', 'YGXGG', 'GGGGG']","[90, 2, 1, 1]"
3,"['reais', 'brass', 'crass']","['YXGXG', 'XGGGG', 'GGGGG']","[3, 2, 2]"
3,"['reais', 'clout', 'flume']","['XYXXX', 'XGXYX', 'GGGGG']","[121, 4, 4]"
3,"['reais', 'tonal', 'offal']","['XXYXX', 'XYXGG', 'GGGGG']","[150, 1, 1]"
3,"['reais', 'aglet', 'agree']","['YYYXX', 'GGXGX', 'GGGGG']","[57, 1, 1]"
4,"['reais', 'coted', 'probe', 'error']","['YYXXX', 'XYXYX', 'XGYXY', 'GGGGG']","[108, 9, 1, 1]"
3,"['reais', 'skirt', 'swirl']","['YXXYY', 'GXGGX', 'GGGGG']","[12, 1, 1]"
3,"['reais', 'aglet', 'argue']","['YYYXX', 'GYXYX', 'GGGGG']","[57, 1, 1]"
3,"['reais', 'clout', 'bleed']","['XYXXX', 'XGXXX', 'GGGGG']","[121, 4, 4]"
3,"['reais', 'pedal', 'delta']","['XGYXX', 'XGYYY', 'GGGGG']","[19, 1, 1]"
3,"['reais', 'clint', 'flick']","['XXXYX', 'YGGXX', 'GGGGG']","[118, 1, 1]"
4,"['reais', 'clout', 'often', 'totem']","['XYXXX', 'XXYXY', 'YXGGX', 'GGGGG']","[121, 3, 1, 1]"
4,"['reais', 'coted', 'mower', 'wooer']","['YYXXX', 'XGXGX', 'XGYGG', 'GGGGG']","[108, 13, 1, 1]"
3,"['reais', 'count', 'front']","['YXXXX', 'XYXGG', 'GGGGG']","[103, 1, 1]"
3,"['reais', 'curst', 'shrub']","['YXXXY', 'XYGYX', 'GGGGG']","[32, 3, 3]"
4,"['reais', 'macon', 'party', 'parry']","['YXYXX', 'XGXXX', 'GGGXG', 'GGGGG']","[60, 9, 1, 1]"
4,"['reais', 'tined', 'bible', 'biome']","['XYXYX', 'XGXYX', 'GGYXG', 'GGGGG']","[74, 6, 1, 1]"
4,"['reais', 'laten', 'label', 'lapel']","['XYYXX', 'GGXGX', 'GGXGG', 'GGGGG']","[90, 2, 1, 1]"
3,"['reais', 'stark', 'start']","['YXGXY', 'GGGGX', 'GGGGG']","[15, 1, 1]"
4,"['reais', 'coted', 'three', 'greet']","['YYXXX', 'XXYGX', 'YXYGY', 'GGGGG']","[108, 7, 1, 1]"
8,"['reais', 'coted', 'mower', 'hover', 'joker', 'boxer', 'foyer', 'goner']","['YYXXX', 'XGXGX', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[108, 13, 7, 5, 3, 2, 1, 1]"
4,"['reais', 'clout', 'dowel', 'golem']","['XYXXX', 'XYYXX', 'XGXGY', 'GGGGG']","[121, 9, 1, 1]"
3,"['reais', 'pluot', 'lusty']","['XXXXY', 'XYYXY', 'GGGGG']","[89, 1, 1]"
4,"['reais', 'mulch', 'blown', 'loopy']","['XXXXX', 'XXYXX', 'XYGXX', 'GGGGG']","[168, 14, 1, 1]"
3,"['reais', 'ruddy', 'round']","['GXXXX', 'GYYYX', 'GGGGG']","[10, 1, 1]"
4,"['reais', 'macon', 'aphid', 'audit']","['XXYGX', 'XYXXX', 'GXXGY', 'GGGGG']","[24, 4, 1, 1]"
3,"['reais', 'clint', 'lying']","['XXXYX', 'XYGGX', 'GGGGG']","[118, 1, 1]"
4,"['reais', 'tonal', 'gawky', 'gamma']","['XXYXX', 'XXXYX', 'GGXXX', 'GGGGG']","[150, 16, 1, 1]"
4,"['reais', 'macon', 'valor', 'labor']","['YXYXX', 'XGXGX', 'XGYGG', 'GGGGG']","[60, 5, 1, 1]"
3,"['reais', 'snipe', 'islet']","['XYXYY', 'YXYXY', 'GGGGG']","[28, 1, 1]"
