steps,words,feedback,ncands
3,"['roate', 'mincy', 'cigar']","['YXYXX', 'XGXYX', 'GGGGG']","[35, 2, 2]"
3,"['roate', 'recut', 'rebut']","['GXXYY', 'GGXGG', 'GGGGG']","[8, 1, 1]"
3,"['roate', 'slimy', 'sissy']","['XXXXX', 'GXYXG', 'GGGGG']","[195, 1, 1]"
3,"['roate', 'slimy', 'humph']","['XXXXX', 'XXXYX', 'GGGGG']","[195, 2, 2]"
4,"['roate', 'plush', 'knave', 'awake']","['XXGXG', 'XXXXX', 'YXGXG', 'GGGGG']","[42, 8, 1, 1]"
3,"['roate', 'slimy', 'blush']","['XXXXX', 'YGXXX', 'GGGGG']","[195, 3, 3]"
3,"['roate', 'nomad', 'focal']","['XGYXX', 'XGXGX', 'GGGGG']","[16, 4, 4]"
4,"['roate', 'plush', 'knave', 'evade']","['XXGXG', 'XXXXX', 'XXGYG', 'GGGGG']","[42, 8, 1, 1]"
4,"['roate', 'lysin', 'banal', 'naval']","['XXYXX', 'YXXXY', 'XGYGG', 'GGGGG']","[112, 4, 1, 1]"
4,"['roate', 'pings', 'curse', 'serve']","['YXXXG', 'XXXXY', 'XXGYG', 'GGGGG']","[39, 4, 1, 1]"
3,"['roate', 'death', 'heath']","['XXGGY', 'XGGGG', 'GGGGG']","[3, 1, 1]"
4,"['roate', 'chynd', 'drama', 'dwarf']","['YXGXX', 'XXXXY', 'GYGXY', 'GGGGG']","[51, 3, 1, 1]"
3,"['roate', 'wynds', 'model']","['XGXXY', 'XXXYX', 'GGGGG']","[21, 2, 2]"
3,"['roate', 'mincy', 'karma']","['YXYXX', 'YXXXX', 'GGGGG']","[35, 2, 2]"
3,"['roate', 'knish', 'stink']","['XXXYX', 'YYGYX', 'GGGGG']","[63, 1, 1]"
3,"['roate', 'crags', 'grade']","['YXGXG', 'XGGYX', 'GGGGG']","[23, 4, 4]"
4,"['roate', 'sleet', 'duvet', 'quiet']","['XXXYY', 'XXYGG', 'XGXGG', 'GGGGG']","[56, 5, 1, 1]"
3,"['roate', 'silen', 'bench']","['XXXXY', 'XXXYY', 'GGGGG']","[106, 5, 5]"
3,"['roate', 'slate', 'abate']","['XXGGG', 'XXGGG', 'GGGGG']","[7, 2, 2]"
4,"['roate', 'silen', 'deign', 'feign']","['XXXXY', 'XYXYG', 'XGGGG', 'GGGGG']","[106, 3, 1, 1]"
4,"['roate', 'bronc', 'favor', 'major']","['YYYXX', 'XYYXX', 'XGXGG', 'GGGGG']","[28, 6, 2, 2]"
2,"['roate', 'death']","['XXGGY', 'GGGGG']","[3, 3]"
3,"['roate', 'dices', 'fresh']","['YXXXY', 'XXXYY', 'GGGGG']","[102, 3, 3]"
3,"['roate', 'scuft', 'crust']","['YXXYX', 'YYGXG', 'GGGGG']","[29, 1, 1]"
4,"['roate', 'punch', 'idiot', 'stool']","['XYXYX', 'XXXXX', 'XXXGY', 'GGGGG']","[26, 4, 1, 1]"
3,"['roate', 'lungs', 'colon']","['XGXXX', 'YXYXX', 'GGGGG']","[71, 2, 2]"
3,"['roate', 'plush', 'abase']","['XXGXG', 'XXXGX', 'GGGGG']","[42, 2, 2]"
3,"['roate', 'mincy', 'marry']","['YXYXX', 'GXXXG', 'GGGGG']","[35, 1, 1]"
2,"['roate', 'react']","['GXGYY', 'GGGGG']","[1, 1]"
3,"['roate', 'tasty', 'batty']","['XXYGX', 'YGXGG', 'GGGGG']","[18, 4, 4]"
4,"['roate', 'pings', 'price', 'pride']","['YXXXG', 'GYXXX', 'GGGXG', 'GGGGG']","[39, 4, 3, 3]"
3,"['roate', 'slink', 'floss']","['XYXXX', 'YGXXX', 'GGGGG']","[66, 2, 2]"
3,"['roate', 'silen', 'helix']","['XXXXY', 'XYGYX', 'GGGGG']","[106, 1, 1]"
3,"['roate', 'bronc', 'croak']","['YYYXX', 'XGGXY', 'GGGGG']","[28, 1, 1]"
4,"['roate', 'slink', 'shaft', 'staff']","['XXGYX', 'GXXXX', 'GXGGY', 'GGGGG']","[23, 4, 1, 1]"
5,"['roate', 'balms', 'wager', 'caper', 'paper']","['YXYXY', 'XGXXX', 'XGXGG', 'XGGGG', 'GGGGG']","[42, 10, 4, 1, 1]"
3,"['roate', 'silen', 'unfed']","['XXXXY', 'XXXGY', 'GGGGG']","[106, 3, 3]"
3,"['roate', 'silen', 'whelp']","['XXXXY', 'XXYYX', 'GGGGG']","[106, 7, 7]"
4,"['roate', 'tract', 'trail', 'trawl']","['YXGYX', 'GGGXY', 'GGGXG', 'GGGGG']","[20, 5, 1, 1]"
3,"['roate', 'punch', 'outdo']","['XYXYX', 'XGXXX', 'GGGGG']","[26, 2, 2]"
3,"['roate', 'abode', 'adobe']","['XYYXG', 'GYGYG', 'GGGGG']","[7, 1, 1]"
3,"['roate', 'chynd', 'crazy']","['YXGXX', 'GXYXX', 'GGGGG']","[51, 1, 1]"
2,"['roate', 'sower']","['YGXXY', 'GGGGG']","[20, 20]"
5,"['roate', 'renal', 'rebar', 'recap', 'repay']","['GXYXY', 'GGXGX', 'GGXGY', 'GGXGY', 'GGGGG']","[12, 4, 2, 1, 1]"
3,"['roate', 'knish', 'digit']","['XXXYX', 'XXYXX', 'GGGGG']","[63, 4, 4]"
2,"['roate', 'crate']","['YXGGG', 'GGGGG']","[3, 3]"
4,"['roate', 'slimy', 'flung', 'cluck']","['XXXXX', 'XGXXX', 'XGGXX', 'GGGGG']","[195, 8, 2, 2]"
4,"['roate', 'sling', 'spice', 'spike']","['XXXXG', 'GXGXX', 'GGGXG', 'GGGGG']","[83, 3, 1, 1]"
4,"['roate', 'slimy', 'cumin', 'mimic']","['XXXXX', 'XXYYX', 'YXGGX', 'GGGGG']","[195, 4, 1, 1]"
7,"['roate', 'lungs', 'bound', 'found', 'hound', 'mound', 'pound']","['XGXXX', 'XYYXX', 'XGGGG', 'XGGGG', 'XGGGG', 'XGGGG', 'GGGGG']","[71, 6, 5, 4, 3, 2, 2]"
4,"['roate', 'lysin', 'affix', 'maxim']","['XXYXX', 'XXXGX', 'YXXGY', 'GGGGG']","[112, 6, 1, 1]"
4,"['roate', 'silen', 'liken', 'linen']","['XXXXY', 'XGYGG', 'GGXGG', 'GGGGG']","[106, 2, 1, 1]"
4,"['roate', 'sleet', 'duvet', 'unmet']","['XXXYY', 'XXYGG', 'XYXGG', 'GGGGG']","[56, 5, 1, 1]"
4,"['roate', 'silen', 'bless', 'flesh']","['XXXXY', 'YXYYX', 'XGGGY', 'GGGGG']","[106, 2, 1, 1]"
4,"['roate', 'lungs', 'boozy', 'booby']","['XGXXX', 'XXXXX', 'GGGXG', 'GGGGG']","[71, 13, 1, 1]"
2,"['roate', 'forth']","['YGXGX', 'GGGGG']","[4, 4]"
3,"['roate', 'scuft', 'first']","['YXXYX', 'YXXYG', 'GGGGG']","[29, 1, 1]"
4,"['roate', 'slink', 'scant', 'stand']","['XXGYX', 'GXXGX', 'GXGGY', 'GGGGG']","[23, 2, 1, 1]"
4,"['roate', 'silen', 'belch', 'belly']","['XXXXY', 'XXGYX', 'GGGXX', 'GGGGG']","[106, 4, 1, 1]"
4,"['roate', 'cuing', 'broil', 'ivory']","['YYXXX', 'XXYXX', 'XYGYX', 'GGGGG']","[57, 3, 1, 1]"
3,"['roate', 'silen', 'seedy']","['XXXXY', 'GXXYX', 'GGGGG']","[106, 2, 2]"
3,"['roate', 'scuft', 'print']","['YXXYX', 'XXXXG', 'GGGGG']","[29, 1, 1]"
3,"['roate', 'learn', 'yearn']","['YXGXY', 'XGGGG', 'GGGGG']","[6, 1, 1]"
3,"['roate', 'chynd', 'drain']","['YXGXX', 'XXXYY', 'GGGGG']","[51, 2, 2]"
4,"['roate', 'pings', 'bride', 'bribe']","['YXXXG', 'XYXXX', 'GGGXG', 'GGGGG']","[39, 5, 1, 1]"
4,"['roate', 'punch', 'flout', 'stout']","['XYXYX', 'XYXXX', 'XXGGG', 'GGGGG']","[26, 2, 1, 1]"
3,"['roate', 'genal', 'panel']","['XXYXY', 'XYGYG', 'GGGGG']","[55, 1, 1]"
5,"['roate', 'chynd', 'crack', 'cramp', 'crass']","['YXGXX', 'GXXXX', 'GGGYX', 'GGGXX', 'GGGGG']","[51, 4, 3, 2, 2]"
3,"['roate', 'sling', 'flume']","['XXXXG', 'XGXXX', 'GGGGG']","[83, 4, 4]"
3,"['roate', 'manul', 'offal']","['XYYXX', 'XYXXG', 'GGGGG']","[33, 2, 2]"
3,"['roate', 'argue', 'agree']","['YXYXG', 'GYYXG', 'GGGGG']","[10, 1, 1]"
3,"['roate', 'odder', 'error']","['YYXXY', 'YXXYG', 'GGGGG']","[10, 1, 1]"
3,"['roate', 'sculk', 'swirl']","['YXXXX', 'GXXYX', 'GGGGG']","[63, 1, 1]"
2,"['roate', 'argue']","['YXYXG', 'GGGGG']","[10, 10]"
4,"['roate', 'silen', 'bevel', 'bleed']","['XXXXY', 'XXYGX', 'GYXGY', 'GGGGG']","[106, 10, 2, 2]"
2,"['roate', 'delta']","['XXYGY', 'GGGGG']","[2, 2]"
3,"['roate', 'slimy', 'flick']","['XXXXX', 'XGGXX', 'GGGGG']","[195, 8, 8]"
3,"['roate', 'motel', 'totem']","['XGXYY', 'YGGGX', 'GGGGG']","[7, 1, 1]"
3,"['roate', 'sower', 'wooer']","['YGXXY', 'XGYGG', 'GGGGG']","[20, 1, 1]"
3,"['roate', 'shunt', 'front']","['YYXYX', 'XXXGG', 'GGGGG']","[21, 1, 1]"
3,"['roate', 'sculk', 'shrub']","['YXXXX', 'GXYXX', 'GGGGG']","[63, 3, 3]"
3,"['roate', 'mincy', 'parry']","['YXYXX', 'XXXXG', 'GGGGG']","[35, 6, 6]"
3,"['roate', 'clons', 'biome']","['XYXXG', 'XXGXX', 'GGGGG']","[30, 3, 3]"
4,"['roate', 'genal', 'label', 'lapel']","['XXYXY', 'XYXYG', 'GGXGG', 'GGGGG']","[55, 5, 1, 1]"
4,"['roate', 'tract', 'smart', 'start']","['YXGYX', 'YYGXG', 'GXGGG', 'GGGGG']","[20, 4, 1, 1]"
4,"['roate', 'suint', 'erect', 'greet']","['YXXYY', 'XXXXG', 'YGGXG', 'GGGGG']","[29, 6, 1, 1]"
7,"['roate', 'sower', 'cover', 'joker', 'boxer', 'foyer', 'goner']","['YGXXY', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'XGXGG', 'GGGGG']","[20, 11, 6, 4, 3, 2, 2]"
3,"['roate', 'wynds', 'golem']","['XGXXY', 'XXXXX', 'GGGGG']","[21, 2, 2]"
4,"['roate', 'hinds', 'gusty', 'lusty']","['XXXGX', 'XXXXY', 'XGGGG', 'GGGGG']","[21, 3, 2, 2]"
4,"['roate', 'lungs', 'lobby', 'loopy']","['XGXXX', 'GXXXX', 'GGXXG', 'GGGGG']","[71, 3, 2, 2]"
2,"['roate', 'round']","['GGXXX', 'GGGGG']","[6, 6]"
